,name,niu_count,percent_niu
0,ByAppointmentOnly,121093.0,0.75683125
1,BusinessAcceptsCreditCards,65975.0,0.41234375
2,BusinessAcceptsBitcoin,149148.0,0.932175
3,OutdoorSeating,114469.0,0.71543125
4,RestaurantsTakeOut,108393.0,0.67745625
5,RestaurantsDelivery,116340.0,0.727125
6,RestaurantsGoodForGroups,114502.0,0.7156375
7,RestaurantsPriceRange2,70154.0,0.4384625
8,WiFi,118399.0,0.73999375
9,BikeParking,89074.0,0.5567125
10,Alcohol,119738.0,0.7483625
11,GoodForKids,104901.0,0.65563125
12,Ambience,119983.0,0.74989375
13,BusinessParking,73736.0,0.46085
14,Caters,126276.0,0.789225
15,RestaurantsReservations,116512.0,0.7282
16,RestaurantsAttire,119611.0,0.74756875
17,NoiseLevel,123489.0,0.77180625
18,GoodForMeal,135091.0,0.84431875
19,HasTV,120006.0,0.7500375
20,DogsAllowed,153874.0,0.9617125
21,WheelchairAccessible,143391.0,0.89619375
22,Corkage,159447.0,0.99654375
23,BYOBCorkage,158816.0,0.9926
24,AcceptsInsurance,153982.0,0.9623875
25,GoodForDancing,156064.0,0.9754
26,Smoking,157078.0,0.9817375
27,HappyHour,155681.0,0.97300625
28,CoatCheck,157081.0,0.98175625
29,Music,155666.0,0.9729125
30,RestaurantsTableService,145727.0,0.91079375
31,BestNights,157114.0,0.9819625
32,DriveThru,157315.0,0.98321875
33,HairSpecializesIn,159157.0,0.99473125
34,AgesAllowed,159895.0,0.99934375
35,Open24Hours,159988.0,0.999925
36,DietaryRestrictions,159951.0,0.99969375
37,RestaurantsCounterService,159989.0,0.99993125
38,BYOB,159974.0,0.9998375
