,name,price,ship cost
0,FAST-SCHOOL-WORK-HP-PRO-WINDOWS-10-LAPTOP-4GB-RAM-64GB-SSD,$99.98,+$12.99 shipping
1,HP-255-G7-15-6-in-128GB-SSD-AMD-E-Series-1-50-GHz-4GB-Laptop,$85.00,+$14.32 shipping
2,Dell-Vostro-1500-15-4-Windows-7-Pro-32-Bit-Laptop-120GB-2GB-DVD-RW-Wireless,$89.00,Free Shipping
3,HP-LAPTOP-ELITEBOOK-8470p-INTEL-i5-4GB-16GB-250GB-1TB-HD-SSD-DVD-WINDOWS-10-WiFi,$199.00,Free Shipping
4,DELL-LATITUDE-E6430-LAPTOP-WINDOWS-10-WIN-DVD-INTEL-i5-2-5GHz-8GB-320GB-HD-HDMI,$212.00,Free Shipping
5,Lenovo-ThinkPad-T440-Windows-10-Laptop-4th-Gen-Intel-i5-HD-or-SSD-8GB-RAM,$198.86,Free Shipping
6,Lenovo-E531-15-6-Laptop-Intel-i5-3230M-2-60GHz-8GB-RAM-180GB-SSD-Windows-10,$169.99,+$15.00 shipping
7,Toshiba-Qosmio-X70-Gaming-Laptop-NVIDIA-17-3-i7-4700MQ-16GB-250GB-SSD-1-5TB,$599.00,+$17.81 shipping
8,HP-15-dk0051wm-Pavilion-15-6-FHD-i5-9300H-2-4GHz-GTX-1050-3GB-8GB-RAM-256GB,$499.00,Free Shipping
9,Lenovo-11e-Laptop-11-6-CPU-1-6GHZ-8GB-RAM-256GB-SSD-M-2-Windows-10-Pro,$150.00,Free Shipping
10,LENOVO-LAPTOP-T430-i5-2-5GHz-120GB-SSD-8GB-WINDOWS-10-PRO-WEBCAM-WiFi-NOTEBOOK,$203.00,Free Shipping
11,EUC-HP-EliteBook-8460p-14in-240GB-SSD-i5-2-5-GHz-8-GB-RAM-Win-10-Pro,$139.99,Free Shipping
12,Google-Pixelbook-C0A-Chromebook-Touchscreen-Laptop-i7-7Y75-512GB-SSD-16GB-RAM,$649.99,Free Shipping
13,DELL-LATiTUDE-7440-LAPTOP-i7-16Gb-256SSD-Ultrabook-Win10-Pro-Refurbished-A,$369.99,Free Shipping
14,Dell-Rugged-Laptop-Core-i5-SSD-TOUCH-SCREEN-Windows-10-Pro-Microsoft-Office,$244.94,Free Shipping
15,HP-ProBook-640-G1-Laptop-i5-4300m-2-6GHZ-4GB-DDR3-Windows-10,$144.95,Free Shipping
16,Dell-Laptop-Windows-XP-Pro-Parallel-port-RS232-9-pin-Serial-Port-new-battery,$150.00,Free Shipping
17,Lenovo-Yoga-730-13-3-Laptop-Intel-Core-i5-8GB-256GB-Windows-10-Platinum,$474.49,Free Shipping
18,Dell-Latitude-E7470-14-QHD-Touch-i5-6300U-2-4GHz-8-16GB-0-256GB-M-2-Windows-10,$219.99,Free Shipping
19,HP-15-6-Intel-Core-i7-8565U-16GB-RAM-1TB-4GB-NVIDIA-MX250-FHD-IPS-Touch,$589.00,+$19.99 shipping
20,Dell-Latitude-e6500-15-Laptop-Core-2-Duo-320GB-4GB-Windows-7-Pro,$109.99,Free Shipping
21,Lenovo-X220-Laptop-Core-i5-2-5Ghz-320GB-HDD-4-GB-Memory-Win-10-Pro,$139.95,Free Shipping
22,HP-ProBook-6470B-14-i5-3320m-2-6GHz-8GB-RAM-500GB-HDD-Windows-10-Home,$119.79,Free Shipping
23,DELL-LATiTUDE-LAPTOP-WINDOWS-10-INTEL-CORE-2-DUO-DVD-WiFi-NOTEBOOK-HD-COMPUTER,$133.00,Free Shipping
24,DELL-LATITUDE-LAPTOP-COMPUTER-Windows-Core-Duo-2-GB-CDRW-DVD-WiFi-Notebook-HD-PC,$129.00,Free Shipping
25,Dell-Laptop-E-Series-Intel-Core-i3-8GB-RAM-120-SSD-Win-10-Pro-WIFI-HDMI-15-6-LC,$139.00,Free Shipping
26,EVOO-EV-C-116-1-PR-Ultrathin-Laptop-11-6-FHD-Celeron-N4000-1-1GHz-3GB-RAM-32GB,$87.00,Free Shipping
27,MOTILE-M141-SL-14-FHD-Ryzen-3-3200U-2-6GHz-4GB-RAM-128GB-SSD-Win-10-Home-Silver,$202.00,Free Shipping
28,Dell-Latitude-2120-Laptop-10-1-Windows-10-1-73-GHz-Intel-2GB-80GB-Office,$70.00,Free Shipping
29,Dell-E6410-14-Laptop-Windows-10-Dual-Core-i5-2-4Ghz-4GB-RAM-320GB-HD-WiFi,$127.99,Free Shipping
30,Lenovo-ThinkPad-T440s-14-HD-Laptop-1-90GHz-i5-4300U-12GB-RAM-256GB-SSD-Win-10,$239.99,Free Shipping
31,HP-17-3-Touchscreen-Laptop-Computer-12GB-1TB-AMD-Turbo-3-7GHz-Backlit-Keyboard,$449.97,Free Shipping
32,Dell-Latitude-E5250-Laptop-i3-Dual-Core-8GB-256GB-SSD-Win-10-Pro-B-v-WAA,$149.99,Free Shipping
33,HP-650-G1-Core-i5-2-5GHz-8gb-RAM-320gb-HD-15-6-screen-Win8-1,$139.97,Free Shipping
34,Lenovo-81MU007NUS-Ideapad-S145-14-0-HD-Pentium-5405U-2-3GHz-4GB-RAM-128GB-SSD,$161.00,Free Shipping
35,HP-Pavilion-Intel-Pentium-4417U-4GB-500GB-15-6-inch-DVD-Windows-10-Home-Red,$219.99,Free Shipping
36,HP-14-DQ1038WM-14-HD-i3-1005G1-1-2GHz-4GB-RAM-128GB-SSD-Win-10-Home-in-S-Mode,$216.00,Free Shipping
37,Dell-Vostro-3450-14-Laptop-Intel-i5-2450M-2-50GHz-8GB-RAM-320GB-HDD-Win-10,$124.99,+$15.00 shipping
38,HP-15-bn070wm-Laptop-Pentium-N3710-1-6GHz-4GB-RAM-1TB-HDD-Win10-15-6-Camo,$239.00,Free Shipping
39,2019-Newest-Lenovo-330-15-6-Laptop-Intel-Pentium-N5000-up-to-16GB-RAM-1TB-SSD,$265.00,Free Shipping
40,Apple-MacBook-Air-Core-i5-1-6GHz-4GB-RAM-128GB-SSD-11-A1465-MJVM2LL-A,$329.97,Free Shipping
41,A-Rated-Dell-XPS13-Win10-Pro-Various-Configurations-You-Choose,$459.99,Free Shipping
42,Acer-15-6-Aspire-3-Laptop-AMD-3-GHz-6-GB-Ram-1TB-HDD-Windows-10-Home,$229.99,Free Shipping
43,Dell-Laptop-Latitude-E5420-i5-2-5Ghz-4GB-250GB-14-DVD-Win-10-Pro-HDMI,$147.99,Free Shipping
44,Dell-Latitude-E5440-14-4GB-Intel-Core-i3-1-9GHz-4GB-250GB-Windows-10,$104.69,Free Shipping
45,Lenovo-ThinkPad-T420-Laptop-PC-4GB-Memory-320GB-Core-i5-Windows-7-w-Adapter,$120.99,Free Shipping
46,Dell-Latitude-E6420-Laptop-Intel-i5-500G-8GB-RAM-Window-10-Pro-WARRANTY,$159.99,Free Shipping
47,Asus-C200M-11-6-Chromebook-Laptop-2-16Ghz-N2830-CPU-2GB-RAM-16GB-SSD-Wi-Fi,$69.99,Free Shipping
48,Razer-Blade-Stealth-13-3-256GB-Intel-Core-i7-2-70-GHz-16GB-Laptop,$457.00,+$32.85 shipping
49,Dell-G3-3579-15-6-Gaming-Laptop-i5-8300H-8GB-1TB-GTX-1050-Optane-G3579-5245BLK,$700.00,Free Shipping
50,Dell-Latitude-E6540-15-6-Intel-i5-2-60-GHz-256GB-SSD-8GB-Memory-Windows-10-Pro,$489.99,Free Shipping
51,DELL-LATITUDE-E4300-LAPTOP-2-40GHz-2GB-160GB-HD-Win-7-Pro,$209.99,Free Shipping
52,Dell-Latitude-Laptop-Ubuntu-Linux-8GB-RAM-Super-Fast-512GB-SSD-DVD-RW,$89.99,Free Shipping
53,ASUS-C425T-Chromebook-C425-Clamshell-Laptop-FHD-4-Way-NanoEdge-14-Silver,$289.00,Free Shipping
54,Apple-Macbook-13-Laptop-UPGRADED-8GB-RAM-1TB-HD-MAC-OS-2017-WARRANTY,$266.00,Free Shipping
55,HP-Stream-11-Pro-Laptop-N2840-2-16GHz-2GB-32GB-SSD-Windows-10-Great-Condition,$188.00,Free Shipping
56,HP-Probook-650-G1-15-6-i3-4th-Gen-8GB-2-50GHZ-160GB-SSD-Notebook,$69.99,Free Shipping
57,DELL-LATiTUDE-D630-Laptop-80GB-With-4GB-RAM-WINDOWS-10-WiFi-NOTEBOOK-COMPUTER,$160.00,+$9.99 shipping
58,Dell-Laptop-Computer-i5-Gen-4-CPU-8GB-RAM-256GB-SSD-Windows-10-Pro-Webcam-HDMI,$115.00,Free Shipping
59,HP-ProBook-650-G1-Laptop-Core-i5-4330M-2-8GHz-4GB-DDR3-320GB-HDD-No-OS,$359.97,Free Shipping
60,Teqnio-11-6-2-in-1-Touchscreen-Laptop-Intel-Atom-CPU-4-GB-RAM-32-GB-Pink,$169.99,Free Shipping
61,Fast-Dell-Latitude-10-1-Laptop-Computer-Windows-10-Netbook-PC-Intel-1-6GHz-CPU,$69.99,Free Shipping
62,Dell-Inspiron-3537-15-6-Touchscreen-Laptop-Intel-Core-i5-4200U-1-60GHz-6GB-RAM,$79.95,+$17.81 shipping
