date,mktcap,vol,open_price,close_price
2021-10-04,29978525,993400,6.94,7.24
2021-10-03,27130230,838032,6.28,6.94
2021-10-02,26405371,1522388,6.12,6.28
2021-10-01,24942626,1327564,5.78,6.12
2021-09-30,19729004,188150,4.57,5.78
2021-09-29,20461866,964834,4.70,4.57
2021-09-28,16261026,441226,3.77,4.70
2021-09-27,17249290,647384,4.02,3.77
2021-09-26,24999911,196744,4.55,4.02
2021-09-25,20502727,340484,5.08,4.55
2021-09-24,24050877,397110,6.04,5.08
2021-09-23,24708221,266972,6.17,6.04
2021-09-22,23911042,270346,6.02,6.17
2021-09-21,24418278,239388,6.19,6.02
2021-09-20,28406428,784535,7.14,6.19
2021-09-19,33669507,1011060,8.44,7.14
2021-09-18,29129271,147056,8.85,8.44
2021-09-17,32465885,384970,9.88,8.85
2021-09-16,32817166,355642,9.99,9.88
2021-09-15,30244639,176020,9.22,9.99
2021-09-14,30007744,514704,9.14,9.22
2021-09-13,23050519,43986,7.02,9.14
2021-09-12,33163272,76436,10.10,7.02
2021-09-11,32724399,391677,9.97,10.10
2021-09-10,35806549,462843,10.89,9.97
2021-09-09,32954501,150173,9.99,10.89
2021-09-08,35235956,1000107,10.74,9.99
2021-09-07,40017985,834697,12.20,10.74
2021-09-06,44137838,1247620,13.45,12.20
2021-09-05,36328175,136698,11.08,13.45
2021-09-04,36255218,386691,11.10,11.08
2021-09-03,33286913,120704,10.13,11.10
2021-09-02,35848823,592064,10.91,10.13
2021-09-01,33811008,900904,10.29,10.91
2021-08-31,33511666,1291444,10.15,10.29
2021-08-30,31262412,1646425,9.48,10.15
2021-08-29,20572844,226010,6.27,9.48
2021-08-28,22145199,542311,6.71,6.27
2021-08-27,14533986,91399,4.42,6.71
2021-08-26,16515739,89765,5.03,4.42
2021-08-25,17820023,199689,5.36,5.03
2021-08-24,19066102,152202,5.81,5.36
2021-08-23,17968365,170041,5.56,5.81
2021-08-22,18360579,147593,5.58,5.56
2021-08-21,25468739,618699,5.63,5.58
2021-08-20,21850933,339197,5.22,5.63
2021-08-19,20413951,431706,4.78,5.22
2021-08-18,21625498,135852,5.08,4.78
2021-08-17,24249402,423024,5.57,5.08
2021-08-16,24681294,24298,5.78,5.57
2021-08-15,25082531,29024,5.88,5.78
2021-08-14,26163695,142486,6.13,5.88
2021-08-13,23425982,137767,5.56,6.13
2021-08-12,25115851,348809,6.17,5.56
2021-08-11,20578437,179253,4.81,6.17
2021-08-10,23349380,91845,5.61,4.81
2021-08-09,22728605,49498,5.26,5.61
2021-08-08,24812155,10377.23,5.88,5.26
2021-08-07,23787479,169301,5.40,5.88
2021-08-06,21605245,58246,5.07,5.40
2021-08-05,0.000000000000,38931,4.94,5.07
2021-08-04,0.000000000000,135325,4.48,4.94
2021-08-03,0.000000000000,101689,4.90,4.48
2021-08-02,0.000000000000,91459,4.74,4.90
2021-08-01,0.000000000000,141657,5.13,4.74
2021-07-31,0.000000000000,228487,5.48,5.13
2021-07-30,0.000000000000,355011,4.82,5.48
2021-07-29,0.000000000000,488366,5.96,4.82
2021-07-28,0.000000000000,509294,4.89,5.96
2021-07-27,0.000000000000,599318,6.89,4.89
2021-07-26,0.000000000000,149780,5.11,6.89
2021-07-25,0.000000000000,210627,4.98,5.11
2021-07-24,0.000000000000,369922,4.84,4.98
2021-07-23,0.000000000000,55525,3.36,4.84
