date,mktcap,vol,open_price,close_price
2021-10-04,62194244,6889228,1.19,1.05
2021-10-03,62542230,6480707,1.19,1.19
2021-10-02,61188107,8463680,1.17,1.19
2021-10-01,63401073,9114550,1.21,1.17
2021-09-30,65908661,8308433,1.25,1.21
2021-09-29,66279415,12328127,1.24,1.25
2021-09-28,67749857,11778355,1.29,1.24
2021-09-27,76839669,11569805,1.42,1.29
2021-09-26,79644240,22554091,1.53,1.42
2021-09-25,71928795,15042142,1.36,1.53
2021-09-24,66069323,12109280,1.26,1.36
2021-09-23,75870177,13492187,1.45,1.26
2021-09-22,72683534,17834383,1.39,1.45
2021-09-21,86071972,39643172,1.69,1.39
2021-09-20,64806391,10119721,1.24,1.69
2021-09-19,66152230,12657962,1.26,1.24
2021-09-18,56633687,10175544,1.09,1.26
2021-09-17,45749846,7649213,0.879529,1.09
2021-09-16,50223248,6772794,0.967648,0.879529
2021-09-15,54176326,7147301,1.03,0.967648
2021-09-14,53057152,8999427,1.03,1.03
2021-09-13,60108738,8642269,1.13,1.03
2021-09-12,60071124,9445357,1.15,1.13
2021-09-11,54541084,10881479,1.04,1.15
2021-09-10,73990614,12849474,1.41,1.04
2021-09-09,64192732,10124787,1.20,1.41
2021-09-08,54588759,34712158,1.05,1.20
2021-09-07,61876219,22474628,1.20,1.05
2021-09-06,78585825,30024558,1.49,1.20
2021-09-05,89362835,14057683,1.69,1.49
2021-09-04,100522284,17082498,1.93,1.69
2021-09-03,103830394,22349665,2.01,1.93
2021-09-02,98733184,19632222,1.87,2.01
2021-09-01,101643184,25011110,1.94,1.87
2021-08-31,110179903,28021612,2.10,1.94
2021-08-30,112854785,36821692,2.17,2.10
2021-08-29,80305532,18610238,1.53,2.17
2021-08-28,78618375,25483936,1.59,1.53
2021-08-27,53999259,10139666,1.02,1.59
2021-08-26,56320103,10511635,1.09,1.02
2021-08-25,46188527,13360039,0.866271,1.09
2021-08-24,58265581,15535733,1.12,0.866271
2021-08-23,41190362,9014917,0.796743,1.12
2021-08-22,33111337,4781915,0.644768,0.796743
2021-08-21,31035449,7314209,0.592791,0.644768
2021-08-20,28435818,4792569,0.545060,0.592791
2021-08-19,20298833,2339409,0.387308,0.545060
2021-08-18,19484428,2319594,0.371656,0.387308
2021-08-17,19829692,2957259,0.368145,0.371656
2021-08-16,19268188,4051699,0.364118,0.368145
2021-08-15,19948150,3928602,0.376577,0.364118
2021-08-14,19035658,2994185,0.363207,0.376577
2021-08-13,16137062,2505724,0.307494,0.363207
2021-08-12,15895376,2308753,0.302106,0.307494
2021-08-11,17384378,2847659,0.330278,0.302106
2021-08-10,13643551,1903309,0.259936,0.330278
2021-08-09,13765801,2971115,0.254714,0.259936
2021-08-08,14642231,2480411,0.278989,0.254714
2021-08-07,14252774,1828822,0.270984,0.278989
2021-08-06,14149995,1493349,0.268232,0.270984
2021-08-05,14360092,1464242,0.273114,0.268232
2021-08-04,13268870,1325576,0.250847,0.273114
2021-08-03,13779234,1504732,0.262492,0.250847
2021-08-02,12632570,2142902,0.240356,0.262492
2021-08-01,13935000,2416409,0.260661,0.240356
2021-07-31,15097247,2021835,0.287952,0.260661
2021-07-30,15435971,2161986,0.294188,0.287952
2021-07-29,15228904,2411121,0.290507,0.294188
2021-07-28,17686806,2408145,0.339585,0.290507
2021-07-27,18182762,1968632,0.339531,0.339585
2021-07-26,17054397,1666220,0.326678,0.339531
2021-07-25,17019789,1853869,0.328726,0.326678
2021-07-24,21408074,2259334,0.408468,0.328726
2021-07-23,20766503,2498744,0.397870,0.408468
2021-07-22,19301089,2106527,0.371687,0.397870
2021-07-21,16051955,1580396,0.306346,0.371687
2021-07-20,16276696,1858684,0.310866,0.306346
2021-07-19,16182360,1654460,0.308907,0.310866
2021-07-18,14939911,1604767,0.286964,0.308907
2021-07-17,14972858,1393437,0.283222,0.286964
2021-07-16,19448132,1974701,0.368550,0.283222
2021-07-15,15558164,1490784,0.296541,0.368550
2021-07-14,14948694,1487258,0.284941,0.296541
2021-07-13,14932049,1840270,0.285512,0.284941
2021-07-12,17384809,2308243,0.331532,0.285512
2021-07-11,13997107,1410082,0.266191,0.331532
2021-07-10,12509909,1176108,0.239197,0.266191
2021-07-09,10317183,1276789,0.197086,0.239197
2021-07-08,10988579,1150826,0.209666,0.197086
2021-07-07,9002700,995278,0.174229,0.209666
2021-07-06,0.000000000000,996447,0.169261,0.174229
2021-07-05,0.000000000000,867680,0.171970,0.169261
2021-07-04,0.000000000000,402033,0.158915,0.171970
2021-07-03,0.000000000000,124497,0.143276,0.158915
2021-07-02,0.000000000000,64629,0.119970,0.143276
2021-07-01,0.000000000000,46325,0.137410,0.119970
2021-06-30,0.000000000000,38914,0.162684,0.137410
2021-06-29,0.000000000000,38914,0.162684,0.162684
