date,mktcap,vol,open_price,close_price
2021-10-04,122034,148794,0.00051625,0.00051147
2021-10-03,121313,98547,0.00051304,0.00051625
2021-10-02,117020,146291,0.00049478,0.00051304
2021-10-01,106408,110947,0.00044968,0.00049478
2021-09-30,100236,109298,0.00042404,0.00044968
2021-09-29,99123,81184,0.00041889,0.00042404
2021-09-28,100901,16972.72,0.00042485,0.00041889
2021-09-27,97857,9561.94,0.00040933,0.00042485
2021-09-26,82845,5701.53,0.00034525,0.00040933
2021-09-25,82494,8265.94,0.00034700,0.00034525
2021-09-24,87066,8546.02,0.00037076,0.00034700
2021-09-23,84128,6745.86,0.00035631,0.00037076
2021-09-22,72886,2658.32,0.00030802,0.00035631
2021-09-21,82486,6206.79,0.00034442,0.00030802
2021-09-20,90085,4946.62,0.00038089,0.00034442
2021-09-19,90878,2599.88,0.00038121,0.00038089
2021-09-18,88593,2638.32,0.00037318,0.00038121
2021-09-17,87647,2702.90,0.00037348,0.00037318
2021-09-16,92383,2962.01,0.00038101,0.00037348
2021-09-15,89611,2384.16,0.00036923,0.00038101
2021-09-14,86051,4151.99,0.00035862,0.00036923
2021-09-13,82228,6248.11,0.00035064,0.00035862
2021-09-12,79124,6968.17,0.00033466,0.00035064
2021-09-11,80077,7456.96,0.00033652,0.00033466
2021-09-10,87691,8749.65,0.00037058,0.00033652
2021-09-09,88980,7397.53,0.00037729,0.00037058
2021-09-08,90751,10320.30,0.00038344,0.00037729
2021-09-07,99527,10596.90,0.00042538,0.00038344
2021-09-06,99329,10619.30,0.00041976,0.00042538
2021-09-05,96590,5292.17,0.00041962,0.00041976
2021-09-04,96757,6857.27,0.00041975,0.00041962
2021-09-03,129844,46974,0.00054846,0.00041975
2021-09-02,131889,131722,0.00055813,0.00054846
2021-09-01,120340,129199,0.00050839,0.00055813
2021-08-31,113072,92903,0.00047640,0.00050839
2021-08-30,113481,114420,0.00047911,0.00047640
2021-08-29,113928,109053,0.00048176,0.00047911
2021-08-28,114803,129526,0.00048537,0.00048176
2021-08-27,109885,159041,0.00046512,0.00048537
2021-08-26,112616,91863,0.00047606,0.00046512
2021-08-25,112678,161633,0.00047618,0.00047606
2021-08-24,116603,138428,0.00049259,0.00047618
