date,mktcap,vol,open_price,close_price
2021-10-04,87000742,42962797,0.332110,0.354600
2021-10-03,81829071,10776363,0.309349,0.332110
2021-10-02,76633990,25607473,0.291080,0.309349
2021-10-01,70326434,61231427,0.269710,0.291080
2021-09-30,62599687,10960498,0.237660,0.269710
2021-09-29,62431124,12755570,0.235452,0.237660
2021-09-28,69995450,42400842,0.263975,0.235452
2021-09-27,68218423,18221753,0.258835,0.263975
2021-09-26,68250573,3422566,0.264061,0.258835
2021-09-25,70077605,27268814,0.267423,0.264061
2021-09-24,76471822,30661765,0.290944,0.267423
2021-09-23,72475455,4468196,0.275623,0.290944
2021-09-22,65320682,5729836,0.246034,0.275623
2021-09-21,77814169,12850741,0.288025,0.246034
2021-09-20,94722835,163755369,0.356827,0.288025
2021-09-19,86453255,9182393,0.329361,0.356827
2021-09-18,84680514,35873814,0.319609,0.329361
2021-09-17,91951381,181123941,0.346071,0.319609
2021-09-16,84401168,32453693,0.324218,0.346071
2021-09-15,78134760,2249609,0.289852,0.324218
2021-09-14,75503971,80219758,0.286883,0.289852
2021-09-13,76592201,9642121,0.290762,0.286883
2021-09-12,77708377,13077305,0.293703,0.290762
2021-09-11,75744801,3883529,0.288355,0.293703
2021-09-10,84410467,36413670,0.325389,0.288355
2021-09-09,81245136,45248615,0.309769,0.325389
2021-09-08,81042083,177153558,0.314446,0.309769
2021-09-07,88548841,128342864,0.335319,0.314446
2021-09-06,89381141,1047170350,0.339543,0.335319
2021-09-05,80734929,135207214,0.303612,0.339543
2021-09-04,73031697,53160547,0.277769,0.303612
2021-09-03,67678698,40607270,0.255536,0.277769
2021-09-02,67583386,21021471,0.256060,0.255536
2021-09-01,63230443,26596648,0.239531,0.256060
2021-08-31,60560398,13231395,0.229243,0.239531
2021-08-30,61211124,11324697,0.232562,0.229243
2021-08-29,62388037,10065027,0.235663,0.232562
2021-08-28,62373401,12982234,0.236203,0.235663
2021-08-27,60270700,23250986,0.228659,0.236203
2021-08-26,66042124,39325299,0.249360,0.228659
2021-08-25,59000623,4268504,0.223234,0.249360
2021-08-24,63596086,10222275,0.240769,0.223234
2021-08-23,58469426,21951373,0.222104,0.240769
2021-08-22,59291265,32255384,0.225372,0.222104
2021-08-21,54693009,11188709,0.207916,0.225372
2021-08-20,51201177,7118683,0.195939,0.207916
2021-08-19,50649611,7959303,0.192577,0.195939
2021-08-18,52178149,10579361,0.196252,0.192577
2021-08-17,55634052,10187898,0.208480,0.196252
2021-08-16,55856877,15608516,0.214097,0.208480
2021-08-15,55623634,13097011,0.210606,0.214097
2021-08-14,55207998,9834110,0.208562,0.210606
2021-08-13,52402876,15850032,0.198442,0.208562
2021-08-12,54430661,14989070,0.208480,0.198442
2021-08-11,52938385,9972467,0.200859,0.208480
2021-08-10,52764999,9560407,0.200808,0.200859
2021-08-09,52484968,24847998,0.200389,0.200808
2021-08-08,53923623,26391836,0.204237,0.200389
2021-08-07,52461382,11360862,0.199441,0.204237
2021-08-06,51425837,16983626,0.195480,0.199441
2021-08-05,49053339,6862106,0.187332,0.195480
2021-08-04,48088361,9441702,0.181532,0.187332
2021-08-03,48795924,10622512,0.185602,0.181532
2021-08-02,49398646,24113278,0.187177,0.185602
2021-08-01,57138274,225857925,0.216197,0.187177
2021-07-31,49284993,30904517,0.185102,0.216197
2021-07-30,46143338,67639023,0.178150,0.185102
2021-07-29,43104472,9385785,0.163229,0.178150
2021-07-28,42525078,18791603,0.161411,0.163229
2021-07-27,40864371,12591535,0.154643,0.161411
2021-07-26,38287082,4314379,0.144942,0.154643
