date,mktcap,vol,open_price,close_price
2021-10-04,46574122,1747873,0.271267,0.256995
2021-10-03,47027312,3286552,0.273566,0.271267
2021-10-02,44207964,1895680,0.255305,0.273566
2021-10-01,39598548,3198820,0.229784,0.255305
2021-09-30,36230369,1347730,0.210673,0.229784
2021-09-29,36373998,1677366,0.210903,0.210673
2021-09-28,37816558,3245462,0.219147,0.210903
2021-09-27,42450416,4789563,0.248616,0.219147
2021-09-26,37241823,1137703,0.216616,0.248616
2021-09-25,39238117,3422685,0.228202,0.216616
2021-09-24,43084529,2202127,0.249802,0.228202
2021-09-23,42152552,2322938,0.244728,0.249802
2021-09-22,34964032,1637891,0.203924,0.244728
2021-09-21,39114463,2661698,0.228161,0.203924
2021-09-20,46710561,2472687,0.271139,0.228161
2021-09-19,51790304,2004471,0.300525,0.271139
2021-09-18,50045272,2711806,0.289731,0.300525
2021-09-17,53797353,2632715,0.307364,0.289731
2021-09-16,57930592,2410731,0.336418,0.307364
2021-09-15,54339795,4158000,0.315448,0.336418
2021-09-14,57798291,13019705,0.334465,0.315448
2021-09-13,61534862,20347830,0.358231,0.334465
2021-09-12,46329235,3428611,0.268881,0.358231
2021-09-11,47910114,6209593,0.279254,0.268881
2021-09-10,59186057,12247871,0.342685,0.279254
2021-09-09,53579991,26853494,0.311165,0.342685
2021-09-08,51542725,13975755,0.295311,0.311165
2021-09-07,46613443,6406403,0.271580,0.295311
2021-09-06,44488281,9409048,0.258259,0.271580
2021-09-05,41787706,3168273,0.242254,0.258259
2021-09-04,39827489,1592508,0.231202,0.242254
2021-09-03,37806514,1244018,0.219528,0.231202
2021-09-02,39263051,1233491,0.228157,0.219528
2021-09-01,37027280,1634538,0.214254,0.228157
2021-08-31,36689205,2272285,0.212666,0.214254
2021-08-30,39859070,3642753,0.231578,0.212666
2021-08-29,36369595,1638718,0.211194,0.231578
2021-08-28,37889378,2222870,0.218838,0.211194
2021-08-27,35744770,2509481,0.207493,0.218838
2021-08-26,38435156,2790939,0.222766,0.207493
2021-08-25,35810624,2360141,0.207884,0.222766
2021-08-24,39196961,2335207,0.227324,0.207884
2021-08-23,38897979,2201029,0.225854,0.227324
2021-08-22,37240165,2033827,0.215786,0.225854
2021-08-21,37966305,2561505,0.220159,0.215786
2021-08-20,38070703,1731721,0.224975,0.220159
2021-08-19,37223848,3092630,0.215522,0.224975
2021-08-18,35650061,2744637,0.206514,0.215522
2021-08-17,37431234,3420178,0.216734,0.206514
2021-08-16,38586438,3646678,0.224832,0.216734
2021-08-15,38677112,4802820,0.224704,0.224832
2021-08-14,40774713,4758605,0.235362,0.224704
2021-08-13,39342345,6307604,0.228508,0.235362
2021-08-12,38605820,10848008,0.223631,0.228508
2021-08-11,37835212,18832656,0.220800,0.223631
2021-08-10,44197122,19440007,0.341718,0.220800
2021-08-09,31240446,7024143,0.181301,0.341718
2021-08-08,31946918,4774317,0.185220,0.181301
2021-08-07,29879263,5820403,0.175606,0.185220
2021-08-06,30635744,6320248,0.182161,0.175606
2021-08-05,25926480,3301989,0.147039,0.182161
2021-08-04,24254817,2788697,0.140763,0.147039
2021-08-03,24977700,2718959,0.144998,0.140763
2021-08-02,25262137,3101821,0.146791,0.144998
2021-08-01,24569525,2789566,0.142604,0.146791
2021-07-31,25249229,3295365,0.146631,0.142604
2021-07-30,24050128,3516070,0.139613,0.146631
2021-07-29,22673624,1570043,0.129654,0.139613
2021-07-28,22861651,1042391,0.132642,0.129654
2021-07-27,21548087,1657697,0.124704,0.132642
2021-07-26,21687160,1279291,0.126260,0.124704
2021-07-25,21244463,974564,0.121847,0.126260
2021-07-24,20861190,1589127,0.121241,0.121847
2021-07-23,19788749,1287362,0.114980,0.121241
2021-07-22,19097245,1163854,0.110861,0.114980
2021-07-21,18064760,1068132,0.104868,0.110861
2021-07-20,18723206,1083082,0.108793,0.104868
2021-07-19,20277858,2632715,0.117966,0.108793
2021-07-18,17947996,1110191,0.104126,0.117966
2021-07-17,18064694,764823,0.104891,0.104126
2021-07-16,18721603,730966,0.108477,0.104891
2021-07-15,19736581,824295,0.114573,0.108477
2021-07-14,19563541,823362,0.113099,0.114573
2021-07-13,20923798,1202091,0.120508,0.113099
2021-07-12,21271147,1400723,0.123420,0.120508
2021-07-11,19671871,785893,0.114547,0.123420
2021-07-10,20254802,788044,0.117691,0.114547
2021-07-09,20091655,1715730,0.116816,0.117691
2021-07-08,22217340,1829556,0.128978,0.116816
2021-07-07,22393304,3881201,0.130653,0.128978
2021-07-06,22725124,760359,0.131942,0.130653
2021-07-05,23611206,1230366,0.137065,0.131942
2021-07-04,23715578,3322053,0.137715,0.137065
2021-07-03,23828156,6215427,0.138879,0.137715
2021-07-02,21803957,1861568,0.125864,0.138879
2021-07-01,22021053,1349800,0.127919,0.125864
2021-06-30,20776629,2304973,0.120704,0.127919
2021-06-29,18704649,875035,0.109088,0.120704
2021-06-28,17450291,513859,0.101277,0.109088
2021-06-27,16300561,771038,0.094646,0.101277
2021-06-26,16968406,563207,0.098503,0.094646
2021-06-25,19087734,622424,0.110671,0.098503
2021-06-24,18657672,740410,0.108310,0.110671
2021-06-23,16571583,1070568,0.096219,0.108310
2021-06-22,18533690,917409,0.105966,0.096219
2021-06-21,23056595,1223775,0.133953,0.105966
2021-06-20,23182073,1401629,0.134225,0.133953
2021-06-19,23733147,1094347,0.136907,0.134225
2021-06-18,25272488,1282909,0.146800,0.136907
2021-06-17,25603514,1223277,0.148631,0.146800
2021-06-16,27287129,2633394,0.157534,0.148631
2021-06-15,25568461,1731702,0.148935,0.157534
2021-06-14,26140536,2109415,0.151748,0.148935
2021-06-13,24831658,1174801,0.144150,0.151748
2021-06-12,25434057,1332817,0.147647,0.144150
2021-06-11,27073589,1729349,0.156957,0.147647
2021-06-10,29787779,1424876,0.172532,0.156957
2021-06-09,27967987,1760070,0.162501,0.172532
2021-06-08,28720751,1865011,0.163814,0.162501
2021-06-07,31944629,2103359,0.185442,0.163814
2021-06-06,29637762,1263054,0.172826,0.185442
2021-06-05,31707204,1610164,0.183549,0.172826
2021-06-04,33832076,1622983,0.195707,0.183549
2021-06-03,33152477,1642193,0.192453,0.195707
2021-06-02,31650424,1655138,0.184048,0.192453
2021-06-01,31962294,1971883,0.186396,0.184048
2021-05-31,30643235,2729908,0.177863,0.186396
2021-05-30,29008131,1465797,0.167934,0.177863
2021-05-29,29941353,2233028,0.173528,0.167934
2021-05-28,34530399,2091828,0.200452,0.173528
2021-05-27,38278323,4529040,0.221263,0.200452
2021-05-26,35600400,17855814,0.207022,0.221263
2021-05-25,40141833,15203329,0.233333,0.207022
2021-05-24,22318460,2089455,0.130356,0.233333
2021-05-23,28828366,1714063,0.167074,0.130356
2021-05-22,30355718,2471795,0.176948,0.167074
2021-05-21,38049682,2413139,0.220989,0.176948
2021-05-20,34588702,3906137,0.200791,0.220989
2021-05-19,54540694,3356271,0.318858,0.200791
2021-05-18,51243673,3857022,0.297475,0.318858
2021-05-17,55702948,3533218,0.321219,0.297475
2021-05-16,56309818,4060519,0.325244,0.321219
2021-05-15,61495455,4192966,0.359127,0.325244
2021-05-14,56974735,5200925,0.332188,0.359127
2021-05-13,57846249,3556248,0.335803,0.332188
2021-05-12,72982736,5373323,0.422723,0.335803
2021-05-11,64855754,4406258,0.376494,0.422723
2021-05-10,72487020,3404140,0.419238,0.376494
2021-05-09,74514472,3833428,0.432520,0.419238
2021-05-08,75278547,5344518,0.436902,0.432520
2021-05-07,74804814,4678126,0.434053,0.436902
2021-05-06,78931180,8234311,0.458703,0.434053
2021-05-05,77481191,7273125,0.447179,0.458703
2021-05-04,78556376,6300394,0.455549,0.447179
2021-05-03,77151732,4408524,0.446327,0.455549
2021-05-02,81383917,6662231,0.473251,0.446327
2021-05-01,76559809,11232885,0.445190,0.473251
2021-04-30,68104704,4188517,0.395354,0.445190
2021-04-29,66095197,4412152,0.383807,0.395354
2021-04-28,68305831,3011613,0.395240,0.383807
2021-04-27,61810997,5101949,0.358819,0.395240
2021-04-26,50353612,3803627,0.291699,0.358819
2021-04-25,51999668,4155701,0.298903,0.291699
