date,mktcap,vol,open_price,close_price
2021-10-04,154580150,6148313,131.81,141.48
2021-10-03,144555993,4249773,123.54,131.81
2021-10-02,127992013,9216004,109.15,123.54
2021-10-01,93036317,1083389,79.23,109.15
2021-09-30,81014839,1478099,69.85,79.23
2021-09-29,88682185,1089000,74.99,69.85
2021-09-28,93542821,1292403,80.50,74.99
2021-09-27,98165867,1729259,84.76,80.50
2021-09-26,97652638,974893,84.23,84.76
2021-09-25,95966461,4362548,82.82,84.23
2021-09-24,101142429,1346483,87.14,82.82
2021-09-23,101501866,1851683,87.27,87.14
2021-09-22,80011695,1703417,69.33,87.27
2021-09-21,90047042,2953798,77.85,69.33
2021-09-20,112172164,4186661,96.62,77.85
2021-09-19,103818188,1189466,89.51,96.62
2021-09-18,94705526,1420298,81.28,89.51
2021-09-17,103054264,1714491,88.75,81.28
2021-09-16,93260940,1426468,81.57,88.75
2021-09-15,87573092,2875735,76.19,81.57
2021-09-14,96313925,2216535,83.81,76.19
2021-09-13,97459871,2858357,84.79,83.81
2021-09-12,98910007,10622028,86.07,84.79
2021-09-11,107959573,12192437,93.68,86.07
2021-09-10,98280670,13930212,81.04,93.68
2021-09-09,76422047,5026947,66.47,81.04
2021-09-08,48102517,480000,41.91,66.47
2021-09-07,56395380,347411,49.04,41.91
2021-09-06,58815375,252086,51.14,49.04
2021-09-05,54795133,470835,47.69,51.14
2021-09-04,57248623,1336136,49.87,47.69
2021-09-03,56017351,1811936,48.73,49.87
2021-09-02,65116584,511934,57.24,48.73
2021-09-01,59909619,506895,52.69,57.24
2021-08-31,60692280,381925,53.27,52.69
2021-08-30,58362795,179087,51.31,53.27
2021-08-29,61414952,253415,54.00,51.31
2021-08-28,62643472,257418,55.04,54.00
2021-08-27,61312526,396577,53.75,55.04
2021-08-26,63518141,572239,55.93,53.75
2021-08-25,61783474,1249761,54.15,55.93
2021-08-24,66696609,1315589,58.46,54.15
2021-08-23,64196149,672955,56.35,58.46
2021-08-22,66884809,755372,58.61,56.35
2021-08-21,72388491,895906,63.75,58.61
2021-08-20,68793044,931399,61.24,63.75
2021-08-19,64073508,1223155,56.86,61.24
2021-08-18,59832216,1925409,53.10,56.86
2021-08-17,58738204,1279982,51.78,53.10
2021-08-16,65755980,1221062,58.37,51.78
2021-08-15,74336624,658585,65.96,58.37
2021-08-14,76073272,1186009,67.48,65.96
2021-08-13,70903944,603634,63.18,67.48
2021-08-12,77020872,359488,68.33,63.18
2021-08-11,76100264,618624,67.57,68.33
2021-08-10,77713190,390705,69.61,67.57
2021-08-09,78596624,273985,69.65,69.61
2021-08-08,80419070,684133,71.83,69.65
2021-08-07,76962114,745028,68.34,71.83
2021-08-06,78094804,444107,69.26,68.34
2021-08-05,75434202,637996,66.91,69.26
2021-08-04,67256363,530855,60.28,66.91
2021-08-03,70632130,612239,63.04,60.28
2021-08-02,66247400,742302,59.37,63.04
2021-08-01,65161278,437662,58.41,59.37
2021-07-31,61622821,384195,55.37,58.41
2021-07-30,59029866,377141,52.80,55.37
2021-07-29,58887157,327347,52.79,52.80
2021-07-28,54843689,559146,52.47,52.79
2021-07-27,53757810,1143702,51.97,52.47
2021-07-26,49892248,471238,47.47,51.97
2021-07-25,50489122,456413,48.09,47.47
2021-07-24,48323437,1132519,45.98,48.09
2021-07-23,48903047,1215570,46.57,45.98
2021-07-22,41575079,1309705,39.92,46.57
2021-07-21,33000027,373283,31.42,39.92
2021-07-20,34801463,403101,33.22,31.42
2021-07-19,36851180,571892,35.14,33.22
2021-07-18,36650561,586987,34.92,35.14
2021-07-17,37520633,409900,35.39,34.92
2021-07-16,39567613,354043,37.37,35.39
2021-07-15,42899612,596696,40.67,37.37
2021-07-14,42632220,361721,40.50,40.67
2021-07-13,46579533,437199,44.25,40.50
2021-07-12,50739808,134829,48.31,44.25
2021-07-11,50929113,312692,48.00,48.31
2021-07-10,51308670,287522,48.72,48.00
2021-07-09,50818998,364635,48.51,48.72
2021-07-08,58534711,279931,55.64,48.51
2021-07-07,59203967,591257,56.49,55.64
2021-07-06,55544550,440531,52.50,56.49
2021-07-05,56781236,678909,54.03,52.50
2021-07-04,53650132,289479,51.55,54.03
2021-07-03,53554981,533277,50.80,51.55
2021-07-02,55936701,412161,53.22,50.80
2021-07-01,62784926,616470,59.76,53.22
2021-06-30,60382161,558248,57.13,59.76
2021-06-29,55763151,355659,53.11,57.13
2021-06-28,53083260,808020,50.76,53.11
2021-06-27,47364234,409341,45.63,50.76
2021-06-26,47789649,781110,45.35,45.63
2021-06-25,54157990,905819,51.41,45.35
2021-06-24,55055668,707690,52.65,51.41
2021-06-23,53656668,1619391,51.09,52.65
2021-06-22,58384976,1087463,54.91,51.09
2021-06-21,73551949,1642958,69.72,54.91
2021-06-20,71342459,1857349,67.62,69.72
2021-06-19,76567833,2169329,73.70,67.62
2021-06-18,81144913,766940,76.97,73.70
2021-06-17,82421945,623355,78.52,76.97
2021-06-16,89344564,486139,84.96,78.52
2021-06-15,90466389,595394,86.33,84.96
2021-06-14,91714347,1749382,87.15,86.33
2021-06-13,87233534,743129,82.63,87.15
2021-06-12,86457092,994530,81.99,82.63
2021-06-11,92261949,1740914,87.49,81.99
2021-06-10,103813135,3780622,99.76,87.49
2021-06-09,97041257,3357115,92.03,99.76
2021-06-08,94625002,1560289,90.03,92.03
2021-06-07,104158990,712695,99.45,90.03
2021-06-06,99775830,1612219,95.70,99.45
2021-06-05,109014962,2005891,103.54,95.70
2021-06-04,123222998,2422879,116.74,103.54
2021-06-03,115029897,2960694,109.41,116.74
2021-06-02,113972235,3116870,108.22,109.41
2021-06-01,121963044,6478612,116.35,108.22
2021-05-31,112212279,5015512,106.69,116.35
2021-05-30,96082551,5868320,90.63,106.69
2021-05-29,100193896,9039646,95.67,90.63
2021-05-28,102450432,7586055,97.59,95.67
2021-05-27,121585944,9113455,115.39,97.59
2021-05-26,98494877,2242973,94.11,115.39
2021-05-25,97342909,1499120,92.54,94.11
2021-05-24,78868931,3542402,74.85,92.54
2021-05-23,83941267,1033794,79.94,74.85
2021-05-22,94416678,4325127,91.28,79.94
2021-05-21,105257470,3515057,101.08,91.28
2021-05-20,86202654,6744400,80.40,101.08
2021-05-19,120334461,4308865,115.33,80.40
2021-05-18,102664437,3335980,97.34,115.33
2021-05-17,116983790,2221252,112.32,97.34
2021-05-16,120666126,1519362,115.14,112.32
2021-05-15,139172055,8394281,132.33,115.14
2021-05-14,108976516,5496057,104.15,132.33
2021-05-13,119188729,2532200,112.96,104.15
2021-05-12,133705281,1630621,127.39,112.96
2021-05-11,136016074,5675937,129.77,127.39
2021-05-10,153070764,1966115,145.40,129.77
2021-05-09,156131044,4774924,152.12,145.40
2021-05-08,162944951,4940430,155.55,152.12
2021-05-07,167423022,3051150,159.15,155.55
2021-05-06,0.000000000000,3082623,162.52,159.15
2021-05-05,0.000000000000,5089820,153.90,162.52
2021-05-04,0.000000000000,8763704,190.53,153.90
2021-05-03,0.000000000000,6176648,164.38,190.53
2021-05-02,0.000000000000,4715480,157.91,164.38
2021-05-01,0.000000000000,8594867,141.49,157.91
2021-04-30,0.000000000000,10998033,148.70,141.49
2021-04-29,0.000000000000,13448434,177.75,148.70
2021-04-28,0.000000000000,11981343,166.32,177.75
2021-04-27,0.000000000000,10148373,203.20,166.32
2021-04-26,0.000000000000,12486052,190.86,203.20
2021-04-25,0.000000000000,7329567,170.96,190.86
2021-04-24,0.000000000000,14075215,163.03,170.96
2021-04-23,0.000000000000,14320238,163.50,163.03
2021-04-22,0.000000000000,14977167,159.08,163.50
2021-04-21,0.000000000000,6423478,119.66,159.08
2021-04-20,0.000000000000,3921880,107.56,119.66
2021-04-19,0.000000000000,2449005,100.28,107.56
2021-04-18,0.000000000000,2860368,103.76,100.28
2021-04-17,0.000000000000,2172958,103.04,103.76
2021-04-16,0.000000000000,7841656,113.96,103.04
2021-04-15,0.000000000000,3193870,100.88,113.96
2021-04-14,0.000000000000,9695475,105.54,100.88
2021-04-13,0.000000000000,7662792,100.26,105.54
2021-04-12,0.000000000000,1757655,66.83,100.26
2021-04-11,0.000000000000,1228744,76.07,66.83
2021-04-10,0.000000000000,506904,77.68,76.07
2021-04-09,0.000000000000,1699841,80.59,77.68
2021-04-08,0.000000000000,1573350,74.27,80.59
2021-04-07,0.000000000000,2834822,84.27,74.27
2021-04-06,0.000000000000,4973990,86.48,84.27
2021-04-05,0.000000000000,4973990,86.48,86.48
