date,mktcap,vol,open_price,close_price
2021-10-04,19775537,450228,0.03389737,0.03301399
2021-10-03,18922298,176375,0.03249008,0.03389737
2021-10-02,18743392,276844,0.03222277,0.03249008
2021-10-01,16354259,186894,0.02808956,0.03222277
2021-09-30,15270180,192657,0.02616551,0.02808956
2021-09-29,15209272,477481,0.02597252,0.02616551
2021-09-28,16602584,330153,0.02848792,0.02597252
2021-09-27,17547252,371581,0.02939175,0.02848792
2021-09-26,17575210,316020,0.03040559,0.02939175
2021-09-25,17684564,357616,0.03001301,0.03040559
2021-09-24,19535385,232765,0.03377400,0.03001301
2021-09-23,4663054,287633,0.03224997,0.03377400
2021-09-22,4209788,338293,0.02911515,0.03224997
2021-09-21,4391703,458878,0.03042431,0.02911515
2021-09-20,5213070,194064,0.03605000,0.03042431
2021-09-19,5374941,490780,0.03717665,0.03605000
2021-09-18,5138736,819829,0.03542278,0.03717665
2021-09-17,5460369,607689,0.03731826,0.03542278
2021-09-16,5627164,491241,0.03905302,0.03731826
2021-09-15,5516046,989768,0.03816797,0.03905302
2021-09-14,5287337,502813,0.03656755,0.03816797
2021-09-13,5782230,391851,0.04020037,0.03656755
2021-09-12,5564969,527202,0.03866870,0.04020037
2021-09-11,5528858,762674,0.03823792,0.03866870
2021-09-10,6003161,1731568,0.04157234,0.03823792
2021-09-09,5796399,1180312,0.03994926,0.04157234
2021-09-08,5971842,1911630,0.04135272,0.03994926
2021-09-07,7301992,1415627,0.050487,0.04135272
2021-09-06,6728601,5428462,0.04653804,0.050487
2021-09-05,6405876,707064,0.04454306,0.04653804
2021-09-04,6048318,557894,0.04222690,0.04454306
2021-09-03,6128367,2128976,0.04236717,0.04222690
2021-09-02,6335999,1888074,0.04382016,0.04236717
2021-09-01,6102417,515073,0.04220469,0.04382016
2021-08-31,6212388,2220343,0.04283021,0.04220469
2021-08-30,6087991,329166,0.04187837,0.04283021
2021-08-29,6008942,356210,0.04163686,0.04187837
2021-08-28,6155233,606541,0.04257041,0.04163686
2021-08-27,5882330,428993,0.04030167,0.04257041
2021-08-26,6375598,466909,0.04409413,0.04030167
2021-08-25,6253787,581592,0.04320566,0.04409413
