date,mktcap,vol,open_price,close_price
2021-10-04,825613,167836,3.29,3.51
2021-10-03,848613,168047,3.33,3.29
2021-10-02,849735,177530,3.44,3.33
2021-10-01,825309,168692,3.34,3.44
2021-09-30,806345,159817,3.20,3.34
2021-09-29,817093,166761,3.26,3.20
2021-09-28,853063,170846,3.40,3.26
2021-09-27,876101,172863,3.49,3.40
2021-09-26,890921,180214,3.66,3.49
2021-09-25,929720,189478,3.68,3.66
2021-09-24,1001968,199643,3.99,3.68
2021-09-23,1066391,214871,4.25,3.99
2021-09-22,936316,189518,3.68,4.25
2021-09-21,944929,194367,3.79,3.68
2021-09-20,1083869,225538,4.32,3.79
2021-09-19,1041320,219555,4.20,4.32
2021-09-18,1106925,230575,4.37,4.20
2021-09-17,930915,202970,3.75,4.37
2021-09-16,862242,174289,3.46,3.75
2021-09-15,831289,166074,3.32,3.46
2021-09-14,847378,174754,3.39,3.32
2021-09-13,882257,179440,3.48,3.39
2021-09-12,867624,175578,3.46,3.48
2021-09-11,839106,167432,3.28,3.46
2021-09-10,794243,163256,3.17,3.28
2021-09-09,835941,166936,3.32,3.17
2021-09-08,825094,170301,3.30,3.32
2021-09-07,1102628,222873,4.40,3.30
2021-09-06,984750,202561,3.93,4.40
2021-09-05,1020213,203038,4.01,3.93
2021-09-04,981251,198290,3.93,4.01
2021-09-03,1042694,213776,4.12,3.93
2021-09-02,1039752,207476,4.15,4.12
2021-09-01,1051850,193666,4.20,4.15
2021-08-31,1080780,217966,4.29,4.20
2021-08-30,1149542,231691,4.65,4.29
2021-08-29,1125318,223453,4.49,4.65
2021-08-28,1205251,236432,4.78,4.49
2021-08-27,1168959,233038,4.74,4.78
2021-08-26,1243383,254490,5.01,4.74
2021-08-25,1222949,253033,4.92,5.01
2021-08-24,1302240,264109,5.28,4.92
2021-08-23,1350582,272317,5.38,5.28
2021-08-22,1398160,278441,5.54,5.38
2021-08-21,1311487,265367,5.23,5.54
2021-08-20,1248963,259572,5.10,5.23
2021-08-19,1257764,246861,5.03,5.10
2021-08-18,1299927,256121,5.07,5.03
2021-08-17,1364827,280069,5.43,5.07
2021-08-16,1405761,284289,5.56,5.43
2021-08-15,1420020,287158,5.66,5.56
2021-08-14,1290469,272675,5.35,5.66
2021-08-13,1335777,287556,5.54,5.35
2021-08-12,1259190,269592,5.06,5.54
2021-08-11,1466029,320934,5.91,5.06
2021-08-10,1472695,299830,5.74,5.91
2021-08-09,1491259,313525,5.91,5.74
2021-08-08,1605980,344341,6.43,5.91
2021-08-07,1636227,359081,6.69,6.43
2021-08-06,1815380,379932,7.22,6.69
2021-08-05,1923418,414456,7.66,7.22
2021-08-04,1849041,385353,7.33,7.66
2021-08-03,1929353,398847,7.74,7.33
2021-08-02,2178108,438941,8.57,7.74
2021-08-01,2184585,464158,8.56,8.57
2021-07-31,2649845,546956,10.56,8.56
2021-07-30,2094725,418009,8.41,10.56
2021-07-29,2097639,425539,8.37,8.41
2021-07-28,2090343,413794,8.33,8.37
2021-07-27,2134519,426858,8.39,8.33
2021-07-26,2237445,442980,8.85,8.39
2021-07-25,2159221,430783,8.61,8.85
2021-07-24,2212988,483492,8.77,8.61
2021-07-23,2432771,537034,9.69,8.77
2021-07-22,1789416,364607,7.15,9.69
2021-07-21,1716641,346768,6.86,7.15
2021-07-20,1923604,386255,7.69,6.86
2021-07-19,2029076,379994,7.73,7.69
2021-07-18,2031626,414206,8.13,7.73
2021-07-17,2031287,415619,8.10,8.13
2021-07-16,2188350,442273,8.71,8.10
