date,mktcap,vol,open_price,close_price
2021-10-04,5262067,14883.72,5.55,5.52
2021-10-03,5401947,41195,5.65,5.55
2021-10-02,5050384,21193,5.33,5.65
2021-10-01,4754616,30348,5.02,5.33
2021-09-30,4508114,17644.90,4.77,5.02
2021-09-29,4566988,30034,4.82,4.77
2021-09-28,4833916,16773.24,5.11,4.82
2021-09-27,4927988,50325,5.21,5.11
2021-09-26,4560339,10534.53,4.81,5.21
2021-09-25,4570518,157364,4.83,4.81
2021-09-24,5199057,37547,5.49,4.83
2021-09-23,4994921,92284,5.28,5.49
2021-09-22,4605810,27793,4.89,5.28
2021-09-21,4891483,23672,5.13,4.89
2021-09-20,5527577,11304.55,5.84,5.13
2021-09-19,5618169,28096,5.94,5.84
2021-09-18,5673981,29616,5.99,5.94
2021-09-17,6034863,14351.10,6.37,5.99
2021-09-16,5993830,18372.52,6.34,6.37
2021-09-15,5557828,190565,5.94,6.34
2021-09-14,5356553,78540,5.72,5.94
2021-09-13,5299465,36288,5.65,5.72
2021-09-12,5228208,16634.71,5.59,5.65
2021-09-11,5079182,10175.83,5.43,5.59
2021-09-10,5419559,108797,5.79,5.43
2021-09-09,5611436,62992,5.97,5.79
2021-09-08,5390412,37863,5.75,5.97
2021-09-07,6301758,35875,6.73,5.75
2021-09-06,6405882,76275,6.85,6.73
2021-09-05,6647253,14621.78,7.10,6.85
2021-09-04,6538898,68137,7.02,7.10
2021-09-03,6446686,116558,6.89,7.02
2021-09-02,6705357,21907,7.18,6.89
2021-09-01,6267394,44015,6.70,7.18
2021-08-31,5950966,51743,6.35,6.70
2021-08-30,5861050,27557,6.27,6.35
2021-08-29,5938354,5329.57,6.36,6.27
2021-08-28,5992307,30631,6.41,6.36
2021-08-27,5869920,50570,6.28,6.41
2021-08-26,6016684,75518,6.39,6.28
2021-08-25,6197933,69141,6.63,6.39
2021-08-24,6213360,43440,6.65,6.63
2021-08-23,6083867,108635,6.50,6.65
2021-08-22,5998360,163962,6.42,6.50
2021-08-21,5891158,158604,6.31,6.42
2021-08-20,5451529,243828,5.89,6.31
2021-08-19,5293563,186615,5.67,5.89
2021-08-18,5257467,38684,5.60,5.67
2021-08-17,5597369,146487,5.91,5.60
2021-08-16,5860929,201354,6.27,5.91
2021-08-15,5631951,79910,6.09,6.27
2021-08-14,5540025,84820,6.01,6.09
2021-08-13,5085704,43114,5.51,6.01
2021-08-12,5028568,144886,5.44,5.51
2021-08-11,5128604,145731,5.54,5.44
2021-08-10,5118838,172616,5.63,5.54
2021-08-09,4980512,81386,5.30,5.63
2021-08-08,5205162,40312,5.66,5.30
2021-08-07,4892718,70107,5.30,5.66
2021-08-06,4774968,31297,5.17,5.30
2021-08-05,4596859,13866.62,4.96,5.17
2021-08-04,4168020,84534,4.51,4.96
2021-08-03,4655483,67864,5.03,4.51
2021-08-02,4682613,110212,5.04,5.03
2021-08-01,4917015,111665,5.33,5.04
2021-07-31,4493068,85473,4.91,5.33
2021-07-30,4507142,111367,4.89,4.91
2021-07-29,4160371,74942,4.51,4.89
2021-07-28,4041706,55922,4.37,4.51
2021-07-27,4041961,216718,4.37,4.37
2021-07-26,4206286,147256,4.56,4.37
2021-07-25,4028662,275902,4.37,4.56
2021-07-24,3434680,175740,3.73,4.37
2021-07-23,2982042,68318,3.24,3.73
