date,mktcap,vol,open_price,close_price
2021-10-04,14534094,4616949,0.147259,0.161321
2021-10-03,14796647,5942251,0.150098,0.147259
2021-10-02,14782562,9087037,0.150053,0.150098
2021-10-01,14130395,9238487,0.143140,0.150053
2021-09-30,13690324,10372135,0.138592,0.143140
2021-09-29,13269872,12290217,0.133600,0.138592
2021-09-28,14026511,11488959,0.141430,0.133600
2021-09-27,14018755,11490733,0.142166,0.141430
2021-09-26,15123277,9932565,0.154115,0.142166
2021-09-25,15440053,10075448,0.156244,0.154115
2021-09-24,16285549,9181243,0.165183,0.156244
2021-09-23,15678999,9795490,0.159422,0.165183
2021-09-22,14641739,12538647,0.148976,0.159422
2021-09-21,16773786,30493109,0.171418,0.148976
2021-09-20,17702545,8299129,0.178102,0.171418
2021-09-19,17543751,5489511,0.177847,0.178102
2021-09-18,17762825,6457127,0.180676,0.177847
2021-09-17,17885008,9355328,0.180931,0.180676
2021-09-16,18086654,10250398,0.183294,0.180931
2021-09-15,17022122,8404021,0.172658,0.183294
2021-09-14,16406315,7728605,0.166567,0.172658
2021-09-13,17695481,6284988,0.176732,0.166567
2021-09-12,17544051,7760393,0.177144,0.176732
2021-09-11,17913115,7842952,0.182280,0.177144
2021-09-10,17851605,8015268,0.180907,0.182280
2021-09-09,17832342,11274478,0.180552,0.180907
2021-09-08,17255178,10444807,0.175196,0.180552
2021-09-07,21341920,10402031,0.216456,0.175196
2021-09-06,21292965,9172964,0.217967,0.216456
2021-09-05,20286934,9447998,0.205781,0.217967
2021-09-04,19205166,8360739,0.195677,0.205781
2021-09-03,19588521,8204742,0.199360,0.195677
2021-09-02,19779209,8605105,0.200618,0.199360
2021-09-01,19220976,7390707,0.194766,0.200618
2021-08-31,18665159,6020668,0.188619,0.194766
2021-08-30,19402489,6635157,0.197680,0.188619
2021-08-29,19499967,5412346,0.197585,0.197680
2021-08-28,19687243,6377410,0.196962,0.197585
2021-08-27,18923436,7025138,0.191297,0.196962
2021-08-26,20073626,8688169,0.203628,0.191297
2021-08-25,19862295,9713586,0.200207,0.203628
2021-08-24,20492049,9185221,0.207590,0.200207
2021-08-23,20763606,9658190,0.210607,0.207590
2021-08-22,21052954,8848905,0.213511,0.210607
2021-08-21,21566201,9322211,0.218726,0.213511
2021-08-20,20999727,12923496,0.215032,0.218726
2021-08-19,20196492,10896358,0.204573,0.215032
2021-08-18,20498341,10725186,0.204417,0.204573
2021-08-17,20976348,16328445,0.212935,0.204417
2021-08-16,21270335,31543493,0.216193,0.212935
