date,mktcap,vol,open_price,close_price
2021-10-04,494349,3974.41,0.189028,0.184050
2021-10-03,482277,10080.60,0.184334,0.189028
2021-10-02,480058,3262.03,0.194800,0.184334
2021-10-01,441998,523.59,0.174533,0.194800
2021-09-30,422112,2933.85,0.162006,0.174533
2021-09-29,424191,113.55,0.159333,0.162006
2021-09-28,446155,9083.73,0.167323,0.159333
2021-09-27,387552,316.50,0.152044,0.167323
2021-09-26,374154,174.32,0.144937,0.152044
2021-09-25,384104,5241.41,0.147868,0.144937
2021-09-24,396123,2584.62,0.151941,0.147868
2021-09-23,387894,3058.44,0.149925,0.151941
2021-09-22,407826,6656.69,0.146786,0.149925
2021-09-21,390549,4756.72,0.148364,0.146786
2021-09-20,417543,26741,0.160907,0.148364
2021-09-19,470792,6782.35,0.181686,0.160907
2021-09-18,488287,12606.87,0.187975,0.181686
2021-09-17,566882,4773.37,0.213984,0.187975
2021-09-16,567523,22052,0.224330,0.213984
2021-09-15,628010,5990.71,0.244093,0.224330
2021-09-14,590683,1621.10,0.230064,0.244093
2021-09-13,619697,6156.12,0.233371,0.230064
2021-09-12,566605,18903.11,0.223854,0.233371
2021-09-11,581860,11218.98,0.229816,0.223854
2021-09-10,622730,5245.79,0.235604,0.229816
2021-09-09,669477,10882.69,0.252894,0.235604
2021-09-08,634931,13025.45,0.269889,0.252894
2021-09-07,776155,14187.70,0.298160,0.269889
2021-09-06,798297,17521.45,0.312038,0.298160
2021-09-05,696928,58173,0.283424,0.312038
2021-09-04,755289,29614,0.289273,0.283424
2021-09-03,894749,2158.10,0.341192,0.289273
2021-09-02,875384,20288,0.338369,0.341192
2021-09-01,834926,55732,0.321420,0.338369
2021-08-31,697870,18478.28,0.269286,0.321420
2021-08-30,714072,25086,0.274813,0.269286
2021-08-29,774854,14763.20,0.293306,0.274813
2021-08-28,726847,5791.55,0.294787,0.293306
2021-08-27,733598,748.96,0.281242,0.294787
2021-08-26,768760,13012.54,0.295234,0.281242
2021-08-25,879300,17682.31,0.324576,0.295234
2021-08-24,929613,22200,0.356662,0.324576
2021-08-23,867166,34408,0.350595,0.356662
2021-08-22,1054870,214724,0.406092,0.350595
2021-08-21,751182,6134.52,0.289671,0.406092
2021-08-20,687474,15937.40,0.269399,0.289671
2021-08-19,686524,1376.69,0.265398,0.269399
2021-08-18,729427,3509.39,0.270938,0.265398
2021-08-17,734181,5762.26,0.285944,0.270938
2021-08-16,765361,5184.20,0.295146,0.285944
2021-08-15,778326,18147.30,0.298640,0.295146
2021-08-14,857603,10713.83,0.332389,0.298640
2021-08-13,801174,19381.19,0.302023,0.332389
2021-08-12,810436,19313.31,0.310965,0.302023
2021-08-11,747210,8695.79,0.289463,0.310965
2021-08-10,742888,9107.97,0.289997,0.289463
2021-08-09,710619,9727.27,0.272143,0.289997
2021-08-08,749434,20025,0.297334,0.272143
2021-08-07,777173,7537.56,0.297701,0.297334
2021-08-06,742975,4177.68,0.287808,0.297701
2021-08-05,743511,19118.47,0.289182,0.287808
2021-08-04,613221,26476,0.245420,0.289182
2021-08-03,600802,8719.07,0.232637,0.245420
2021-08-02,627852,26528,0.233471,0.232637
2021-08-01,714557,16721.39,0.276282,0.233471
2021-07-31,655818,15807.88,0.251939,0.276282
2021-07-30,550312,12264.38,0.218861,0.251939
2021-07-29,523921,5102.31,0.202105,0.218861
2021-07-28,521759,2076.26,0.201433,0.202105
2021-07-27,508184,118670,0.195176,0.201433
2021-07-26,454773,3820.17,0.175185,0.195176
2021-07-25,460594,45427,0.177485,0.175185
2021-07-24,416150,3707.06,0.163217,0.177485
2021-07-23,393062,4409.77,0.152338,0.163217
2021-07-22,389147,13953.05,0.148084,0.152338
2021-07-21,383798,8775.97,0.147028,0.148084
2021-07-20,369095,14813.47,0.141651,0.147028
2021-07-19,388198,9075.92,0.149444,0.141651
2021-07-18,424148,2198.44,0.164084,0.149444
2021-07-17,424062,3218.38,0.163246,0.164084
2021-07-16,428988,17590.65,0.164273,0.163246
2021-07-15,429156,5113.72,0.165211,0.164273
2021-07-14,433816,9945.22,0.165840,0.165211
2021-07-13,455822,9211.89,0.175477,0.165840
2021-07-12,491175,22395,0.188699,0.175477
2021-07-11,563129,34376,0.216787,0.188699
2021-07-10,539775,17937.18,0.204684,0.216787
2021-07-09,593873,4518.58,0.225146,0.204684
2021-07-08,674308,2983.60,0.256331,0.225146
2021-07-07,680471,29112,0.261960,0.256331
2021-07-06,659139,11112.33,0.253650,0.261960
2021-07-05,688112,22698,0.266903,0.253650
2021-07-04,692227,26042,0.269116,0.266903
2021-07-03,767981,61563,0.295648,0.269116
2021-07-02,715625,4433.62,0.272930,0.295648
2021-07-01,788644,21101,0.303337,0.272930
2021-06-30,821624,22433,0.316299,0.303337
2021-06-29,743136,8538.15,0.286084,0.316299
2021-06-28,672427,12905.56,0.261024,0.286084
2021-06-27,653345,3787.88,0.252838,0.261024
2021-06-26,689810,16016.85,0.263660,0.252838
2021-06-25,668485,10300.33,0.259772,0.263660
2021-06-24,716855,14819.70,0.279366,0.259772
2021-06-23,683542,19562.17,0.263142,0.279366
2021-06-22,726255,24606,0.282656,0.263142
2021-06-21,779971,5251.10,0.299320,0.282656
2021-06-20,785518,24165,0.302729,0.299320
2021-06-19,749707,12966.63,0.287809,0.302729
2021-06-18,818531,29679,0.315317,0.287809
2021-06-17,876221,13647.77,0.332652,0.315317
2021-06-16,941760,41929,0.362136,0.332652
2021-06-15,904838,28033,0.350307,0.362136
2021-06-14,0.000000000000,17200.83,0.367445,0.350307
2021-06-13,0.000000000000,10205.20,0.362626,0.367445
2021-06-12,0.000000000000,25805,0.356794,0.362626
2021-06-11,0.000000000000,21609,0.452772,0.356794
2021-06-10,0.000000000000,130874,0.516396,0.452772
2021-06-09,0.000000000000,35108,0.505471,0.516396
2021-06-08,0.000000000000,12265.38,0.515683,0.505471
2021-06-07,0.000000000000,17997.65,0.538579,0.515683
2021-06-06,0.000000000000,38595,0.549413,0.538579
2021-06-05,0.000000000000,16685.99,0.522033,0.549413
2021-06-04,0.000000000000,132966,0.572935,0.522033
2021-06-03,0.000000000000,37100,0.579008,0.572935
2021-06-02,0.000000000000,44734,0.554244,0.579008
2021-06-01,0.000000000000,35414,0.572144,0.554244
2021-05-31,0.000000000000,36103,0.518120,0.572144
2021-05-30,0.000000000000,19880.29,0.524340,0.518120
2021-05-29,0.000000000000,22270,0.513051,0.524340
2021-05-28,0.000000000000,35975,0.592770,0.513051
2021-05-27,0.000000000000,83652,0.652349,0.592770
2021-05-26,0.000000000000,22040,0.589443,0.652349
2021-05-25,0.000000000000,50046,0.633560,0.589443
2021-05-24,0.000000000000,28637,0.470669,0.633560
2021-05-23,0.000000000000,28004,0.601289,0.470669
2021-05-22,0.000000000000,44166,0.700849,0.601289
2021-05-21,0.000000000000,74202,0.860114,0.700849
2021-05-20,0.000000000000,25542,0.644266,0.860114
2021-05-19,0.000000000000,74019,0.879013,0.644266
2021-05-18,0.000000000000,46305,0.920613,0.879013
2021-05-17,0.000000000000,105861,1.16,0.920613
2021-05-16,0.000000000000,62374,1.16,1.16
2021-05-15,0.000000000000,74061,1.34,1.16
2021-05-14,0.000000000000,40137,1.23,1.34
2021-05-13,0.000000000000,74420,1.44,1.23
2021-05-12,0.000000000000,95266,1.49,1.44
2021-05-11,0.000000000000,113532,1.51,1.49
2021-05-10,0.000000000000,32509,1.64,1.51
2021-05-09,0.000000000000,47501,1.83,1.64
2021-05-08,0.000000000000,124739,1.59,1.83
2021-05-07,0.000000000000,96115,1.47,1.59
2021-05-06,0.000000000000,157327,1.59,1.47
2021-05-05,0.000000000000,283840,1.55,1.59
2021-05-04,0.000000000000,217263,1.81,1.55
2021-05-03,0.000000000000,157586,1.81,1.81
2021-05-02,0.000000000000,137494,2.04,1.81
2021-05-01,0.000000000000,135178,1.87,2.04
2021-04-30,0.000000000000,119080,1.95,1.87
2021-04-29,0.000000000000,111032,2.01,1.95
2021-04-28,0.000000000000,237674,2.19,2.01
2021-04-27,0.000000000000,122780,1.94,2.19
2021-04-26,0.000000000000,270720,1.71,1.94
2021-04-25,0.000000000000,108142,1.66,1.71
2021-04-24,0.000000000000,232112,1.76,1.66
2021-04-23,0.000000000000,191118,2.04,1.76
2021-04-22,0.000000000000,216688,2.05,2.04
2021-04-21,0.000000000000,157454,2.35,2.05
2021-04-20,0.000000000000,166076,2.50,2.35
2021-04-19,0.000000000000,177501,2.58,2.50
2021-04-18,0.000000000000,198041,2.68,2.58
2021-04-17,0.000000000000,108272,2.62,2.68
2021-04-16,0.000000000000,148433,2.64,2.62
2021-04-15,0.000000000000,456819,2.82,2.64
2021-04-14,0.000000000000,495197,2.78,2.82
2021-04-13,0.000000000000,783141,3.15,2.78
2021-04-12,0.000000000000,735501,3.53,3.15
2021-04-11,0.000000000000,671011,3.77,3.53
2021-04-10,0.000000000000,623817,3.78,3.77
2021-04-09,0.000000000000,1100851,3.87,3.78
2021-04-08,0.000000000000,1123639,3.70,3.87
2021-04-07,0.000000000000,1821577,3.90,3.70
2021-04-06,0.000000000000,3384897,3.91,3.90
2021-04-05,0.000000000000,5044665,4.21,3.91
2021-04-04,0.000000000000,5044665,4.21,4.21
