date,mktcap,vol,open_price,close_price
2021-10-04,15808978,1835114,7.42,7.22
2021-10-03,15903359,2969113,7.44,7.42
2021-10-02,15688193,3160810,7.34,7.44
2021-10-01,15401031,4699514,7.22,7.34
2021-09-30,15078536,4286723,7.08,7.22
2021-09-29,15223197,5064365,7.12,7.08
2021-09-28,15534335,6133294,7.26,7.12
2021-09-27,15494296,3924872,7.28,7.26
2021-09-26,15498143,1968716,7.31,7.28
2021-09-25,15730002,4598423,7.38,7.31
2021-09-24,16458955,10242159,7.72,7.38
2021-09-23,16194451,6593439,7.56,7.72
2021-09-22,15136409,19760592,7.14,7.56
2021-09-21,14824665,4345525,6.95,7.14
2021-09-20,16740751,2684764,7.86,6.95
2021-09-19,17622820,6250717,8.27,7.86
2021-09-18,17861904,8631869,8.37,8.27
2021-09-17,18384782,33454514,8.61,8.37
2021-09-16,19239695,72483524,9.46,8.61
2021-09-15,15622354,10744294,7.70,9.46
2021-09-14,14616870,5759013,7.19,7.70
2021-09-13,15264284,3079607,7.50,7.19
2021-09-12,14687067,3638118,7.24,7.50
2021-09-11,14844070,6815801,7.28,7.24
2021-09-10,14579709,3892257,7.15,7.28
2021-09-09,14539162,2729671,7.14,7.15
2021-09-08,14958731,5044394,7.34,7.14
2021-09-07,17029660,7086800,8.35,7.34
2021-09-06,16771521,7751220,8.26,8.35
2021-09-05,15499702,2518187,7.62,8.26
2021-09-04,15612662,4546618,7.69,7.62
2021-09-03,15257515,3287693,7.51,7.69
2021-09-02,15241486,4167655,7.50,7.51
2021-09-01,14733537,2550791,7.24,7.50
2021-08-31,14870203,2735672,7.30,7.24
2021-08-30,15185835,3165527,7.47,7.30
2021-08-29,15324770,1361809,7.51,7.47
2021-08-28,15619127,3051039,7.70,7.51
2021-08-27,15541496,4506119,7.63,7.70
2021-08-26,16408133,2090802,8.07,7.63
2021-08-25,16415352,4818634,8.07,8.07
2021-08-24,16773811,3185972,8.29,8.07
2021-08-23,16279186,2815621,8.00,8.29
2021-08-22,16583280,3360133,8.17,8.00
2021-08-21,17062860,7273669,8.40,8.17
2021-08-20,17156155,6064596,8.45,8.40
2021-08-19,17138165,4825022,8.42,8.45
2021-08-18,17336716,6575060,8.46,8.42
2021-08-17,17631554,3892684,8.57,8.46
2021-08-16,17939712,24483566,8.78,8.57
2021-08-15,17366319,5019746,8.54,8.78
2021-08-14,17071829,6626603,8.40,8.54
2021-08-13,16401767,6842477,8.09,8.40
2021-08-12,15988142,5371589,7.85,8.09
2021-08-11,16371141,5648817,8.02,7.85
2021-08-10,14413352,22728973,8.31,8.02
2021-08-09,12590268,5649702,7.26,8.31
2021-08-08,12860547,6286773,7.40,7.26
2021-08-07,12590006,6617214,7.27,7.40
2021-08-06,12441223,3754989,7.17,7.27
2021-08-05,12442629,1968656,7.20,7.17
2021-08-04,12362189,4698961,7.13,7.20
2021-08-03,12748708,12001509,7.33,7.13
2021-08-02,11751978,3206016,6.78,7.33
2021-08-01,12166481,2218791,7.02,6.78
2021-07-31,11811453,6186404,6.82,7.02
2021-07-30,11693521,6959166,6.73,6.82
2021-07-29,11130474,2003100,6.39,6.73
2021-07-28,11121640,4667364,6.43,6.39
2021-07-27,7789840,5189966,6.32,6.43
2021-07-26,8258241,6356202,6.62,6.32
2021-07-25,8010177,6268463,6.50,6.62
2021-07-24,8514202,14422935,6.87,6.50
2021-07-23,7762436,10585866,6.29,6.87
2021-07-22,7100381,6550991,5.80,6.29
2021-07-21,6608019,2558617,5.36,5.80
2021-07-20,6906176,6242657,5.58,5.36
2021-07-19,6719054,2128941,5.45,5.58
2021-07-18,6618819,2213579,5.37,5.45
2021-07-17,6464003,3348693,5.24,5.37
2021-07-16,6807036,3982549,5.50,5.24
2021-07-15,7212396,5892876,5.85,5.50
2021-07-14,7124930,6563879,5.80,5.85
2021-07-13,7000121,15167075,5.67,5.80
2021-07-12,6293425,3345378,5.10,5.67
2021-07-11,6245151,2523427,5.04,5.10
2021-07-10,6118988,1763697,4.96,5.04
2021-07-09,6081223,2441886,4.93,4.96
2021-07-08,6230685,3402875,5.05,4.93
2021-07-07,6179665,2611510,5.02,5.05
2021-07-06,6235325,2482303,5.06,5.02
2021-07-05,6228710,1980869,5.06,5.06
2021-07-04,6153616,1816052,5.00,5.06
2021-07-03,6152819,2481884,4.99,5.00
2021-07-02,6272972,4884790,5.09,4.99
2021-07-01,6274776,1928105,5.10,5.09
2021-06-30,6292944,1586450,5.11,5.10
2021-06-29,6212480,1917867,5.04,5.11
2021-06-28,6197263,2146886,5.03,5.04
2021-06-27,6133225,2815151,4.99,5.03
2021-06-26,6071228,3208499,4.92,4.99
2021-06-25,6550176,6071771,5.30,4.92
2021-06-24,6409967,2410168,5.20,5.30
2021-06-23,6167365,3461737,5.00,5.20
2021-06-22,6193263,2253152,5.00,5.00
2021-06-21,7547514,3887935,6.12,5.00
2021-06-20,7865631,6214026,6.37,6.12
2021-06-19,7697673,6534901,6.20,6.37
2021-06-18,7963276,9715510,6.46,6.20
2021-06-17,7420994,4737037,6.05,6.46
2021-06-16,7996723,6471556,6.47,6.05
2021-06-15,7523340,7820772,6.11,6.47
2021-06-14,7422074,5506814,6.04,6.11
2021-06-13,7343670,8051972,5.96,6.04
2021-06-12,7905796,74648745,6.45,5.96
2021-06-11,7597753,3998476,6.27,6.45
2021-06-10,6729197,2323708,5.45,6.27
2021-06-09,6414251,2882583,5.17,5.45
2021-06-08,6721657,4591249,5.42,5.17
2021-06-07,7069453,3168774,5.75,5.42
2021-06-06,7251896,2084791,5.87,5.75
2021-06-05,7177186,2285829,5.82,5.87
2021-06-04,7855667,2585635,6.32,5.82
2021-06-03,7375847,3687873,5.97,6.32
2021-06-02,7113433,2233088,5.77,5.97
2021-06-01,7506032,1955064,6.10,5.77
2021-05-31,7263199,2077084,5.92,6.10
2021-05-30,7305317,3212355,5.93,5.92
2021-05-29,7575664,7777856,6.15,5.93
2021-05-28,8353843,8851296,6.77,6.15
2021-05-27,7636609,3800032,6.25,6.77
2021-05-26,7206817,3395518,5.85,6.25
2021-05-25,7723890,2985282,6.26,5.85
2021-05-24,7174990,5966875,5.83,6.26
2021-05-23,9929922,7611257,8.11,5.83
2021-05-22,11636268,18726311,9.51,8.11
2021-05-21,10622397,9012832,8.62,9.51
2021-05-20,9710208,19084056,7.87,8.62
2021-05-19,16234054,34497206,13.05,7.87
2021-05-18,12590480,10024797,10.25,13.05
2021-05-17,13950031,51072747,11.31,10.25
2021-05-16,15278090,86545780,12.36,11.31
2021-05-15,12114986,7539774,9.82,12.36
2021-05-14,10438268,24968463,8.50,9.82
2021-05-13,10377557,26697437,8.22,8.50
2021-05-12,10199639,1705533,8.31,8.22
2021-05-11,10163754,1140041,8.08,8.31
2021-05-10,10822154,1889425,8.79,8.08
2021-05-09,11306413,2377004,9.16,8.79
2021-05-08,11191419,2637158,9.08,9.16
2021-05-07,11055292,3569533,8.99,9.08
2021-05-06,11449018,2895902,9.32,8.99
2021-05-05,11274810,4231074,9.03,9.32
2021-05-04,12312533,4508026,9.98,9.03
2021-05-03,12086311,2945544,9.89,9.98
2021-05-02,12001006,2951143,9.72,9.89
2021-05-01,12061203,4603137,9.80,9.72
2021-04-30,11449442,12421046,9.49,9.80
2021-04-29,11605691,3557082,9.37,9.49
2021-04-28,11724313,2742812,9.55,9.37
2021-04-27,11582379,3116063,9.34,9.55
2021-04-26,9849759,4491023,7.99,9.34
2021-04-25,9887198,2360918,8.00,7.99
2021-04-24,10034485,5810844,8.15,8.00
2021-04-23,0.000000000000,5938329,8.89,8.15
2021-04-22,0.000000000000,2375648,8.96,8.89
2021-04-21,0.000000000000,2558124,9.11,8.96
2021-04-20,0.000000000000,2381325,8.97,9.11
2021-04-19,0.000000000000,3496812,9.35,8.97
2021-04-18,0.000000000000,3653281,10.55,9.35
2021-04-17,0.000000000000,4951258,10.43,10.55
2021-04-16,0.000000000000,8334358,11.01,10.43
2021-04-15,0.000000000000,5602446,11.22,11.01
2021-04-14,0.000000000000,7802271,11.35,11.22
2021-04-13,0.000000000000,12377568,10.69,11.35
2021-04-12,0.000000000000,9957103,10.17,10.69
2021-04-11,0.000000000000,4519612,9.76,10.17
2021-04-10,0.000000000000,6848892,10.14,9.76
2021-04-09,0.000000000000,19952754,10.40,10.14
2021-04-08,0.000000000000,22365548,11.64,10.40
2021-04-07,0.000000000000,5071598,10.56,11.64
2021-04-06,0.000000000000,3752142,10.09,10.56
2021-04-05,0.000000000000,2263335,9.71,10.09
2021-04-04,0.000000000000,2926461,9.25,9.71
2021-04-03,0.000000000000,1138700,10.26,9.25
2021-04-02,0.000000000000,1630127,10.22,10.26
2021-04-01,0.000000000000,4586687,10.48,10.22
2021-03-31,0.000000000000,2960278,10.35,10.48
2021-03-30,0.000000000000,2172370,10.28,10.35
2021-03-29,0.000000000000,2576234,9.67,10.28
2021-03-28,0.000000000000,3130901,9.72,9.67
2021-03-27,0.000000000000,7663121,9.69,9.72
2021-03-26,0.000000000000,21235489,9.18,9.69
2021-03-25,0.000000000000,2309430,8.69,9.18
2021-03-24,0.000000000000,1830175,9.17,8.69
2021-03-23,0.000000000000,3336849,9.38,9.17
2021-03-22,0.000000000000,4012697,9.63,9.38
2021-03-21,0.000000000000,2478030,10.24,9.63
2021-03-20,0.000000000000,3761428,10.88,10.24
2021-03-19,0.000000000000,6156279,11.05,10.88
2021-03-18,0.000000000000,5277080,10.83,11.05
2021-03-17,0.000000000000,7663070,10.46,10.83
2021-03-16,0.000000000000,10007153,10.66,10.46
2021-03-15,0.000000000000,25704566,11.30,10.66
2021-03-14,0.000000000000,50842095,12.05,11.30
2021-03-13,0.000000000000,13221468,9.01,12.05
2021-03-12,0.000000000000,35136006,9.48,9.01
2021-03-11,0.000000000000,23186074,7.63,9.48
2021-03-10,0.000000000000,2596074,7.39,7.63
2021-03-09,0.000000000000,1833507,6.96,7.39
2021-03-08,0.000000000000,3138938,6.90,6.96
2021-03-07,0.000000000000,2708175,6.76,6.90
2021-03-06,0.000000000000,1011557,6.46,6.76
2021-03-05,0.000000000000,1296598,6.49,6.46
2021-03-04,0.000000000000,4781652,6.87,6.49
2021-03-03,0.000000000000,2336180,6.51,6.87
2021-03-02,0.000000000000,3813815,6.77,6.51
2021-03-01,0.000000000000,18623743,6.46,6.77
2021-02-28,0.000000000000,4116756,6.02,6.46
2021-02-27,0.000000000000,1527300,5.81,6.02
2021-02-26,0.000000000000,2633273,6.24,5.81
2021-02-25,0.000000000000,2808915,6.59,6.24
2021-02-24,0.000000000000,1872045,6.34,6.59
2021-02-23,0.000000000000,4651025,7.06,6.34
2021-02-22,0.000000000000,2534402,8.02,7.06
2021-02-21,0.000000000000,3847496,7.90,8.02
2021-02-20,0.000000000000,5252159,8.63,7.90
2021-02-19,0.000000000000,18472711,8.61,8.63
2021-02-18,0.000000000000,2269854,6.49,8.61
2021-02-17,0.000000000000,2985429,6.46,6.49
2021-02-16,0.000000000000,2640159,6.07,6.46
2021-02-15,0.000000000000,3748709,6.39,6.07
2021-02-14,0.000000000000,5907836,7.29,6.39
2021-02-13,0.000000000000,3967426,6.55,7.29
2021-02-12,0.000000000000,2667791,6.28,6.55
2021-02-11,0.000000000000,3334852,5.44,6.28
2021-02-10,0.000000000000,2472118,4.85,5.44
2021-02-09,0.000000000000,2060314,4.80,4.85
2021-02-08,0.000000000000,1933928,4.07,4.80
2021-02-07,0.000000000000,2636825,4.13,4.07
2021-02-06,0.000000000000,1780997,4.06,4.13
2021-02-05,0.000000000000,940754,3.78,4.06
2021-02-04,0.000000000000,1861500,4.01,3.78
2021-02-03,0.000000000000,1384443,3.83,4.01
2021-02-02,0.000000000000,1842233,3.88,3.83
2021-02-01,0.000000000000,1359374,3.73,3.88
2021-01-31,0.000000000000,1552426,3.77,3.73
2021-01-30,0.000000000000,3374632,3.74,3.77
2021-01-29,0.000000000000,27729460,3.75,3.74
2021-01-28,0.000000000000,2067545,4.12,3.75
2021-01-27,0.000000000000,1557235,4.12,4.12
2021-01-26,0.000000000000,1117295,3.69,4.12
2021-01-25,0.000000000000,1111116,3.81,3.69
2021-01-24,0.000000000000,1161077,3.84,3.81
2021-01-23,0.000000000000,1271091,4.08,3.84
2021-01-22,0.000000000000,1430906,3.82,4.08
2021-01-21,0.000000000000,1435627,4.39,3.82
2021-01-20,0.000000000000,3947896,4.12,4.39
2021-01-19,0.000000000000,3150500,4.28,4.12
2021-01-18,0.000000000000,1970599,4.32,4.28
2021-01-17,0.000000000000,1920405,4.52,4.32
2021-01-16,0.000000000000,3296084,4.45,4.52
2021-01-15,0.000000000000,6294021,4.57,4.45
2021-01-14,0.000000000000,3715520,5.21,4.57
2021-01-13,0.000000000000,868731,3.01,5.21
2021-01-12,0.000000000000,1219266,3.15,3.01
2021-01-11,0.000000000000,1185900,3.60,3.15
2021-01-10,0.000000000000,1346148,3.96,3.60
2021-01-09,0.000000000000,1706484,4.10,3.96
2021-01-08,0.000000000000,1833429,4.11,4.10
2021-01-07,0.000000000000,2031797,4.52,4.11
2021-01-06,0.000000000000,1617125,6.80,4.52
2021-01-05,0.000000000000,2511244,5.95,6.80
2021-01-04,0.000000000000,1903744,7.65,5.95
2021-01-03,0.000000000000,2469306,5.93,7.65
2021-01-02,0.000000000000,2910188,7.19,5.93
2021-01-01,0.000000000000,2344798,6.87,7.19
2020-12-31,0.000000000000,18643752,9.72,6.87
2020-12-30,0.000000000000,4919649,22.99,9.72
2020-12-29,0.000000000000,2950740,21.31,22.99
2020-12-28,0.000000000000,2740895,20.83,21.31
2020-12-27,0.000000000000,2240102,18.43,20.83
2020-12-26,0.000000000000,2539484,16.62,18.43
2020-12-25,0.000000000000,2616109,15.99,16.62
2020-12-24,0.000000000000,3656601,11.14,15.99
2020-12-23,0.000000000000,500191,5.02,11.14
2020-12-22,0.000000000000,557571,5.33,5.02
2020-12-21,0.000000000000,348633,3.55,5.33
2020-12-20,0.000000000000,351187,3.63,3.55
2020-12-19,0.000000000000,318051,3.33,3.63
2020-12-18,0.000000000000,306020,3.14,3.33
2020-12-17,0.000000000000,297369,3.05,3.14
2020-12-16,0.000000000000,313350,3.30,3.05
2020-12-15,0.000000000000,302282,3.10,3.30
2020-12-14,0.000000000000,256124,2.66,3.10
2020-12-13,0.000000000000,246602,2.56,2.66
2020-12-12,0.000000000000,256425,2.69,2.56
2020-12-11,0.000000000000,257318,2.65,2.69
2020-12-10,0.000000000000,250915,2.64,2.65
2020-12-09,0.000000000000,249693,2.60,2.64
2020-12-08,0.000000000000,254374,2.67,2.60
2020-12-07,0.000000000000,268322,2.79,2.67
2020-12-06,0.000000000000,271241,2.81,2.79
2020-12-05,0.000000000000,260833,2.70,2.81
2020-12-04,0.000000000000,268363,2.79,2.70
2020-12-03,0.000000000000,277899,2.89,2.79
2020-12-02,0.000000000000,178319,2.70,2.89
2020-12-01,0.000000000000,66286,2.64,2.70
2020-11-30,0.000000000000,210902,2.62,2.64
2020-11-29,0.000000000000,225798,2.78,2.62
2020-11-28,0.000000000000,278419,2.88,2.78
2020-11-27,0.000000000000,309535,2.97,2.88
2020-11-26,0.000000000000,326905,3.37,2.97
2020-11-25,0.000000000000,332969,3.28,3.37
2020-11-24,0.000000000000,300300,3.14,3.28
2020-11-23,0.000000000000,285930,2.97,3.14
2020-11-22,0.000000000000,296380,3.12,2.97
2020-11-21,0.000000000000,283687,2.92,3.12
2020-11-20,0.000000000000,275415,2.88,2.92
2020-11-19,0.000000000000,286220,2.85,2.88
2020-11-18,0.000000000000,305339,2.97,2.85
2020-11-17,0.000000000000,292178,3.00,2.97
2020-11-16,0.000000000000,286880,2.94,3.00
2020-11-15,0.000000000000,286996,3.00,2.94
2020-11-14,0.000000000000,293940,3.08,3.00
2020-11-13,0.000000000000,282146,2.94,3.08
2020-11-12,0.000000000000,286543,2.99,2.94
2020-11-11,0.000000000000,291944,3.06,2.99
2020-11-10,0.000000000000,283934,3.03,3.06
2020-11-09,0.000000000000,281989,2.96,3.03
2020-11-08,0.000000000000,273921,2.86,2.96
2020-11-07,0.000000000000,284776,2.98,2.86
2020-11-06,0.000000000000,260669,2.77,2.98
2020-11-05,0.000000000000,261796,2.76,2.77
2020-11-04,0.000000000000,264936,2.75,2.76
2020-11-03,0.000000000000,264072,2.73,2.75
2020-11-02,0.000000000000,266802,2.75,2.73
2020-11-01,0.000000000000,264829,2.77,2.75
2020-10-31,0.000000000000,264821,2.75,2.77
2020-10-30,0.000000000000,263765,2.76,2.75
2020-10-29,0.000000000000,271692,2.84,2.76
2020-10-28,0.000000000000,285996,2.95,2.84
2020-10-27,0.000000000000,286274,2.96,2.95
2020-10-26,0.000000000000,292740,3.03,2.96
2020-10-25,0.000000000000,306298,3.19,3.03
2020-10-24,0.000000000000,288694,3.06,3.19
2020-10-23,0.000000000000,301320,3.11,3.06
2020-10-22,0.000000000000,284542,3.02,3.11
2020-10-21,0.000000000000,290811,3.07,3.02
2020-10-20,0.000000000000,298565,3.10,3.07
2020-10-19,0.000000000000,306510,3.14,3.10
2020-10-18,0.000000000000,303950,3.14,3.14
2020-10-17,0.000000000000,321134,3.30,3.14
2020-10-16,0.000000000000,283832,2.95,3.30
2020-10-15,0.000000000000,290297,2.94,2.95
2020-10-14,0.000000000000,288395,2.95,2.94
2020-10-13,0.000000000000,290515,3.02,2.95
2020-10-12,0.000000000000,285079,3.01,3.02
2020-10-11,0.000000000000,287449,2.96,3.01
2020-10-10,0.000000000000,297515,3.09,2.96
2020-10-09,0.000000000000,273466,2.87,3.09
2020-10-08,0.000000000000,268418,2.74,2.87
2020-10-07,0.000000000000,267539,2.75,2.74
2020-10-06,0.000000000000,303381,3.16,2.75
2020-10-05,0.000000000000,324034,3.31,3.16
2020-10-04,0.000000000000,316213,3.20,3.31
2020-10-03,0.000000000000,327326,3.27,3.20
2020-10-02,0.000000000000,335524,3.50,3.27
2020-10-01,0.000000000000,351783,3.61,3.50
2020-09-30,0.000000000000,313883,3.33,3.61
2020-09-29,0.000000000000,316890,3.32,3.33
2020-09-28,0.000000000000,323152,3.40,3.32
2020-09-27,0.000000000000,324590,3.47,3.40
2020-09-26,0.000000000000,336541,3.52,3.47
2020-09-25,0.000000000000,337672,3.58,3.52
2020-09-24,0.000000000000,312731,3.18,3.58
2020-09-23,0.000000000000,332518,3.43,3.18
