date,mktcap,vol,open_price,close_price
2021-10-04,56929222,603581,0.053486,0.04797053
2021-10-03,59667744,613476,0.056616,0.053486
2021-10-02,60245003,562655,0.057070,0.056616
2021-10-01,57361864,584905,0.054252,0.057070
2021-09-30,55761531,462287,0.052849,0.054252
2021-09-29,55842902,719577,0.052927,0.052849
2021-09-28,59715357,508926,0.056385,0.052927
2021-09-27,61978569,379407,0.058611,0.056385
2021-09-26,61891282,323952,0.058475,0.058611
2021-09-25,62205096,723772,0.059138,0.058475
2021-09-24,66171308,570554,0.062952,0.059138
2021-09-23,65926814,961307,0.063204,0.062952
2021-09-22,56082011,608967,0.053910,0.063204
2021-09-21,64422166,756230,0.061687,0.053910
2021-09-20,75193818,1064140,0.071482,0.061687
2021-09-19,65516381,547795,0.062426,0.071482
2021-09-18,66069376,450720,0.062714,0.062426
2021-09-17,68454640,588420,0.064834,0.062714
2021-09-16,69508590,662759,0.066231,0.064834
2021-09-15,60685963,726411,0.057835,0.066231
2021-09-14,61917844,1247467,0.059020,0.057835
2021-09-13,66878993,807277,0.063642,0.059020
2021-09-12,73313172,629821,0.069700,0.063642
2021-09-11,75194608,733919,0.070575,0.069700
2021-09-10,80323732,786280,0.076372,0.070575
2021-09-09,80157837,927620,0.076685,0.076372
2021-09-08,75680306,1733784,0.072102,0.076685
2021-09-07,88984180,1435765,0.085672,0.072102
2021-09-06,75668818,931288,0.072745,0.085672
2021-09-05,75707819,1233280,0.072679,0.072745
2021-09-04,73357091,1013598,0.071256,0.072679
2021-09-03,77148324,1563670,0.074074,0.071256
2021-09-02,69106514,4265105,0.067051,0.074074
2021-09-01,52759580,937762,0.050623,0.067051
2021-08-31,56014405,479929,0.053732,0.050623
2021-08-30,54661886,539970,0.054965,0.053732
2021-08-29,61966213,783954,0.060292,0.054965
2021-08-28,53284890,540708,0.053715,0.060292
2021-08-27,52197173,767430,0.052656,0.053715
2021-08-26,54417503,612549,0.055556,0.052656
2021-08-25,51107976,637664,0.053622,0.055556
2021-08-24,53155294,1034842,0.054634,0.053622
2021-08-23,52209786,657638,0.055117,0.054634
2021-08-22,57625136,887527,0.060525,0.055117
2021-08-21,56608289,1473999,0.058997,0.060525
2021-08-20,57041127,960064,0.059572,0.058997
2021-08-19,46828515,742554,0.04970758,0.059572
2021-08-18,47403796,997888,0.050042,0.04970758
2021-08-17,54555992,1672453,0.057397,0.050042
2021-08-16,45690979,622834,0.050198,0.057397
2021-08-15,46407012,1131678,0.04793748,0.050198
2021-08-14,44578867,788310,0.04838728,0.04793748
2021-08-13,42947810,656483,0.04666145,0.04838728
2021-08-12,44804577,983248,0.04879801,0.04666145
2021-08-11,43562603,789392,0.04722730,0.04879801
2021-08-10,44872209,707106,0.04927725,0.04722730
2021-08-09,42872486,1106713,0.04661354,0.04927725
2021-08-08,42837458,820985,0.04686480,0.04661354
2021-08-07,41570149,1015812,0.04537311,0.04686480
2021-08-06,44585445,708762,0.04861807,0.04537311
2021-08-05,46596963,1140480,0.050843,0.04861807
2021-08-04,45770994,734229,0.04993520,0.050843
2021-08-03,46388735,624734,0.050596,0.04993520
2021-08-02,45997829,538146,0.050489,0.050596
2021-08-01,59634410,333067,0.053697,0.050489
2021-07-31,61236314,1098586,0.055151,0.053697
2021-07-30,58840529,1221260,0.054833,0.055151
2021-07-29,56075062,953884,0.052097,0.054833
2021-07-28,62381672,691256,0.058784,0.052097
2021-07-27,62260861,1159660,0.060140,0.058784
2021-07-26,60273753,481481,0.057249,0.060140
2021-07-25,58539635,691979,0.055585,0.057249
2021-07-24,55643013,402104,0.052981,0.055585
2021-07-23,55068902,372056,0.055866,0.052981
2021-07-22,53140886,562293,0.052501,0.055866
2021-07-21,49662836,545420,0.04893628,0.052501
2021-07-20,52115284,603361,0.051303,0.04893628
2021-07-19,57346445,678960,0.056680,0.051303
2021-07-18,65111852,269395,0.064179,0.056680
2021-07-17,66631663,760499,0.065925,0.064179
2021-07-16,65115657,1160529,0.065816,0.065925
2021-07-15,69836981,527267,0.072521,0.065816
2021-07-14,71871419,503484,0.074498,0.072521
2021-07-13,71719596,691680,0.074426,0.074498
2021-07-12,74545836,261167,0.077367,0.074426
2021-07-11,73733503,1189785,0.076669,0.077367
2021-07-10,79380915,1626231,0.082534,0.076669
2021-07-09,77978062,1651164,0.080536,0.082534
2021-07-08,79905758,680716,0.083468,0.080536
2021-07-07,71675469,383865,0.075178,0.083468
2021-07-06,74228439,1247152,0.077719,0.075178
2021-07-05,67916635,603984,0.071296,0.077719
2021-07-04,64162493,407262,0.067542,0.071296
2021-07-03,60607533,145368,0.063712,0.067542
2021-07-02,62157384,266907,0.065123,0.063712
2021-07-01,64868916,301249,0.068108,0.065123
2021-06-30,65315959,267259,0.068385,0.068108
2021-06-29,63208968,240351,0.066286,0.068385
2021-06-28,58154589,294570,0.062459,0.066286
2021-06-27,60515424,354366,0.065019,0.062459
2021-06-26,66426072,297839,0.071126,0.065019
2021-06-25,67370509,277639,0.072208,0.071126
2021-06-24,66048969,288375,0.074675,0.072208
2021-06-23,62457952,418668,0.067979,0.074675
2021-06-22,67975481,316992,0.072997,0.067979
2021-06-21,86873623,137092,0.094237,0.072997
2021-06-20,97289893,111168,0.105260,0.094237
2021-06-19,95547091,227175,0.103611,0.105260
2021-06-18,101113846,333407,0.109490,0.103611
2021-06-17,97507849,216881,0.105780,0.109490
2021-06-16,113656364,346736,0.123979,0.105780
2021-06-15,119920899,284843,0.135820,0.123979
2021-06-14,112069985,154196,0.123953,0.135820
2021-06-13,103876973,141641,0.116106,0.123953
2021-06-12,110808971,186373,0.126080,0.116106
2021-06-11,119526179,298236,0.131161,0.126080
2021-06-10,116903270,219646,0.136021,0.131161
2021-06-09,110979110,378554,0.129597,0.136021
2021-06-08,129014752,697451,0.149685,0.129597
2021-06-07,111550016,398364,0.130708,0.149685
2021-06-06,101385554,416878,0.118513,0.130708
2021-06-05,111780424,664560,0.130020,0.118513
2021-06-04,114915955,702904,0.134236,0.130020
2021-06-03,101206064,629889,0.119107,0.134236
2021-06-02,99791245,662162,0.117582,0.119107
2021-06-01,102276978,563815,0.120038,0.117582
2021-05-31,105838684,171737,0.123749,0.120038
2021-05-30,98071109,248544,0.116027,0.123749
2021-05-29,111844680,357590,0.130431,0.116027
2021-05-28,127950602,167132,0.149633,0.130431
2021-05-27,131449625,339948,0.153847,0.149633
2021-05-26,129274298,521839,0.151648,0.153847
2021-05-25,135014539,391143,0.152134,0.151648
2021-05-24,107923905,650270,0.124698,0.152134
2021-05-23,109842660,198387,0.128338,0.124698
2021-05-22,122129042,318692,0.143025,0.128338
2021-05-21,152359272,543760,0.178605,0.143025
2021-05-20,135796872,631326,0.151880,0.178605
2021-05-19,209876624,494331,0.246424,0.151880
2021-05-18,199028505,1265048,0.233162,0.246424
2021-05-17,207847665,1009037,0.244809,0.233162
