date,mktcap,vol,open_price,close_price
2021-10-04,8866.47,2751.51,0.00009749,0.00008186
2021-10-03,8981.63,2649.27,0.00009847,0.00009749
2021-10-02,9060.79,2276.66,0.00010059,0.00009847
2021-10-01,6724.52,1156.83,0.00007418,0.00010059
2021-09-30,7278.91,3385.97,0.00007946,0.00007418
2021-09-29,6378.18,3205.96,0.00006980,0.00007946
2021-09-28,7201.23,4842.09,0.00007777,0.00006980
2021-09-27,8312.26,2785.66,0.00009133,0.00007777
2021-09-26,7482.69,2762.99,0.00008293,0.00009133
2021-09-25,6598.12,3759.73,0.00007262,0.00008293
2021-09-24,6870.81,14528.37,0.00007568,0.00007262
2021-09-23,6847.55,4303.31,0.00007524,0.00007568
2021-09-22,7826.46,2498.19,0.00008660,0.00007524
2021-09-21,8081.86,3349.72,0.00008811,0.00008660
2021-09-20,8721.47,5899.68,0.00009592,0.00008811
2021-09-19,8898.84,4950.30,0.00009821,0.00009592
2021-09-18,5515.41,3648.22,0.00006037,0.00009821
2021-09-17,5927.16,3408.33,0.00006513,0.00006037
2021-09-16,6066.55,4322.63,0.00006660,0.00006513
2021-09-15,6588.94,5562.62,0.00007265,0.00006660
2021-09-14,7662.32,3603.93,0.00008426,0.00007265
2021-09-13,7721.76,7580.47,0.00008482,0.00008426
2021-09-12,7750.22,6225.57,0.00009441,0.00008482
2021-09-11,5603.30,2877.09,0.00006159,0.00009441
2021-09-10,7336.46,11940.55,0.00008068,0.00006159
2021-09-09,12330.89,59271,0.00013572,0.00008068
2021-09-08,12933.17,194228,0.00014202,0.00013572
2021-09-07,13739.34,216310,0.00015169,0.00014202
2021-09-06,13789.52,122475,0.00015152,0.00015169
2021-09-05,15512.02,126658,0.00019508,0.00015152
2021-09-04,12688.13,21297,0.00013974,0.00019508
2021-09-03,12968.42,46214,0.00014261,0.00013974
2021-09-02,13001.68,22573,0.00014319,0.00014261
2021-09-01,13530.37,26037,0.00014848,0.00014319
2021-08-31,13531.81,22565,0.00014917,0.00014848
2021-08-30,13784.08,19237.53,0.00015143,0.00014917
2021-08-29,13270.25,15818.28,0.00014602,0.00015143
2021-08-28,12897.67,14746.44,0.00014159,0.00014602
2021-08-27,16619.36,19816.22,0.00016438,0.00014159
2021-08-26,13616.60,14167.92,0.00014958,0.00016438
2021-08-25,14555.50,15891.94,0.00016016,0.00014958
2021-08-24,15022.59,18301.36,0.00016538,0.00016016
2021-08-23,16175.12,19433.96,0.00017725,0.00016538
2021-08-22,17903.60,13149.81,0.00019689,0.00017725
2021-08-21,17190.33,12480.97,0.00018905,0.00019689
2021-08-20,15438.67,10298.48,0.00016954,0.00018905
