date,mktcap,vol,open_price,close_price
2021-10-04,2922012,283678,0.142614,0.136034
2021-10-03,2427959,279227,0.118588,0.142614
2021-10-02,2263387,251123,0.112821,0.118588
2021-10-01,2014524,114101,0.099308,0.112821
2021-09-30,2010552,23316,0.097833,0.099308
2021-09-29,1824102,51601,0.087888,0.097833
2021-09-28,1982362,109923,0.096863,0.087888
2021-09-27,1807064,43816,0.086544,0.096863
2021-09-26,1776015,33516,0.086781,0.086544
2021-09-25,1819547,127575,0.089256,0.086781
2021-09-24,1866913,104676,0.090473,0.089256
2021-09-23,1595619,2050.36,0.085393,0.090473
2021-09-22,1577957,3889.13,0.083952,0.085393
2021-09-21,1598250,69746,0.085815,0.083952
2021-09-20,1683993,32831,0.089375,0.085815
2021-09-19,1655533,8768.69,0.090500,0.089375
2021-09-18,1691297,18198.16,0.090387,0.090500
2021-09-17,1872465,33363,0.100401,0.090387
2021-09-16,1824827,69812,0.097660,0.100401
2021-09-15,1743530,658413,0.093489,0.097660
2021-09-14,1599134,915087,0.083889,0.093489
2021-09-13,1763873,764873,0.094397,0.083889
2021-09-12,1836533,838129,0.098286,0.094397
2021-09-11,1945108,1115964,0.104841,0.098286
2021-09-10,2028114,1178050,0.112262,0.104841
2021-09-09,2038709,1195549,0.104662,0.112262
2021-09-08,2172621,1419071,0.116923,0.104662
2021-09-07,1961708,1389059,0.108821,0.116923
2021-09-06,2056383,1427980,0.115626,0.108821
2021-09-05,2151778,1292480,0.106194,0.115626
2021-09-04,2063650,873035,0.109684,0.106194
2021-09-03,2298595,267137,0.125477,0.109684
2021-09-02,0.000000000000,465064,0.132429,0.125477
2021-09-01,0.000000000000,724005,0.143212,0.132429
2021-08-31,0.000000000000,743823,0.152119,0.143212
2021-08-30,0.000000000000,792140,0.142653,0.152119
2021-08-29,0.000000000000,790850,0.135202,0.142653
2021-08-28,0.000000000000,575920,0.134761,0.135202
2021-08-27,0.000000000000,971547,0.160510,0.134761
2021-08-26,0.000000000000,869401,0.170481,0.160510
2021-08-25,0.000000000000,706321,0.174639,0.170481
2021-08-24,0.000000000000,855603,0.183792,0.174639
2021-08-23,0.000000000000,587549,0.173163,0.183792
2021-08-22,0.000000000000,825545,0.179432,0.173163
2021-08-21,0.000000000000,1152482,0.196365,0.179432
2021-08-20,0.000000000000,977703,0.191742,0.196365
2021-08-19,0.000000000000,1060001,0.183280,0.191742
2021-08-18,0.000000000000,1154535,0.189316,0.183280
2021-08-17,0.000000000000,812692,0.178096,0.189316
2021-08-16,0.000000000000,519419,0.182853,0.178096
2021-08-15,0.000000000000,603949,0.194834,0.182853
2021-08-14,0.000000000000,557776,0.197670,0.194834
2021-08-13,0.000000000000,619906,0.191530,0.197670
2021-08-12,0.000000000000,744766,0.186619,0.191530
2021-08-11,0.000000000000,714117,0.180139,0.186619
2021-08-10,0.000000000000,1088187,0.193802,0.180139
2021-08-09,0.000000000000,898475,0.182400,0.193802
2021-08-08,0.000000000000,1012926,0.191768,0.182400
2021-08-07,0.000000000000,833853,0.184631,0.191768
2021-08-06,0.000000000000,809712,0.196296,0.184631
2021-08-05,0.000000000000,591589,0.187662,0.196296
2021-08-04,0.000000000000,434339,0.185573,0.187662
2021-08-03,0.000000000000,502303,0.186624,0.185573
2021-08-02,0.000000000000,553062,0.178309,0.186624
2021-08-01,0.000000000000,600884,0.185089,0.178309
2021-07-31,0.000000000000,629870,0.189852,0.185089
2021-07-30,0.000000000000,535579,0.199527,0.189852
2021-07-29,0.000000000000,685.36,0.190661,0.199527
2021-07-28,0.000000000000,7122.42,0.192215,0.190661
2021-07-27,0.000000000000,11206.95,0.210702,0.192215
2021-07-26,0.000000000000,97405,0.203230,0.210702
2021-07-25,0.000000000000,106997,0.215315,0.203230
2021-07-24,0.000000000000,81030,0.217228,0.215315
2021-07-23,0.000000000000,77255,0.225100,0.217228
2021-07-22,0.000000000000,103039,0.227770,0.225100
2021-07-21,0.000000000000,118161,0.213969,0.227770
2021-07-20,0.000000000000,213990,0.251460,0.213969
2021-07-19,0.000000000000,117484,0.231057,0.251460
2021-07-18,0.000000000000,136535,0.254643,0.231057
2021-07-17,0.000000000000,311213,0.240752,0.254643
2021-07-16,0.000000000000,165420,0.244367,0.240752
2021-07-15,0.000000000000,165420,0.244367,0.244367
