date,mktcap,vol,open_price,close_price
2021-10-04,32123,39657,0.143387,0.135023
2021-10-03,29570,29879,0.131701,0.143387
2021-10-02,32737,57721,0.144861,0.131701
2021-10-01,25124,53734,0.112897,0.144861
2021-09-30,23888,48171,0.108266,0.112897
2021-09-29,24073,38241,0.108081,0.108266
2021-09-28,27467,40337,0.122391,0.108081
2021-09-27,27130,34144,0.122839,0.122391
2021-09-26,26994,26277,0.121972,0.122839
2021-09-25,27027,40882,0.120857,0.121972
2021-09-24,28443,36836,0.127807,0.120857
2021-09-23,28023,37869,0.125855,0.127807
2021-09-22,26094,42095,0.116472,0.125855
2021-09-21,27088,46942,0.121936,0.116472
2021-09-20,29567,38611,0.133097,0.121936
2021-09-19,29605,39130,0.132697,0.133097
2021-09-18,29532,39649,0.131980,0.132697
2021-09-17,29671,41242,0.133846,0.131980
2021-09-16,30296,43624,0.136868,0.133846
2021-09-15,30184,36592,0.135632,0.136868
2021-09-14,29320,47745,0.132168,0.135632
2021-09-13,29501,41792,0.132886,0.132168
2021-09-12,29202,37944,0.131219,0.132886
2021-09-11,26577,37708,0.119315,0.131219
2021-09-10,31729,34649,0.142138,0.119315
2021-09-09,31428,33193,0.140758,0.142138
2021-09-08,31353,48688,0.141077,0.140758
2021-09-07,31029,49638,0.139878,0.141077
2021-09-06,30594,46459,0.137485,0.139878
2021-09-05,30258,36797,0.135628,0.137485
2021-09-04,28285,38845,0.127530,0.135628
2021-09-03,28294,43977,0.126871,0.127530
2021-09-02,29584,42970,0.133538,0.126871
2021-09-01,28303,48447,0.128804,0.133538
2021-08-31,28423,48050,0.129653,0.128804
2021-08-30,28603,42962,0.130768,0.129653
2021-08-29,28892,32498,0.131164,0.130768
2021-08-28,31167,33205,0.141029,0.131164
2021-08-27,30940,40780,0.140295,0.141029
2021-08-26,32010,40545,0.145442,0.140295
2021-08-25,31683,41212,0.144361,0.145442
2021-08-24,32348,47958,0.147032,0.144361
2021-08-23,32942,38346,0.150374,0.147032
2021-08-22,30838,36536,0.140368,0.150374
2021-08-21,31831,43796,0.144001,0.140368
2021-08-20,31454,44062,0.144504,0.144001
2021-08-19,29980,44620,0.136067,0.144504
2021-08-18,30545,44097,0.138596,0.136067
2021-08-17,33375,47551,0.152061,0.138596
2021-08-16,31556,36831,0.143441,0.152061
2021-08-15,34721,48048,0.157715,0.143441
2021-08-14,33527,45390,0.153093,0.157715
2021-08-13,46081,48389,0.209716,0.153093
2021-08-12,50532,44945,0.229806,0.209716
2021-08-11,52874,63511,0.244563,0.229806
2021-08-10,26748,33058,0.123535,0.244563
2021-08-09,25836,37531,0.117906,0.123535
2021-08-08,28540,41006,0.131603,0.117906
2021-08-07,27518,42726,0.126607,0.131603
2021-08-06,26727,43371,0.122810,0.126607
2021-08-05,31454,38032,0.144026,0.122810
2021-08-04,30699,39171,0.140355,0.144026
2021-08-03,30120,39529,0.138357,0.140355
2021-08-02,32711,35062,0.150660,0.138357
2021-08-01,37550,34149,0.173958,0.150660
2021-07-31,39820,37833,0.184027,0.173958
2021-07-30,38888,29618,0.179720,0.184027
2021-07-29,38300,29635,0.177317,0.179720
2021-07-28,37589,36890,0.173547,0.177317
2021-07-27,36138,55235,0.166203,0.173547
2021-07-26,35127,41762,0.162523,0.166203
2021-07-25,36009,39000,0.166247,0.162523
2021-07-24,40003,31148,0.186098,0.166247
2021-07-23,49572,1826.19,0.229548,0.186098
2021-07-22,26885,24.95,0.123229,0.229548
2021-07-21,27000,47.95,0.126191,0.123229
2021-07-20,25437,456.07,0.119218,0.126191
2021-07-19,25619,3123.62,0.110445,0.119218
2021-07-18,31437,107.61,0.147113,0.110445
2021-07-17,26618,4.99,0.124760,0.147113
2021-07-16,26612,0.578690,0.122739,0.124760
2021-07-15,27263,17.77,0.127708,0.122739
2021-07-14,30051,15.47,0.140125,0.127708
2021-07-13,29724,2.69,0.139509,0.140125
2021-07-12,31821,8.02,0.143469,0.139509
2021-07-11,31492,15.40,0.141063,0.143469
2021-07-10,32135,46.62,0.149295,0.141063
2021-07-09,34404,363.60,0.158116,0.149295
2021-07-08,29114,160.39,0.136420,0.158116
2021-07-07,34911,2723.51,0.163732,0.136420
2021-07-06,38473,666.43,0.180570,0.163732
2021-07-05,37844,1381.24,0.176688,0.180570
2021-07-04,41081,1351.26,0.250456,0.176688
2021-07-03,29560,18.33,0.140372,0.250456
2021-07-02,29594,202.91,0.140037,0.140372
2021-07-01,31109,7043.59,0.147756,0.140037
2021-06-30,30041,12660.75,0.142307,0.147756
2021-06-29,39206,10070.04,0.163028,0.142307
2021-06-28,31698,18476.30,0.201021,0.163028
2021-06-27,37933,5230.68,0.180589,0.201021
2021-06-26,34713,6400.20,0.166884,0.180589
2021-06-25,62533,13749.88,0.300904,0.166884
2021-06-24,33240,2766.25,0.160247,0.300904
2021-06-23,33291,18350.09,0.160513,0.160247
2021-06-22,25056,5151.10,0.121327,0.160513
2021-06-21,30927,1819.35,0.150306,0.121327
2021-06-20,28914,5738.81,0.140403,0.150306
2021-06-19,30736,15827.46,0.150189,0.140403
2021-06-18,38767,2979.50,0.188832,0.150189
2021-06-17,30436,2885.74,0.148368,0.188832
2021-06-16,53336,4159.81,0.260805,0.148368
2021-06-15,55342,40760,0.270876,0.260805
2021-06-14,46475,9478.34,0.230853,0.270876
2021-06-13,48542,13715.64,0.241035,0.230853
2021-06-12,46080,13932.28,0.228477,0.241035
2021-06-11,46206,14121.99,0.229235,0.228477
2021-06-10,52622,12309.88,0.261997,0.229235
2021-06-09,60000,17129.17,0.297530,0.261997
2021-06-08,62838,19632.69,0.312489,0.297530
2021-06-07,60691,13480.48,0.301278,0.312489
2021-06-06,45791,14412.69,0.227517,0.301278
2021-06-05,31670,18357.87,0.157353,0.227517
2021-06-04,47684,8439.56,0.206710,0.157353
2021-06-03,67208,1657.96,0.339412,0.206710
2021-06-02,65540,20978,0.331308,0.339412
2021-06-01,71796,29874,0.362873,0.331308
2021-05-31,76648,18507.51,0.388591,0.362873
2021-05-30,77427,36099,0.388344,0.388591
2021-05-29,86053,46682,0.437169,0.388344
2021-05-28,85904,40909,0.436635,0.437169
2021-05-27,71332,43619,0.489822,0.436635
2021-05-26,88911,8668.31,0.408029,0.489822
2021-05-25,226832,2488.35,0.991102,0.408029
2021-05-24,50847,4.36,0.238036,0.991102
2021-05-23,51555,34.36,0.269696,0.238036
2021-05-22,58950,8.67,0.319968,0.269696
2021-05-21,61317,60.85,0.320488,0.319968
2021-05-20,82601,3.29,0.341764,0.320488
2021-05-19,83998,17.79,0.439305,0.341764
2021-05-18,81759,53.50,0.410678,0.439305
2021-05-17,81759,53.50,0.410678,0.410678
2021-05-01,94590,40953,0.497343,0.410678
2021-04-30,91299,40797,0.480148,0.497343
2021-04-29,94923,50056,0.499464,0.480148
2021-04-28,96696,29984,0.508571,0.499464
2021-04-27,96415,81088,0.507349,0.508571
2021-04-26,96577,62329,0.508390,0.507349
2021-04-25,96327,20224,0.515536,0.508390
2021-04-24,97904,65662,0.527963,0.515536
2021-04-23,97570,68537,0.528810,0.527963
2021-04-22,98441,28625,0.532194,0.528810
2021-04-21,104333,8212.86,0.563839,0.532194
2021-04-20,100874,14491.85,0.545397,0.563839
2021-04-19,122425,75117,0.601152,0.545397
2021-04-18,115312,43202,0.652446,0.601152
2021-04-17,111824,111733,0.606965,0.652446
2021-04-16,155212,42037,0.636225,0.606965
2021-04-15,133578,55142,0.739112,0.636225
2021-04-14,76213,66135,0.492246,0.739112
2021-04-13,74288,64598,0.557338,0.492246
2021-04-12,74007,7814.87,0.480312,0.557338
2021-04-11,71769,9516.00,0.466207,0.480312
2021-04-10,71769,9516.00,0.466207,0.466207
2021-04-09,95196,58694,0.616107,0.466207
2021-04-08,93035,50439,0.602573,0.616107
2021-04-07,89412,3.41,0.580163,0.602573
2021-04-06,81793,13.82,0.548823,0.580163
2021-04-05,81620,24361,0.529523,0.548823
2021-04-04,80401,62475,0.638882,0.529523
2021-04-03,95763,49091,0.582919,0.638882
2021-04-02,99406,60918,0.653296,0.582919
2021-04-01,94939,51926,0.623669,0.653296
2021-03-31,123385,58567,0.811620,0.623669
2021-03-30,123664,107467,0.821436,0.811620
2021-03-29,91016,48896,0.616630,0.821436
2021-03-28,110072,73448,0.779084,0.616630
2021-03-27,108464,44368,0.770729,0.779084
2021-03-26,107552,102957,0.761388,0.770729
2021-03-25,123168,69705,0.608023,0.761388
2021-03-24,150963,82882,1.08,0.608023
2021-03-23,150664,178840,1.07,1.08
2021-03-22,152720,127400,1.08,1.07
2021-03-21,134458,107771,1.09,1.08
2021-03-20,151601,69363,1.08,1.09
2021-03-19,130647,130965,1.28,1.08
2021-03-18,180088,110502,1.03,1.28
2021-03-17,180225,132106,1.26,1.03
2021-03-16,172384,138309,1.23,1.26
2021-03-15,141752,90201,1.20,1.23
2021-03-14,163976,138178,1.23,1.20
2021-03-13,168209,78841,1.18,1.23
2021-03-12,153737,25251,1.15,1.18
2021-03-11,153783,27943,1.21,1.15
2021-03-10,170861,51260,1.25,1.21
2021-03-09,161632,50562,1.22,1.25
2021-03-08,168231,66488,1.30,1.22
2021-03-07,162708,40954,1.27,1.30
2021-03-06,161129,58775,1.27,1.27
