date,mktcap,vol,open_price,close_price
2021-10-04,1691166,3235.29,0.106909,0.104014
2021-10-03,1706000,3698.67,0.110042,0.106909
2021-10-02,1646933,11950.73,0.106606,0.110042
2021-10-01,1648299,298.91,0.104033,0.106606
2021-09-30,1553159,11460.14,0.098668,0.104033
2021-09-29,1655196,4099.12,0.104158,0.098668
2021-09-28,1751228,4075.62,0.108972,0.104158
2021-09-27,1774647,4209.17,0.111307,0.108972
2021-09-26,1755554,4098.11,0.108371,0.111307
2021-09-25,1816790,8859.04,0.112663,0.108371
2021-09-24,1845309,2764.89,0.116121,0.112663
2021-09-23,1764364,8725.94,0.111424,0.116121
2021-09-22,1581500,4759.84,0.099520,0.111424
2021-09-21,1715781,3955.19,0.105735,0.099520
2021-09-20,1871190,8027.44,0.115098,0.105735
2021-09-19,1919088,3718.10,0.121343,0.115098
2021-09-18,1923070,5832.41,0.118731,0.121343
2021-09-17,1920901,1588.54,0.121421,0.118731
2021-09-16,1942419,2170.00,0.123784,0.121421
2021-09-15,1799477,4609.51,0.114052,0.123784
2021-09-14,1758867,4488.12,0.110463,0.114052
2021-09-13,1900874,5626.20,0.119618,0.110463
2021-09-12,1810461,3925.62,0.114685,0.119618
2021-09-11,1786373,3437.49,0.112983,0.114685
2021-09-10,1879306,5598.57,0.118085,0.112983
2021-09-09,1885281,6164.86,0.116806,0.118085
2021-09-08,1890211,5455.43,0.113405,0.116806
2021-09-07,2201615,9114.10,0.136510,0.113405
2021-09-06,2285403,5371.80,0.143435,0.136510
2021-09-05,2291900,1826.04,0.145055,0.143435
2021-09-04,2366187,2771.95,0.147384,0.145055
2021-09-03,2293706,9379.66,0.144433,0.147384
2021-09-02,2305431,9002.38,0.145076,0.144433
2021-09-01,2100119,12962.84,0.131964,0.145076
2021-08-31,2082915,8330.56,0.136399,0.131964
2021-08-30,2043044,1981.52,0.128827,0.136399
2021-08-29,2019930,5380.81,0.128108,0.128827
2021-08-28,1989265,6145.42,0.125064,0.128108
2021-08-27,1924860,6125.07,0.120463,0.125064
2021-08-26,1944734,35736,0.122624,0.120463
2021-08-25,1721336,74924,0.108731,0.122624
2021-08-24,2151116,2912.94,0.133902,0.108731
2021-08-23,2059797,40422,0.129022,0.133902
2021-08-22,2398990,5679.85,0.152125,0.129022
2021-08-21,2470859,10341.03,0.153769,0.152125
2021-08-20,2322186,4155.29,0.149517,0.153769
2021-08-19,2329357,4862.52,0.146581,0.149517
2021-08-18,2484569,11455.74,0.148133,0.146581
2021-08-17,2585050,3227.34,0.155905,0.148133
2021-08-16,2560691,6442.39,0.161138,0.155905
2021-08-15,2742531,17280.47,0.164194,0.161138
2021-08-14,2765101,3005.12,0.177039,0.164194
2021-08-13,2602406,3551.80,0.160412,0.177039
2021-08-12,2805143,8795.10,0.170742,0.160412
2021-08-11,2778701,5913.21,0.176240,0.170742
2021-08-10,2784210,30588,0.174820,0.176240
2021-08-09,2647888,37777,0.158906,0.174820
2021-08-08,3070619,4053.26,0.193227,0.158906
2021-08-07,2985902,9238.25,0.189292,0.193227
2021-08-06,2909311,1585.37,0.184075,0.189292
2021-08-05,2836924,3480.39,0.178521,0.184075
2021-08-04,2529665,29638,0.162156,0.178521
2021-08-03,3062881,37694,0.192010,0.162156
2021-08-02,3305338,48412,0.202469,0.192010
2021-08-01,2947897,63816,0.185717,0.202469
