date,mktcap,vol,open_price,close_price
2021-10-04,841507,62569,0.00097071,0.00087532
2021-10-03,792521,49734,0.00092953,0.00097071
2021-10-02,848947,27489,0.00101794,0.00092953
2021-10-01,826857,16971.18,0.00099418,0.00101794
2021-09-30,780883,36469,0.00092811,0.00099418
2021-09-29,845627,34447,0.00100453,0.00092811
2021-09-28,917404,29651,0.00107012,0.00100453
2021-09-27,1025862,180840,0.00117847,0.00107012
2021-09-26,1254985,99719,0.00147394,0.00117847
2021-09-25,1366337,126146,0.00160483,0.00147394
2021-09-24,1434161,96300,0.00168838,0.00160483
2021-09-23,1425547,96515,0.00167446,0.00168838
2021-09-22,1397136,97695,0.00164528,0.00167446
2021-09-21,1435507,101185,0.00168436,0.00164528
2021-09-20,1503230,166161,0.00176052,0.00168436
2021-09-19,1524361,117104,0.00179253,0.00176052
2021-09-18,1556163,98245,0.00181902,0.00179253
2021-09-17,1573549,110086,0.00183653,0.00181902
2021-09-16,1612977,89187,0.00188666,0.00183653
2021-09-15,1600251,87414,0.00187668,0.00188666
2021-09-14,1571423,123456,0.00184189,0.00187668
2021-09-13,1581636,95364,0.00185746,0.00184189
2021-09-12,1562534,120564,0.00183597,0.00185746
2021-09-11,1518859,111807,0.00177948,0.00183597
2021-09-10,1547754,99622,0.00181851,0.00177948
2021-09-09,1560813,95277,0.00182868,0.00181851
2021-09-08,1602804,143207,0.00188446,0.00182868
2021-09-07,1837373,185862,0.00216661,0.00188446
2021-09-06,1895937,97725,0.00223012,0.00216661
2021-09-05,1894028,139803,0.00221485,0.00223012
2021-09-04,1851232,122501,0.00218704,0.00221485
2021-09-03,1845477,152421,0.00216795,0.00218704
2021-09-02,1796621,90449,0.00210676,0.00216795
2021-09-01,1784159,106160,0.00208754,0.00210676
2021-08-31,1791513,111766,0.00210977,0.00208754
2021-08-30,1822089,100415,0.00214288,0.00210977
2021-08-29,1836266,119127,0.00215488,0.00214288
2021-08-28,1886603,140293,0.00220369,0.00215488
2021-08-27,1823794,142167,0.00213910,0.00220369
2021-08-26,1923933,96885,0.00225272,0.00213910
2021-08-25,1977076,100681,0.00232061,0.00225272
2021-08-24,1975557,127879,0.00229915,0.00232061
2021-08-23,2010504,105340,0.00236299,0.00229915
2021-08-22,1972614,109618,0.00231604,0.00236299
2021-08-21,1992392,178355,0.00233063,0.00231604
