date,mktcap,vol,open_price,close_price
2021-10-04,4835078,54629,0.868887,0.826607
2021-10-03,4952321,374471,0.889444,0.868887
2021-10-02,4318337,20358,0.769024,0.889444
2021-10-01,4025542,20830,0.723557,0.769024
2021-09-30,3613189,38324,0.649284,0.723557
2021-09-29,3539495,11061.21,0.636415,0.649284
2021-09-28,3446609,24639,0.627650,0.636415
2021-09-27,3633266,171455,0.645749,0.627650
2021-09-26,2505958,1794.23,0.452504,0.645749
2021-09-25,2542447,6332.73,0.456627,0.452504
2021-09-24,2918984,7408.34,0.523195,0.456627
2021-09-23,2708808,4904.59,0.481169,0.523195
2021-09-22,2708044,4182.92,0.474920,0.481169
2021-09-21,2861449,56966,0.512574,0.474920
2021-09-20,2703886,59724,0.483777,0.512574
2021-09-19,2753018,12713.65,0.494446,0.483777
2021-09-18,2782813,32285,0.499797,0.494446
2021-09-17,3251883,20434,0.588448,0.499797
2021-09-16,3247323,26268,0.583224,0.588448
2021-09-15,3230929,43404,0.580280,0.583224
2021-09-14,3035738,24610,0.546253,0.580280
2021-09-13,2999509,31309,0.543308,0.546253
2021-09-12,2440074,21715,0.438272,0.543308
2021-09-11,2383976,22720,0.416363,0.438272
2021-09-10,2571454,42093,0.465189,0.416363
2021-09-09,2639884,55459,0.484968,0.465189
2021-09-08,2142716,55012,0.381402,0.484968
2021-09-07,3190323,16830.13,0.570662,0.381402
2021-09-06,3379970,24782,0.613416,0.570662
2021-09-05,3271653,8007.27,0.603457,0.613416
2021-09-04,3574570,10478.51,0.635714,0.603457
2021-09-03,3810430,11092.79,0.679530,0.635714
2021-09-02,3919887,48772,0.666276,0.679530
2021-09-01,3595180,12546.25,0.652691,0.666276
2021-08-31,3727897,23810,0.679474,0.652691
2021-08-30,3485673,125076,0.646288,0.679474
2021-08-29,3294355,10375.58,0.589549,0.646288
2021-08-28,3635571,3745.35,0.652954,0.589549
2021-08-27,3545437,23433,0.641764,0.652954
2021-08-26,3792364,24194,0.674706,0.641764
2021-08-25,3590449,29533,0.643401,0.674706
2021-08-24,4153531,169748,0.745561,0.643401
2021-08-23,3774093,165113,0.691846,0.745561
2021-08-22,3019548,29954,0.540182,0.691846
2021-08-21,3099912,94962,0.530359,0.540182
2021-08-20,2184341,2171.59,0.398426,0.530359
2021-08-19,2212211,9626.45,0.395926,0.398426
2021-08-18,2097019,40918,0.405923,0.395926
2021-08-17,2196331,157619,0.403156,0.405923
2021-08-16,1738652,4094.06,0.324295,0.403156
2021-08-15,1826824,3759.80,0.326969,0.324295
2021-08-14,1887728,15641.91,0.339039,0.326969
2021-08-13,1630462,5370.58,0.293958,0.339039
2021-08-12,1743036,3794.24,0.309364,0.293958
2021-08-11,1641277,1894.39,0.297325,0.309364
2021-08-10,1676718,5210.93,0.306495,0.297325
2021-08-09,1704275,23897,0.306334,0.306495
2021-08-08,1692158,16065.76,0.303914,0.306334
2021-08-07,1815516,6929.25,0.320478,0.303914
2021-08-06,1775340,4429.71,0.319358,0.320478
2021-08-05,1712575,43259,0.307581,0.319358
2021-08-04,1550641,7224.31,0.276138,0.307581
2021-08-03,1723747,3650.22,0.302633,0.276138
2021-08-02,1730658,465.66,0.310442,0.302633
2021-08-01,1708024,16321.35,0.306764,0.310442
2021-07-31,1727572,9846.55,0.310716,0.306764
2021-07-30,1758237,9937.89,0.317134,0.310716
2021-07-29,1666755,34554,0.299352,0.317134
2021-07-28,1560466,773.98,0.281955,0.299352
2021-07-27,1517132,45917,0.271449,0.281955
2021-07-26,1416399,25185,0.255474,0.271449
2021-07-25,1377329,53635,0.247927,0.255474
2021-07-24,1241901,354.79,0.229474,0.247927
2021-07-23,1207220,6209.49,0.217471,0.229474
2021-07-22,1279885,80657,0.223489,0.217471
2021-07-21,1017632,10001.91,0.182348,0.223489
2021-07-20,1080296,3222.90,0.193547,0.182348
2021-07-19,1104771,4238.71,0.195635,0.193547
2021-07-18,1113423,12323.75,0.199590,0.195635
2021-07-17,1192828,10468.36,0.218737,0.199590
2021-07-16,1332801,15393.66,0.239154,0.218737
2021-07-15,1448404,7546.18,0.255278,0.239154
2021-07-14,1335907,23642,0.239689,0.255278
2021-07-13,1489447,11938.08,0.267913,0.239689
2021-07-12,1458178,9026.44,0.261891,0.267913
2021-07-11,1375138,6591.51,0.246977,0.261891
2021-07-10,1251730,2621.65,0.224813,0.246977
2021-07-09,1305889,15437.53,0.235914,0.224813
2021-07-08,1470084,2076.75,0.264029,0.235914
2021-07-07,1480535,9131.74,0.261812,0.264029
2021-07-06,1545209,4345.20,0.277522,0.261812
2021-07-05,1538155,16033.29,0.276255,0.277522
2021-07-04,1651091,3134.45,0.296538,0.276255
2021-07-03,1575369,11122.75,0.284665,0.296538
2021-07-02,1534685,10319.77,0.278365,0.284665
2021-07-01,1596786,4173.33,0.286974,0.278365
2021-06-30,1640556,13083.82,0.294849,0.286974
2021-06-29,1530350,10115.51,0.278339,0.294849
2021-06-28,1275099,1990.36,0.229010,0.278339
2021-06-27,1211904,5467.79,0.220008,0.229010
2021-06-26,1186340,10837.96,0.213068,0.220008
2021-06-25,1283233,14595.37,0.230584,0.213068
2021-06-24,1376817,1825.89,0.248851,0.230584
2021-06-23,1364472,1585.40,0.243291,0.248851
2021-06-22,1428358,2118.17,0.250063,0.243291
2021-06-21,1673261,10637.28,0.303373,0.250063
2021-06-20,1693619,36432,0.300787,0.303373
2021-06-19,1663594,8760.90,0.303325,0.300787
2021-06-18,1794532,11050.28,0.326876,0.303325
2021-06-17,1685943,1220.62,0.302798,0.326876
2021-06-16,1821798,9530.27,0.322642,0.302798
2021-06-15,1796822,20776,0.324669,0.322642
