date,mktcap,vol,open_price,close_price
2021-10-04,4408230,10321.74,0.249594,0.273222
2021-10-03,3462045,15487.32,0.197831,0.249594
2021-10-02,3369044,7848.62,0.192517,0.197831
2021-10-01,3322228,9083.44,0.180735,0.192517
2021-09-30,3220505,7793.59,0.183114,0.180735
2021-09-29,3831448,19571.96,0.215628,0.183114
2021-09-28,3677509,17823.25,0.210143,0.215628
2021-09-27,3898073,2754.75,0.208600,0.210143
2021-09-26,3852917,8361.54,0.220642,0.208600
2021-09-25,3940872,6487.59,0.225388,0.220642
2021-09-24,4155746,9800.13,0.237471,0.225388
2021-09-23,4117143,13200.90,0.235665,0.237471
2021-09-22,3928423,5978.81,0.223557,0.235665
2021-09-21,4206531,7691.49,0.241268,0.223557
2021-09-20,5092434,5242.78,0.282336,0.241268
2021-09-19,4823282,2356.30,0.274892,0.282336
2021-09-18,4874214,10578.64,0.276897,0.274892
2021-09-17,5647660,15788.62,0.321038,0.276897
2021-09-16,5562330,29858,0.317952,0.321038
2021-09-15,5520366,32667,0.316299,0.317952
2021-09-14,5515405,33648,0.315667,0.316299
2021-09-13,5739751,7518.30,0.328198,0.315667
2021-09-12,5755115,16321.12,0.329106,0.328198
2021-09-11,5707946,16834.45,0.324603,0.329106
2021-09-10,6069020,13517.12,0.345125,0.324603
2021-09-09,6160420,41174,0.350889,0.345125
2021-09-08,5811475,40153,0.331646,0.350889
2021-09-07,6612968,39025,0.379035,0.331646
2021-09-06,6673888,14569.08,0.381931,0.379035
2021-09-05,6513477,38928,0.371298,0.381931
2021-09-04,6510497,27902,0.374596,0.371298
2021-09-03,6761939,70712,0.386396,0.374596
2021-09-02,6705679,50300,0.384840,0.386396
2021-09-01,6709094,25672,0.383377,0.384840
2021-08-31,6944015,2662.89,0.380457,0.383377
2021-08-30,6774815,13685.59,0.387769,0.380457
2021-08-29,6978123,7688.60,0.405982,0.387769
2021-08-28,6944534,23666,0.399109,0.405982
2021-08-27,6887460,33320,0.395537,0.399109
2021-08-26,7120569,27573,0.406890,0.395537
2021-08-25,6971013,41125,0.396201,0.406890
2021-08-24,7003532,62042,0.399607,0.396201
2021-08-23,7438391,112395,0.426637,0.399607
2021-08-22,6571626,48929,0.372235,0.426637
2021-08-21,6289990,33077,0.359013,0.372235
2021-08-20,5996699,27137,0.339204,0.359013
2021-08-19,5719144,49047,0.326808,0.339204
2021-08-18,5664128,20341,0.320956,0.326808
2021-08-17,5733408,35040,0.327889,0.320956
2021-08-16,5943865,21154,0.339453,0.327889
2021-08-15,6038106,43121,0.345759,0.339453
2021-08-14,6099229,60364,0.350406,0.345759
2021-08-13,5743567,43562,0.326783,0.350406
2021-08-12,5902655,41696,0.337653,0.326783
2021-08-11,5450025,43144,0.311077,0.337653
2021-08-10,5822286,27097,0.333845,0.311077
2021-08-09,6151933,26468,0.345470,0.333845
2021-08-08,6511552,36040,0.375771,0.345470
