date,mktcap,vol,open_price,close_price
2021-10-04,29306120,1094705,0.278182,0.257996
2021-10-03,30462147,2001206,0.289424,0.278182
2021-10-02,30576861,1988450,0.290227,0.289424
2021-10-01,28186178,1535868,0.267958,0.290227
2021-09-30,27875673,1677267,0.265409,0.267958
2021-09-29,28553311,1319711,0.270896,0.265409
2021-09-28,27933705,926677,0.265532,0.270896
2021-09-27,23624906,784252,0.224907,0.265532
2021-09-26,23674544,2376884,0.233939,0.224907
2021-09-25,26767258,3085481,0.286495,0.233939
2021-09-24,16422252,1097383,0.153364,0.286495
2021-09-23,12124498,961029,0.112825,0.153364
2021-09-22,9684328,324329,0.092557,0.112825
2021-09-21,9102805,654970,0.088199,0.092557
2021-09-20,10591825,516563,0.102790,0.088199
2021-09-19,10294242,549166,0.100401,0.102790
2021-09-18,9057395,347106,0.087584,0.100401
2021-09-17,8027430,144564,0.077784,0.087584
2021-09-16,8599986,254179,0.083619,0.077784
2021-09-15,8122651,167200,0.079535,0.083619
2021-09-14,8286674,183938,0.082429,0.079535
2021-09-13,8936298,167246,0.088454,0.082429
2021-09-12,8333373,126062,0.082126,0.088454
2021-09-11,8267506,328776,0.081595,0.082126
2021-09-10,0.000000000000,747683,0.083112,0.081595
2021-09-09,0.000000000000,927755,0.079847,0.083112
2021-09-08,0.000000000000,1701329,0.052286,0.079847
2021-09-07,0.000000000000,4353212,0.092133,0.052286
2021-09-06,0.000000000000,4353212,0.092133,0.092133
