date,mktcap,vol,open_price,close_price
2021-10-04,8580878,362800,0.079815,0.082652
2021-10-03,8134316,132880,0.075984,0.079815
2021-10-02,8435891,63053,0.078222,0.075984
2021-10-01,7555272,61241,0.070363,0.078222
2021-09-30,7339367,2987506,0.068376,0.070363
2021-09-29,7221059,112696,0.067078,0.068376
2021-09-28,7194979,309500,0.066938,0.067078
2021-09-27,7971522,31560,0.074108,0.066938
2021-09-26,7613738,45240,0.070747,0.074108
2021-09-25,7586054,219307,0.070367,0.070747
2021-09-24,7862613,85306,0.073198,0.070367
2021-09-23,7747783,226275,0.072071,0.073198
2021-09-22,7147373,180842,0.065763,0.072071
2021-09-21,7789347,608731,0.072502,0.065763
2021-09-20,8968039,345415,0.083424,0.072502
2021-09-19,9529357,336992,0.088506,0.083424
2021-09-18,9049613,64609,0.083836,0.088506
2021-09-17,9316534,379021,0.086665,0.083836
2021-09-16,9473194,165782,0.088469,0.086665
2021-09-15,9262517,160237,0.086102,0.088469
2021-09-14,9191153,457133,0.085316,0.086102
2021-09-13,9800827,273008,0.090805,0.085316
2021-09-12,8430936,64387,0.078325,0.090805
2021-09-11,8020217,40835,0.074273,0.078325
2021-09-10,7928423,29659,0.073729,0.074273
2021-09-09,7801386,136518,0.072347,0.073729
2021-09-08,8425943,346470,0.075134,0.072347
2021-09-07,9262716,190820,0.086317,0.075134
2021-09-06,9391029,206428,0.085614,0.086317
2021-09-05,9790761,329084,0.090577,0.085614
2021-09-04,10109561,430445,0.091850,0.090577
2021-09-03,11972463,505649,0.113390,0.091850
2021-09-02,13410481,372164,0.124771,0.113390
2021-09-01,12085375,762417,0.112420,0.124771
2021-08-31,13948329,685485,0.129488,0.112420
2021-08-30,14474523,961660,0.134418,0.129488
2021-08-29,15201625,986751,0.141618,0.134418
2021-08-28,16348320,1346295,0.149778,0.141618
2021-08-27,14750528,1678266,0.137231,0.149778
2021-08-26,13193946,1099659,0.123961,0.137231
2021-08-25,11781021,2044332,0.109621,0.123961
2021-08-24,11202297,1204524,0.104165,0.109621
2021-08-23,12643490,1214662,0.117628,0.104165
2021-08-22,13576714,4842610,0.124722,0.117628
2021-08-21,17302355,3970088,0.160981,0.124722
2021-08-20,24387306,12412721,0.233187,0.160981
2021-08-19,14686595,8392397,0.136761,0.233187
2021-08-18,7563718,832897,0.070369,0.136761
2021-08-17,6739269,1178595,0.062442,0.070369
2021-08-16,5588664,736000,0.051952,0.062442
2021-08-15,5368000,2199705,0.04992261,0.051952
2021-08-14,4811803,1393135,0.04481872,0.04992261
2021-08-13,2997868,102371,0.02807960,0.04481872
2021-08-12,3284283,246281,0.03084404,0.02807960
2021-08-11,2958329,266446,0.02773040,0.03084404
2021-08-10,2877929,307183,0.02677472,0.02773040
2021-08-09,2727343,369736,0.02537375,0.02677472
2021-08-08,2813391,435286,0.02711648,0.02537375
2021-08-07,2554987,362863,0.02376438,0.02711648
2021-08-06,2517180,373301,0.02351443,0.02376438
2021-08-05,2404220,329581,0.02231029,0.02351443
2021-08-04,2283348,322889,0.02151490,0.02231029
2021-08-03,2301982,317654,0.02138596,0.02151490
2021-08-02,2309216,318832,0.02148439,0.02138596
2021-08-01,2351221,335802,0.02211279,0.02148439
2021-07-31,2263366,308790,0.02123581,0.02211279
2021-07-30,2274623,296980,0.02116189,0.02123581
2021-07-29,2200209,147723,0.02046958,0.02116189
2021-07-28,2271624,68183,0.02121964,0.02046958
2021-07-27,2249874,92872,0.02085173,0.02121964
2021-07-26,2113152,56757,0.01979946,0.02085173
2021-07-25,2343866,60515,0.02158160,0.01979946
2021-07-24,2220999,59508,0.02065773,0.02158160
2021-07-23,2111528,61310,0.01964454,0.02065773
2021-07-22,2074288,67832,0.01951305,0.01964454
2021-07-21,1893245,69681,0.01752066,0.01951305
2021-07-20,1976809,51536,0.01835938,0.01752066
2021-07-19,2109269,68745,0.01962551,0.01835938
2021-07-18,2194456,89324,0.02041606,0.01962551
2021-07-17,2150089,55712,0.01937262,0.02041606
2021-07-16,2104694,54280,0.01956263,0.01937262
2021-07-15,2128099,87908,0.01968371,0.01956263
2021-07-14,2148869,75787,0.01992304,0.01968371
2021-07-13,2355827,81303,0.02199861,0.01992304
2021-07-12,2766381,59733,0.02576504,0.02199861
2021-07-11,2584807,102020,0.02429640,0.02576504
2021-07-10,2662924,101883,0.02454966,0.02429640
2021-07-09,2925460,118862,0.02723966,0.02454966
2021-07-08,2894661,221476,0.02771266,0.02723966
2021-07-07,3236843,364015,0.02968294,0.02771266
2021-07-06,2864108,348488,0.02664614,0.02968294
2021-07-05,3057875,358383,0.02781809,0.02664614
2021-07-04,2863687,331924,0.02671039,0.02781809
2021-07-03,3069248,361700,0.02887340,0.02671039
2021-07-02,2866384,332791,0.02662998,0.02887340
2021-07-01,3333016,395192,0.03069694,0.02662998
2021-06-30,2802979,353750,0.02589658,0.03069694
2021-06-29,2744489,394940,0.02534191,0.02589658
2021-06-28,2357201,319681,0.02172507,0.02534191
2021-06-27,2122481,299309,0.01973334,0.02172507
2021-06-26,2145187,278786,0.02006698,0.01973334
2021-06-25,2245843,268958,0.02160378,0.02006698
2021-06-24,2257812,360114,0.02089137,0.02160378
2021-06-23,2169073,308288,0.02076235,0.02089137
2021-06-22,2566579,339709,0.02412088,0.02076235
2021-06-21,3186824,383493,0.02932215,0.02412088
2021-06-20,2995550,364825,0.02725243,0.02932215
2021-06-19,3197150,448378,0.03065151,0.02725243
2021-06-18,3484014,421609,0.03273639,0.03065151
2021-06-17,3525288,435998,0.03331291,0.03273639
2021-06-16,3893195,440041,0.03644740,0.03331291
2021-06-15,3583150,399242,0.03410449,0.03644740
2021-06-14,3587058,402367,0.03352919,0.03410449
2021-06-13,3453966,452120,0.03223907,0.03352919
