date,mktcap,vol,open_price,close_price
2021-10-04,1846288,2246.84,1.12,1.12
2021-10-03,1859911,4582.69,1.12,1.12
2021-10-02,1316470,137.72,0.795756,1.12
2021-10-01,1205450,810.12,0.728649,0.795756
2021-09-30,1090149,2467.00,0.658954,0.728649
2021-09-29,1760927,16493.72,1.06,0.658954
2021-09-28,1814015,31112,1.09,1.06
2021-09-27,1230858,28747,1.12,1.09
2021-09-26,1299946,2538.73,0.785768,1.12
2021-09-25,1845352,21374,1.10,0.785768
2021-09-24,1859193,82496,1.12,1.10
2021-09-23,1837834,44122,1.11,1.12
2021-09-22,1326555,505.33,0.800640,1.11
2021-09-21,1816612,19179.39,1.10,0.800640
2021-09-20,1830732,50530,1.10,1.10
2021-09-19,1781396,31985,1.08,1.10
2021-09-18,1859701,2.24,1.12,1.08
2021-09-17,1847747,107869,1.12,1.12
2021-09-16,1852087,58344,1.10,1.12
2021-09-15,1929326,62870,1.18,1.10
2021-09-14,1907458,106792,1.15,1.18
2021-09-13,1895411,149909,1.15,1.15
2021-09-12,1887372,145244,1.15,1.15
2021-09-11,1076176,2711.04,0.640971,1.15
2021-09-10,1897765,214020,1.15,0.640971
2021-09-09,949681,1294.65,0.573205,1.15
2021-09-08,1906307,150889,1.15,0.573205
2021-09-07,1870522,223326,1.13,1.15
2021-09-06,1618549,8273.16,0.975725,1.13
2021-09-05,1739048,15587.85,1.05,0.975725
2021-09-04,1128469,354.91,0.675351,1.05
2021-09-03,2009811,48299,1.22,0.675351
2021-09-02,1518477,7566.44,0.797255,1.22
2021-09-01,2096124,60828,1.27,0.797255
2021-08-31,2085587,87860,1.27,1.27
2021-08-30,1138917,2182.76,0.691275,1.27
2021-08-29,1017452,1340.30,0.615339,0.691275
2021-08-28,2047902,119108,1.25,0.615339
2021-08-27,2087571,191718,1.26,1.25
2021-08-26,1936794,282023,1.17,1.26
2021-08-25,1639304,372711,0.991798,1.17
2021-08-24,719047,4699.61,0.435255,0.991798
2021-08-23,1568314,540983,0.981052,0.435255
2021-08-22,1623953,244239,0.982574,0.981052
2021-08-21,1576335,267749,0.953534,0.982574
2021-08-20,1638838,421498,1.01,0.953534
2021-08-19,1633652,358919,0.988210,1.01
2021-08-18,683301,69400,0.601252,0.988210
2021-08-17,1571959,609769,1.15,0.601252
2021-08-16,1736807,128265,1.07,1.15
2021-08-15,1959903,249789,1.19,1.07
