date,mktcap,vol,open_price,close_price
2021-10-04,2125581416,27066,110.24,204.66
2021-10-03,2125581416,27066,110.24,110.24
2021-10-02,3860858570,91985,211.22,110.24
2021-10-01,3682950634,118604,198.09,211.22
2021-09-30,4872057769,487327587,259.29,198.09
2021-09-29,4992329531,1300043276,268.17,259.29
2021-09-28,4601753079,454433231,244.40,268.17
2021-09-27,4466449962,248174346,236.55,244.40
2021-09-26,4278484996,91622059,227.56,236.55
2021-09-25,4268253419,231005100,226.09,227.56
2021-09-24,4581818127,211791152,243.54,226.09
2021-09-23,4509891994,446858853,241.05,243.54
2021-09-22,3901205095,229237548,210.06,241.05
2021-09-21,4135806781,415051718,221.11,210.06
2021-09-20,4508405461,170740101,239.48,221.11
2021-09-19,4484943172,216380885,239.44,239.48
2021-09-18,4442986893,350508597,237.21,239.44
2021-09-17,4851508265,370104302,257.59,237.21
2021-09-16,5073185389,786544432,269.63,257.59
2021-09-15,4601548155,676223255,245.60,269.63
2021-09-14,4310490392,415815511,228.57,245.60
2021-09-13,4187608556,348593758,222.57,228.57
2021-09-12,4315263347,297871231,229.27,222.57
2021-09-11,4640391457,886245539,248.27,229.27
2021-09-10,4980275061,297402199,265.06,248.27
2021-09-09,5131735500,806954191,271.29,265.06
2021-09-08,4751975660,2960102,248.01,271.29
2021-09-07,5648500796,695588738,298.52,248.01
2021-09-06,5927267185,1079295553,313.31,298.52
2021-09-05,6438465435,7583342,335.96,313.31
2021-09-04,6335815223,13130918,333.91,335.96
2021-09-03,4164777261,1246300955,225.68,333.91
2021-09-02,3447174627,291355210,182.90,225.68
2021-09-01,3397772772,3561317,179.66,182.90
2021-08-31,3223765905,7272088,171.51,179.66
2021-08-30,2998363305,12089139,158.11,171.51
2021-08-29,2959283015,14752772,158.42,158.11
2021-08-28,1811278221,539912468,96.57,158.42
2021-08-27,1443113307,160924223,76.60,96.57
2021-08-26,1477930934,835795807,78.49,76.60
2021-08-25,1404919060,92768837,75.07,78.49
2021-08-24,1501213762,142193265,80.01,75.07
2021-08-23,1528053651,159384070,81.39,80.01
2021-08-22,1598836586,996702240,84.71,81.39
