date,mktcap,vol,open_price,close_price
2021-10-04,5294487,4176.94,0.00051289,0.00053380
2021-10-03,5601643,5608.11,0.00053794,0.00051289
2021-10-02,5708328,7405.57,0.00055931,0.00053794
2021-10-01,5397372,3734.27,0.00052328,0.00055931
2021-09-30,4845846,11490.80,0.00046945,0.00052328
2021-09-29,5271865,9801.08,0.00050301,0.00046945
2021-09-28,5763585,6474.98,0.00055903,0.00050301
2021-09-27,5898468,19314.17,0.00056678,0.00055903
2021-09-26,6440822,17082.79,0.00061983,0.00056678
2021-09-25,6479539,21713,0.00064903,0.00061983
2021-09-24,6143460,16091.52,0.00059784,0.00064903
2021-09-23,5944263,5857.21,0.00057923,0.00059784
2021-09-22,5623964,8386.29,0.00054827,0.00057923
2021-09-21,6145283,16990.28,0.00060134,0.00054827
2021-09-20,7135442,13861.34,0.00067106,0.00060134
2021-09-19,7750988,14310.27,0.00075727,0.00067106
2021-09-18,7019281,24016,0.00068837,0.00075727
2021-09-17,7781278,24745,0.00073707,0.00068837
2021-09-16,8655488,36078,0.00084730,0.00073707
2021-09-15,7283944,49269,0.00071353,0.00084730
2021-09-14,4654817,10529.84,0.00045629,0.00071353
2021-09-13,3919683,6690.47,0.00040960,0.00045629
2021-09-12,4085844,7746.64,0.00040031,0.00040960
2021-09-11,3613036,8124.55,0.00035522,0.00040031
2021-09-10,3463482,14060.76,0.00036868,0.00035522
2021-09-09,3378610,6201.15,0.00033231,0.00036868
2021-09-08,2903832,3595.03,0.00028550,0.00033231
2021-09-07,3433733,2875.52,0.00036662,0.00028550
2021-09-06,3453130,3683.32,0.00034171,0.00036662
2021-09-05,3142541,4383.77,0.00030999,0.00034171
2021-09-04,3097197,4792.96,0.00030690,0.00030999
2021-09-03,3429472,6774.46,0.00033867,0.00030690
2021-09-02,3081540,3330.92,0.00032185,0.00033867
2021-09-01,3206415,4713.05,0.00031696,0.00032185
2021-08-31,3144433,3903.36,0.00031027,0.00031696
2021-08-30,2999160,2898.09,0.00029688,0.00031027
2021-08-29,2836875,2013.17,0.00028117,0.00029688
2021-08-28,2503049,2567.14,0.00024760,0.00028117
2021-08-27,2930944,2428.96,0.00025595,0.00024760
2021-08-26,2630252,6082.51,0.00026122,0.00025595
2021-08-25,2993848,4005.76,0.00029753,0.00026122
2021-08-24,3514782,2984.15,0.00033060,0.00029753
2021-08-23,3045182,4564.07,0.00030305,0.00033060
2021-08-22,3001073,3727.25,0.00029886,0.00030305
2021-08-21,3268776,2050.17,0.00032575,0.00029886
2021-08-20,3053802,2192.40,0.00028504,0.00032575
2021-08-19,3204128,5314.55,0.00031974,0.00028504
2021-08-18,3185400,3437.59,0.00031798,0.00031974
2021-08-17,3268540,2381.67,0.00032459,0.00031798
2021-08-16,3735450,2094.61,0.00037454,0.00032459
2021-08-15,3334032,5055.60,0.00033362,0.00037454
2021-08-14,2899049,3523.94,0.00029082,0.00033362
2021-08-13,2901821,5765.94,0.00028261,0.00029082
2021-08-12,2865155,9818.85,0.00028718,0.00028261
2021-08-11,3469992,6138.01,0.00034818,0.00028718
2021-08-10,3267396,9413.01,0.00038111,0.00034818
2021-08-09,3231177,4409.18,0.00032467,0.00038111
2021-08-08,3143557,3643.24,0.00031608,0.00032467
2021-08-07,3075297,1703.37,0.00030581,0.00031608
2021-08-06,2592333,3080.36,0.00026017,0.00030581
2021-08-05,2388411,1838.69,0.00024012,0.00026017
2021-08-04,2440268,4538.42,0.00024502,0.00024012
2021-08-03,2701937,6296.30,0.00027261,0.00024502
2021-08-02,2347057,5097.93,0.00026261,0.00027261
2021-08-01,2497322,10557.45,0.00027156,0.00026261
2021-07-31,3182459,5377.27,0.00032327,0.00027156
2021-07-30,2791605,3150.96,0.00031072,0.00032327
2021-07-29,2977534,4151.54,0.00030224,0.00031072
2021-07-28,3078496,10138.44,0.00031168,0.00030224
2021-07-27,3407684,3015.96,0.00034441,0.00031168
2021-07-26,3361418,4977.32,0.00034479,0.00034441
2021-07-25,3135835,3765.24,0.00031918,0.00034479
2021-07-24,3285908,5765.32,0.00032558,0.00031918
2021-07-23,2867159,2459.35,0.00030535,0.00032558
2021-07-22,2855205,2666.96,0.00029195,0.00030535
2021-07-21,2650128,6389.69,0.00026979,0.00029195
2021-07-20,2939320,8947.00,0.00029955,0.00026979
2021-07-19,3743595,3438.46,0.00038146,0.00029955
2021-07-18,3748066,5230.28,0.00038222,0.00038146
2021-07-17,3842491,4086.91,0.00038981,0.00038222
2021-07-16,3828351,3266.46,0.00039020,0.00038981
2021-07-15,4215099,5024.91,0.00042998,0.00039020
2021-07-14,4070505,6111.74,0.00041577,0.00042998
2021-07-13,4787335,1857.75,0.00048971,0.00041577
2021-07-12,4381049,3656.37,0.00044570,0.00048971
2021-07-11,4486548,5015.45,0.00045951,0.00044570
2021-07-10,4744492,2643.26,0.00048554,0.00045951
2021-07-09,4517214,8500.58,0.00046407,0.00048554
2021-07-08,4773938,9070.85,0.00048988,0.00046407
2021-07-07,5192873,6273.39,0.00051695,0.00048988
2021-07-06,5547439,2214.26,0.00056898,0.00051695
2021-07-05,5565912,3548.49,0.00057228,0.00056898
2021-07-04,5519267,6036.03,0.00056898,0.00057228
2021-07-03,5596347,7768.33,0.00057736,0.00056898
2021-07-02,5193199,3908.63,0.00053724,0.00057736
2021-07-01,5462685,12830.20,0.00056360,0.00053724
2021-06-30,5678924,5220.74,0.00058440,0.00056360
2021-06-29,5886335,5325.78,0.00060754,0.00058440
2021-06-28,5670170,4495.74,0.00058562,0.00060754
2021-06-27,5712584,18860.87,0.00059033,0.00058562
2021-06-26,4652617,16701.86,0.00048109,0.00059033
2021-06-25,4923652,8332.37,0.00050945,0.00048109
2021-06-24,5163242,12415.34,0.00053895,0.00050945
2021-06-23,4515587,8102.99,0.00046907,0.00053895
2021-06-22,4379381,11123.68,0.00045399,0.00046907
2021-06-21,5411234,1589.26,0.00056133,0.00045399
2021-06-20,5733600,2572.17,0.00054746,0.00056133
2021-06-19,5230946,4576.65,0.00054306,0.00054746
2021-06-18,5424620,12770.12,0.00056699,0.00054306
2021-06-17,5816668,17995.59,0.00060499,0.00056699
2021-06-16,5302292,15538.97,0.00057527,0.00060499
2021-06-15,5021693,6217.95,0.00054645,0.00057527
2021-06-14,5595125,3616.64,0.00054764,0.00054645
2021-06-13,5076311,7809.43,0.00052700,0.00054764
2021-06-12,5198163,6579.55,0.00052448,0.00052700
2021-06-11,4964913,3976.93,0.00050838,0.00052448
2021-06-10,4714737,4237.23,0.00051689,0.00050838
2021-06-09,4520483,2890.93,0.00047280,0.00051689
2021-06-08,4550903,9127.60,0.00047632,0.00047280
2021-06-07,4810597,15628.23,0.00050382,0.00047632
2021-06-06,5754702,3944.44,0.00060339,0.00050382
2021-06-05,6138415,8534.35,0.00064358,0.00060339
2021-06-04,6009823,13698.94,0.00063098,0.00064358
2021-06-03,5816365,7434.20,0.00061085,0.00063098
2021-06-02,5664224,7963.58,0.00059543,0.00061085
2021-06-01,6051091,10590.99,0.00063641,0.00059543
2021-05-31,5809576,6139.92,0.00061157,0.00063641
2021-05-30,6039286,9163.48,0.00063925,0.00061157
2021-05-29,6203814,7147.71,0.00065386,0.00063925
2021-05-28,6585755,3343.86,0.00071352,0.00065386
2021-05-27,6517364,10273.02,0.00066677,0.00071352
2021-05-26,6526089,15203.57,0.00068955,0.00066677
2021-05-25,6645813,12960.22,0.00070179,0.00068955
2021-05-24,6329887,8714.52,0.00066933,0.00070179
2021-05-23,7268171,28869,0.00076865,0.00066933
2021-05-22,5683141,7259.65,0.00060230,0.00076865
2021-05-21,6128392,20845,0.00069130,0.00060230
2021-05-20,6561828,11882.44,0.00069588,0.00069130
2021-05-19,7989609,10252.98,0.00085221,0.00069588
2021-05-18,8816291,16231.12,0.00093166,0.00085221
2021-05-17,9334960,17136.67,0.00099211,0.00093166
2021-05-16,9315538,29123,0.00099074,0.00099211
2021-05-15,8396360,7511.13,0.00089683,0.00099074
2021-05-14,8503012,10842.00,0.00091343,0.00089683
2021-05-13,9704348,53357,0.00089066,0.00091343
2021-05-12,10189301,20609,0.00117641,0.00089066
2021-05-11,8984696,30705,0.00096555,0.00117641
2021-05-10,8704733,39047,0.00093547,0.00096555
2021-05-09,12465350,32953,0.00137809,0.00093547
2021-05-08,14690323,28113,0.00154693,0.00137809
2021-05-07,15235131,47820,0.00163534,0.00154693
2021-05-06,16178505,61157,0.00174136,0.00163534
2021-05-05,15076325,78879,0.00159088,0.00174136
2021-05-04,17950532,59353,0.00177735,0.00159088
2021-05-03,15847448,67364,0.00174677,0.00177735
2021-05-02,16083052,75948,0.00172694,0.00174677
2021-05-01,14554820,54601,0.00147128,0.00172694
2021-04-30,17093189,91176,0.00183895,0.00147128
2021-04-29,16138145,58502,0.00176779,0.00183895
2021-04-28,12959168,59408,0.00142975,0.00176779
2021-04-27,10663118,52165,0.00114921,0.00142975
2021-04-26,6599655,37333,0.00071173,0.00114921
2021-04-25,6960355,31229,0.00074882,0.00071173
2021-04-24,5261668,17016.84,0.00056937,0.00074882
2021-04-23,3887967,6605.55,0.00042116,0.00056937
2021-04-22,3677866,10763.02,0.00040037,0.00042116
2021-04-21,3685367,9207.00,0.00039795,0.00040037
2021-04-20,3460253,3678.47,0.00037532,0.00039795
2021-04-19,3513870,5606.58,0.00038092,0.00037532
2021-04-18,3885729,3829.71,0.00042023,0.00038092
2021-04-17,3600396,11715.68,0.00042680,0.00042023
2021-04-16,3741885,5327.94,0.00040577,0.00042680
2021-04-15,4043758,16973.14,0.00040676,0.00040577
2021-04-14,3145534,13582.07,0.00038268,0.00040676
2021-04-13,3803458,16127.74,0.00046712,0.00038268
2021-04-12,3788918,43002,0.00041233,0.00046712
2021-04-11,3129292,20796,0.00035930,0.00041233
2021-04-10,2704978,13396.51,0.00029437,0.00035930
2021-04-09,9807900,1281.46,0.00137388,0.00029437
2021-04-08,2806347,8972.25,0.00030551,0.00137388
