date,mktcap,vol,open_price,close_price
2021-10-04,1966183,2279.78,0.01178918,0.01169195
2021-10-03,2256548,1521.65,0.01336296,0.01178918
2021-10-02,2163876,3104.23,0.01321097,0.01336296
2021-10-01,2004076,3682.77,0.01202831,0.01321097
2021-09-30,1872257,3294.09,0.01141924,0.01202831
2021-09-29,1879848,2766.26,0.01125068,0.01141924
2021-09-28,1979635,2528.50,0.01160353,0.01125068
2021-09-27,2027144,2374.56,0.01207148,0.01160353
2021-09-26,1951977,1811.45,0.01172580,0.01207148
2021-09-25,1936597,2830.34,0.01169430,0.01172580
2021-09-24,2068567,2446.09,0.01260508,0.01169430
2021-09-23,2037286,2649.61,0.01233664,0.01260508
2021-09-22,1802158,2770.78,0.01078875,0.01233664
2021-09-21,2022561,3186.38,0.01213207,0.01078875
2021-09-20,2839990,1656.52,0.01724705,0.01213207
2021-09-19,3345842,59.89,0.02006157,0.01724705
2021-09-18,3345842,59.89,0.02006157,0.02006157
2021-09-17,2077334,8.66,0.01244614,0.02006157
2021-09-16,2058693,1587.94,0.01239082,0.01244614
2021-09-15,1959118,2524.36,0.01177161,0.01239082
2021-09-14,1901929,3313.43,0.01115406,0.01177161
2021-09-13,1922271,2938.34,0.01175549,0.01115406
2021-09-12,1823068,2397.40,0.01123366,0.01175549
2021-09-11,1795010,2722.22,0.01102931,0.01123366
2021-09-10,1980085,2292.04,0.01156492,0.01102931
2021-09-09,2024848,2265.29,0.01171699,0.01156492
2021-09-08,1926837,3215.76,0.01185608,0.01171699
2021-09-07,2248273,3412.60,0.01352836,0.01185608
2021-09-06,2213311,3167.15,0.01358335,0.01352836
2021-09-05,2234975,2429.76,0.01340084,0.01358335
2021-09-04,2246533,2738.06,0.01350985,0.01340084
2021-09-03,2063815,2648.43,0.01238167,0.01350985
2021-09-02,3224816,2896.32,0.01937753,0.01238167
2021-09-01,2931994,3110.36,0.01721476,0.01937753
2021-08-31,2701345,3317.53,0.01635339,0.01721476
2021-08-30,2727604,2880.75,0.01617925,0.01635339
2021-08-29,2732298,2384.35,0.01638561,0.01617925
2021-08-28,2760591,2142.95,0.01631912,0.01638561
2021-08-27,2607516,2776.96,0.01577308,0.01631912
2021-08-26,2696137,2649.15,0.01662787,0.01577308
2021-08-25,2683822,2390.82,0.01601334,0.01662787
2021-08-24,3197398,3200.78,0.01914744,0.01601334
2021-08-23,3200133,2310.52,0.01870368,0.01914744
2021-08-22,3122962,2421.03,0.01867922,0.01870368
2021-08-21,3228974,2970.75,0.01939753,0.01867922
