date,mktcap,vol,open_price,close_price
2021-10-04,2930434,196092,0.01985794,0.01993483
2021-10-03,2986576,115214,0.02024933,0.01985794
2021-10-02,2922187,322934,0.01988217,0.02024933
2021-10-01,2780318,612466,0.01892294,0.01988217
2021-09-30,2847912,152628,0.01931446,0.01892294
2021-09-29,2808406,274757,0.01909281,0.01931446
2021-09-28,2736890,231840,0.01841341,0.01909281
2021-09-27,2759502,277421,0.01881939,0.01841341
2021-09-26,2748454,116970,0.01866523,0.01881939
2021-09-25,2769563,230845,0.01893545,0.01866523
2021-09-24,2902922,188252,0.01975940,0.01893545
2021-09-23,2760904,212971,0.01881013,0.01975940
2021-09-22,2750356,290615,0.01864946,0.01881013
2021-09-21,2892551,518478,0.01976261,0.01864946
2021-09-20,3156105,239659,0.02151407,0.01976261
2021-09-19,3162613,237288,0.02152626,0.02151407
2021-09-18,3253056,220160,0.02210799,0.02152626
2021-09-17,3288805,249049,0.02249980,0.02210799
2021-09-16,3150658,248956,0.02149778,0.02249980
2021-09-15,3160507,196815,0.02161452,0.02149778
2021-09-14,3169011,528643,0.02157669,0.02161452
2021-09-13,3010949,229672,0.02056856,0.02157669
2021-09-12,3066738,183367,0.02093864,0.02056856
2021-09-11,3049504,236744,0.02083477,0.02093864
2021-09-10,3016622,165336,0.02059898,0.02083477
2021-09-09,3068778,165968,0.02100048,0.02059898
2021-09-08,3419185,377422,0.02337945,0.02100048
2021-09-07,3722108,358702,0.02544347,0.02337945
2021-09-06,3734894,282722,0.02554440,0.02544347
2021-09-05,3797901,199732,0.02600472,0.02554440
2021-09-04,4136625,301232,0.02834428,0.02600472
2021-09-03,3457124,348143,0.02371141,0.02834428
2021-09-02,3521382,277100,0.02413111,0.02371141
2021-09-01,3474019,300064,0.02379473,0.02413111
2021-08-31,3492612,287862,0.02403073,0.02379473
2021-08-30,3588329,265959,0.02463254,0.02403073
2021-08-29,3593673,323023,0.02470092,0.02463254
2021-08-28,3793787,371038,0.02609042,0.02470092
2021-08-27,3586632,378048,0.02459148,0.02609042
2021-08-26,3822556,391361,0.02623264,0.02459148
2021-08-25,3758562,390582,0.02568237,0.02623264
2021-08-24,3865228,505175,0.02645831,0.02568237
2021-08-23,3762862,279872,0.02580648,0.02645831
2021-08-22,3836079,323368,0.02638376,0.02580648
2021-08-21,3803329,398886,0.02620361,0.02638376
2021-08-20,3967737,357960,0.02779957,0.02620361
2021-08-19,4014245,435252,0.02777652,0.02779957
2021-08-18,4055142,372594,0.02816146,0.02777652
2021-08-17,4395186,546261,0.03035030,0.02816146
2021-08-16,4156906,456455,0.02891081,0.03035030
2021-08-15,3885113,1220703,0.02702410,0.02891081
2021-08-14,3808886,655165,0.02646349,0.02702410
2021-08-13,3775698,312360,0.02610889,0.02646349
2021-08-12,3615257,361097,0.02513367,0.02610889
2021-08-11,3835104,350737,0.02663656,0.02513367
2021-08-10,3668135,459565,0.02644862,0.02663656
2021-08-09,3764058,512903,0.02617745,0.02644862
2021-08-08,3761167,611199,0.02594217,0.02617745
2021-08-07,3561465,645161,0.02485090,0.02594217
2021-08-06,3279399,723127,0.02280766,0.02485090
2021-08-05,3461942,533444,0.02399790,0.02280766
2021-08-04,3311243,532053,0.02343005,0.02399790
2021-08-03,3141039,564212,0.02192674,0.02343005
2021-08-02,3125235,522236,0.02185603,0.02192674
2021-08-01,3223728,473601,0.02239633,0.02185603
2021-07-31,3072200,416739,0.02118883,0.02239633
2021-07-30,3013050,407082,0.02127436,0.02118883
2021-07-29,3054120,287342,0.02132813,0.02127436
2021-07-28,3069174,182688,0.02151384,0.02132813
2021-07-27,2960330,851427,0.02233391,0.02151384
2021-07-26,2749618,289679,0.02078590,0.02233391
2021-07-25,2798405,439887,0.02119135,0.02078590
2021-07-24,2442146,287473,0.01849186,0.02119135
2021-07-23,2448251,284692,0.01861383,0.01849186
2021-07-22,2271705,454168,0.01719521,0.01861383
2021-07-21,1950282,356819,0.01476802,0.01719521
2021-07-20,2061874,113788,0.01573918,0.01476802
2021-07-19,2119408,284514,0.01610659,0.01573918
2021-07-18,2105238,205529,0.01587266,0.01610659
2021-07-17,2103075,224891,0.01600233,0.01587266
2021-07-16,2109205,300707,0.01598115,0.01600233
2021-07-15,2130674,245804,0.01622742,0.01598115
2021-07-14,2170177,263344,0.01647505,0.01622742
2021-07-13,2313765,409782,0.01756861,0.01647505
2021-07-12,2387962,281965,0.01814089,0.01756861
2021-07-11,2456671,243663,0.01866892,0.01814089
2021-07-10,2459687,204742,0.01872780,0.01866892
2021-07-09,2491282,250228,0.01905107,0.01872780
2021-07-08,2728696,268595,0.02075626,0.01905107
2021-07-07,2673606,243077,0.02028303,0.02075626
