date,mktcap,vol,open_price,close_price
2021-10-04,447589,3167.16,0.01263069,0.01263294
2021-10-03,441452,2470.42,0.01242819,0.01263069
2021-10-02,569897,3440.27,0.01607746,0.01242819
2021-10-01,597647,4397.42,0.01687999,0.01607746
2021-09-30,593210,6054.62,0.01676105,0.01687999
2021-09-29,599203,3335.34,0.01697283,0.01676105
2021-09-28,498165,3102.80,0.01395281,0.01697283
2021-09-27,583451,2491.94,0.01643199,0.01395281
2021-09-26,605693,5.01,0.01706074,0.01643199
2021-09-25,610127,727.34,0.01703486,0.01706074
2021-09-24,639979,104.65,0.01703396,0.01703486
2021-09-23,639403,190.33,0.01801446,0.01703396
2021-09-22,607685,2420.96,0.01710224,0.01801446
2021-09-21,620972,3326.10,0.01761073,0.01710224
2021-09-20,639034,805.03,0.01803399,0.01761073
2021-09-19,670214,217.98,0.01891325,0.01803399
2021-09-18,1060834,15.77,0.02951834,0.01891325
2021-09-17,982279,507.40,0.03018619,0.02951834
2021-09-16,667036,951.89,0.01930087,0.03018619
2021-09-15,690349,3316.21,0.01949854,0.01930087
2021-09-14,636601,430.92,0.01797890,0.01949854
2021-09-13,519013,1449.79,0.01413991,0.01797890
2021-09-12,501486,1244.04,0.01415230,0.01413991
2021-09-11,506718,3218.98,0.01426159,0.01415230
2021-09-10,650239,3559.36,0.01836359,0.01426159
2021-09-09,622463,2482.30,0.01757131,0.01836359
2021-09-08,822252,5128.24,0.02317468,0.01757131
2021-09-07,474081,3673.07,0.01340016,0.02317468
2021-09-06,474430,3194.65,0.01336602,0.01340016
2021-09-05,522859,3136.23,0.01475547,0.01336602
2021-09-04,536841,3150.97,0.01512911,0.01475547
2021-09-03,575897,3371.94,0.01625333,0.01512911
2021-09-02,664992,3878.90,0.01874262,0.01625333
2021-09-01,666653,5321.78,0.01874982,0.01874262
2021-08-31,451427,466.52,0.01279127,0.01874982
2021-08-30,472343,1479.30,0.01332529,0.01279127
2021-08-29,509933,2170.14,0.01438866,0.01332529
2021-08-28,452297,2166.94,0.01278914,0.01438866
2021-08-27,755243,701.26,0.02136741,0.01278914
2021-08-26,490904,78.90,0.01385863,0.02136741
2021-08-25,489459,2999.90,0.01377746,0.01385863
2021-08-24,495652,4037.86,0.01397648,0.01377746
2021-08-23,468812,1872.54,0.01318307,0.01397648
2021-08-22,496501,3124.20,0.01401160,0.01318307
2021-08-21,469791,3385.08,0.01325131,0.01401160
2021-08-20,530912,1993.36,0.01496637,0.01325131
2021-08-19,467602,2324.80,0.01317899,0.01496637
2021-08-18,519736,3574.66,0.01471464,0.01317899
2021-08-17,459382,3589.39,0.01292543,0.01471464
2021-08-16,499718,3277.74,0.01414834,0.01292543
2021-08-15,457465,3662.03,0.01291078,0.01414834
2021-08-14,602364,4109.64,0.01698721,0.01291078
2021-08-13,573273,3281.71,0.01617817,0.01698721
2021-08-12,846158,6661.89,0.02387920,0.01617817
2021-08-11,598609,3302.16,0.01694237,0.02387920
2021-08-10,552260,2841.15,0.01552439,0.01694237
2021-08-09,354537,1384.24,0.02389714,0.01552439
2021-08-08,1014775,699.42,0.02848441,0.02389714
2021-08-07,887980,17.07,0.02337053,0.02848441
2021-08-06,974686,13.90,0.02746911,0.02337053
2021-08-05,453439,3.74,0.02600650,0.02746911
2021-08-04,925546,172.72,0.02622974,0.02600650
2021-08-03,508024,82.48,0.01439385,0.02622974
2021-08-02,922626,27.17,0.02607038,0.01439385
2021-08-01,620288,5.24,0.01746797,0.02607038
2021-07-31,971049,1.23,0.02740370,0.01746797
2021-07-30,917787,4.46,0.02605484,0.02740370
2021-07-29,910905,0.487923,0.02570639,0.02605484
2021-07-28,836745,3.32,0.02340475,0.02570639
2021-07-27,862613,29.48,0.02500938,0.02340475
2021-07-26,808295,22.35,0.02277612,0.02500938
2021-07-25,702296,69.26,0.01971640,0.02277612
2021-07-24,361231,0.345130,0.01009153,0.01971640
2021-07-23,357858,2.35,0.01010309,0.01009153
2021-07-22,358031,2252.76,0.01012821,0.01010309
2021-07-21,495470,5119.02,0.01397619,0.01012821
2021-07-20,596298,6175.52,0.01685402,0.01397619
2021-07-19,622639,5001.21,0.01761048,0.01685402
2021-07-18,650395,3464.01,0.01835462,0.01761048
2021-07-17,619832,5147.77,0.01749210,0.01835462
2021-07-16,637696,5179.23,0.01795398,0.01749210
2021-07-15,597836,4878.86,0.01690230,0.01795398
2021-07-14,645499,4205.99,0.01700890,0.01690230
2021-07-13,648847,7003.33,0.01823883,0.01700890
2021-07-12,643675,4966.38,0.01819535,0.01823883
2021-07-11,645089,3869.24,0.01824496,0.01819535
2021-07-10,809796,5158.43,0.02284124,0.01824496
2021-07-09,461515,4254.51,0.01307412,0.02284124
2021-07-08,723501,4986.07,0.02038198,0.01307412
2021-07-07,644714,3926.41,0.01818134,0.02038198
2021-07-06,590860,7248.26,0.01665684,0.01818134
2021-07-05,324220,3026.81,0.00913567,0.01665684
2021-07-04,502863,3773.46,0.01416663,0.00913567
2021-07-03,434992,3502.35,0.01224807,0.01416663
2021-07-02,693301,5065.58,0.01953515,0.01224807
2021-07-01,594194,3064.85,0.01674987,0.01953515
2021-06-30,980332,4826.22,0.02760874,0.01674987
2021-06-29,1024313,4770.19,0.02886567,0.02760874
2021-06-28,1040534,4937.73,0.02929911,0.02886567
2021-06-27,805289,4033.38,0.02274579,0.02929911
2021-06-26,1032726,5404.83,0.02929026,0.02274579
2021-06-25,1050331,3962.55,0.02967162,0.02929026
2021-06-24,690164,5.10,0.01947693,0.02967162
2021-06-23,676753,8469.24,0.01912545,0.01947693
2021-06-22,846952,6042.79,0.02203415,0.01912545
2021-06-21,982580,6204.08,0.02768580,0.02203415
2021-06-20,528380,1816.87,0.02044211,0.02768580
2021-06-19,1146463,4142.59,0.03238261,0.02044211
2021-06-18,1100891,4392.28,0.03127608,0.03238261
2021-06-17,1081967,5577.30,0.03053389,0.03127608
2021-06-16,993040,2871.00,0.02805689,0.03053389
2021-06-15,881487,8427.08,0.02485180,0.02805689
2021-06-14,1129706,4058.18,0.03191911,0.02485180
2021-06-13,1143754,4328.82,0.03228670,0.03191911
2021-06-12,1143732,3486.73,0.03227230,0.03228670
2021-06-11,1146414,4561.64,0.03237282,0.03227230
2021-06-10,1191725,5413.85,0.03358160,0.03237282
2021-06-09,1007091,8559.33,0.02837847,0.03358160
2021-06-08,1098600,6259.78,0.03093779,0.02837847
2021-06-07,1239145,4659.18,0.03495217,0.03093779
2021-06-06,985853,4053.23,0.02784496,0.03495217
2021-06-05,981009,5958.23,0.02766261,0.02784496
2021-06-04,876590,4551.92,0.02476117,0.02766261
2021-06-03,1165430,3729.23,0.03291918,0.02476117
2021-06-02,744423,4429.74,0.02101306,0.03291918
2021-06-01,777561,4236.81,0.02188552,0.02101306
2021-05-31,1165644,3681.28,0.03295572,0.02188552
2021-05-30,1153875,5030.03,0.03242875,0.03295572
