date,mktcap,vol,open_price,close_price
2021-10-04,10889809,40282,49.35,52.55
2021-10-03,10781506,78870,49.78,49.35
2021-10-02,10719966,741463,49.52,49.78
2021-10-01,9053585,544149,41.38,49.52
2021-09-30,7912993,231026,37.02,41.38
2021-09-29,7845946,292798,35.96,37.02
2021-09-28,8321649,518524,38.10,35.96
2021-09-27,8845438,67063,40.52,38.10
2021-09-26,8525662,157267,39.29,40.52
2021-09-25,8712823,433222,39.77,39.29
2021-09-24,9345116,463160,44.05,39.77
2021-09-23,8727068,419376,40.73,44.05
2021-09-22,7746434,575627,36.06,40.73
2021-09-21,8680239,831814,40.73,36.06
2021-09-20,10683940,303535,49.68,40.73
2021-09-19,10952679,564221,51.83,49.68
2021-09-18,10330322,98421,50.81,51.83
2021-09-17,10375695,546746,50.26,50.81
2021-09-16,10715505,885445,51.37,50.26
2021-09-15,10144516,510211,49.65,51.37
2021-09-14,9342107,434486,45.92,49.65
2021-09-13,9231429,491215,46.44,45.92
2021-09-12,9375151,315890,45.65,46.44
2021-09-11,8889096,477275,43.64,45.65
2021-09-10,9701917,259693,47.37,43.64
2021-09-09,9892860,359767,48.03,47.37
2021-09-08,9949323,1142747,48.30,48.03
2021-09-07,12003773,2197942,61.58,48.30
2021-09-06,11307310,785922,60.61,61.58
2021-09-05,10191802,347895,56.25,60.61
2021-09-04,10363928,182003,56.64,56.25
2021-09-03,9982009,1601282,54.89,56.64
2021-09-02,9683284,491193,51.46,54.89
2021-09-01,9467015,1407976,50.50,51.46
2021-08-31,9832461,632099,50.47,50.50
2021-08-30,9743731,387400,52.85,50.47
2021-08-29,9765108,1269727,53.80,52.85
2021-08-28,9146188,990282,52.84,53.80
2021-08-27,8632378,354486,50.09,52.84
2021-08-26,9024914,1003957,53.39,50.09
2021-08-25,9196529,711587,51.88,53.39
2021-08-24,10630525,604772,54.65,51.88
2021-08-23,10249498,756902,54.82,54.65
2021-08-22,10515091,397291,54.46,54.82
2021-08-21,10358185,768675,54.50,54.46
2021-08-20,8946474,393256,48.35,54.50
2021-08-19,8912464,861677,45.45,48.35
2021-08-18,8760635,531196,44.97,45.45
2021-08-17,9473300,925980,48.35,44.97
2021-08-16,9505893,195428,49.69,48.35
2021-08-15,9437878,132203,49.61,49.69
2021-08-14,9561860,404608,50.42,49.61
2021-08-13,8483560,1155399,43.97,50.42
2021-08-12,8919104,1134483,46.96,43.97
2021-08-11,9556189,390207,46.55,46.96
2021-08-10,9620643,804625,48.22,46.55
2021-08-09,9081602,348213,44.31,48.22
2021-08-08,9121654,875629,43.82,44.31
2021-08-07,8927037,1231910,41.91,43.82
2021-08-06,8156333,899040,39.44,41.91
2021-08-05,7491411,337200,36.67,39.44
2021-08-04,6864672,731072,34.31,36.67
2021-08-03,6996813,796633,35.59,34.31
2021-08-02,7456779,1326542,36.76,35.59
2021-08-01,8755906,339207,40.41,36.76
2021-07-31,8569429,374341,40.05,40.41
2021-07-30,7922745,282194,37.07,40.05
2021-07-29,7914002,1003298,37.35,37.07
2021-07-28,7277837,788714,35.40,37.35
2021-07-27,6701494,1851900,32.88,35.40
2021-07-26,7220739,288270,29.43,32.88
2021-07-25,6745141,436774,27.94,29.43
2021-07-24,6506554,432073,26.80,27.94
2021-07-23,6014298,222477,24.95,26.80
2021-07-22,5994344,1467051,24.69,24.95
2021-07-21,4749315,142836,20.90,24.69
2021-07-20,5033154,870015,22.72,20.90
2021-07-19,5956833,947516,24.21,22.72
2021-07-18,5571634,374823,24.20,24.21
2021-07-17,5559677,219567,23.96,24.20
2021-07-16,5495302,391936,24.16,23.96
2021-07-15,5860596,1103995,26.34,24.16
2021-07-14,5650828,348619,25.51,26.34
2021-07-13,5860406,322580,26.57,25.51
2021-07-12,6264738,799560,28.72,26.57
2021-07-11,5949144,89906,27.38,28.72
2021-07-10,6015310,209180,27.71,27.38
2021-07-09,5471347,453044,25.40,27.71
2021-07-08,6144457,283438,27.60,25.40
2021-07-07,6183218,117464,28.12,27.60
2021-07-06,6264427,212530,27.77,28.12
2021-07-05,6750305,551337,30.57,27.77
2021-07-04,6268412,172788,29.05,30.57
2021-07-03,5900223,335792,27.48,29.05
2021-07-02,5940290,396245,27.13,27.48
2021-07-01,6359859,507281,29.57,27.13
2021-06-30,6800130,515004,30.79,29.57
2021-06-29,6234668,584750,28.81,30.79
2021-06-28,6427166,208120,28.65,28.81
2021-06-27,5555424,473679,24.39,28.65
2021-06-26,5538096,500638,24.60,24.39
2021-06-25,6456370,400694,29.47,24.60
2021-06-24,5918787,881011,27.61,29.47
2021-06-23,5394649,811266,25.47,27.61
2021-06-22,5160464,730177,24.67,25.47
2021-06-21,6446341,401103,32.39,24.67
2021-06-20,6753119,853542,32.28,32.39
2021-06-19,6598788,1443995,32.52,32.28
2021-06-18,7987269,530444,36.69,32.52
2021-06-17,7976132,744643,36.96,36.69
2021-06-16,8732419,1054120,40.43,36.96
2021-06-15,8652450,1715231,41.32,40.43
2021-06-14,7862030,1596994,38.74,41.32
2021-06-13,6600421,411566,32.94,38.74
2021-06-12,6883949,1011158,35.70,32.94
2021-06-11,6770563,2058280,34.75,35.70
2021-06-10,6726666,2384528,36.13,34.75
2021-06-09,5067753,1076264,28.54,36.13
2021-06-08,5489232,796631,29.40,28.54
2021-06-07,6405932,111522,33.20,29.40
2021-06-06,6273226,317697,32.70,33.20
2021-06-05,6786330,341914,35.40,32.70
2021-06-04,7537488,161660,39.82,35.40
2021-06-03,7067058,180077,36.93,39.82
2021-06-02,6829852,278572,35.73,36.93
2021-06-01,7073354,254245,36.37,35.73
2021-05-31,6546869,204826,33.54,36.37
2021-05-30,6137069,254186,31.44,33.54
2021-05-29,6304422,760464,32.79,31.44
2021-05-28,7736238,402068,39.25,32.79
2021-05-27,7605503,1211990,39.41,39.25
2021-05-26,7457417,1051091,38.36,39.41
2021-05-25,7869082,1438740,39.54,38.36
2021-05-24,5966439,1825632,31.28,39.54
2021-05-23,7076443,612985,38.51,31.28
2021-05-22,6530982,1372296,37.44,38.51
2021-05-21,7488530,2067652,45.49,37.44
2021-05-20,6263569,3843623,38.02,45.49
2021-05-19,6127738,1240323,51.01,38.02
2021-05-18,5466297,1955198,54.73,51.01
2021-05-17,4985924,3163111,62.09,54.73
2021-05-16,3779765,632348,64.54,62.09
2021-05-15,3879821,1632297,74.25,64.54
2021-05-14,2995150,1121875,77.55,74.25
2021-05-13,645998,289427,76.57,77.55
2021-05-12,584180,610464,108.52,76.57
2021-05-11,584180,610464,108.52,108.52
