date,mktcap,vol,open_price,close_price
2021-10-04,47750419,16912.23,0.596605,0.600933
2021-10-03,47981781,17286.21,0.599311,0.596605
2021-10-02,47933432,16725.45,0.599407,0.599311
2021-10-01,47895128,16821.73,0.598532,0.599407
2021-09-30,46071644,3580.64,0.576688,0.598532
2021-09-29,44820141,15968.70,0.558526,0.576688
2021-09-28,44773973,16547.39,0.558369,0.558526
2021-09-27,47495944,1717.46,0.595217,0.558369
2021-09-26,45272437,14739.00,0.564171,0.595217
2021-09-25,45875383,16833.79,0.572913,0.564171
2021-09-24,47276942,19613.54,0.590681,0.572913
2021-09-23,48412523,21376,0.605031,0.590681
2021-09-22,49377154,18303.88,0.619410,0.605031
2021-09-21,49376467,16206.24,0.618104,0.619410
2021-09-20,49598653,16426.75,0.618401,0.618104
2021-09-19,49676036,16601.17,0.620838,0.618401
2021-09-18,49846283,12413.43,0.623141,0.620838
2021-09-17,49698333,16253.16,0.621069,0.623141
2021-09-16,50604307,16258.56,0.632588,0.621069
2021-09-15,51210063,15626.50,0.639815,0.632588
2021-09-14,51595407,14107.97,0.644828,0.639815
2021-09-13,51961074,14805.40,0.648918,0.644828
2021-09-12,51850893,19324.19,0.648206,0.648918
2021-09-11,51511170,12707.35,0.643925,0.648206
2021-09-10,48168500,4336.87,0.602015,0.643925
2021-09-09,51455189,16013.93,0.642853,0.602015
2021-09-08,53686338,18187.28,0.662100,0.642853
2021-09-07,58311151,20172,0.728866,0.662100
2021-09-06,56454658,28105,0.706280,0.728866
2021-09-05,55664814,20225,0.693373,0.706280
2021-09-04,53250557,38880,0.668057,0.693373
2021-09-03,54597724,23679,0.682535,0.668057
2021-09-02,57000591,56511,0.713721,0.682535
2021-09-01,51032756,18944.33,0.636942,0.713721
2021-08-31,48710125,28357,0.609417,0.636942
2021-08-30,48909590,28419,0.611655,0.609417
2021-08-29,46411858,13903.09,0.580603,0.611655
2021-08-28,46480789,13840.09,0.581010,0.580603
2021-08-27,50442868,26328,0.630031,0.581010
2021-08-26,46606745,18406.85,0.582584,0.630031
2021-08-25,45687905,15218.59,0.569940,0.582584
2021-08-24,45558854,14095.90,0.569489,0.569940
2021-08-23,45506783,15463.49,0.569530,0.569489
2021-08-22,45633578,15540.75,0.569193,0.569530
2021-08-21,46816226,15131.27,0.584896,0.569193
2021-08-20,53632535,16608.43,0.665594,0.584896
2021-08-19,55080620,17203.43,0.688508,0.665594
2021-08-18,49136294,24799,0.613397,0.688508
2021-08-17,49450704,60788,0.622579,0.613397
2021-08-16,49470651,17040.92,0.619032,0.622579
2021-08-15,49279421,19038.98,0.615458,0.619032
2021-08-14,48581455,23249,0.608414,0.615458
2021-08-13,48803932,48993,0.610048,0.608414
2021-08-12,47961816,18467.90,0.599339,0.610048
2021-08-11,44920647,16377.72,0.560154,0.599339
2021-08-10,51909890,24236,0.648121,0.560154
2021-08-09,45517287,32016,0.567406,0.648121
2021-08-08,49604710,38250,0.622445,0.567406
2021-08-07,46511077,20802,0.581094,0.622445
2021-08-06,44969173,39541,0.560917,0.581094
2021-08-05,42362453,21751,0.529037,0.560917
2021-08-04,42321908,32405,0.528919,0.529037
2021-08-03,43635073,57267,0.544658,0.528919
2021-08-02,41178868,64631,0.515347,0.544658
2021-08-01,41215362,63786,0.516484,0.515347
2021-07-31,40937175,52474,0.513440,0.516484
2021-07-30,39289495,50418,0.490984,0.513440
2021-07-29,38108055,64793,0.476588,0.490984
2021-07-28,39018350,28100,0.487348,0.476588
2021-07-27,39581636,15615.08,0.492003,0.487348
2021-07-26,41329364,54438,0.519669,0.492003
2021-07-25,40376816,53979,0.505129,0.519669
2021-07-24,41770132,40249,0.522127,0.505129
2021-07-23,40643796,39240,0.508560,0.522127
2021-07-22,39149524,53184,0.491225,0.508560
2021-07-21,36960518,52384,0.462751,0.491225
2021-07-20,37870636,53867,0.473271,0.462751
2021-07-19,38545578,55072,0.482662,0.473271
2021-07-18,38443045,54589,0.479552,0.482662
2021-07-17,37418365,26338,0.467188,0.479552
2021-07-16,37364640,19829.92,0.466571,0.467188
2021-07-15,38028622,21711,0.475569,0.466571
2021-07-14,41181926,16808.37,0.514301,0.475569
2021-07-13,41459559,26274,0.518645,0.514301
2021-07-12,38574020,29057,0.483515,0.518645
2021-07-11,40204870,46836,0.502250,0.483515
2021-07-10,39875268,32326,0.497211,0.502250
2021-07-09,39458682,21219,0.492972,0.497211
2021-07-08,40428812,30498,0.505207,0.492972
2021-07-07,42252957,29695,0.527977,0.505207
2021-07-06,42702337,29676,0.533629,0.527977
2021-07-05,43228014,36667,0.539603,0.533629
2021-07-04,40107897,38774,0.501998,0.539603
2021-07-03,40478174,30769,0.506804,0.501998
2021-07-02,39669618,34603,0.496693,0.506804
2021-07-01,40821687,54797,0.509963,0.496693
2021-06-30,41559744,41318,0.519232,0.509963
2021-06-29,37687459,51996,0.471629,0.519232
2021-06-28,37163993,46256,0.464308,0.471629
2021-06-27,32620533,33111,0.407600,0.464308
2021-06-26,35306217,38825,0.441328,0.407600
2021-06-25,35652991,52298,0.444808,0.441328
2021-06-24,38557681,117709,0.481945,0.444808
2021-06-23,34488366,87713,0.431105,0.481945
2021-06-22,35541312,9559.48,0.447728,0.431105
2021-06-21,37177366,16263.83,0.465534,0.447728
2021-06-20,36523665,11316.61,0.471033,0.465534
2021-06-19,38969066,24489,0.488129,0.471033
2021-06-18,43282088,18320.29,0.541026,0.488129
2021-06-17,45825489,143351,0.573823,0.541026
2021-06-16,46702191,225589,0.583394,0.573823
2021-06-15,49306761,289355,0.616237,0.583394
2021-06-14,47250574,283251,0.590870,0.616237
2021-06-13,46496060,268295,0.578141,0.590870
2021-06-12,48113501,255875,0.604129,0.578141
2021-06-11,47908006,251840,0.598802,0.604129
2021-06-10,49788337,247360,0.622854,0.598802
2021-06-09,47805544,278062,0.594360,0.622854
2021-06-08,48196113,242047,0.569846,0.594360
2021-06-07,50030106,264714,0.625376,0.569846
2021-06-06,49430948,268720,0.620481,0.625376
2021-06-05,49158637,263861,0.613789,0.620481
2021-06-04,50227658,258344,0.627733,0.613789
2021-06-03,51205579,128270,0.640070,0.627733
2021-06-02,45979495,11249.78,0.574934,0.640070
2021-06-01,49286642,23871,0.616162,0.574934
2021-05-31,44894888,5664.88,0.562242,0.616162
2021-05-30,46003605,12678.66,0.572968,0.562242
2021-05-29,45285769,23139,0.566072,0.572968
2021-05-28,50236233,30008,0.628118,0.566072
2021-05-27,51569485,43869,0.645104,0.628118
2021-05-26,49290824,32797,0.619590,0.645104
2021-05-25,49565497,57943,0.619563,0.619590
2021-05-24,40237654,63754,0.550588,0.619563
2021-05-23,55272178,17121.98,0.690395,0.550588
2021-05-22,53971048,29216,0.674837,0.690395
2021-05-21,60870836,16067.51,0.757663,0.674837
2021-05-20,47020983,36171,0.574818,0.757663
2021-05-19,58547602,37885,0.732586,0.574818
2021-05-18,40996082,21361,0.713825,0.732586
2021-05-17,48331890,12593.78,0.609250,0.713825
2021-05-16,59755845,32711,0.748373,0.609250
2021-05-15,61506103,22095,0.767361,0.748373
2021-05-14,51474928,29015,0.644252,0.767361
2021-05-13,57361151,42402,0.706172,0.644252
2021-05-12,59071376,18614.34,0.740076,0.706172
2021-05-11,60885444,29808,0.757164,0.740076
2021-05-10,59676288,63439,0.739948,0.757164
2021-05-09,52943811,24538,0.663221,0.739948
2021-05-08,53839757,29180,0.673986,0.663221
2021-05-07,51398915,15573.45,0.641719,0.673986
2021-05-06,56278501,18398.53,0.695357,0.641719
2021-05-05,50908150,170221,0.634149,0.695357
2021-05-04,62863528,442109,0.783215,0.634149
2021-05-03,63685481,327470,0.796228,0.783215
2021-05-02,60499878,57260,0.801793,0.796228
2021-05-01,81848437,102584,1.02,0.801793
2021-04-30,63427133,44850,0.858965,1.02
2021-04-29,53556831,39135,0.670106,0.858965
2021-04-28,55312367,40742,0.704758,0.670106
2021-04-27,50242216,58541,0.628425,0.704758
2021-04-26,41588301,31943,0.521459,0.628425
