date,mktcap,vol,open_price,close_price
2021-09-19,123959,556.41,1.33,1.33
2021-09-18,123959,556.41,1.33,1.33
2021-09-03,123959,0.000000000000,1.30,1.33
2021-09-02,123959,0.000000000000,1.30,1.30
2021-08-30,124800,270092,1.30,1.30
2021-08-29,124712,271943,1.31,1.30
2021-08-28,123416,280815,1.28,1.31
2021-08-27,114865,269461,1.19,1.28
2021-08-26,113162,264369,1.19,1.19
2021-08-25,116702,270910,1.21,1.19
2021-08-24,121891,295469,1.27,1.21
2021-08-23,109683,273117,1.16,1.27
2021-08-22,113779,258649,1.17,1.16
2021-08-21,127197,273067,1.32,1.17
2021-08-20,114255,295729,1.24,1.32
2021-08-19,106621,232281,1.12,1.24
2021-08-18,121193,124553,1.27,1.12
2021-08-17,125550,280944,1.32,1.27
2021-08-16,120855,268479,1.26,1.32
2021-08-15,116832,251182,1.24,1.26
2021-08-14,128463,268243,1.34,1.24
2021-08-13,124590,83031,1.31,1.34
2021-08-12,112360,274855,1.18,1.31
2021-08-11,111877,245403,1.17,1.18
2021-08-10,108344,491598,1.18,1.17
2021-08-09,108034,670504,1.13,1.18
2021-08-08,115887,666571,1.22,1.13
2021-08-07,110141,644105,1.16,1.22
2021-08-06,109743,584181,1.14,1.16
2021-08-05,105351,574628,1.11,1.14
2021-08-04,99664,516353,1.05,1.11
2021-08-03,107101,564626,1.13,1.05
2021-08-02,98613,557375,1.02,1.13
2021-08-01,93630,535579,0.975569,1.02
2021-07-31,91469,500753,0.951242,0.975569
2021-07-30,91208,527910,0.967534,0.951242
2021-07-29,88948,228767,0.927607,0.967534
2021-07-28,87237,76637,0.909632,0.927607
2021-07-27,83543,71403,0.872250,0.909632
2021-07-26,83826,78269,0.884771,0.872250
2021-07-25,85639,71815,0.892205,0.884771
2021-07-24,85352,58549,0.905103,0.892205
2021-07-23,83659,63466,0.875092,0.905103
2021-07-22,83590,66616,0.878297,0.875092
2021-07-21,70566,59338,0.738139,0.878297
2021-07-20,72318,62415,0.759367,0.738139
2021-07-19,80071,62474,0.835533,0.759367
2021-07-18,78754,62983,0.828684,0.835533
2021-07-17,78655,63659,0.823359,0.828684
2021-07-16,76787,64730,0.797458,0.823359
2021-07-15,81439,64569,0.854379,0.797458
2021-07-14,78648,66236,0.827997,0.854379
2021-07-13,81613,66597,0.854299,0.827997
2021-07-12,83771,68192,0.875786,0.854299
2021-07-11,88925,69682,0.924843,0.875786
2021-07-10,90674,56535,0.942270,0.924843
2021-07-09,89268,48899,0.933770,0.942270
2021-07-08,96056,90444,1.01,0.933770
2021-07-07,97313,111361,1.02,1.01
2021-07-06,85521,100735,0.887872,1.02
2021-07-05,90089,112682,0.939864,0.887872
2021-07-04,88598,102661,0.934897,0.939864
2021-07-03,84982,95165,0.889771,0.934897
2021-07-02,80925,97429,0.849086,0.889771
2021-07-01,81778,92918,0.857278,0.849086
2021-06-30,80222,99114,0.832643,0.857278
2021-06-29,90754,105235,0.946627,0.832643
2021-06-28,89699,102007,0.946855,0.946627
2021-06-27,83467,89065,0.869828,0.946855
2021-06-26,83324,107603,0.881156,0.869828
2021-06-25,90831,105868,0.950867,0.881156
2021-06-24,88028,104188,0.929577,0.950867
2021-06-23,83007,99236,0.877130,0.929577
2021-06-22,83845,106079,0.879941,0.877130
2021-06-21,97934,122740,1.02,0.879941
2021-06-20,94007,115407,0.983335,1.02
2021-06-19,98918,125362,1.04,0.983335
2021-06-18,101819,115320,1.06,1.04
2021-06-17,101543,128012,1.06,1.06
2021-06-16,113622,126629,1.20,1.06
2021-06-15,109715,122179,1.16,1.20
2021-06-14,113025,130764,1.18,1.16
2021-06-13,107335,124228,1.12,1.18
2021-06-12,106148,121191,1.12,1.12
2021-06-11,116708,133262,1.22,1.12
2021-06-10,119020,146561,1.24,1.22
2021-06-09,114401,126151,1.19,1.24
2021-06-08,120812,140792,1.26,1.19
2021-06-07,121395,141309,1.27,1.26
2021-06-06,104060,112079,1.10,1.27
2021-06-05,125998,154657,1.31,1.10
2021-06-04,132516,158393,1.41,1.31
2021-06-03,126975,149463,1.32,1.41
2021-06-02,123510,138627,1.29,1.32
2021-06-01,124700,134489,1.31,1.29
2021-05-31,109120,122017,1.14,1.31
2021-05-30,105191,36124,1.09,1.14
2021-05-29,105191,36124,1.09,1.09
2021-05-28,139865,31944,1.53,1.09
2021-05-27,140528,168665,1.54,1.53
2021-05-26,135097,168978,1.48,1.54
2021-05-25,132968,156407,1.45,1.48
2021-05-24,104683,142843,1.16,1.45
2021-05-23,115962,145791,1.27,1.16
2021-05-22,121284,145287,1.33,1.27
2021-05-21,139688,185309,1.52,1.33
2021-05-20,127417,149815,1.38,1.52
2021-05-19,169006,210130,1.86,1.38
2021-05-18,164968,140908,1.83,1.86
2021-05-17,164968,140908,1.83,1.83
2021-05-16,190555,231810,2.10,1.83
2021-05-15,206089,268705,2.25,2.10
2021-05-14,186169,197516,2.05,2.25
2021-05-13,173389,191120,1.84,2.05
2021-05-12,209617,234856,2.31,1.84
2021-05-11,170717,202941,1.86,2.31
2021-05-10,168744,195814,1.85,1.86
2021-05-09,168061,200397,1.85,1.85
2021-05-08,149784,195838,1.65,1.85
2021-05-07,150549,183023,1.65,1.65
2021-05-06,152527,190337,1.67,1.65
2021-05-05,141578,168217,1.54,1.67
2021-05-04,148391,186909,1.62,1.54
2021-05-03,128589,154985,1.41,1.62
2021-05-02,127127,154287,1.39,1.41
2021-05-01,119907,146438,1.31,1.39
2021-04-30,119107,156794,1.30,1.31
2021-04-29,146597,197802,1.69,1.30
2021-04-28,139703,118886,1.61,1.69
2021-04-27,132493,180234,1.53,1.61
2021-04-26,122280,162155,1.41,1.53
2021-04-25,118877,149802,1.35,1.41
2021-04-24,127464,174712,1.47,1.35
2021-04-23,131387,152505,1.51,1.47
2021-04-22,129826,172069,1.49,1.51
2021-04-21,128070,158928,1.47,1.49
2021-04-20,131625,168699,1.51,1.47
2021-04-19,135621,173979,1.57,1.51
2021-04-18,144680,183552,1.65,1.57
2021-04-17,151821,193571,1.75,1.65
2021-04-16,154093,163.96,1.65,1.75
2021-04-15,152011,198247,1.75,1.65
2021-04-14,143649,180591,1.66,1.75
2021-04-13,121403,161446,1.40,1.66
2021-04-12,123949,160135,1.43,1.40
2021-04-11,126848,168074,1.46,1.43
2021-04-10,128691,164026,1.48,1.46
2021-04-09,131327,163163,1.52,1.48
2021-04-08,125122,160526,1.43,1.52
2021-04-07,114328,149250,1.32,1.43
2021-04-06,113092,156802,1.30,1.32
2021-04-05,112157,151387,1.29,1.30
2021-04-04,110084,60950,1.26,1.29
2021-04-03,121274,161846,1.39,1.26
2021-04-02,113525,142820,1.31,1.39
2021-04-01,114215,149216,1.31,1.31
2021-03-31,111090,149518,1.28,1.31
2021-03-30,109347,150730,1.26,1.28
2021-03-29,102381,142631,1.24,1.26
2021-03-28,104536,150355,1.27,1.24
2021-03-27,119154,164641,1.44,1.27
2021-03-26,111469,155652,1.35,1.44
2021-03-25,111670,159849,1.35,1.35
2021-03-24,117973,164173,1.44,1.35
2021-03-23,118395,154367,1.43,1.44
2021-03-22,126352,173980,1.53,1.43
2021-03-21,126616,186272,1.53,1.53
2021-03-20,124536,175162,1.51,1.53
2021-03-19,123454,171935,1.50,1.51
2021-03-18,118976,240490,1.44,1.50
2021-03-17,117246,314072,1.41,1.44
2021-03-16,116985,307002,1.41,1.41
2021-03-15,121415,337064,1.46,1.41
