date,mktcap,vol,open_price,close_price
2021-10-04,34688293,73905,346.88,317.61
2021-10-03,34691511,67753,346.92,346.88
2021-10-02,37757281,101788,377.57,346.92
2021-10-01,29896064,102803,297.23,377.57
2021-09-30,32229251,17091.01,322.16,297.23
2021-09-29,32589162,51424,324.33,322.16
2021-09-28,34849614,67410,345.99,324.33
2021-09-27,39985912,261269,392.13,345.99
2021-09-26,30026879,40902,299.03,392.13
2021-09-25,30239272,41828,299.56,299.03
2021-09-24,31794615,30015,319.03,299.56
2021-09-23,33964136,75335,313.26,319.03
2021-09-22,25421299,99154,254.21,313.26
2021-09-21,27487269,109210,187.52,254.21
2021-09-20,38251998,59463,382.15,187.52
2021-09-19,33666724,56336,340.02,382.15
2021-09-18,38248185,299659,379.81,340.02
2021-09-17,53349808,423177,534.74,379.81
2021-09-16,66494677,652034,669.53,534.74
2021-09-15,58856661,306119,588.57,669.53
2021-09-14,59497168,815207,595.96,588.57
2021-09-13,32094197,622601,273.55,595.96
2021-09-12,21911229,381196,213.72,273.55
2021-09-11,10655017,49301,106.51,213.72
2021-09-10,10947085,52714,109.47,106.51
2021-09-09,12175307,55867,120.62,109.47
2021-09-08,10696419,50231,106.90,120.62
2021-09-07,13207952,82923,132.75,106.90
2021-09-06,12538579,47019,125.39,132.75
2021-09-05,13487533,43399,134.90,125.39
2021-09-04,13865904,283267,138.53,134.90
2021-09-03,15805474,275037,157.71,138.53
2021-09-02,19274298,291776,193.66,157.71
2021-09-01,18275389,457632,183.53,193.66
2021-08-31,16787674,265919,167.70,183.53
2021-08-30,15669461,1105765,156.46,167.70
2021-08-29,14915203,322966,149.28,156.46
2021-08-28,13775170,281688,138.09,149.28
2021-08-27,15351529,318036,153.54,138.09
2021-08-26,17937557,471307,179.22,153.54
2021-08-25,13970516,520611,139.36,179.22
2021-08-24,19969680,713087,199.29,139.36
2021-08-23,21384069,2696224,213.84,199.29
2021-08-22,12764277,273502,127.35,213.84
2021-08-21,11726656,284297,117.19,127.35
2021-08-20,8894699,194580,89.91,117.19
2021-08-19,9042702,238313,90.30,89.91
2021-08-18,10043232,199709,100.43,90.30
2021-08-17,7981596,184484,78.74,100.43
2021-08-16,8356113,188320,83.43,78.74
2021-08-15,9291218,179647,92.97,83.43
2021-08-14,8708176,205804,87.26,92.97
2021-08-13,8389356,56964,84.08,87.26
2021-08-12,9018306,223570,90.62,84.08
2021-08-11,8422671,196062,84.14,90.62
2021-08-10,8243978,305950,84.48,84.14
2021-08-09,7709311,433102,77.08,84.48
2021-08-08,7951901,451577,80.28,77.08
2021-08-07,7202704,432158,72.10,80.28
2021-08-06,7000188,398291,70.15,72.10
2021-08-05,7256380,406841,72.40,70.15
2021-08-04,6416894,359134,64.48,72.40
2021-08-03,6644527,368620,66.34,64.48
2021-08-02,6581700,368126,65.19,66.34
2021-08-01,6687168,336946,66.87,65.19
2021-07-31,6328945,351834,63.29,66.87
2021-07-30,6151484,360509,61.43,63.29
2021-07-29,5692747,142741,56.24,61.43
2021-07-28,5519764,51354,55.34,56.24
2021-07-27,5527017,51846,54.96,55.34
2021-07-26,5958825,49402,60.24,54.96
2021-07-25,5820650,47727,58.22,60.24
2021-07-24,5677675,42678,57.19,58.22
2021-07-23,5385390,88080,53.83,57.19
2021-07-22,4211271,45640,42.35,53.83
2021-07-21,3736185,43770,36.86,42.35
2021-07-20,3507674,39637,35.20,36.86
2021-07-19,3629429,40801,36.86,35.20
2021-07-18,3930122,45448,39.30,36.86
2021-07-17,3775988,42696,37.65,39.30
2021-07-16,3790121,41919,38.18,37.65
2021-07-15,4091950,49063,40.85,38.18
2021-07-14,3751580,43975,37.48,40.85
2021-07-13,4004354,44076,40.04,37.48
2021-07-12,4292702,50003,42.95,40.04
2021-07-11,4417033,47829,44.17,42.95
2021-07-10,4703931,38786,47.04,44.17
2021-07-09,4255039,34358,43.10,47.04
2021-07-08,4639770,170852,46.49,43.10
2021-07-07,4450186,242803,43.84,46.49
2021-07-06,4300767,242690,42.79,43.84
2021-07-05,4401843,246202,44.02,42.79
2021-07-04,4442745,242792,44.78,44.02
2021-07-03,4442419,245029,44.49,44.78
2021-07-02,4199512,247886,42.56,44.49
2021-07-01,4574586,268917,45.36,42.56
2021-06-30,4390154,251352,43.42,45.36
2021-06-29,4573945,266086,45.94,43.42
2021-06-28,3887453,220037,39.15,45.94
2021-06-27,3801830,221986,38.16,39.15
2021-06-26,3756859,224692,37.57,38.16
2021-06-25,4334319,247515,43.38,37.57
2021-06-24,4239483,261125,42.49,43.38
2021-06-23,4094853,263118,41.51,42.49
2021-06-22,4418639,307234,44.35,41.51
2021-06-21,6606685,411405,66.07,44.35
2021-06-20,6421041,487529,64.06,66.07
2021-06-19,6644777,393961,67.14,64.06
2021-06-18,7082959,457808,69.78,67.14
2021-06-17,6313083,380613,62.96,69.78
2021-06-16,7059915,441358,70.28,62.96
2021-06-15,7973929,555130,80.10,70.28
2021-06-14,6886403,419219,68.86,80.10
2021-06-13,6585120,380668,65.50,68.86
2021-06-12,6539301,385576,65.39,65.50
2021-06-11,6323188,523405,62.83,65.39
2021-06-10,6300801,416667,63.39,62.83
2021-06-09,6868957,848421,68.72,63.39
2021-06-08,7458089,1405251,73.87,68.72
2021-06-07,3181642,253821,31.91,73.87
2021-06-06,2562533,140621,25.79,31.91
2021-06-05,2437218,185348,24.33,25.79
2021-06-04,3871363,275460,38.60,24.33
2021-06-03,3602564,574266,35.60,38.60
2021-06-02,1751601,96221,17.53,35.60
2021-06-01,1750735,86543,17.53,17.53
2021-05-31,1555799,88910,15.57,17.53
