date,mktcap,vol,open_price,close_price
2021-10-04,72529381283,1560814022,2.26,2.20
2021-10-03,72017933348,2194904018,2.25,2.26
2021-10-02,71980741781,2511823046,2.25,2.25
2021-10-01,67871265795,2092736073,2.12,2.25
2021-09-30,65835114804,2297621519,2.06,2.12
2021-09-29,65557023881,2544152362,2.04,2.06
2021-09-28,68586122052,2386436991,2.14,2.04
2021-09-27,72357770423,3307540083,2.21,2.14
2021-09-26,74201342932,5042846269,2.31,2.21
2021-09-25,74002539819,5125188372,2.27,2.31
2021-09-24,74492626869,2859554202,2.33,2.27
2021-09-23,71610128886,4336704842,2.24,2.33
2021-09-22,63007572370,5359857791,1.97,2.24
2021-09-21,66467363740,5304108502,2.08,1.97
2021-09-20,73534559243,1890751816,2.29,2.08
2021-09-19,75942505891,1786853953,2.37,2.29
2021-09-18,75633602743,2101364344,2.35,2.37
2021-09-17,77800286104,2880421284,2.43,2.35
2021-09-16,79647419225,3923375598,2.49,2.43
2021-09-15,76881051804,3461669464,2.40,2.49
2021-09-14,77370641706,5428095004,2.42,2.40
2021-09-13,83567686531,7402829012,2.60,2.42
2021-09-12,83644050026,7277175318,2.61,2.60
2021-09-11,76011031339,5063772409,2.38,2.61
2021-09-10,80864925456,5008904928,2.52,2.38
2021-09-09,80226388043,7155681413,2.48,2.52
2021-09-08,80409173519,9579264086,2.51,2.48
2021-09-07,91135287333,3596945428,2.84,2.51
2021-09-06,93377934838,3222834374,2.91,2.84
2021-09-05,91207581634,3678225417,2.84,2.91
2021-09-04,94699098504,4310135202,2.97,2.84
2021-09-03,95003730488,6329404683,2.96,2.97
2021-09-02,91803402851,3819285059,2.86,2.96
2021-09-01,89320739294,3914011834,2.79,2.86
2021-08-31,87653684619,4154229341,2.73,2.79
2021-08-30,91897143051,4342317757,2.86,2.73
2021-08-29,91545178941,4107700419,2.85,2.86
2021-08-28,93831078618,7089768800,2.93,2.85
2021-08-27,82998656159,5553986642,2.58,2.93
2021-08-26,87799979598,5484918093,2.74,2.58
2021-08-25,88117473137,7960262412,2.75,2.74
2021-08-24,93774043228,8491098516,2.91,2.75
2021-08-23,85113700352,5514366048,2.66,2.91
2021-08-22,78375949580,3831313600,2.44,2.66
2021-08-21,78606736222,7300638937,2.46,2.44
2021-08-20,73478460338,2928122400,2.29,2.46
2021-08-19,68408416409,4160522472,2.12,2.29
2021-08-18,62244981576,3125753688,1.92,2.12
2021-08-17,67363561248,3685779291,2.08,1.92
2021-08-16,69442698917,5241111651,2.17,2.08
2021-08-15,70631619783,7578458477,2.19,2.17
2021-08-14,67891752773,7460225847,2.14,2.19
2021-08-13,57851525295,5153417334,1.81,2.14
2021-08-12,57579550005,5769853245,1.80,1.81
2021-08-11,53577930723,3676259236,1.68,1.80
2021-08-10,47056082810,2142412777,1.48,1.68
2021-08-09,45815242224,2265330765,1.43,1.48
2021-08-08,47279023175,2480585766,1.48,1.43
2021-08-07,44976191368,1588927106,1.40,1.48
2021-08-06,44529395488,1691781855,1.39,1.40
2021-08-05,44244306619,1727438117,1.38,1.39
2021-08-04,43922298026,1858096820,1.37,1.38
2021-08-03,42223053588,1259725181,1.31,1.37
2021-08-02,41942215646,1556302739,1.31,1.31
2021-08-01,42626960806,1223097832,1.33,1.31
2021-07-31,41920164940,1393986956,1.31,1.33
2021-07-30,41353066882,1308983957,1.29,1.31
2021-07-29,41097297246,1679739540,1.28,1.29
2021-07-28,40761082390,2043574310,1.27,1.28
2021-07-27,40453902655,2865774184,1.26,1.27
2021-07-26,39580378055,1200884823,1.24,1.26
2021-07-25,39436084138,1102999157,1.23,1.24
2021-07-24,38578333796,1049399515,1.20,1.23
2021-07-23,38077856019,1355558236,1.19,1.20
2021-07-22,37555390539,2012660705,1.18,1.19
2021-07-21,34061358626,1744496674,1.06,1.18
2021-07-20,36363603753,985379235,1.13,1.06
2021-07-19,38072204962,886906470,1.19,1.13
2021-07-18,37700201068,1020948117,1.18,1.19
2021-07-17,37559740154,1143827311,1.17,1.18
2021-07-16,39374686508,1134344778,1.23,1.17
2021-07-15,40497361151,1276828135,1.26,1.23
2021-07-14,40565438397,1116285682,1.26,1.26
2021-07-13,42295830265,1206400015,1.32,1.26
2021-07-12,43253582168,799297957,1.35,1.32
2021-07-11,43008320824,1016273067,1.34,1.35
2021-07-10,43482946015,1433266560,1.36,1.34
2021-07-09,43210231185,1527044343,1.35,1.36
2021-07-08,44945443131,1573433402,1.40,1.35
2021-07-07,45323751371,2379438477,1.41,1.40
2021-07-06,45513662281,2786935974,1.41,1.41
2021-07-05,46894582606,2209143952,1.46,1.41
2021-07-04,45058814114,2665125396,1.41,1.46
2021-07-03,44559309655,3183425156,1.40,1.41
2021-07-02,43098347952,3076399891,1.34,1.40
2021-07-01,44441813699,3404132646,1.39,1.34
2021-06-30,44142782696,3523964122,1.37,1.39
2021-06-29,42550282680,3158547740,1.33,1.37
2021-06-28,43083374226,3290563251,1.34,1.33
2021-06-27,39931840011,4299368464,1.25,1.34
2021-06-26,41018597318,5197249260,1.28,1.25
2021-06-25,43522679455,4220112004,1.36,1.28
2021-06-24,40049997237,5017951872,1.25,1.36
2021-06-23,36599473847,6862558969,1.15,1.25
2021-06-22,38411041505,4894085555,1.18,1.15
2021-06-21,45996656094,3106578340,1.43,1.18
2021-06-20,44642873230,2406414533,1.39,1.43
2021-06-19,45667095006,2844133201,1.42,1.39
2021-06-18,47463238825,2431459358,1.49,1.42
2021-06-17,47393590800,2880220476,1.48,1.49
2021-06-16,50391529524,3023834613,1.57,1.48
2021-06-15,50416308306,3516582796,1.57,1.57
2021-06-14,49941414968,4079349030,1.57,1.57
2021-06-13,47714205697,3828434533,1.48,1.57
2021-06-12,45933166630,3307214955,1.44,1.48
2021-06-11,49447857411,3410895122,1.53,1.44
2021-06-10,52340455015,4346881435,1.62,1.53
2021-06-09,50730179591,5159314257,1.58,1.62
2021-06-08,50652944663,3066840697,1.55,1.58
2021-06-07,53706185453,2437926137,1.68,1.55
2021-06-06,53079740993,3816423286,1.66,1.68
2021-06-05,54766548460,5266527710,1.71,1.66
2021-06-04,59303621530,4342198250,1.84,1.71
2021-06-03,56498220769,4311239392,1.76,1.84
2021-06-02,55963404596,4995661237,1.74,1.76
2021-06-01,55918127621,5422971274,1.74,1.74
2021-05-31,50414535804,5832058168,1.58,1.74
2021-05-30,45847843415,4862190053,1.42,1.58
2021-05-29,48592867742,6010450897,1.52,1.42
2021-05-28,52918832312,5001134794,1.65,1.52
2021-05-27,56286220346,7062731108,1.78,1.65
2021-05-26,49752398757,6199929363,1.55,1.78
2021-05-25,49369920022,7596677080,1.54,1.55
2021-05-24,42338798443,8825869341,1.33,1.54
2021-05-23,47192676745,6665471245,1.47,1.33
2021-05-22,49480611261,8942198417,1.55,1.47
2021-05-21,57492844768,11328190220,1.79,1.55
2021-05-20,49217494678,15193692116,1.52,1.79
2021-05-19,64019956902,7411999746,2.01,1.52
2021-05-18,65556125527,11269771321,2.03,2.01
2021-05-17,73310457373,12715835566,2.29,2.03
2021-05-16,69699933669,14459264756,2.17,2.29
2021-05-15,64384940508,7649125188,2.01,2.17
2021-05-14,61871354958,14773012318,1.94,2.01
2021-05-13,52518502552,6057046770,1.57,1.94
2021-05-12,56422785746,6105158953,1.77,1.57
2021-05-11,53022907920,6748208559,1.65,1.77
2021-05-10,56886811811,8212379684,1.77,1.65
2021-05-09,51816643347,4553766444,1.62,1.77
2021-05-08,52795204748,7524037593,1.65,1.62
2021-05-07,53360219300,10492098699,1.66,1.65
2021-05-06,47368113642,5144102154,1.48,1.66
2021-05-05,41326027056,4021089366,1.28,1.48
2021-05-04,43592074191,2913495466,1.36,1.28
2021-05-03,42540495719,2419782286,1.33,1.36
2021-05-02,43444753836,2277071479,1.35,1.33
2021-05-01,43251677970,2888334739,1.35,1.35
2021-04-30,42218008954,3877408674,1.32,1.35
2021-04-29,42696322872,3050358136,1.33,1.32
2021-04-28,41847738398,2912984035,1.31,1.33
2021-04-27,39598607716,3178691426,1.23,1.31
2021-04-26,34763368262,2419295811,1.08,1.23
2021-04-25,35760855210,3606271585,1.11,1.08
2021-04-24,36959022892,6942995842,1.16,1.11
2021-04-23,37047031961,4514691272,1.15,1.16
2021-04-22,39015254845,4004683213,1.21,1.15
2021-04-21,40395164223,4665784591,1.26,1.21
2021-04-20,38453861925,5343870507,1.19,1.26
2021-04-19,41009185397,6558115732,1.28,1.19
2021-04-18,44131641786,3533425467,1.37,1.28
2021-04-17,45346591335,5343342942,1.41,1.37
2021-04-16,47301179158,5151594795,1.48,1.41
2021-04-15,46765701663,8920292802,1.46,1.48
2021-04-14,45655290040,5693372728,1.42,1.46
2021-04-13,42234834334,5005257550,1.32,1.42
2021-04-12,40619405205,3796665568,1.26,1.32
2021-04-11,39035365861,2638775983,1.22,1.26
2021-04-10,38573434366,2057819056,1.20,1.22
2021-04-09,39107779971,2806106617,1.23,1.20
2021-04-08,37822168969,4444431698,1.18,1.23
2021-04-07,40174301242,5716309192,1.26,1.18
2021-04-06,38866154209,3093929482,1.21,1.26
2021-04-05,37920229258,2514927783,1.18,1.21
2021-04-04,37354800050,3541823026,1.17,1.18
2021-04-03,38175120189,3115355142,1.19,1.17
2021-04-02,37885255531,2627207220,1.18,1.19
2021-04-01,38261200551,3359856102,1.19,1.18
2021-03-31,38747164637,2870621695,1.21,1.19
2021-03-30,38374558121,2974754356,1.20,1.21
2021-03-29,38106805967,2864842099,1.19,1.20
2021-03-28,37797370711,3239161162,1.18,1.19
2021-03-27,38738000196,5832300810,1.21,1.18
2021-03-26,35106594429,5128067562,1.10,1.21
2021-03-25,34095874084,3509101233,1.06,1.10
2021-03-24,36009559806,4313834036,1.13,1.06
