date,mktcap,vol,open_price,close_price
2021-10-04,7205966,86781,0.03467478,0.03301679
2021-10-03,7189391,78098,0.03442478,0.03467478
2021-10-02,7096227,73243,0.03416311,0.03442478
2021-10-01,6952030,64220,0.03345264,0.03416311
2021-09-30,7031735,76859,0.03422210,0.03345264
2021-09-29,7368464,20687,0.03529020,0.03422210
2021-09-28,7504307,4225.30,0.03593938,0.03529020
2021-09-27,7845355,4239.41,0.03723874,0.03593938
2021-09-26,7840719,6755.39,0.03778972,0.03723874
2021-09-25,7954549,12670.82,0.03845381,0.03778972
2021-09-24,8507490,8393.85,0.04093053,0.03845381
2021-09-23,8552142,8319.59,0.04115227,0.04093053
2021-09-22,8441821,12529.58,0.04071897,0.04115227
2021-09-21,9073568,56311,0.04371038,0.04071897
2021-09-20,10781499,294353,0.050336,0.04371038
2021-09-19,9856542,166045,0.04708174,0.050336
2021-09-18,10108488,206662,0.04847249,0.04708174
2021-09-17,10076503,154283,0.04836490,0.04847249
2021-09-16,9139828,135265,0.04402200,0.04836490
2021-09-15,9501941,99383,0.04574243,0.04402200
2021-09-14,9617162,70126,0.04629916,0.04574243
2021-09-13,9979383,40114,0.04807252,0.04629916
2021-09-12,10215797,59007,0.04915751,0.04807252
2021-09-11,9952438,74008,0.04785889,0.04915751
2021-09-10,10255805,77087,0.04939708,0.04785889
2021-09-09,10282131,111253,0.04931619,0.04939708
2021-09-08,9990679,62576,0.04778024,0.04931619
2021-09-07,11180082,82957,0.053777,0.04778024
2021-09-06,11225763,53355,0.054015,0.053777
2021-09-05,11403781,152392,0.055181,0.054015
2021-09-04,11783319,145331,0.056858,0.055181
2021-09-03,11782209,142149,0.057049,0.056858
2021-09-02,11540780,171304,0.055966,0.057049
2021-09-01,11301244,40775,0.054028,0.055966
2021-08-31,11552673,89158,0.055813,0.054028
2021-08-30,12006293,46337,0.058231,0.055813
2021-08-29,11937546,27152,0.057237,0.058231
2021-08-28,12046939,43731,0.058039,0.057237
2021-08-27,11927005,27603,0.057392,0.058039
2021-08-26,12224883,72147,0.058911,0.057392
2021-08-25,12454350,74245,0.059833,0.058911
2021-08-24,12344526,169789,0.059279,0.059833
2021-08-23,11970996,52505,0.057592,0.059279
2021-08-22,11830310,99814,0.056910,0.057592
2021-08-21,12335862,105049,0.059800,0.056910
2021-08-20,12417860,125545,0.060491,0.059800
2021-08-19,11929552,83915,0.057404,0.060491
2021-08-18,12239778,90304,0.058905,0.057404
2021-08-17,12464186,76837,0.059907,0.058905
2021-08-16,13058685,40592,0.062885,0.059907
2021-08-15,13357964,108556,0.064267,0.062885
2021-08-14,13707364,147868,0.066110,0.064267
2021-08-13,13225246,113421,0.063617,0.066110
2021-08-12,12917254,83215,0.061724,0.063617
2021-08-11,12769174,71189,0.061505,0.061724
2021-08-10,13147276,103392,0.062729,0.061505
2021-08-09,13033617,149023,0.062445,0.062729
2021-08-08,13554287,221845,0.065634,0.062445
2021-08-07,13877715,234359,0.066538,0.065634
2021-08-06,13099970,255388,0.063319,0.066538
2021-08-05,13041219,146749,0.062138,0.063319
2021-08-04,12333819,147502,0.059349,0.062138
2021-08-03,12648722,156061,0.060958,0.059349
2021-08-02,12774467,168090,0.061656,0.060958
2021-08-01,12838322,77604,0.061715,0.061656
2021-07-31,13355869,114522,0.064130,0.061715
2021-07-30,14055970,140716,0.067636,0.064130
2021-07-29,14303716,262363,0.069518,0.067636
2021-07-28,14645431,194593,0.071812,0.069518
2021-07-27,14165904,179663,0.068370,0.071812
2021-07-26,14416061,187087,0.070034,0.068370
2021-07-25,14369985,290463,0.068625,0.070034
2021-07-24,14884908,391828,0.071733,0.068625
2021-07-23,13302542,336374,0.064020,0.071733
2021-07-22,13244125,334899,0.064371,0.064020
2021-07-21,12261843,112430,0.059003,0.064371
2021-07-20,13491388,149536,0.064895,0.059003
2021-07-19,14397957,382080,0.069287,0.064895
2021-07-18,15110161,583290,0.072326,0.069287
2021-07-17,14004312,393912,0.066971,0.072326
2021-07-16,12701524,347726,0.061230,0.066971
2021-07-15,12886909,610368,0.061063,0.061230
2021-07-14,11413387,233921,0.055567,0.061063
2021-07-13,11468611,170131,0.054706,0.055567
2021-07-12,10899459,129843,0.052838,0.054706
2021-07-11,11249251,162278,0.053465,0.052838
2021-07-10,11212134,159078,0.053903,0.053465
2021-07-09,10651610,154448,0.051255,0.053903
2021-07-08,10373685,53884,0.04937247,0.051255
2021-07-07,10381866,36668,0.04997434,0.04937247
2021-07-06,11130677,94817,0.053928,0.04997434
2021-07-05,11253201,117214,0.054143,0.053928
2021-07-04,10743218,88110,0.051600,0.054143
2021-07-03,10856873,128261,0.052217,0.051600
2021-07-02,10786926,137961,0.052480,0.052217
2021-07-01,10820710,91551,0.052089,0.052480
2021-06-30,10543520,80721,0.050296,0.052089
2021-06-29,10275310,33697,0.04952442,0.050296
2021-06-28,9420943,3982.06,0.04547292,0.04952442
2021-06-27,9546870,5112.14,0.04611228,0.04547292
2021-06-26,9921832,9614.49,0.04839583,0.04611228
2021-06-25,10519486,25156,0.050622,0.04839583
2021-06-24,9688862,21592,0.04669369,0.050622
2021-06-23,10048457,92266,0.04829972,0.04669369
2021-06-22,10700337,17963.91,0.051557,0.04829972
2021-06-21,12253882,18231.67,0.059509,0.051557
2021-06-20,12069258,10412.75,0.057790,0.059509
2021-06-19,12821415,33297,0.061696,0.057790
2021-06-18,12700785,47059,0.061115,0.061696
2021-06-17,13065466,109466,0.062732,0.061115
2021-06-16,12558249,17127.72,0.060426,0.062732
2021-06-15,12731961,59872,0.061719,0.060426
2021-06-14,12166029,77665,0.058542,0.061719
2021-06-13,11458950,30696,0.055076,0.058542
2021-06-12,11606823,18233.39,0.056004,0.055076
2021-06-11,11773835,20106,0.056942,0.056004
2021-06-10,12464168,31557,0.059977,0.056942
2021-06-09,12087079,46049,0.058382,0.059977
2021-06-08,13760330,29220,0.065007,0.058382
2021-06-07,13883834,11565.48,0.066880,0.065007
2021-06-06,14148433,46154,0.068232,0.066880
2021-06-05,14346941,106225,0.069141,0.068232
2021-06-04,15233216,32135,0.073302,0.069141
2021-06-03,15301725,21107,0.073476,0.073302
2021-06-02,15310800,41817,0.073336,0.073476
2021-06-01,14509475,17899.60,0.069819,0.073336
2021-05-31,15032982,21177,0.072389,0.069819
2021-05-30,14762452,44713,0.070874,0.072389
2021-05-29,14952310,54665,0.072576,0.070874
2021-05-28,15996404,108326,0.077228,0.072576
2021-05-27,16907357,153834,0.081504,0.077228
2021-05-26,15430305,127501,0.072911,0.081504
2021-05-25,12975448,77036,0.062390,0.072911
2021-05-24,12537378,69342,0.060908,0.062390
2021-05-23,14416992,103390,0.069193,0.060908
2021-05-22,12788326,143182,0.060869,0.069193
2021-05-21,13852885,179847,0.067044,0.060869
2021-05-20,13643129,243399,0.065371,0.067044
2021-05-19,15289089,649853,0.073834,0.065371
2021-05-18,14575980,103258,0.069790,0.073834
2021-05-17,15128740,205727,0.073038,0.069790
2021-05-16,15516770,148611,0.074831,0.073038
2021-05-15,15766874,638702,0.075844,0.074831
2021-05-14,16046999,355700,0.081720,0.075844
2021-05-13,13057600,152392,0.061404,0.081720
2021-05-12,16436191,325428,0.078604,0.061404
2021-05-11,14155550,239541,0.068064,0.078604
2021-05-10,16490886,1440309,0.079191,0.068064
2021-05-09,19368616,2821302,0.089871,0.079191
2021-05-08,11381725,61036,0.054768,0.089871
2021-05-07,11525613,75730,0.055379,0.054768
2021-05-06,12043854,91180,0.057801,0.055379
2021-05-05,11907870,83081,0.056842,0.057801
2021-05-04,13109028,72116,0.063010,0.056842
2021-05-03,12948179,46815,0.062315,0.063010
2021-05-02,13555435,91810,0.065475,0.062315
2021-05-01,13436427,137487,0.065295,0.065475
2021-04-30,12193410,180299,0.058347,0.065295
2021-04-29,12880365,146231,0.061950,0.058347
2021-04-28,12555701,111044,0.060258,0.061950
2021-04-27,13313846,96098,0.064575,0.060258
2021-04-26,12227714,176287,0.058839,0.064575
2021-04-25,12305861,83631,0.059215,0.058839
2021-04-24,13112041,243126,0.063317,0.059215
2021-04-23,14487599,246106,0.069871,0.063317
2021-04-22,15499927,390038,0.074381,0.069871
2021-04-21,17411036,1141589,0.084057,0.074381
2021-04-20,18429414,1432305,0.085423,0.084057
2021-04-19,14516456,511700,0.069515,0.085423
2021-04-18,16540263,525803,0.079455,0.069515
2021-04-17,18922667,596914,0.090873,0.079455
2021-04-16,25205412,1181479,0.120045,0.090873
2021-04-15,30537433,3327166,0.140173,0.120045
2021-04-14,18720279,477938,0.090204,0.140173
2021-04-13,19410452,1840343,0.092891,0.090204
2021-04-12,23267161,7042850,0.114861,0.092891
2021-04-11,21954245,4312963,0.104061,0.114861
2021-04-10,9653584,128995,0.04592346,0.104061
2021-04-09,9980234,137345,0.04787621,0.04592346
2021-04-08,10780354,138471,0.051820,0.04787621
2021-04-07,12891851,87096,0.062304,0.051820
2021-04-06,13074528,134130,0.062596,0.062304
2021-04-05,12919776,84857,0.062147,0.062596
2021-04-04,13047045,96653,0.062781,0.062147
2021-04-03,14007508,133785,0.067276,0.062781
2021-04-02,13834223,25216,0.065692,0.067276
2021-04-01,12585083,85048,0.060559,0.065692
2021-03-31,12739948,101506,0.061523,0.060559
2021-03-30,12869021,80774,0.062058,0.061523
2021-03-29,13449950,124241,0.064874,0.062058
2021-03-28,11433432,77944,0.055002,0.064874
2021-03-27,11289539,92816,0.054319,0.055002
2021-03-26,10880459,54970,0.053751,0.054319
2021-03-25,10563283,57935,0.051012,0.053751
2021-03-24,11431278,99809,0.055072,0.051012
2021-03-23,12394053,108767,0.059586,0.055072
2021-03-22,13352252,95853,0.064205,0.059586
2021-03-21,15257548,78384,0.073204,0.064205
2021-03-20,15062298,136168,0.072505,0.073204
2021-03-19,16051824,9641.49,0.077183,0.072505
2021-03-18,17662778,21765,0.084426,0.077183
2021-03-17,16475300,91105,0.079240,0.084426
2021-03-16,16060658,72447,0.076629,0.079240
2021-03-15,16719348,75997,0.080787,0.076629
2021-03-14,16796296,86960,0.080906,0.080787
2021-03-13,16286407,80582,0.078355,0.080906
2021-03-12,16340743,78274,0.078469,0.078355
2021-03-11,16729233,71446,0.080359,0.078469
2021-03-10,16571367,32623,0.079740,0.080359
2021-03-09,15375332,27453,0.074695,0.079740
2021-03-08,16755118,89116,0.080983,0.074695
2021-03-07,16568990,115607,0.079501,0.080983
2021-03-06,15533613,86581,0.074906,0.079501
2021-03-05,15067493,88136,0.072490,0.074906
2021-03-04,15203440,142943,0.072907,0.072490
2021-03-03,16530900,129380,0.079512,0.072907
2021-03-02,15139450,119693,0.072948,0.079512
2021-03-01,15485004,112822,0.073816,0.072948
2021-02-28,17673620,140756,0.086253,0.073816
2021-02-27,15975090,132325,0.077941,0.086253
2021-02-26,16789178,141767,0.080061,0.077941
2021-02-25,16493076,215272,0.081388,0.080061
2021-02-24,16451744,357979,0.079244,0.081388
2021-02-23,10193100,81248,0.04889230,0.079244
2021-02-22,24399921,129099,0.117395,0.04889230
2021-02-21,35360958,444352,0.170345,0.117395
2021-02-20,29190379,496701,0.128613,0.170345
2021-02-19,12838577,78771,0.062095,0.128613
2021-02-18,15109865,80626,0.065687,0.062095
2021-02-17,14490026,97668,0.069196,0.065687
2021-02-16,13643316,82972,0.065574,0.069196
2021-02-15,14198680,94830,0.067748,0.065574
2021-02-14,14259160,108921,0.068614,0.067748
2021-02-13,16912652,148853,0.081382,0.068614
2021-02-12,13619184,179819,0.065534,0.081382
2021-02-11,10908102,123515,0.052424,0.065534
2021-02-10,10749263,125278,0.052041,0.052424
2021-02-09,10188737,172843,0.050684,0.052041
2021-02-08,8210531,66446,0.03940797,0.050684
2021-02-07,3279483,3748.08,0.01578063,0.03940797
2021-02-06,6520319,66521,0.03151984,0.01578063
2021-02-05,5848001,56361,0.02800266,0.03151984
2021-02-04,7918673,96792,0.03810406,0.02800266
2021-02-03,5642164,63365,0.02709287,0.03810406
2021-02-02,5573160,68553,0.02707497,0.02709287
2021-02-01,3362626,2504.96,0.01623535,0.02707497
2021-01-31,6802920,82273,0.03270745,0.01623535
2021-01-30,5403332,62073,0.02583161,0.03270745
2021-01-29,5403777,63943,0.02613712,0.02583161
2021-01-28,5344835,64170,0.02579349,0.02613712
2021-01-27,5279252,63108,0.02539032,0.02579349
2021-01-26,5157672,62489,0.02476202,0.02539032
2021-01-25,5131044,66903,0.02481824,0.02476202
2021-01-24,4936880,61140,0.02382721,0.02481824
2021-01-23,5058464,64743,0.02438463,0.02382721
2021-01-22,4900410,60955,0.02392916,0.02438463
2021-01-21,5282603,70828,0.02544383,0.02392916
2021-01-20,4690545,65360,0.02223577,0.02544383
2021-01-19,4619665,59787,0.02219132,0.02223577
2021-01-18,4797004,62137,0.02284387,0.02219132
2021-01-17,5054119,67783,0.02423992,0.02284387
2021-01-16,4794597,59534,0.02303404,0.02423992
2021-01-15,4811221,75889,0.02309344,0.02303404
2021-01-14,4469916,60401,0.02145207,0.02309344
2021-01-13,4590998,74749,0.02210308,0.02145207
2021-01-12,4469173,49926,0.02156292,0.02210308
2021-01-11,4996985,58543,0.02406307,0.02156292
2021-01-10,5157797,63297,0.02481893,0.02406307
2021-01-09,5040536,68626,0.02424957,0.02481893
2021-01-08,2908071,35420,0.01399554,0.02424957
2021-01-07,2643435,36955,0.01286458,0.01399554
2021-01-06,2725709,51271,0.01314019,0.01286458
2021-01-05,4330577,97175,0.02083843,0.01314019
2021-01-04,2966512,56699,0.01413950,0.02083843
2021-01-03,2532334,51828,0.01224772,0.01413950
2021-01-02,2292954,46518,0.01103661,0.01224772
2021-01-01,2247717,47559,0.01081866,0.01103661
2020-12-31,2233167,46077,0.01046840,0.01081866
2020-12-30,2184267,46285,0.01055830,0.01046840
2020-12-29,4945170,65547,0.02484364,0.01055830
2020-12-28,2355326,42528,0.01117897,0.02484364
2020-12-27,2296991,32795,0.01100299,0.01117897
2020-12-26,1972433,31981,0.00947497,0.01100299
2020-12-25,4617303,61912,0.02222859,0.00947497
2020-12-24,4486879,57840,0.02154621,0.02222859
2020-12-23,4250783,100823,0.02046818,0.02154621
2020-12-22,2083091,35434,0.01002368,0.02046818
2020-12-21,5084202,64620,0.02450207,0.01002368
2020-12-20,5039630,71942,0.02399377,0.02450207
2020-12-19,5137885,57811,0.02271074,0.02399377
2020-12-18,5388790,55093,0.02597685,0.02271074
2020-12-17,6657574,90764,0.02971505,0.02597685
2020-12-16,4199069,58644,0.02020561,0.02971505
2020-12-15,4176250,59061,0.02000125,0.02020561
2020-12-14,4404966,60070,0.02090877,0.02000125
2020-12-13,4584494,57674,0.02205989,0.02090877
2020-12-12,4932311,57138,0.02369349,0.02205989
2020-12-11,5410463,55184,0.02604197,0.02369349
2020-12-10,5625965,58629,0.02708114,0.02604197
2020-12-09,5766663,67721,0.03221861,0.02708114
2020-12-08,5850718,52011,0.02818486,0.03221861
2020-12-07,6861922,73084,0.03297495,0.02818486
2020-12-06,2988742,594.53,0.01428260,0.03297495
2020-12-05,3131318,2613.99,0.01505851,0.01428260
2020-12-04,3022972,59352,0.02734791,0.01505851
2020-12-03,5929311,61435,0.02852164,0.02734791
2020-12-02,5734604,56840,0.02761921,0.02852164
2020-12-01,6151337,59519,0.02967597,0.02761921
2020-11-30,5531997,57531,0.02661079,0.02967597
2020-11-29,5908000,56162,0.02845393,0.02661079
2020-11-28,6302916,64519,0.03357146,0.02845393
2020-11-27,5547855,52105,0.03466414,0.03357146
2020-11-26,7076335,101846,0.04495585,0.03466414
2020-11-25,7667882,58203,0.03703255,0.04495585
2020-11-24,9792299,67694,0.04773906,0.03703255
2020-11-23,10173569,84988,0.04847854,0.04773906
2020-11-22,8094521,63835,0.03895647,0.04847854
2020-11-21,8182744,93363,0.03937475,0.03895647
2020-11-20,5611959,50486,0.02700342,0.03937475
2020-11-19,8311866,56639,0.04012861,0.02700342
2020-11-18,10759443,61556,0.051793,0.04012861
2020-11-17,11218051,198705,0.053980,0.051793
2020-11-16,9269720,112429,0.04460520,0.053980
2020-11-15,10243280,122652,0.04932422,0.04460520
2020-11-14,10633076,123774,0.051219,0.04932422
2020-11-13,9988174,58463,0.04805198,0.051219
2020-11-12,10871214,60413,0.052311,0.04805198
2020-11-11,11129568,59502,0.053555,0.052311
2020-11-10,11346962,57416,0.054587,0.053555
2020-11-09,11376528,70834,0.054748,0.054587
2020-11-08,8214666,1002.33,0.00364885,0.054748
2020-11-07,8962336,23200,0.04307343,0.00364885
2020-11-06,6927316,129426,0.057981,0.04307343
2020-11-05,5964721,62781,0.02870179,0.057981
2020-11-04,5652079,57650,0.02723935,0.02870179
2020-11-03,6035028,53350,0.02897882,0.02723935
2020-11-02,7461362,43008,0.03595194,0.02897882
2020-11-01,11972340,60522,0.057975,0.03595194
2020-10-31,12469023,63497,0.060000,0.057975
2020-10-30,12338956,55560,0.056927,0.060000
2020-10-29,12483013,69578,0.060068,0.056927
2020-10-28,11007397,64959,0.053099,0.060068
2020-10-27,12497503,83176,0.060204,0.053099
2020-10-26,10380454,251982,0.04988819,0.060204
2020-10-25,2876050,57614,0.01379954,0.04988819
2020-10-24,3125302,60065,0.01501299,0.01379954
2020-10-23,3076235,35553,0.01478395,0.01501299
2020-10-22,3889211,67878,0.01864170,0.01478395
2020-10-21,2896894,44213,0.01390578,0.01864170
2020-10-20,3006415,72632,0.01447644,0.01390578
2020-10-19,2185437,90409,0.01052274,0.01447644
2020-10-18,1707615,64994,0.00821520,0.01052274
2020-10-17,1776794,61966,0.00854290,0.00821520
2020-10-16,1857622,2120.48,0.00919828,0.00854290
2020-10-15,2285685,5699.53,0.00912101,0.00919828
2020-10-14,1902930,5574.54,0.00914991,0.00912101
2020-10-13,1939353,6485.85,0.00931819,0.00914991
2020-10-12,2229036,807.27,0.00964440,0.00931819
2020-10-11,2029032,47998,0.01082297,0.00964440
2020-10-10,2229667,65050,0.01080891,0.01082297
2020-10-09,2161486,31279,0.01040372,0.01080891
2020-10-08,1821195,31284,0.01074710,0.01040372
2020-10-07,2282860,28715,0.01097762,0.01074710
2020-10-06,2401656,26020,0.01157675,0.01097762
2020-10-05,1968320,18810.37,0.00947141,0.01157675
2020-10-04,2112693,4984.20,0.01016757,0.00947141
2020-10-03,2133196,26660,0.01026618,0.01016757
