date,mktcap,vol,open_price,close_price
2021-10-04,219245,8.93,0.00006013,0.00006013
2021-10-03,146955,2.57,0.00006037,0.00006013
2021-10-02,146955,2.57,0.00006037,0.00006037
2021-10-01,212023,0.573261,0.00005443,0.00006037
2021-09-30,146955,0.573261,0.00005443,0.00005443
2021-09-26,210208,0.096648,0.00007853,0.00005443
2021-09-25,225800,13.49,0.00007816,0.00007853
2021-09-24,181794,6.06,0.00006733,0.00007816
2021-09-23,217008,4.54,0.00008037,0.00006733
2021-09-22,217008,4.54,0.00008037,0.00008037
2021-09-21,155100,0.179855,0.00005744,0.00008037
2021-09-20,268015,32.62,0.00009926,0.00005744
2021-09-19,281774,1.28,0.00010511,0.00009926
2021-09-18,289107,2.07,0.00007385,0.00010511
2021-09-17,211448,4.37,0.00007879,0.00007385
2021-09-16,214339,9.54,0.00007944,0.00007879
2021-09-15,198198,52.20,0.00007469,0.00007944
2021-09-14,162202,132.97,0.00006019,0.00007469
2021-09-13,139526,8.03,0.00005140,0.00006019
2021-09-12,190106,26.32,0.00004931,0.00005140
2021-09-11,172834,6.13,0.00006446,0.00004931
2021-09-10,125952,0.384600,0.00004845,0.00006446
2021-09-09,124977,14.58,0.00004708,0.00004845
2021-09-08,205264,0.609996,0.00006778,0.00004708
2021-09-07,245373,18.38,0.00009082,0.00006778
2021-09-06,171172,35.71,0.00006340,0.00009082
2021-09-05,153086,20.81,0.00005670,0.00006340
2021-09-04,160371,47.02,0.00005542,0.00005670
2021-09-03,158785,1.78,0.00005788,0.00005542
2021-09-02,151552,0.866783,0.00005613,0.00005788
2021-09-01,174161,0.087247,0.00006431,0.00005613
2021-08-31,173132,5.32,0.00006412,0.00006431
2021-08-30,196761,15.61,0.00007282,0.00006412
2021-08-29,132110,29.43,0.00004968,0.00007282
2021-08-28,136030,94.18,0.00004922,0.00004968
2021-08-27,111234,308.73,0.00004866,0.00004922
2021-08-26,176259,0.051537,0.00006597,0.00004866
2021-08-25,128850,19.43,0.00004772,0.00006597
2021-08-24,136937,6.50,0.00005072,0.00004772
2021-08-23,191141,0.922286,0.00007049,0.00005072
2021-08-22,190869,1.78,0.00007079,0.00007049
2021-08-21,188960,0.281132,0.00006999,0.00007079
2021-08-20,193984,2.73,0.00007185,0.00006999
2021-08-19,132006,2.47,0.00004889,0.00007185
2021-08-18,130519,114.30,0.00004834,0.00004889
2021-08-17,147030,0.116012,0.00005475,0.00004834
2021-08-16,209445,3.18,0.00005227,0.00005475
2021-08-15,136796,72.61,0.00005052,0.00005227
2021-08-14,164418,3.95,0.00004649,0.00005052
2021-08-13,162520,0.056488,0.00006019,0.00004649
2021-08-12,124367,101.47,0.00006305,0.00006019
2021-08-11,121051,0.065265,0.00004483,0.00006305
2021-08-10,115397,3.43,0.00004287,0.00004483
2021-08-09,118598,9.19,0.00006513,0.00004287
2021-08-08,109876,10.91,0.00004191,0.00006513
2021-08-07,109876,10.91,0.00004191,0.00004191
2021-08-06,115948,0.04295431,0.00004489,0.00004191
2021-08-05,115015,12.03,0.00004294,0.00004489
2021-08-04,115015,12.03,0.00004294,0.00004294
2021-08-03,115015,17.99,0.00004260,0.00004294
2021-08-02,115525,8.54,0.00004270,0.00004260
2021-08-01,111352,218.09,0.00004173,0.00004270
2021-07-31,154973,7.79,0.00005740,0.00004173
2021-07-30,153735,0.02710263,0.00005707,0.00005740
2021-07-29,155367,5.07,0.00005754,0.00005707
2021-07-28,109463,18.63,0.00003735,0.00005754
2021-07-27,111221,0.404607,0.00004054,0.00003735
2021-07-26,148982,3.13,0.00003979,0.00004054
