date,mktcap,vol,open_price,close_price
2021-10-04,7951960,83187,0.735702,0.669897
2021-10-03,9034320,72960,0.809612,0.735702
2021-10-02,9873247,90752,0.908175,0.809612
2021-10-01,7226673,208037,0.778000,0.908175
2021-09-30,7519376,86921,0.811034,0.778000
2021-09-29,8510511,218691,0.914786,0.811034
2021-09-28,7599822,121822,0.822179,0.914786
2021-09-27,8644216,147996,0.921113,0.822179
2021-09-26,8106201,112976,0.893738,0.921113
2021-09-25,8860515,137726,0.954362,0.893738
2021-09-24,10134410,167573,1.10,0.954362
2021-09-23,12111217,518929,1.31,1.10
2021-09-22,8618304,499184,0.939460,1.31
2021-09-21,6980164,330526,0.694466,0.939460
2021-09-20,10973846,104432,1.20,0.694466
2021-09-19,11108507,314108,1.22,1.20
2021-09-18,10875357,294847,1.20,1.22
2021-09-17,11517865,380361,1.28,1.20
2021-09-16,9978770,156848,1.09,1.28
2021-09-15,9339431,286906,1.03,1.09
2021-09-14,7103053,131008,0.778955,1.03
2021-09-13,8094737,57845,0.893544,0.778955
2021-09-12,7865805,72947,0.872575,0.893544
2021-09-11,7902214,75978,0.886484,0.872575
2021-09-10,8173836,253230,0.903623,0.886484
2021-09-09,10569335,513284,1.15,0.903623
2021-09-08,7055842,294897,0.782454,1.15
2021-09-07,10122695,134930,1.10,0.782454
2021-09-06,11288265,208000,1.26,1.10
2021-09-05,11278230,614328,1.38,1.26
2021-09-04,13759046,597004,1.54,1.38
2021-09-03,12206280,578692,1.36,1.54
2021-09-02,12124370,353485,1.37,1.36
2021-09-01,11740653,657408,1.59,1.37
2021-08-31,11700783,819198,1.70,1.59
2021-08-30,16620092,2929355,2.28,1.70
2021-08-29,14921384,2980080,2.15,2.28
2021-08-28,8223897,290782,1.14,2.15
2021-08-27,7516624,803432,0.998044,1.14
2021-08-26,5474499,186431,0.769779,0.998044
2021-08-25,5844998,129495,0.818466,0.769779
2021-08-24,6052942,384906,0.863692,0.818466
2021-08-23,5009477,387597,0.736269,0.863692
2021-08-22,3568139,116564,0.504654,0.736269
2021-08-21,3622998,190472,0.509391,0.504654
2021-08-20,3394174,155606,0.495587,0.509391
2021-08-19,3360518,70849,0.483572,0.495587
2021-08-18,3951522,53797,0.580726,0.483572
2021-08-17,4289260,13462.37,0.635608,0.580726
2021-08-16,4649134,18942.85,0.689806,0.635608
2021-08-15,4464993,196468,0.665763,0.689806
2021-08-14,4179217,14652.99,0.624761,0.665763
2021-08-13,3740742,54305,0.559168,0.624761
2021-08-12,3704566,247459,0.552374,0.559168
2021-08-11,4918492,172223,0.726480,0.552374
2021-08-10,4300212,80974,0.666954,0.726480
2021-08-09,4877258,55200,0.732620,0.666954
2021-08-08,5381931,55893,0.818505,0.732620
2021-08-07,5746689,78638,0.873946,0.818505
2021-08-06,6104055,208716,0.930294,0.873946
2021-08-05,5365631,409411,0.821896,0.930294
2021-08-04,4844187,321714,0.752665,0.821896
2021-08-03,4969774,336399,0.694713,0.752665
2021-08-02,5209215,217876,0.739236,0.694713
2021-08-01,4397376,99513,0.969220,0.739236
2021-07-31,3315142,150178,0.738992,0.969220
2021-07-30,3938597,199059,0.865560,0.738992
2021-07-29,4077702,175195,0.904564,0.865560
2021-07-28,3406823,107956,0.764304,0.904564
2021-07-27,3315476,543399,0.739780,0.764304
2021-07-26,3664350,318419,0.829559,0.739780
2021-07-25,3297787,378249,0.746052,0.829559
2021-07-24,2353063,179326,0.536267,0.746052
2021-07-23,1984878,72275,0.457373,0.536267
2021-07-22,1593928,8353.87,0.370463,0.457373
2021-07-21,1400363,12579.07,0.326245,0.370463
2021-07-20,1533349,10659.52,0.358899,0.326245
2021-07-19,1658635,35333,0.398133,0.358899
2021-07-18,1591795,31257,0.383123,0.398133
2021-07-17,1798272,151846,0.432950,0.383123
2021-07-16,1952362,264133,0.472465,0.432950
2021-07-15,1145924,17928.85,0.277777,0.472465
2021-07-14,1151559,5912.42,0.279307,0.277777
2021-07-13,1221542,33466,0.299222,0.279307
2021-07-12,1297795,8337.34,0.319243,0.299222
2021-07-11,1346684,20745,0.332400,0.319243
2021-07-10,1375159,3923.93,0.339027,0.332400
2021-07-09,1324862,9032.17,0.329924,0.339027
2021-07-08,1524082,8726.75,0.378919,0.329924
2021-07-07,1518938,31156,0.384837,0.378919
2021-07-06,1408359,49183,0.358005,0.384837
2021-07-05,1848223,58746,0.477807,0.358005
2021-07-04,1387310,67112,0.361243,0.477807
2021-07-03,1309717,34087,0.340427,0.361243
2021-07-02,1785935,20425,0.383241,0.340427
2021-07-01,1017966,6512.81,0.476437,0.383241
2021-06-30,1007411,111179,0.473455,0.476437
2021-06-29,1067165,2832.09,0.519080,0.473455
2021-06-28,988781,17455.01,0.482235,0.519080
2021-06-27,1040887,10749.41,0.509084,0.482235
2021-06-26,1002822,29666,0.491622,0.509084
2021-06-25,1040057,25885,0.506412,0.491622
2021-06-24,991971,17825.08,0.489075,0.506412
2021-06-23,937449,20365,0.467856,0.489075
2021-06-22,1046965,38248,0.522914,0.467856
2021-06-21,1296475,18099.74,0.657944,0.522914
2021-06-20,1347928,68326,0.685259,0.657944
2021-06-19,1330022,9375.28,0.684054,0.685259
2021-06-18,1398895,149654,0.716448,0.684054
2021-06-17,1307375,43007,0.669294,0.716448
2021-06-16,1369024,141927,0.706408,0.669294
2021-06-15,1356837,48832,0.715710,0.706408
2021-06-14,1190462,56509,0.669607,0.715710
2021-06-13,1292842,18502.61,0.727399,0.669607
2021-06-12,1330760,25368,0.753194,0.727399
2021-06-11,1331149,43556,0.753379,0.753194
2021-06-10,1560957,41249,0.885591,0.753379
2021-06-09,1513338,94335,0.864846,0.885591
2021-06-08,1358916,38336,0.785965,0.864846
2021-06-07,1587600,90371,0.935987,0.785965
2021-06-06,1802957,118353,1.07,0.935987
2021-06-05,1685865,210326,0.999517,1.07
2021-06-04,2149535,534440,1.30,0.999517
2021-06-03,1338208,464970,0.829745,1.30
2021-06-02,2848570,1322463,0.859123,0.829745
2021-06-01,0.000000000000,5283661,1.33,0.859123
2021-05-31,0.000000000000,5283661,1.33,1.33
