date,mktcap,vol,open_price,close_price
2021-10-04,4267333,450341,0.051139,0.04751013
2021-10-03,3694705,173397,0.04431227,0.051139
2021-10-02,3607394,465489,0.04325544,0.04431227
2021-10-01,3321867,177561,0.03987200,0.04325544
2021-09-30,3227642,277449,0.03882184,0.03987200
2021-09-29,3119176,152361,0.03728942,0.03882184
2021-09-28,3296928,179213,0.03935850,0.03728942
2021-09-27,3407922,129992,0.04099686,0.03935850
2021-09-26,3588105,525614,0.04309029,0.04099686
2021-09-25,3718990,926155,0.04464180,0.04309029
2021-09-24,3799143,112723,0.04565364,0.04464180
2021-09-23,3679361,154173,0.04418073,0.04565364
2021-09-22,3071780,138816,0.03754629,0.04418073
2021-09-21,3562685,323588,0.04273000,0.03754629
2021-09-20,4122064,94276,0.04945831,0.04273000
2021-09-19,4037780,109729,0.04852087,0.04945831
2021-09-18,4188025,228222,0.050113,0.04852087
2021-09-17,4194961,797320,0.050402,0.050113
2021-09-16,4218559,729388,0.050670,0.050402
2021-09-15,4337405,298083,0.052079,0.050670
2021-09-14,4004442,715006,0.04808608,0.052079
2021-09-13,4231709,94482,0.050946,0.04808608
2021-09-12,4231920,620993,0.050870,0.050946
2021-09-11,4282825,195706,0.051422,0.050870
2021-09-10,4295511,161621,0.051503,0.051422
2021-09-09,4124797,239578,0.04940454,0.051503
2021-09-08,4240183,328433,0.051186,0.04940454
2021-09-07,5508382,269096,0.066132,0.051186
2021-09-06,5816817,365550,0.069851,0.066132
2021-09-05,5434129,1114208,0.065234,0.069851
2021-09-04,5198876,886207,0.062543,0.065234
2021-09-03,5164332,661666,0.061918,0.062543
2021-09-02,5082005,463495,0.061052,0.061918
2021-09-01,5216312,427109,0.062508,0.061052
2021-08-31,4939068,369981,0.059252,0.062508
2021-08-30,5150632,339033,0.061843,0.059252
2021-08-29,5270043,210605,0.063300,0.061843
2021-08-28,5521625,269809,0.066202,0.063300
2021-08-27,5109106,439698,0.061430,0.066202
2021-08-26,5699963,431884,0.068224,0.061430
2021-08-25,5930718,1238138,0.070124,0.068224
2021-08-24,6156844,508644,0.074888,0.070124
2021-08-23,6134220,498637,0.073272,0.074888
2021-08-22,6434832,1404588,0.077258,0.073272
2021-08-21,5947029,557704,0.071647,0.077258
2021-08-20,5900870,606701,0.071942,0.071647
2021-08-19,6718960,380730,0.080672,0.071942
2021-08-18,7467677,738513,0.088930,0.080672
2021-08-17,7998562,529221,0.096062,0.088930
2021-08-16,7718053,1115685,0.093563,0.096062
2021-08-15,7790145,861424,0.093532,0.093563
2021-08-14,7301694,1135366,0.087669,0.093532
2021-08-13,7147683,1701011,0.085981,0.087669
2021-08-12,7052521,1979581,0.084114,0.085981
2021-08-11,6872600,1938478,0.082716,0.084114
2021-08-10,6860888,1243426,0.082081,0.082716
2021-08-09,7028345,2348248,0.079137,0.082081
2021-08-08,6383018,2890801,0.080679,0.079137
2021-08-07,7437239,2541798,0.090915,0.080679
2021-08-06,7532697,2194453,0.090555,0.090915
2021-08-05,7238260,1105265,0.086888,0.090555
2021-08-04,6963652,1370414,0.083609,0.086888
2021-08-03,6914006,1134898,0.082910,0.083609
2021-08-02,6991311,1718876,0.084559,0.082910
2021-08-01,7049644,1763200,0.084471,0.084559
2021-07-31,6832318,2702135,0.081996,0.084471
2021-07-30,5941822,2076437,0.071438,0.081996
2021-07-29,7338301,1145856,0.079107,0.071438
2021-07-28,6696214,1012123,0.080851,0.079107
2021-07-27,6988572,1413624,0.081392,0.080851
2021-07-26,7349549,656736,0.088243,0.081392
2021-07-25,7874973,585453,0.095163,0.088243
2021-07-24,7513603,733825,0.090673,0.095163
2021-07-23,6984684,374047,0.083694,0.090673
2021-07-22,6861349,294062,0.082865,0.083694
2021-07-21,5795382,429562,0.070729,0.082865
2021-07-20,6549701,392332,0.078642,0.070729
2021-07-19,7519935,190715,0.090079,0.078642
2021-07-18,7205577,422521,0.086514,0.090079
2021-07-17,7663138,363549,0.092008,0.086514
2021-07-16,8288210,1026583,0.099439,0.092008
2021-07-15,9583625,681683,0.116599,0.099439
2021-07-14,8589826,432520,0.103238,0.116599
2021-07-13,8366274,565495,0.099925,0.103238
2021-07-12,8478437,741879,0.101120,0.099925
2021-07-11,8599632,739045,0.103343,0.101120
2021-07-10,7606686,558028,0.091540,0.103343
2021-07-09,7775323,648926,0.093502,0.091540
2021-07-08,8723466,1775791,0.104788,0.093502
2021-07-07,7203959,2085613,0.086722,0.104788
2021-07-06,6509990,949873,0.078269,0.086722
2021-07-05,6986861,1587288,0.083909,0.078269
2021-07-04,6240582,657913,0.074878,0.083909
2021-07-03,6163332,484260,0.074098,0.074878
2021-07-02,6307588,668500,0.075739,0.074098
2021-07-01,6375508,589194,0.076547,0.075739
2021-06-30,6547247,1249836,0.078454,0.076547
2021-06-29,6499653,1042683,0.078038,0.078454
2021-06-28,6179468,343356,0.074097,0.078038
2021-06-27,6206460,1617340,0.074485,0.074097
2021-06-26,6309608,611799,0.075669,0.074485
2021-06-25,6310500,766207,0.075807,0.075669
2021-06-24,6396435,806709,0.076227,0.075807
2021-06-23,6029678,1364052,0.072556,0.076227
2021-06-22,5709253,1242334,0.068541,0.072556
2021-06-21,5590038,1035291,0.067098,0.068541
2021-06-20,5348659,1046775,0.064115,0.067098
2021-06-19,5106371,1300666,0.061624,0.064115
2021-06-18,4633946,822335,0.055517,0.061624
2021-06-17,4367100,1459996,0.052047,0.055517
2021-06-16,4233912,1043790,0.050833,0.052047
2021-06-15,4489935,785602,0.053909,0.050833
2021-06-14,4304155,249616,0.051678,0.053909
2021-06-13,4434442,489054,0.052998,0.051678
2021-06-12,4152801,634625,0.04979489,0.052998
2021-06-11,4595773,736591,0.054876,0.04979489
2021-06-10,4854893,736423,0.058286,0.054876
2021-06-09,4532056,539659,0.054206,0.058286
2021-06-08,4869605,1156953,0.058339,0.054206
2021-06-07,5393584,1448184,0.064719,0.058339
2021-06-06,4910342,722536,0.059220,0.064719
2021-06-05,5363610,937137,0.064146,0.059220
2021-06-04,5899606,1734473,0.070772,0.064146
2021-06-03,6690611,1941879,0.080214,0.070772
2021-06-02,5866665,499543,0.070461,0.080214
2021-06-01,5221229,151930,0.062702,0.070461
2021-05-31,5012823,121298,0.060173,0.062702
2021-05-30,4757762,94651,0.056953,0.060173
2021-05-29,5098538,137675,0.061214,0.056953
2021-05-28,5945952,148775,0.071434,0.061214
2021-05-27,5886903,199004,0.070683,0.071434
2021-05-26,5595867,210020,0.067065,0.070683
2021-05-25,5514642,280336,0.066322,0.067065
2021-05-24,4271749,347598,0.051399,0.066322
2021-05-23,5453253,313918,0.065482,0.051399
2021-05-22,5555313,625505,0.066445,0.065482
2021-05-21,6708519,773989,0.080894,0.066445
2021-05-20,7313171,819190,0.085513,0.080894
2021-05-19,9835056,440268,0.118523,0.085513
2021-05-18,10041261,641268,0.119727,0.118523
2021-05-17,10687576,657485,0.128790,0.119727
2021-05-16,11163314,681568,0.133619,0.128790
2021-05-15,11592419,1937712,0.139857,0.133619
2021-05-14,10678976,1294680,0.128847,0.139857
2021-05-13,11462342,2110643,0.136663,0.128847
2021-05-12,13576022,2910839,0.163506,0.136663
2021-05-11,13838038,7811206,0.164566,0.163506
2021-05-10,12090113,2330368,0.145840,0.164566
2021-05-09,11166291,1200754,0.134023,0.145840
2021-05-08,10458720,1267475,0.125555,0.134023
2021-05-07,10463751,1870802,0.125952,0.125555
2021-05-06,9056304,1066721,0.108302,0.125952
2021-05-05,8542829,600827,0.101654,0.108302
2021-05-04,9606611,905932,0.114947,0.101654
2021-05-03,10002720,852062,0.120081,0.114947
2021-05-02,10837806,1367541,0.130106,0.120081
2021-05-01,9912635,759825,0.118388,0.130106
2021-04-30,9132305,851778,0.109599,0.118388
2021-04-29,10147902,846679,0.121439,0.109599
2021-04-28,11021700,1019557,0.131363,0.121439
2021-04-27,10829644,1208863,0.130392,0.131363
2021-04-26,10404417,1521621,0.125938,0.130392
2021-04-25,13986768,2193021,0.175956,0.125938
2021-04-24,10946737,1125608,0.132655,0.175956
2021-04-23,12620446,2772608,0.151617,0.132655
2021-04-22,16580283,1902414,0.199278,0.151617
2021-04-21,14748853,1775516,0.177678,0.199278
2021-04-20,14972482,1506248,0.180079,0.177678
2021-04-19,17413940,2535965,0.210853,0.180079
2021-04-18,16167329,2132798,0.193372,0.210853
2021-04-17,17597959,4003483,0.205089,0.193372
2021-04-16,17685766,2173617,0.211486,0.205089
2021-04-15,14095433,1898557,0.170374,0.211486
2021-04-14,18728975,1720355,0.224646,0.170374
