date,mktcap,vol,open_price,close_price
2021-10-04,59663225,8283966,3.48,3.37
2021-10-03,59532091,10941780,3.47,3.48
2021-10-02,56918758,530120,3.17,3.47
2021-10-01,51998508,20358589,3.02,3.17
2021-09-30,45971214,928860,2.67,3.02
2021-09-29,47159611,6955893,2.74,2.67
2021-09-28,51721284,5701081,3.00,2.74
2021-09-27,53259906,7614879,3.10,3.00
2021-09-26,54734274,5941278,3.18,3.10
2021-09-25,55660658,9712036,3.24,3.18
2021-09-24,58956701,6367178,3.44,3.24
2021-09-23,55469185,7922823,3.42,3.44
2021-09-22,52703836,593254,2.97,3.42
2021-09-21,59054803,9000137,3.46,2.97
2021-09-20,69321964,5602620,4.04,3.46
2021-09-19,71221844,3290997,4.14,4.04
2021-09-18,71272954,6737101,4.12,4.14
2021-09-17,71068101,15864136,4.20,4.12
2021-09-16,71585208,5101616,4.15,4.20
2021-09-15,70730898,5292580,4.09,4.15
2021-09-14,65954696,373538,3.83,4.09
2021-09-13,73257184,19681565,4.27,3.83
2021-09-12,71745637,5164941,4.17,4.27
2021-09-11,71683295,36656460,4.17,4.17
2021-09-10,74754487,11250768,4.35,4.17
2021-09-09,71547453,18001207,4.13,4.35
2021-09-08,72545161,31454570,4.23,4.13
2021-09-07,88097397,30206920,5.13,4.23
2021-09-06,86617084,172662985,5.01,5.13
2021-09-05,87775645,39347458,5.10,5.01
2021-09-04,83533244,40734567,4.86,5.10
2021-09-03,79742126,91266549,4.66,4.86
2021-09-02,77409143,40577411,4.50,4.66
2021-09-01,77229220,37259117,4.40,4.50
2021-08-31,71808198,22862885,4.22,4.40
2021-08-30,74000599,12434864,4.29,4.22
2021-08-29,74998309,12471434,4.36,4.29
2021-08-28,76184563,30849905,4.43,4.36
2021-08-27,74114603,20409678,4.28,4.43
2021-08-26,79298909,32037928,4.60,4.28
2021-08-25,77621204,55861904,4.54,4.60
2021-08-24,78440837,51910120,4.55,4.54
2021-08-23,71495894,14991210,4.13,4.55
2021-08-22,71974233,16579414,4.17,4.13
2021-08-21,70959827,12308458,4.12,4.17
2021-08-20,67624087,10497556,4.02,4.12
2021-08-19,68330126,21753794,3.96,4.02
2021-08-18,69777365,38191694,4.08,3.96
2021-08-17,74491230,18930690,4.35,4.08
2021-08-16,75706709,44628504,4.41,4.35
2021-08-15,75104943,76889584,4.37,4.41
2021-08-14,72211321,17736188,4.24,4.37
2021-08-13,69788188,48128961,4.06,4.24
2021-08-12,71843259,38219423,4.17,4.06
2021-08-11,70153042,90695052,4.08,4.17
2021-08-10,68074762,20565956,3.99,4.08
2021-08-09,67415656,12755862,3.92,3.99
2021-08-08,69634565,40305600,4.05,3.92
2021-08-07,66446361,34746212,3.85,4.05
2021-08-06,63484599,12942460,3.68,3.85
2021-08-05,62821646,16482549,3.66,3.68
2021-08-04,62393801,23369275,3.60,3.66
2021-08-03,63278518,13622154,3.67,3.60
2021-08-02,61882923,18831886,3.65,3.67
2021-08-01,64986395,19987310,3.78,3.65
2021-07-31,65547784,92412132,3.81,3.78
2021-07-30,65490792,260166592,3.82,3.81
2021-07-29,59587502,37895161,3.46,3.82
2021-07-28,59008783,19518665,3.45,3.46
2021-07-27,58272927,51904260,3.38,3.45
2021-07-26,63862417,4218380,3.72,3.38
2021-07-25,55590188,35375271,3.24,3.72
2021-07-24,52667602,28878704,3.08,3.24
2021-07-23,50245639,17555859,2.94,3.08
2021-07-22,48593497,21863866,2.83,2.94
2021-07-21,45141640,52431964,2.62,2.83
2021-07-20,50019354,8899941,2.88,2.62
2021-07-19,53197911,6571235,3.15,2.88
2021-07-18,53788939,9823675,3.14,3.15
2021-07-17,55455448,344586,3.23,3.14
2021-07-16,58733893,37150996,3.43,3.23
2021-07-15,60075100,23007392,3.49,3.43
2021-07-14,63645714,55541866,3.71,3.49
2021-07-13,75263041,552783776,4.46,3.71
2021-07-12,63680303,6574760,3.76,4.46
2021-07-11,46917575,4940526,2.73,3.76
2021-07-10,47297361,9220819,2.75,2.73
2021-07-09,47893771,13414679,2.78,2.75
2021-07-08,56610758,13408155,3.29,2.78
2021-07-07,54714983,8347308,3.20,3.29
2021-07-06,54810369,30743951,3.19,3.20
2021-07-05,52719942,15914853,3.06,3.19
2021-07-04,51941539,127136221,3.02,3.06
2021-07-03,47838936,8271892,2.78,3.02
2021-07-02,47795847,11340501,2.78,2.78
2021-07-01,46975605,25251141,2.73,2.78
2021-06-30,41949402,19189061,2.45,2.73
2021-06-29,37932365,8279198,2.21,2.45
2021-06-28,32777458,2100155,1.91,2.21
2021-06-27,31994275,2134238,1.88,1.91
2021-06-26,32538109,16296857,1.90,1.88
2021-06-25,33544629,15500945,1.97,1.90
2021-06-24,28817371,4690215,1.68,1.97
2021-06-23,26246737,9964618,1.53,1.68
2021-06-22,26012316,3830284,1.77,1.53
2021-06-21,38567056,5049112,2.57,1.77
2021-06-20,40776129,3896166,2.73,2.57
2021-06-19,42379422,7078179,2.82,2.73
2021-06-18,46260919,3771986,3.12,2.82
2021-06-17,48829914,10243736,3.27,3.12
2021-06-16,51456155,6074752,3.45,3.27
2021-06-15,50708541,7272345,3.40,3.45
2021-06-14,48459769,4613354,3.27,3.40
2021-06-13,47213693,7239677,3.15,3.27
2021-06-12,57643496,9646896,3.90,3.15
2021-06-11,67124276,10943276,4.48,3.90
2021-06-10,65818363,5897938,4.40,4.48
2021-06-09,64949361,9302089,4.32,4.40
2021-06-08,70708399,21528420,4.65,4.32
2021-06-07,76920221,126388012,5.15,4.65
2021-06-06,74678089,16231096,5.01,5.15
2021-06-05,78178979,90696724,5.25,5.01
2021-06-04,76451060,9060620,5.11,5.25
2021-06-03,74859149,12690601,5.04,5.11
2021-06-02,74627701,6390362,4.97,5.04
2021-06-01,76824874,5192420,5.12,4.97
2021-05-31,75314272,5249960,5.02,5.12
2021-05-30,76075652,5349993,5.11,5.02
2021-05-29,77887534,20294192,5.30,5.11
2021-05-28,86114109,13936277,5.76,5.30
2021-05-27,91043887,40551400,6.05,5.76
2021-05-26,88877865,29681311,5.98,6.05
2021-05-25,88236983,23661535,6.13,5.98
2021-05-24,85349243,48164414,5.98,6.13
2021-05-23,102994865,151123678,7.14,5.98
2021-05-22,87352087,109729309,6.98,7.14
2021-05-21,75543801,79646658,6.03,6.98
2021-05-20,70901807,198470191,5.55,6.03
2021-05-19,78411254,109274851,6.10,5.55
2021-05-18,70595777,7784872,5.45,6.10
2021-05-17,77786428,5749555,6.11,5.45
2021-05-16,78642096,11126220,6.15,6.11
2021-05-15,83876429,9205809,6.48,6.15
2021-05-14,81703493,44396484,6.33,6.48
2021-05-13,79216927,29945276,5.88,6.33
2021-05-12,92194728,37543489,7.24,5.88
2021-05-11,88053438,9908156,6.86,7.24
2021-05-10,95039597,18683054,7.41,6.86
2021-05-09,96779808,18715605,7.60,7.41
2021-05-08,97939130,57798053,7.59,7.60
2021-05-07,96685624,18068801,7.57,7.59
2021-05-06,103440848,23407406,8.04,7.57
2021-05-05,101786045,29425418,8.06,8.04
2021-05-04,109830248,54085231,8.92,8.06
2021-05-03,0.000000000000,33293394,8.86,8.92
2021-05-02,0.000000000000,48317466,9.11,8.86
2021-05-01,0.000000000000,80829277,9.33,9.11
2021-04-30,0.000000000000,304932635,9.57,9.33
2021-04-29,0.000000000000,78856550,8.51,9.57
2021-04-28,0.000000000000,166242338,8.99,8.51
2021-04-27,0.000000000000,394897403,8.75,8.99
2021-04-26,0.000000000000,1460274566,8.04,8.75
2021-04-25,0.000000000000,7602041,5.25,8.04
2021-04-24,0.000000000000,14942702,5.54,5.25
2021-04-23,0.000000000000,11150090,5.72,5.54
2021-04-22,0.000000000000,36529450,7.56,5.72
2021-04-21,0.000000000000,47266047,7.42,7.56
2021-04-20,0.000000000000,251192025,7.86,7.42
2021-04-19,0.000000000000,12402711,7.40,7.86
2021-04-18,0.000000000000,9844507,8.14,7.40
2021-04-17,0.000000000000,16623045,8.06,8.14
2021-04-16,0.000000000000,12145390,9.01,8.06
2021-04-15,0.000000000000,20278149,8.53,9.01
2021-04-14,0.000000000000,18390503,9.56,8.53
2021-04-13,0.000000000000,28733731,9.94,9.56
2021-04-12,0.000000000000,280796257,10.72,9.94
2021-04-11,0.000000000000,20186056,10.08,10.72
2021-04-10,0.000000000000,63696009,10.86,10.08
2021-04-09,0.000000000000,76098511,9.44,10.86
2021-04-08,0.000000000000,24325950,7.94,9.44
2021-04-07,0.000000000000,27503520,9.97,7.94
2021-04-06,0.000000000000,31055980,10.70,9.97
2021-04-05,0.000000000000,60082128,12.33,10.70
2021-04-04,0.000000000000,149089190,11.63,12.33
2021-04-03,0.000000000000,581550452,13.43,11.63
2021-04-02,0.000000000000,28207083,9.04,13.43
2021-04-01,0.000000000000,27680851,8.59,9.04
2021-03-31,0.000000000000,64491126,8.74,8.59
2021-03-30,0.000000000000,111822318,8.02,8.74
2021-03-29,0.000000000000,10666103,7.24,8.02
2021-03-28,0.000000000000,6994904,7.01,7.24
2021-03-27,0.000000000000,5313601,6.87,7.01
2021-03-26,0.000000000000,9357683,6.56,6.87
2021-03-25,0.000000000000,64793868,6.99,6.56
2021-03-24,0.000000000000,9481832,6.92,6.99
2021-03-23,0.000000000000,18832492,7.21,6.92
2021-03-22,0.000000000000,12808984,7.37,7.21
2021-03-21,0.000000000000,28732332,7.09,7.37
2021-03-20,0.000000000000,11466440,7.64,7.09
2021-03-19,0.000000000000,6586806,7.08,7.64
2021-03-18,0.000000000000,14263489,7.39,7.08
2021-03-17,0.000000000000,16387967,7.20,7.39
2021-03-16,0.000000000000,128913276,7.55,7.20
2021-03-15,0.000000000000,44312198,6.57,7.55
2021-03-14,0.000000000000,23394751,6.42,6.57
2021-03-13,0.000000000000,15097613,6.10,6.42
2021-03-12,0.000000000000,12144333,6.06,6.10
2021-03-11,0.000000000000,45470726,6.00,6.06
2021-03-10,0.000000000000,9733335,5.71,6.00
2021-03-09,0.000000000000,10745230,5.36,5.71
2021-03-08,0.000000000000,10742588,5.19,5.36
2021-03-07,0.000000000000,15468753,4.97,5.19
2021-03-06,0.000000000000,8047537,4.85,4.97
2021-03-05,0.000000000000,28200920,4.67,4.85
2021-03-04,0.000000000000,10968081,4.53,4.67
2021-03-03,0.000000000000,21370786,4.29,4.53
2021-03-02,0.000000000000,32730540,4.16,4.29
2021-03-01,0.000000000000,7416905,3.62,4.16
2021-02-28,0.000000000000,18686417,4.13,3.62
2021-02-27,0.000000000000,202608157,4.74,4.13
2021-02-26,0.000000000000,107477973,3.55,4.74
2021-02-25,0.000000000000,7169516,3.26,3.55
2021-02-24,0.000000000000,9466454,3.06,3.26
2021-02-23,0.000000000000,13701804,4.13,3.06
2021-02-22,0.000000000000,66745550,4.82,4.13
2021-02-21,0.000000000000,9304811,4.27,4.82
2021-02-20,0.000000000000,10759575,4.50,4.27
2021-02-19,0.000000000000,50520258,4.68,4.50
2021-02-18,0.000000000000,57112478,3.56,4.68
2021-02-17,0.000000000000,3139519,3.07,3.56
2021-02-16,0.000000000000,5877328,3.03,3.07
2021-02-15,0.000000000000,17780036,3.19,3.03
2021-02-14,0.000000000000,5892383,3.07,3.19
2021-02-13,0.000000000000,4929610,2.86,3.07
2021-02-12,0.000000000000,3613836,2.79,2.86
2021-02-11,0.000000000000,3041762,2.69,2.79
2021-02-10,0.000000000000,1880074,2.57,2.69
2021-02-09,0.000000000000,3034252,2.48,2.57
2021-02-08,0.000000000000,2636936,2.44,2.48
2021-02-07,0.000000000000,5107811,2.46,2.44
2021-02-06,0.000000000000,6576588,2.58,2.46
2021-02-05,0.000000000000,1105152,2.34,2.58
2021-02-04,0.000000000000,952446,2.36,2.34
2021-02-03,0.000000000000,635431,2.27,2.36
2021-02-02,0.000000000000,995568,2.22,2.27
2021-02-01,0.000000000000,1951347,2.38,2.22
2021-01-31,0.000000000000,886824,2.32,2.38
2021-01-30,0.000000000000,1487293,2.34,2.32
2021-01-29,0.000000000000,3250329,2.41,2.34
2021-01-28,0.000000000000,13958093,2.40,2.41
2021-01-27,0.000000000000,1009537,2.53,2.40
2021-01-26,0.000000000000,548641,2.52,2.53
2021-01-25,0.000000000000,707205,2.54,2.52
2021-01-24,0.000000000000,981456,2.59,2.54
2021-01-23,0.000000000000,1750584,2.66,2.59
2021-01-22,0.000000000000,3243390,2.67,2.66
2021-01-21,0.000000000000,5450657,2.99,2.67
2021-01-20,0.000000000000,5929292,2.89,2.99
2021-01-19,0.000000000000,1365524,2.87,2.89
2021-01-18,0.000000000000,2640626,2.86,2.87
2021-01-17,0.000000000000,4564561,3.08,2.86
2021-01-16,0.000000000000,2088646,2.80,3.08
2021-01-15,0.000000000000,1726189,2.87,2.80
2021-01-14,0.000000000000,972566,2.82,2.87
2021-01-13,0.000000000000,1571875,2.85,2.82
2021-01-12,0.000000000000,4276873,2.94,2.85
2021-01-11,0.000000000000,3059438,3.22,2.94
