date,mktcap,vol,open_price,close_price
2021-10-04,5087694,980.46,0.088507,0.088468
2021-10-03,5183998,1278.55,0.089975,0.088507
2021-10-02,4936046,0.000000000000,0.085666,0.089975
2021-10-01,4495086,7199.07,0.077889,0.085666
2021-09-30,4167273,10628.73,0.072387,0.077889
2021-09-29,4346846,15887.29,0.074609,0.072387
2021-09-28,4686268,33292,0.081331,0.074609
2021-09-27,4747160,12759.58,0.080538,0.081331
2021-09-26,4417083,13629.93,0.076824,0.080538
2021-09-25,4394316,2385.68,0.075913,0.076824
2021-09-24,4730465,15387.04,0.082218,0.075913
2021-09-23,4685419,64579,0.081413,0.082218
2021-09-22,3998167,15381.22,0.069216,0.081413
2021-09-21,4297344,14674.78,0.071034,0.069216
2021-09-20,4627977,1203.87,0.081411,0.071034
2021-09-19,4804077,5191.01,0.083331,0.081411
2021-09-18,4827775,15512.58,0.083623,0.083331
2021-09-17,5229305,13130.06,0.090811,0.083623
2021-09-16,5444676,17604.92,0.094349,0.090811
2021-09-15,5426301,46759,0.094197,0.094349
2021-09-14,5786853,35747,0.100430,0.094197
2021-09-13,6300074,2255.35,0.109338,0.100430
2021-09-12,6037512,1590.33,0.104594,0.109338
2021-09-11,5868601,8867.26,0.101850,0.104594
2021-09-10,6495011,36396,0.112730,0.101850
2021-09-09,6349753,90303,0.110103,0.112730
2021-09-08,6220623,92958,0.100319,0.110103
2021-09-07,8369642,38610,0.145492,0.100319
2021-09-06,8794775,102397,0.152799,0.145492
2021-09-05,8564131,34302,0.148631,0.152799
2021-09-04,9145134,78561,0.159158,0.148631
2021-09-03,9178780,24021,0.159315,0.159158
2021-09-02,8672291,57261,0.150645,0.159315
2021-09-01,8685796,49806,0.150686,0.150645
2021-08-31,9022011,31851,0.156158,0.150686
2021-08-30,8386886,103778,0.145412,0.156158
2021-08-29,8756801,16285.84,0.152070,0.145412
2021-08-28,8502011,7831.49,0.147721,0.152070
2021-08-27,8248203,11681.52,0.142988,0.147721
2021-08-26,8322980,21817,0.144406,0.142988
2021-08-25,8671580,65538,0.150402,0.144406
2021-08-24,8853153,226134,0.153560,0.150402
2021-08-23,5800297,18899.46,0.100757,0.153560
2021-08-22,6266566,2063.54,0.108733,0.100757
2021-08-21,6308863,3945.31,0.109608,0.108733
2021-08-20,5942631,10451.18,0.104743,0.109608
2021-08-19,5819215,4676.68,0.100924,0.104743
2021-08-18,5811203,56553,0.100992,0.100924
2021-08-17,6657063,29322,0.115333,0.100992
2021-08-16,7478695,17160.35,0.129771,0.115333
2021-08-15,7633295,15535.31,0.132342,0.129771
2021-08-14,7392534,11299.37,0.128469,0.132342
2021-08-13,6759696,397.61,0.117314,0.128469
2021-08-12,7052478,44257,0.122423,0.117314
2021-08-11,7603790,35772,0.132355,0.122423
2021-08-10,8413172,1115.94,0.147296,0.132355
2021-08-09,8123055,11159.99,0.140238,0.147296
2021-08-08,8362551,36451,0.145701,0.140238
2021-08-07,8495924,89932,0.147623,0.145701
2021-08-06,10337334,15828.60,0.179130,0.147623
2021-08-05,9978238,44159,0.172769,0.179130
2021-08-04,8976093,144899,0.155135,0.172769
2021-08-03,8976093,144899,0.155135,0.155135
2021-08-02,1153294,80935,0.01979728,0.155135
2021-08-01,10816607,345379,0.187723,0.01979728
2021-07-31,420411,29987,0.02450138,0.187723
2021-07-30,6744384,142680,0.116962,0.02450138
2021-07-29,6759778,161051,0.117097,0.116962
2021-07-28,6434359,181212,0.111842,0.117097
2021-07-27,5896865,479210,0.104777,0.111842
2021-07-26,5618343,177860,0.097644,0.104777
2021-07-25,5630183,260538,0.097837,0.097644
2021-07-24,5233712,190466,0.091044,0.097837
2021-07-23,5026155,160569,0.087775,0.091044
2021-07-22,5728221,92989,0.092408,0.087775
2021-07-21,4905787,43873,0.086023,0.092408
2021-07-20,5117220,35716,0.088966,0.086023
2021-07-19,5289582,39304,0.092039,0.088966
2021-07-18,5437346,52692,0.092840,0.092039
2021-07-17,5297586,49121,0.091865,0.092840
2021-07-16,5709216,300036,0.098870,0.091865
2021-07-15,5359456,46834,0.093236,0.098870
2021-07-14,5120119,40869,0.088711,0.093236
2021-07-13,5417673,53285,0.094105,0.088711
2021-07-12,5688450,43869,0.098919,0.094105
2021-07-11,5600525,45682,0.097298,0.098919
2021-07-10,5631710,47807,0.097806,0.097298
2021-07-09,5618620,39462,0.097931,0.097806
2021-07-08,6177854,101211,0.107698,0.097931
2021-07-07,6163985,128237,0.107216,0.107698
2021-07-06,5848390,106011,0.100944,0.107216
2021-07-05,6241490,148424,0.108547,0.100944
2021-07-04,5999852,125465,0.105382,0.108547
2021-07-03,5804401,138737,0.101343,0.105382
2021-07-02,5800581,134116,0.101635,0.101343
2021-07-01,5959136,113076,0.103582,0.101635
2021-06-30,6063397,138744,0.104736,0.103582
2021-06-29,5556650,103021,0.096681,0.104736
2021-06-28,5215436,97350,0.091807,0.096681
2021-06-27,4746663,61323,0.082664,0.091807
2021-06-26,5139806,15689.76,0.089899,0.082664
2021-06-25,5730892,13466.84,0.099039,0.089899
2021-06-24,5710070,9544.93,0.099404,0.099039
2021-06-23,5448844,31539,0.094996,0.099404
2021-06-22,5827602,113629,0.101823,0.094996
2021-06-21,7329967,125591,0.127346,0.101823
2021-06-20,7074218,9727.03,0.123085,0.127346
2021-06-19,7128293,15494.30,0.125490,0.123085
2021-06-18,7892959,37498,0.137810,0.125490
2021-06-17,7815885,20530,0.135345,0.137810
2021-06-16,8391720,239639,0.146109,0.135345
2021-06-15,8451904,278813,0.147617,0.146109
2021-06-14,7467171,154769,0.130274,0.147617
2021-06-13,6957888,145682,0.120658,0.130274
2021-06-12,6980050,146232,0.122100,0.120658
2021-06-11,7873499,8693.41,0.136738,0.122100
2021-06-10,8196022,180623,0.142858,0.136738
2021-06-09,7779351,154745,0.134601,0.142858
2021-06-08,7961066,242864,0.137827,0.134601
