date,mktcap,vol,open_price,close_price
2021-10-04,1140993,0.000000000000,1.13,1.03
2021-10-03,1132647,32423,1.12,1.13
2021-10-02,897588,70274,0.892286,1.12
2021-10-01,941463,33175,0.932417,0.892286
2021-09-30,1001178,4112.16,0.965642,0.932417
2021-09-29,1032943,0.000000000000,1.02,0.965642
2021-09-28,1032425,13067.28,1.02,1.02
2021-09-27,1126422,2016.80,1.10,1.02
2021-09-26,1057851,2911.10,1.06,1.10
2021-09-25,938148,24645,1.06,1.06
2021-09-24,977953,5241.26,0.974938,1.06
2021-09-23,966578,0.000000000000,0.957291,0.974938
2021-09-22,966010,627.39,0.957291,0.957291
2021-09-21,981512,3232.91,0.972081,0.957291
2021-09-20,1054703,12218.51,1.04,0.972081
2021-09-19,1029608,2326.52,1.01,1.04
2021-09-18,1011932,57750,0.996626,1.01
2021-09-17,1252926,5147.24,1.23,0.996626
2021-09-16,1264775,4329.38,1.25,1.23
2021-09-15,1173828,6245.73,1.16,1.25
2021-09-14,1140605,23446,1.13,1.16
2021-09-13,1265005,1470.67,1.25,1.13
2021-09-12,1226588,5756.55,1.21,1.25
2021-09-11,1270021,5716.15,1.20,1.21
2021-09-10,1375800,26807,1.35,1.20
2021-09-09,1472387,23675,1.45,1.35
2021-09-08,1480967,66434,1.40,1.45
2021-09-07,1722613,7865.88,1.71,1.40
2021-09-06,1791977,13502.13,1.77,1.71
2021-09-05,1796138,42665,1.78,1.77
2021-09-04,1925412,82132,1.86,1.78
2021-09-03,2308122,41955,2.30,1.86
2021-09-02,1959577,40749,1.93,2.30
2021-09-01,1936024,127349,1.77,1.93
2021-08-31,1607315,46889,1.58,1.77
2021-08-30,1481289,311748,1.51,1.58
2021-08-29,1540213,48713,1.57,1.51
2021-08-28,1452826,4984.54,1.44,1.57
2021-08-27,1419954,35193,1.35,1.44
2021-08-26,1391491,100450,1.38,1.35
2021-08-25,1593685,153514,1.32,1.38
2021-08-24,1656764,182168,1.64,1.32
2021-08-23,1729003,254866,1.72,1.64
2021-08-22,1973540,234189,1.97,1.72
2021-08-21,2300822,20471,2.28,1.97
2021-08-20,2143095,40266,2.16,2.28
2021-08-19,2419055,1791.62,2.40,2.16
2021-08-18,2422877,15671.49,2.41,2.40
2021-08-17,2680323,51360,2.65,2.41
2021-08-16,3271373,2399.39,3.37,2.65
2021-08-15,3384504,1112047,3.35,3.37
2021-08-14,3095135,27935,3.09,3.35
2021-08-13,2857522,58171,2.95,3.09
2021-08-12,3193293,51159,3.16,2.95
2021-08-11,3234873,44119,3.23,3.16
2021-08-10,3146764,80139,3.14,3.23
2021-08-09,3374685,38553,3.34,3.14
2021-08-08,3869989,133979,3.83,3.34
2021-08-07,3873903,141703,3.84,3.83
2021-08-06,3512693,26765,3.48,3.84
2021-08-05,3130307,4382.90,3.10,3.48
2021-08-04,2836760,161.75,2.85,3.10
2021-08-03,3040554,6135.10,2.96,2.85
2021-08-02,3115562,73460,3.08,2.96
2021-08-01,3201573,137877,3.17,3.08
2021-07-31,2170446,74059,2.15,3.17
2021-07-30,2105535,19684.08,2.09,2.15
2021-07-29,2192976,73937,2.15,2.09
2021-07-28,2192976,73937,2.15,2.15
2021-07-27,1915096,600.36,1.87,2.15
2021-07-26,1758663,75.24,1.74,1.87
2021-07-25,1740363,11179.15,1.73,1.74
2021-07-24,1634529,29401,1.56,1.73
2021-07-23,1803072,43410,1.80,1.56
2021-07-22,1592666,19947.74,1.60,1.80
2021-07-21,1389786,173.30,1.33,1.60
2021-07-20,1388422,179.55,1.38,1.33
2021-07-19,1452574,17542.82,1.43,1.38
2021-07-18,1318083,1315.49,1.32,1.43
2021-07-17,1326374,828.79,1.31,1.32
2021-07-16,1359469,9308.78,1.31,1.31
2021-07-15,1458296,532.78,1.44,1.31
2021-07-14,1429700,433.40,1.42,1.44
2021-07-13,1496296,5114.86,1.48,1.42
2021-07-12,1636574,24884,1.61,1.48
2021-07-11,1460711,15306.23,1.44,1.61
2021-07-10,1563905,12302.62,1.61,1.44
2021-07-09,1523512,2815.45,1.51,1.61
2021-07-08,1677486,79675,1.66,1.51
2021-07-07,1864536,51153,1.77,1.66
2021-07-06,1590163,18408.81,1.60,1.77
2021-07-05,1815776,49643,1.81,1.60
2021-07-04,1604501,84596,1.60,1.81
2021-07-03,1520813,961.49,1.54,1.60
2021-07-02,1540398,46297,1.53,1.54
2021-07-01,1775556,17216.18,1.77,1.53
2021-06-30,1596089,102019,1.69,1.77
2021-06-29,1466925,2420.45,1.49,1.69
2021-06-28,1297511,653.90,1.31,1.49
2021-06-27,1277435,6600.34,1.27,1.31
2021-06-26,1313919,1300.56,1.32,1.27
2021-06-25,1435477,16022.04,1.42,1.32
2021-06-24,1321226,3544.71,1.31,1.42
2021-06-23,1302063,4839.15,1.29,1.31
2021-06-22,1320304,5775.53,1.31,1.29
2021-06-21,1562535,1435.63,1.55,1.31
2021-06-20,1520205,5955.40,1.49,1.55
2021-06-19,1506694,32182,1.51,1.49
2021-06-18,1794261,41275,1.78,1.51
2021-06-17,2209809,8754.91,2.20,1.78
2021-06-16,2379565,24987,2.36,2.20
2021-06-15,2656725,969.86,2.64,2.36
2021-06-14,2650071,60298,2.57,2.64
2021-06-13,2294622,61010,2.23,2.57
2021-06-12,2391381,1144.02,2.31,2.23
2021-06-11,2460926,2340.38,2.46,2.31
2021-06-10,2607207,53196,2.60,2.46
2021-06-09,2786897,12817.99,2.75,2.60
2021-06-08,2816460,49944,2.77,2.75
2021-06-07,2865449,23669,2.83,2.77
2021-06-06,2656803,42367,2.64,2.83
2021-06-05,2741896,23633,2.67,2.64
2021-06-04,3066552,123307,3.07,2.67
2021-06-03,2916788,12511.22,2.86,3.07
2021-06-02,2877786,102871,2.88,2.86
2021-06-01,3806667,272114,3.77,2.88
2021-05-31,3000950,27391,2.98,3.77
2021-05-30,2761996,8930.94,2.79,2.98
2021-05-29,2910461,81927,2.93,2.79
2021-05-28,3483322,69324,3.57,2.93
2021-05-27,3475424,71973,3.60,3.57
2021-05-26,3524236,39612,3.74,3.60
2021-05-25,3539911,42975,3.79,3.74
2021-05-24,2821208,27975,3.05,3.79
2021-05-23,3209372,39908,3.43,3.05
2021-05-22,3484193,68715,3.83,3.43
2021-05-21,3950494,101109,4.32,3.83
2021-05-20,3894865,72773,4.32,4.32
2021-05-19,0.000000000000,42172,5.62,4.32
2021-05-18,0.000000000000,155259,5.38,5.62
2021-05-17,0.000000000000,781680,5.31,5.38
2021-05-16,0.000000000000,1413429,10.21,5.31
2021-05-15,0.000000000000,666266,18.73,10.21
2021-05-14,0.000000000000,394949,16.78,18.73
2021-05-13,0.000000000000,274568,24.74,16.78
2021-05-12,0.000000000000,230634,30.04,24.74
2021-05-11,0.000000000000,336051,31.83,30.04
2021-05-10,0.000000000000,762954,33.18,31.83
2021-05-09,0.000000000000,598152,36.67,33.18
2021-05-08,0.000000000000,1577142,42.44,36.67
2021-05-07,0.000000000000,2650917,47.51,42.44
