date,mktcap,vol,open_price,close_price
2021-10-04,671125,852697,0.00360772,0.00308065
2021-10-03,634448,878741,0.00334747,0.00360772
2021-10-02,752261,906482,0.00407142,0.00334747
2021-10-01,694641,679469,0.00375178,0.00407142
2021-09-30,667807,900886,0.00364001,0.00375178
2021-09-29,692911,809829,0.00372764,0.00364001
2021-09-28,721037,927793,0.00386038,0.00372764
2021-09-27,723179,767268,0.00395429,0.00386038
2021-09-26,841590,925136,0.00455176,0.00395429
2021-09-25,858026,414307,0.00461509,0.00455176
2021-09-24,772799,478512,0.00418096,0.00461509
2021-09-23,661593,281899,0.00363766,0.00418096
2021-09-22,763161,1074524,0.00412209,0.00363766
2021-09-21,827670,805627,0.00440411,0.00412209
2021-09-20,893120,597857,0.00480416,0.00440411
2021-09-19,1049531,1064143,0.00536698,0.00480416
2021-09-18,867314,918587,0.00465095,0.00536698
2021-09-17,877501,883226,0.00473406,0.00465095
2021-09-16,830858,888438,0.00448749,0.00473406
2021-09-15,843880,785962,0.00454544,0.00448749
2021-09-14,846849,748340,0.00460285,0.00454544
2021-09-13,1168124,934321,0.00627023,0.00460285
2021-09-12,1174746,703717,0.00634613,0.00627023
2021-09-11,1108696,763460,0.00599052,0.00634613
2021-09-10,1103745,860117,0.00593411,0.00599052
2021-09-09,1062497,963162,0.00568296,0.00593411
2021-09-08,1114518,858413,0.00600798,0.00568296
2021-09-07,922255,902927,0.00492730,0.00600798
2021-09-06,883007,508563,0.00475634,0.00492730
2021-09-05,840321,825060,0.00450746,0.00475634
2021-09-04,942533,901480,0.00512737,0.00450746
2021-09-03,841134,814948,0.00454615,0.00512737
2021-09-02,1015074,676250,0.00545490,0.00454615
2021-09-01,1132677,558829,0.00608216,0.00545490
2021-08-31,871565,732686,0.00471266,0.00608216
2021-08-30,1229107,1226173,0.00660543,0.00471266
2021-08-29,881187,897656,0.00474293,0.00660543
2021-08-28,863941,889911,0.00463334,0.00474293
2021-08-27,843910,777073,0.00453817,0.00463334
2021-08-26,920453,898788,0.00494962,0.00453817
2021-08-25,936388,518811,0.00502493,0.00494962
2021-08-24,604948,13.98,0.00325531,0.00502493
2021-08-23,751195,17.16,0.00403452,0.00325531
2021-08-22,917778,23323,0.00473884,0.00403452
2021-08-21,947387,925350,0.00509566,0.00473884
2021-08-20,719682,446304,0.00389808,0.00509566
2021-08-19,697905,912695,0.00374196,0.00389808
2021-08-18,683151,858226,0.00369470,0.00374196
2021-08-17,723961,799326,0.00386215,0.00369470
2021-08-16,687468,691284,0.00369633,0.00386215
2021-08-15,920976,1050486,0.00515076,0.00369633
2021-08-14,810285,940097,0.00435637,0.00515076
2021-08-13,854414,906908,0.00458364,0.00435637
2021-08-12,852542,894391,0.00476741,0.00458364
2021-08-11,844730,867639,0.00459719,0.00476741
2021-08-10,959336,986670,0.00521746,0.00459719
2021-08-09,929333,808886,0.00489707,0.00521746
2021-08-08,992732,874134,0.00537263,0.00489707
2021-08-07,917578,849494,0.00493634,0.00537263
2021-08-06,989492,956581,0.00531445,0.00493634
2021-08-05,969296,983803,0.00520973,0.00531445
2021-08-04,947776,808292,0.00519288,0.00520973
2021-08-03,624127,818926,0.00335488,0.00519288
2021-08-02,728850,1037076,0.00389839,0.00335488
2021-08-01,488276,937551,0.00262514,0.00389839
2021-07-31,473231,912904,0.00253936,0.00262514
2021-07-30,505907,906220,0.00278137,0.00253936
2021-07-29,503409,1173218,0.00270650,0.00278137
2021-07-28,332370,753921,0.00178920,0.00270650
2021-07-27,332612,552385,0.00178231,0.00178920
2021-07-26,319944,509597,0.00173235,0.00178231
2021-07-25,329985,667933,0.00177711,0.00173235
2021-07-24,438192,753000,0.00233831,0.00177711
2021-07-23,566362,939617,0.00310424,0.00233831
2021-07-22,814210,986518,0.00440154,0.00310424
2021-07-21,974701,1012997,0.00517209,0.00440154
2021-07-20,1006947,1107805,0.00551410,0.00517209
2021-07-19,1055611,1096059,0.00572643,0.00551410
2021-07-18,842259,1045309,0.00509848,0.00572643
2021-07-17,943289,1031474,0.00503444,0.00509848
2021-07-16,1054389,1025039,0.00532174,0.00503444
2021-07-15,1060169,1107384,0.00574721,0.00532174
2021-07-14,1057046,1119088,0.00572071,0.00574721
2021-07-13,1040477,996424,0.00558946,0.00572071
2021-07-12,1137635,1110433,0.00608869,0.00558946
2021-07-11,1163579,1234274,0.00627680,0.00608869
2021-07-10,1108823,1017093,0.00534735,0.00627680
2021-07-09,923644,536241,0.00497035,0.00534735
2021-07-08,1036460,901770,0.00554898,0.00497035
2021-07-07,1137225,1071439,0.00611326,0.00554898
2021-07-06,1204772,1242438,0.00648633,0.00611326
2021-07-05,1356496,980821,0.00726882,0.00648633
2021-07-04,1288894,921547,0.00694306,0.00726882
2021-07-03,1543912,1237159,0.00832132,0.00694306
2021-07-02,1390109,976757,0.00739150,0.00832132
2021-07-01,1721258,1080818,0.00925407,0.00739150
2021-06-30,1601383,1210693,0.00859169,0.00925407
2021-06-29,1515427,1053800,0.00816225,0.00859169
2021-06-28,1178458,804066,0.00633751,0.00816225
2021-06-27,1138083,788758,0.00611763,0.00633751
2021-06-26,1189985,519280,0.00647633,0.00611763
2021-06-25,1048896,551010,0.00564885,0.00647633
2021-06-24,1006962,563761,0.00540232,0.00564885
2021-06-23,1201691,609169,0.00648515,0.00540232
