date,mktcap,vol,open_price,close_price
2021-10-04,97525,0.525680,0.00006077,0.00006251
2021-10-03,97666,195.13,0.00006077,0.00006077
2021-10-02,118531,255.51,0.00007539,0.00006077
2021-10-01,103552,3.22,0.00006505,0.00007539
2021-09-30,99635,198.30,0.00006631,0.00006505
2021-09-29,96250,255.20,0.00006117,0.00006631
2021-09-28,94616,0.04735542,0.00005851,0.00006117
2021-09-27,103531,325.43,0.00006603,0.00005851
2021-09-26,90356,13.04,0.00006452,0.00006603
2021-09-25,98365,70.16,0.00006337,0.00006452
2021-09-24,95682,65.48,0.00006159,0.00006337
2021-09-23,93045,113.70,0.00005941,0.00006159
2021-09-22,92429,79.96,0.00005903,0.00005941
2021-09-21,97905,33.04,0.00006200,0.00005903
2021-09-20,104425,67.62,0.00006666,0.00006200
2021-09-19,122348,520.65,0.00007896,0.00006666
2021-09-18,112799,95.50,0.00007174,0.00007896
2021-09-17,122725,709.75,0.00007838,0.00007174
2021-09-16,111439,216.03,0.00007138,0.00007838
2021-09-15,100166,271.26,0.00006397,0.00007138
2021-09-14,102868,221.82,0.00006570,0.00006397
2021-09-13,109532,275.05,0.00006995,0.00006570
2021-09-12,110353,552.65,0.00007038,0.00006995
2021-09-11,102950,1527.89,0.00006521,0.00007038
2021-09-10,91260,428.46,0.00006585,0.00006521
2021-09-09,107980,2010.37,0.00006976,0.00006585
2021-09-08,120188,254.18,0.00008583,0.00006976
2021-09-07,141044,1223.76,0.00009034,0.00008583
2021-09-06,156156,659.11,0.00009899,0.00009034
2021-09-05,144631,123.05,0.00009237,0.00009899
2021-09-04,174006,1088.85,0.00011103,0.00009237
2021-09-03,124301,244.47,0.00007939,0.00011103
2021-09-02,156159,1275.76,0.00009973,0.00007939
2021-09-01,109557,224.50,0.00007012,0.00009973
2021-08-31,106352,631.52,0.00007413,0.00007012
2021-08-30,106428,116.49,0.00006805,0.00007413
2021-08-29,105550,45.67,0.00006714,0.00006805
2021-08-28,99713,89.63,0.00006368,0.00006714
2021-08-27,104712,67.66,0.00006640,0.00006368
2021-08-26,100457,308.04,0.00006823,0.00006640
2021-08-25,113332,2312.47,0.00007238,0.00006823
2021-08-24,119735,12044.22,0.00007643,0.00007238
2021-08-23,146639,6219.51,0.00009365,0.00007643
2021-08-22,155287,937.70,0.00009917,0.00009365
2021-08-21,158103,57.60,0.00010097,0.00009917
2021-08-20,177361,72.02,0.00011535,0.00010097
2021-08-19,181075,95.36,0.00011564,0.00011535
2021-08-18,183246,42.32,0.00011703,0.00011564
2021-08-17,184774,3.28,0.00011779,0.00011703
2021-08-16,188555,268.18,0.00011839,0.00011779
2021-08-15,161492,566.57,0.00010262,0.00011839
2021-08-14,169069,76.29,0.00010798,0.00010262
2021-08-13,182239,346.29,0.00011647,0.00010798
2021-08-12,192409,349.71,0.00012288,0.00011647
2021-08-11,177587,229.34,0.00011473,0.00012288
2021-08-10,191881,5.74,0.00012255,0.00011473
2021-08-09,188760,919.01,0.00012037,0.00012255
2021-08-08,207779,474.44,0.00013362,0.00012037
2021-08-07,213715,90.03,0.00013696,0.00013362
2021-08-06,164820,61.38,0.00011933,0.00013696
2021-08-05,193032,25.63,0.00012328,0.00011933
2021-08-04,206896,14.76,0.00013233,0.00012328
2021-08-03,201341,16.59,0.00012859,0.00013233
2021-08-02,208766,492.22,0.00016300,0.00012859
2021-08-01,197463,305.56,0.00012611,0.00016300
2021-07-31,181822,74.89,0.00011612,0.00012611
2021-07-30,191592,71.59,0.00012236,0.00011612
2021-07-29,214322,32.98,0.00013651,0.00012236
2021-07-28,183475,24.71,0.00012007,0.00013651
2021-07-27,156708,47.09,0.00010092,0.00012007
2021-07-26,182343,106.60,0.00011893,0.00010092
2021-07-25,195562,1117.34,0.00012514,0.00011893
2021-07-24,208725,1.52,0.00013538,0.00012514
2021-07-23,205878,3.63,0.00012864,0.00013538
2021-07-22,178916,0.925542,0.00012927,0.00012864
2021-07-21,200643,7.08,0.00012830,0.00012927
2021-07-20,210829,0.546986,0.00012831,0.00012830
2021-07-19,213650,0.699944,0.00013618,0.00012831
2021-07-18,212016,11.42,0.00013536,0.00013618
2021-07-17,212110,35.18,0.00013160,0.00013536
2021-07-16,185910,74.21,0.00015849,0.00013160
2021-07-15,154928,31.80,0.00009859,0.00015849
2021-07-14,182556,21.91,0.00011646,0.00009859
2021-07-13,182128,133.23,0.00011899,0.00011646
2021-07-12,170760,0.760095,0.00011522,0.00011899
2021-07-11,179037,50.25,0.00011434,0.00011522
2021-07-10,194604,24.68,0.00012428,0.00011434
2021-07-09,183049,71.40,0.00011691,0.00012428
2021-07-08,182789,127.40,0.00011674,0.00011691
2021-07-07,173411,149.89,0.00011075,0.00011674
2021-07-06,185177,18.37,0.00011823,0.00011075
2021-07-05,202864,32.98,0.00012892,0.00011823
2021-07-04,230004,1.57,0.00014736,0.00012892
2021-07-03,220829,88.50,0.00014255,0.00014736
2021-07-02,225292,22.58,0.00014379,0.00014255
2021-07-01,269587,9.18,0.00016518,0.00014379
2021-06-30,234606,85.95,0.00014910,0.00016518
2021-06-29,224489,39.48,0.00014351,0.00014910
2021-06-28,255976,1053.11,0.00016517,0.00014351
2021-06-27,270294,212.01,0.00017262,0.00016517
2021-06-26,269295,60.59,0.00017104,0.00017262
2021-06-25,273747,73.87,0.00017459,0.00017104
2021-06-24,282717,925.74,0.00018056,0.00017459
2021-06-23,253999,697.88,0.00016222,0.00018056
2021-06-22,204721,23.63,0.00012545,0.00016222
2021-06-21,240158,80.88,0.00015338,0.00012545
2021-06-20,221335,13.33,0.00013248,0.00015338
2021-06-19,205741,52.33,0.00013140,0.00013248
2021-06-18,235439,37.63,0.00014680,0.00013140
2021-06-17,225769,13.39,0.00014419,0.00014680
2021-06-16,263209,2.30,0.00016810,0.00014419
2021-06-15,258832,3.59,0.00015921,0.00016810
2021-06-14,244923,4.21,0.00015618,0.00015921
2021-06-13,215957,577.47,0.00014012,0.00015618
2021-06-12,235334,27.39,0.00015091,0.00014012
2021-06-11,245752,708.90,0.00015746,0.00015091
2021-06-10,234422,56.08,0.00014956,0.00015746
2021-06-09,214810,74.33,0.00013719,0.00014956
2021-06-08,218325,17.61,0.00013943,0.00013719
2021-06-07,230506,7.30,0.00014714,0.00013943
2021-06-06,244108,123.66,0.00015575,0.00014714
2021-06-05,257681,200.27,0.00016447,0.00015575
2021-06-04,281498,88.08,0.00017978,0.00016447
2021-06-03,299236,22.24,0.00018822,0.00017978
2021-06-02,275633,10.81,0.00017723,0.00018822
2021-06-01,284202,214.06,0.00017939,0.00017723
2021-05-31,270242,45.54,0.00017078,0.00017939
2021-05-30,260418,36.32,0.00016585,0.00017078
2021-05-29,264298,309.92,0.00017384,0.00016585
2021-05-28,244608,111.10,0.00016560,0.00017384
2021-05-27,256817,266.99,0.00016403,0.00016560
2021-05-26,251891,516.70,0.00016158,0.00016403
2021-05-25,254315,705.04,0.00016108,0.00016158
2021-05-24,289917,557.47,0.00016740,0.00016108
2021-05-23,312300,116.34,0.00019772,0.00016740
2021-05-22,324519,97.34,0.00020491,0.00019772
2021-05-21,339372,398.74,0.00021589,0.00020491
2021-05-20,309246,508.20,0.00019637,0.00021589
2021-05-19,411615,1338.75,0.00025643,0.00019637
2021-05-18,346893,438.30,0.00022300,0.00025643
2021-05-17,395392,877.73,0.00025297,0.00022300
2021-05-16,422558,2962.50,0.00026987,0.00025297
2021-05-15,439052,974.50,0.00028024,0.00026987
2021-05-14,458168,776.65,0.00029251,0.00028024
2021-05-13,469108,374.96,0.00029686,0.00029251
2021-05-12,483523,339.32,0.00031028,0.00029686
2021-05-11,449367,1921.00,0.00028678,0.00031028
2021-05-10,568167,1418.05,0.00036286,0.00028678
2021-05-09,589400,2296.17,0.00037674,0.00036286
2021-05-08,478703,5857.26,0.00032055,0.00037674
2021-05-07,423148,2085.57,0.00027156,0.00032055
2021-05-06,363459,3067.59,0.00023333,0.00027156
2021-05-05,354351,468.69,0.00022494,0.00023333
2021-05-04,410030,667.56,0.00026232,0.00022494
2021-05-03,363888,562.44,0.00023266,0.00026232
2021-05-02,392997,2788.85,0.00025786,0.00023266
2021-05-01,461608,151.72,0.00029534,0.00025786
2021-04-30,474121,6229.19,0.00030297,0.00029534
2021-04-29,475114,229.75,0.00031378,0.00030297
2021-04-28,468135,1800.81,0.00029898,0.00031378
2021-04-27,399981,468.40,0.00025545,0.00029898
2021-04-26,394820,847.01,0.00025063,0.00025545
2021-04-25,442209,14178.56,0.00028245,0.00025063
2021-04-24,648130,6748.05,0.00041718,0.00028245
2021-04-23,427315,1119.92,0.00027290,0.00041718
2021-04-22,495459,1023.03,0.00032175,0.00027290
2021-04-21,523366,593.33,0.00033366,0.00032175
2021-04-20,547423,2979.85,0.00033771,0.00033366
2021-04-19,568347,6812.35,0.00036185,0.00033771
2021-04-18,696374,2265.44,0.00044411,0.00036185
2021-04-17,698655,5521.92,0.00044599,0.00044411
2021-04-16,793241,1882.96,0.00047296,0.00044599
2021-04-15,718981,2268.39,0.00045935,0.00047296
2021-04-14,883747,2898.17,0.00056441,0.00045935
2021-04-13,869025,3228.10,0.00055501,0.00056441
2021-04-12,866648,5046.24,0.00055352,0.00055501
2021-04-11,1004965,7833.80,0.00064183,0.00055352
2021-04-10,1022524,8299.18,0.00065396,0.00064183
2021-04-09,805272,14314.45,0.00055550,0.00065396
2021-04-08,928201,3014.65,0.00059213,0.00055550
2021-04-07,830197,6337.01,0.00052723,0.00059213
2021-04-06,815953,6693.37,0.00052111,0.00052723
2021-04-05,796431,8369.58,0.00051722,0.00052111
2021-04-04,861680,14416.05,0.00055061,0.00051722
2021-04-03,1111120,21205,0.00074799,0.00055061
2021-04-02,639010,3449.41,0.00040762,0.00074799
2021-04-01,594944,9054.73,0.00038987,0.00040762
2021-03-31,614034,2355.64,0.00039258,0.00038987
2021-03-30,587942,2607.89,0.00038988,0.00039258
2021-03-29,489902,411.23,0.00031288,0.00038988
2021-03-28,514698,694.07,0.00032830,0.00031288
2021-03-27,515921,2860.14,0.00033002,0.00032830
2021-03-26,521140,4626.46,0.00033002,0.00033002
2021-03-25,596657,8038.25,0.00038160,0.00033002
2021-03-24,432732,2962.89,0.00031340,0.00038160
2021-03-23,533632,3738.36,0.00034135,0.00031340
2021-03-22,627453,1928.51,0.00037872,0.00034135
2021-03-21,430420,3471.09,0.00027357,0.00037872
2021-03-20,392324,895.22,0.00023467,0.00027357
2021-03-19,397787,3030.95,0.00025370,0.00023467
2021-03-18,422956,859.41,0.00027016,0.00025370
2021-03-17,453853,2690.05,0.00028985,0.00027016
2021-03-16,535725,3661.20,0.00034206,0.00028985
2021-03-15,498504,3162.01,0.00031477,0.00034206
2021-03-14,527047,4314.12,0.00033579,0.00031477
2021-03-13,384035,1419.64,0.00024529,0.00033579
2021-03-12,362930,1100.28,0.00023166,0.00024529
2021-03-11,366808,658.51,0.00024819,0.00023166
2021-03-10,402266,768.46,0.00025862,0.00024819
2021-03-09,416830,1716.40,0.00026711,0.00025862
2021-03-08,385110,2235.55,0.00024946,0.00026711
2021-03-07,376830,3264.50,0.00024065,0.00024946
2021-03-06,437105,13661.23,0.00027940,0.00024065
2021-03-05,674034,24964,0.00043045,0.00027940
2021-03-04,488734,6689.99,0.00031074,0.00043045
2021-03-03,254389,488.35,0.00018694,0.00031074
2021-03-02,273777,1843.83,0.00017498,0.00018694
2021-03-01,210452,1058.00,0.00014125,0.00017498
2021-02-28,211058,305.48,0.00012328,0.00014125
2021-02-27,157958,950.26,0.00010088,0.00012328
2021-02-26,179113,1360.53,0.00011439,0.00010088
2021-02-25,177726,4418.99,0.00011375,0.00011439
2021-02-24,149837,9201.11,0.00008757,0.00011375
2021-02-23,261177,510.49,0.00016693,0.00008757
2021-02-22,271822,1015.47,0.00016694,0.00016693
2021-02-21,252473,777.40,0.00014067,0.00016694
2021-02-20,238303,135.96,0.00015179,0.00014067
2021-02-19,236970,379.03,0.00015134,0.00015179
2021-02-18,236057,450.51,0.00015076,0.00015134
2021-02-17,250226,1101.22,0.00015899,0.00015076
2021-02-16,227331,442.72,0.00014462,0.00015899
2021-02-15,209560,507.90,0.00013453,0.00014462
2021-02-14,201416,79.42,0.00012859,0.00013453
2021-02-13,202304,455.15,0.00013108,0.00012859
2021-02-12,225467,2982.18,0.00014587,0.00013108
2021-02-11,236426,235.19,0.00015109,0.00014587
2021-02-10,236946,154.33,0.00015564,0.00015109
2021-02-09,240379,198.62,0.00015392,0.00015564
2021-02-08,205537,39.12,0.00013127,0.00015392
2021-02-07,229556,149.89,0.00014628,0.00013127
2021-02-06,243491,273.03,0.00015553,0.00014628
2021-02-05,225155,221.68,0.00013964,0.00015553
2021-02-04,247074,265.02,0.00013320,0.00013964
2021-02-03,209761,4.46,0.00012883,0.00013320
2021-02-02,209199,64.36,0.00013852,0.00012883
2021-02-01,190653,111.81,0.00012286,0.00013852
2021-01-31,191526,48.17,0.00012090,0.00012286
2021-01-30,191553,180.15,0.00012204,0.00012090
2021-01-29,167807,64.23,0.00010717,0.00012204
2021-01-28,144293,6.00,0.00009215,0.00010717
2021-01-27,148420,244.11,0.00009514,0.00009215
2021-01-26,162851,161.86,0.00010401,0.00009514
2021-01-25,157202,125.36,0.00010040,0.00010401
2021-01-24,151695,105.36,0.00008705,0.00010040
2021-01-23,152794,1249.48,0.00009743,0.00008705
2021-01-22,144026,181.57,0.00009244,0.00009743
2021-01-21,171531,31.45,0.00010955,0.00009244
2021-01-20,162946,47.54,0.00010350,0.00010955
2021-01-19,159237,169.86,0.00010377,0.00010350
2021-01-18,157026,58.10,0.00010029,0.00010377
2021-01-17,161801,35.25,0.00010333,0.00010029
2021-01-16,163554,12.58,0.00010710,0.00010333
2021-01-15,157823,181.07,0.00010057,0.00010710
2021-01-14,177429,249.25,0.00011362,0.00010057
2021-01-13,174892,41.10,0.00011170,0.00011362
2021-01-12,159325,141.58,0.00010663,0.00011170
2021-01-11,152723,227.40,0.00009737,0.00010663
2021-01-10,191711,858.52,0.00012244,0.00009737
2021-01-09,196812,101.91,0.00012608,0.00012244
2021-01-08,179106,290.09,0.00011439,0.00012608
2021-01-07,178471,771.41,0.00011274,0.00011439
2021-01-06,187012,79.79,0.00011975,0.00011274
2021-01-05,148325,67.75,0.00009473,0.00011975
2021-01-04,174765,216.94,0.00010283,0.00009473
2021-01-03,158544,1427.88,0.00010118,0.00010283
2021-01-02,153987,66.56,0.00009812,0.00010118
2021-01-01,168902,290.44,0.00010874,0.00009812
2020-12-31,161634,7.86,0.00010312,0.00010874
2020-12-30,135131,425.75,0.00008630,0.00010312
2020-12-29,155958,27.83,0.00009960,0.00008630
2020-12-28,155298,357.49,0.00011114,0.00009960
2020-12-27,148910,300.32,0.00009416,0.00011114
2020-12-26,154093,1107.22,0.00009896,0.00009416
2020-12-25,163739,24.43,0.00009912,0.00009896
2020-12-24,157932,349.57,0.00010287,0.00009912
2020-12-23,164405,285.84,0.00010500,0.00010287
2020-12-22,151448,43.12,0.00009672,0.00010500
2020-12-21,193846,742.92,0.00012208,0.00009672
2020-12-20,180840,562.24,0.00011531,0.00012208
2020-12-19,136362,238.62,0.00008983,0.00011531
2020-12-18,165069,173.03,0.00010548,0.00008983
2020-12-17,156745,285.66,0.00010049,0.00010548
2020-12-16,135520,48.82,0.00008655,0.00010049
2020-12-15,139395,144.17,0.00010273,0.00008655
2020-12-14,180370,706.38,0.00011527,0.00010273
2020-12-13,141166,109.86,0.00009012,0.00011527
2020-12-12,140189,877.43,0.00008953,0.00009012
2020-12-11,127989,8338.48,0.00008144,0.00008953
2020-12-10,126182,71.51,0.00008177,0.00008144
2020-12-09,142490,277.71,0.00009117,0.00008177
2020-12-08,158264,17.14,0.00010108,0.00009117
2020-12-07,148365,64.14,0.00010430,0.00010108
2020-12-06,149074,201.54,0.00009700,0.00010430
2020-12-05,146786,1752.12,0.00009372,0.00009700
2020-12-04,155710,3194.36,0.00009944,0.00009372
2020-12-03,107284,969.40,0.00006859,0.00009944
2020-12-02,171146,170.11,0.00010930,0.00006859
2020-12-01,199481,2206.72,0.00012740,0.00010930
2020-11-30,173889,214.52,0.00011105,0.00012740
2020-11-29,147439,70.73,0.00009416,0.00011105
2020-11-28,142649,60.91,0.00009619,0.00009416
