date,mktcap,vol,open_price,close_price
2021-10-04,646314,138.56,0.124142,0.121330
2021-10-03,769500,246.42,0.161945,0.124142
2021-10-02,768657,63.38,0.162045,0.161945
2021-10-01,691749,91.16,0.146517,0.162045
2021-09-30,795225,1943.73,0.168578,0.146517
2021-09-29,942621,4111.80,0.199413,0.168578
2021-09-28,828033,5113.44,0.176191,0.199413
2021-09-27,749436,5213.74,0.159674,0.176191
2021-09-26,751161,7746.19,0.160261,0.159674
2021-09-25,744501,2891.84,0.159654,0.160261
2021-09-24,746309,368.49,0.159979,0.159654
2021-09-23,681481,1997.54,0.146438,0.159979
2021-09-22,743854,350.84,0.160153,0.146438
2021-09-21,607247,644.15,0.131019,0.160153
2021-09-20,672243,4610.87,0.145468,0.131019
2021-09-19,705096,4979.98,0.152664,0.145468
2021-09-18,697957,5567.78,0.150924,0.152664
2021-09-17,694183,5353.07,0.150953,0.150924
2021-09-16,691041,4347.88,0.150466,0.150953
2021-09-15,690149,6529.57,0.150769,0.150466
2021-09-14,688399,4784.58,0.150693,0.150769
2021-09-13,816440,4381.11,0.179118,0.150693
2021-09-12,845165,3393.63,0.185286,0.179118
2021-09-11,784205,4337.43,0.172602,0.185286
2021-09-10,788917,5334.46,0.173721,0.172602
2021-09-09,785864,5985.11,0.173539,0.173721
2021-09-08,741157,3869.19,0.163761,0.173539
2021-09-07,809676,4906.98,0.179783,0.163761
2021-09-06,849371,8342.13,0.188776,0.179783
2021-09-05,904406,5131.66,0.200615,0.188776
2021-09-04,807017,5306.18,0.180186,0.200615
2021-09-03,767689,4223.12,0.171606,0.180186
2021-09-02,770274,5563.18,0.172760,0.171606
2021-09-01,779012,6291.94,0.174856,0.172760
2021-08-31,723815,6896.65,0.163195,0.174856
2021-08-30,721869,5421.28,0.162626,0.163195
2021-08-29,717055,6397.91,0.162037,0.162626
2021-08-28,724757,5220.87,0.163658,0.162037
2021-08-27,791269,4923.17,0.179361,0.163658
2021-08-26,779815,6941.84,0.177211,0.179361
2021-08-25,592263,6567.09,0.136582,0.177211
2021-08-24,857709,7396.97,0.195385,0.136582
2021-08-23,738034,7007.41,0.168753,0.195385
2021-08-22,751982,5884.79,0.172367,0.168753
2021-08-21,753364,4659.23,0.172930,0.172367
2021-08-20,662041,5738.76,0.152184,0.172930
2021-08-19,655891,5255.92,0.150788,0.152184
2021-08-18,558275,6053.94,0.128766,0.150788
2021-08-17,409376,4834.46,0.108592,0.128766
2021-08-16,411066,5352.77,0.095032,0.108592
2021-08-15,407460,4579.49,0.094200,0.095032
2021-08-14,410598,26098,0.095063,0.094200
2021-08-13,374837,21382,0.086846,0.095063
2021-08-12,431853,15265.15,0.100374,0.086846
2021-08-11,448320,11458.59,0.104457,0.100374
2021-08-10,448891,7168.55,0.104616,0.104457
2021-08-09,452216,7011.33,0.105115,0.104616
2021-08-08,455356,6091.30,0.106124,0.105115
2021-08-07,442089,1628.20,0.103350,0.106124
2021-08-06,570039,2032.45,0.132446,0.103350
2021-08-05,582951,6367.56,0.136598,0.132446
2021-08-04,374626,5384.19,0.087897,0.136598
2021-08-03,372316,4162.93,0.087502,0.087897
2021-08-02,368573,3639.01,0.087223,0.087502
2021-08-01,369253,5618.98,0.087201,0.087223
2021-07-31,365682,5515.49,0.086800,0.087201
2021-07-30,446867,4909.83,0.106123,0.086800
2021-07-29,453028,4650.97,0.107560,0.106123
2021-07-28,472527,4894.70,0.112178,0.107560
2021-07-27,487983,2279.25,0.116133,0.112178
2021-07-26,461293,489.23,0.102350,0.116133
2021-07-25,364346,518.40,0.086881,0.102350
