date,mktcap,vol,open_price,close_price
2021-10-04,22602898,2216505,2.67,2.67
2021-10-03,23747681,2522001,2.75,2.67
2021-10-02,21322602,2746483,2.51,2.75
2021-10-01,17648687,1296367,2.07,2.51
2021-09-30,17092287,918653,2.01,2.07
2021-09-29,16702493,639781,1.96,2.01
2021-09-28,18152558,806199,2.13,1.96
2021-09-27,19650105,648646,2.23,2.13
2021-09-26,19039451,788649,2.23,2.23
2021-09-25,20030276,1102454,2.35,2.23
2021-09-24,22063424,710482,2.61,2.35
2021-09-23,22245081,700286,2.63,2.61
2021-09-22,19646636,1077978,2.31,2.63
2021-09-21,21979064,2456087,2.63,2.31
2021-09-20,27090901,1226785,3.33,2.63
2021-09-19,24818118,622101,2.92,3.33
2021-09-18,23482401,772365,2.77,2.92
2021-09-17,24479404,729341,2.90,2.77
2021-09-16,26619626,1082589,3.15,2.90
2021-09-15,25957845,1103275,3.05,3.15
2021-09-14,23279486,713188,2.75,3.05
2021-09-13,24691618,854288,2.90,2.75
2021-09-12,24005137,1377943,2.83,2.90
2021-09-11,24613256,2695135,2.88,2.83
2021-09-10,22316875,2193866,2.59,2.88
2021-09-09,22751190,1211633,2.67,2.59
2021-09-08,23812892,2237751,2.79,2.67
2021-09-07,29295787,1011087,3.41,2.79
2021-09-06,29329612,1111682,3.45,3.41
2021-09-05,31591073,781420,3.70,3.45
2021-09-04,31284620,1135877,3.69,3.70
2021-09-03,33396515,1687614,3.94,3.69
2021-09-02,34097040,1823764,4.01,3.94
2021-09-01,34482999,2503605,4.10,4.01
2021-08-31,39593319,4285444,4.57,4.10
2021-08-30,35343281,1212103,4.16,4.57
2021-08-29,35151473,1267595,4.15,4.16
2021-08-28,37863654,3025761,4.44,4.15
2021-08-27,31742543,2497376,3.80,4.44
2021-08-26,21135180,2824867,3.95,3.80
2021-08-25,22624848,2372751,4.24,3.95
2021-08-24,24860150,2944291,4.68,4.24
2021-08-23,26192410,3519330,4.92,4.68
2021-08-22,22903559,4364319,4.30,4.92
2021-08-21,20539928,3973764,3.86,4.30
2021-08-20,15199267,645111,2.95,3.86
2021-08-19,15211827,844586,2.86,2.95
2021-08-18,15448054,1332206,2.88,2.86
2021-08-17,17326502,1752404,3.23,2.88
2021-08-16,18614871,1639836,3.47,3.23
2021-08-15,18216420,2951799,3.45,3.47
2021-08-14,16905285,1579438,3.17,3.45
2021-08-13,14793135,1539097,2.80,3.17
2021-08-12,15763706,1548265,2.95,2.80
2021-08-11,16024887,2696420,3.02,2.95
2021-08-10,12491271,1971931,2.41,3.02
2021-08-09,9805112,2785292,1.84,2.41
2021-08-08,8048577,850478,1.52,1.84
2021-08-07,7264355,810126,1.36,1.52
2021-08-06,7549787,872518,1.43,1.36
2021-08-05,7131002,684225,1.34,1.43
2021-08-04,6304301,270693,1.18,1.34
2021-08-03,6493067,665773,1.22,1.18
2021-08-02,6730967,839382,1.26,1.22
2021-08-01,7555614,978957,1.42,1.26
2021-07-31,6327924,800937,1.19,1.42
2021-07-30,5684591,606545,1.09,1.19
2021-07-29,5908037,522254,1.12,1.09
2021-07-28,5955058,945902,1.11,1.12
2021-07-27,5084373,1115151,0.949516,1.11
2021-07-26,4677270,421023,0.878689,0.949516
2021-07-25,4360578,370820,0.816320,0.878689
2021-07-24,4358941,239917,0.832589,0.816320
2021-07-23,4390934,197450,0.823371,0.832589
2021-07-22,4432103,260872,0.832591,0.823371
2021-07-21,4140431,384909,0.773826,0.832591
2021-07-20,4341429,257997,0.814912,0.773826
2021-07-19,4633309,210721,0.872189,0.814912
2021-07-18,4614188,229076,0.865860,0.872189
