date,mktcap,vol,open_price,close_price
2021-10-04,50793,798.00,0.00000299,0.00000362
2021-10-03,71769,265.87,0.00000422,0.00000299
2021-10-02,72833,400.22,0.00000429,0.00000422
2021-10-01,52915,442.87,0.00000311,0.00000429
2021-09-30,59831,1609.61,0.00000352,0.00000311
2021-09-29,48509,719.22,0.00000287,0.00000352
2021-09-28,50514,821.25,0.00000297,0.00000287
2021-09-27,64143,1529.96,0.00000374,0.00000297
2021-09-26,54083,958.39,0.00000319,0.00000374
2021-09-25,43267,1760.05,0.00000254,0.00000319
2021-09-24,90996,1505.41,0.00000534,0.00000254
2021-09-23,38908,1267.56,0.00000229,0.00000534
2021-09-22,35440,1338.28,0.00000208,0.00000229
2021-09-21,43370,1488.89,0.00000256,0.00000208
2021-09-20,47097,1624.01,0.00000277,0.00000256
2021-09-19,46015,1316.93,0.00000271,0.00000277
2021-09-18,46185,1286.57,0.00000272,0.00000271
2021-09-17,52648,1175.56,0.00000309,0.00000272
2021-09-16,53193,1041.07,0.00000313,0.00000309
2021-09-15,55027,1162.89,0.00000324,0.00000313
2021-09-14,52502,1228.24,0.00000309,0.00000324
2021-09-13,65537,1298.51,0.00000385,0.00000309
2021-09-12,43150,1107.72,0.00000254,0.00000385
2021-09-11,42034,1294.82,0.00000247,0.00000254
2021-09-10,40902,1154.49,0.00000240,0.00000247
2021-09-09,40987,986.10,0.00000241,0.00000240
2021-09-08,41018,1496.15,0.00000241,0.00000241
2021-09-07,34326,1140.31,0.00000202,0.00000241
2021-09-06,51656,1151.64,0.00000304,0.00000202
2021-09-05,56666,900.87,0.00000333,0.00000304
2021-09-04,58189,554.57,0.00000343,0.00000333
2021-09-03,58146,1243.20,0.00000342,0.00000343
2021-09-02,58292,1374.43,0.00000343,0.00000342
2021-09-01,66687,1101.00,0.00000391,0.00000343
2021-08-31,66086,1916.44,0.00000391,0.00000391
2021-08-30,51237,1032.74,0.00000301,0.00000391
2021-08-29,47999,1099.93,0.00000283,0.00000301
2021-08-28,43704,1004.30,0.00000257,0.00000283
2021-08-27,37805,1112.19,0.00000228,0.00000257
2021-08-26,54425,944.50,0.00000321,0.00000228
2021-08-25,52528,1409.37,0.00000309,0.00000321
2021-08-24,52199,1602.42,0.00000307,0.00000309
2021-08-23,52212,940.68,0.00000307,0.00000307
2021-08-22,52774,809.58,0.00000310,0.00000307
2021-08-21,50823,1205.61,0.00000299,0.00000310
2021-08-20,50997,1390.64,0.00000305,0.00000299
2021-08-19,51026,418.34,0.00000300,0.00000305
2021-08-18,52754,1481.21,0.00000310,0.00000300
2021-08-17,52813,1509.83,0.00000311,0.00000310
2021-08-16,51582,1067.85,0.00000304,0.00000311
2021-08-15,54532,1293.94,0.00000321,0.00000304
2021-08-14,56368,1729.33,0.00000332,0.00000321
2021-08-13,59007,1375.06,0.00000346,0.00000332
2021-08-12,62745,1355.01,0.00000369,0.00000346
2021-08-11,61944,1258.48,0.00000365,0.00000369
2021-08-10,60632,1324.00,0.00000355,0.00000365
2021-08-09,75022,1022.14,0.00000441,0.00000355
2021-08-08,59596,889.75,0.00000351,0.00000441
2021-08-07,61241,1300.83,0.00000360,0.00000351
2021-08-06,61161,1320.70,0.00000359,0.00000360
2021-08-05,63925,1064.15,0.00000376,0.00000359
2021-08-04,70124,1373.19,0.00000414,0.00000376
2021-08-03,54773,1282.95,0.00000322,0.00000414
2021-08-02,59473,1282.70,0.00000350,0.00000322
2021-08-01,54489,1124.67,0.00000320,0.00000350
2021-07-31,54892,993.89,0.00000322,0.00000320
2021-07-30,55250,822.95,0.00000323,0.00000322
2021-07-29,54548,556.32,0.00000321,0.00000323
2021-07-28,54611,918.39,0.00000321,0.00000321
2021-07-27,56870,1863.66,0.00000335,0.00000321
2021-07-26,61418,1326.26,0.00000365,0.00000335
2021-07-25,61417,1318.29,0.00000361,0.00000365
2021-07-24,66743,1232.66,0.00000394,0.00000361
2021-07-23,81002,111.95,0.00000474,0.00000394
2021-07-22,55497,1074.64,0.00000328,0.00000474
2021-07-21,68068,2620.82,0.00000401,0.00000328
2021-07-20,63185,2569.41,0.00000372,0.00000401
2021-07-19,71678,2037.29,0.00000422,0.00000372
2021-07-18,53742,1440.41,0.00000316,0.00000422
2021-07-17,55184,1669.89,0.00000325,0.00000316
2021-07-16,51347,1993.57,0.00000301,0.00000325
2021-07-15,64898,2302.48,0.00000382,0.00000301
2021-07-14,56196,1685.05,0.00000330,0.00000382
2021-07-13,55752,2657.71,0.00000327,0.00000330
2021-07-12,54759,1960.76,0.00000322,0.00000327
2021-07-11,59372,1686.69,0.00000349,0.00000322
2021-07-10,57013,1460.95,0.00000335,0.00000349
2021-07-09,66787,2818.30,0.00000393,0.00000335
2021-07-08,57376,2221.26,0.00000337,0.00000393
2021-07-07,50713,1043.96,0.00000298,0.00000337
2021-07-06,40779,2022.77,0.00000239,0.00000298
2021-07-05,67212,2624.31,0.00000361,0.00000239
2021-07-04,35504,1468.16,0.00000209,0.00000361
2021-07-03,44684,1017.51,0.00000263,0.00000209
2021-07-02,48099,469.01,0.00000284,0.00000263
