date,mktcap,vol,open_price,close_price
2021-09-04,65171,1.24,0.00044983,0.00045174
2021-09-03,65237,1.24,0.00044966,0.00044983
2021-09-02,64698,1.22,0.00044401,0.00044966
2021-09-01,61260,1.16,0.00042206,0.00044401
2021-08-31,61027,1.16,0.00042197,0.00042206
2021-08-30,59995,1.14,0.00041425,0.00042197
2021-08-29,60082,1.15,0.00041510,0.00041425
2021-08-28,61736,1.18,0.00042686,0.00041510
2021-08-27,60167,1.15,0.00041513,0.00042686
2021-08-26,63000,1.20,0.00043563,0.00041513
2021-08-25,59658,1.14,0.00041228,0.00043563
2021-08-24,61352,1.17,0.00042426,0.00041228
2021-08-23,60467,1.15,0.00041767,0.00042426
2021-08-22,61013,1.15,0.00041822,0.00041767
2021-08-21,60538,1.16,0.00041917,0.00041822
2021-08-20,57950,1.13,0.00040835,0.00041917
2021-08-19,58036,1.11,0.00040097,0.00040835
2021-08-18,57188,1.08,0.00039263,0.00040097
2021-08-17,59423,1.13,0.00040937,0.00039263
2021-08-16,60325,1.15,0.00041661,0.00040937
2021-08-15,60109,1.15,0.00041756,0.00041661
2021-08-14,60094,1.15,0.00041560,0.00041756
2021-08-13,55210,1.05,0.00038233,0.00041560
2021-08-12,57895,1.10,0.00039820,0.00038233
2021-08-11,56358,1.07,0.00038793,0.00039820
2021-08-10,55975,1.08,0.00039049,0.00038793
2021-08-09,54462,1.04,0.00037685,0.00039049
2021-08-08,55881,1.07,0.00038679,0.00037685
2021-08-07,53651,1.02,0.00037098,0.00038679
2021-08-06,52860,1.01,0.00036645,0.00037098
2021-08-05,51575,0.990225,0.00035896,0.00036645
2021-08-04,49085,0.937145,0.00033972,0.00035896
2021-08-03,50704,0.966803,0.00035047,0.00033972
2021-08-02,49771,0.941136,0.00034117,0.00035047
2021-08-01,50544,0.968191,0.00035097,0.00034117
2021-07-31,49233,0.936284,0.00033941,0.00035097
2021-07-30,47081,0.901536,0.00032681,0.00033941
2021-07-29,46602,0.887944,0.00032188,0.00032681
2021-07-28,45306,0.863252,0.00031293,0.00032188
2021-07-27,45005,0.858120,0.00031107,0.00031293
2021-07-26,42765,0.814832,0.00029538,0.00031107
2021-07-25,42833,0.816854,0.00029611,0.00029538
2021-07-24,42308,0.806123,0.00029222,0.00029611
2021-07-23,40580,0.773360,0.00028035,0.00029222
2021-07-22,40392,0.769582,0.00027898,0.00028035
2021-07-21,36835,0.695692,0.00025219,0.00027898
2021-07-20,38276,0.727055,0.00026356,0.00025219
2021-07-19,39542,0.753330,0.00027309,0.00026356
2021-07-18,39886,0.756731,0.00027432,0.00027309
2021-07-17,39712,0.758385,0.00027492,0.00027432
2021-07-16,41241,0.783958,0.00028419,0.00027492
2021-07-15,43182,0.822041,0.00029799,0.00028419
2021-07-14,42516,0.815310,0.00029555,0.00029799
2021-07-13,44130,0.837942,0.00030376,0.00029555
2021-07-12,46161,0.877158,0.00031797,0.00030376
2021-07-11,45525,0.868181,0.00031472,0.00031797
2021-07-10,46101,0.881369,0.00031950,0.00031472
2021-07-09,44852,0.856566,0.00031051,0.00031950
2021-07-08,48632,0.926347,0.00033581,0.00031051
2021-07-07,48451,0.924150,0.00033501,0.00033581
