date,mktcap,vol,open_price,close_price
2021-10-04,32439969,10743921,0.00764051,0.00740776
2021-10-03,31697086,11701769,0.00752038,0.00764051
2021-10-02,31544791,10231510,0.00749274,0.00752038
2021-10-01,29737018,9794424,0.00705913,0.00749274
2021-09-30,28112235,11051153,0.00675209,0.00705913
2021-09-29,27640510,9383378,0.00638517,0.00675209
2021-09-28,26467408,6203400,0.00629068,0.00638517
2021-09-27,27158463,7534650,0.00648599,0.00629068
2021-09-26,26728116,7763281,0.00641039,0.00648599
2021-09-25,27640444,7944178,0.00677361,0.00641039
2021-09-24,29629902,6359965,0.00716751,0.00677361
2021-09-23,30395927,8656933,0.00724317,0.00716751
2021-09-22,28181781,7381069,0.00662900,0.00724317
2021-09-21,29219107,5761895,0.00702374,0.00662900
2021-09-20,31999350,8926929,0.00777436,0.00702374
2021-09-19,32296851,11058827,0.00772307,0.00777436
2021-09-18,32637841,3411690,0.00776892,0.00772307
2021-09-17,32431297,7024086,0.00755510,0.00776892
2021-09-16,35213328,7176474,0.00844879,0.00755510
2021-09-15,33971544,8269111,0.00832903,0.00844879
2021-09-14,35071954,8745977,0.00843986,0.00832903
2021-09-13,38043525,11985068,0.00920934,0.00843986
2021-09-12,39628053,9767136,0.00953241,0.00920934
2021-09-11,34246581,10045528,0.00828270,0.00953241
2021-09-10,34591784,11404913,0.00831237,0.00828270
2021-09-09,33343505,7706804,0.00801726,0.00831237
2021-09-08,33198025,11187996,0.00798023,0.00801726
2021-09-07,33912379,8207872,0.00825642,0.00798023
2021-09-06,34862751,13825363,0.00846856,0.00825642
2021-09-05,34775681,6954980,0.00844302,0.00846856
2021-09-04,34981294,8397113,0.00854716,0.00844302
2021-09-03,35245248,10218740,0.00853416,0.00854716
2021-09-02,35695874,9512472,0.00867655,0.00853416
2021-09-01,36660901,10317869,0.00890440,0.00867655
2021-08-31,35260144,9834129,0.00862007,0.00890440
2021-08-30,36259851,11853757,0.00884857,0.00862007
2021-08-29,32578569,10312593,0.00798794,0.00884857
2021-08-28,32582931,5268948,0.00797622,0.00798794
2021-08-27,33250246,10898987,0.00808027,0.00797622
2021-08-26,34681030,9481849,0.00852443,0.00808027
2021-08-25,35405337,2922670,0.00862248,0.00852443
2021-08-24,36793839,5355544,0.00904081,0.00862248
2021-08-23,34462085,9295456,0.00841300,0.00904081
2021-08-22,35293178,4826063,0.00862628,0.00841300
2021-08-21,36152600,2591808,0.00883696,0.00862628
2021-08-20,36781807,4561563,0.00893559,0.00883696
2021-08-19,36256416,5261503,0.00886497,0.00893559
2021-08-18,35682586,3125050,0.00860500,0.00886497
2021-08-17,36832225,3417297,0.00883165,0.00860500
2021-08-16,35755947,3925696,0.00872259,0.00883165
2021-08-15,34958686,3905855,0.00855072,0.00872259
2021-08-14,35101293,4520520,0.00868677,0.00855072
2021-08-13,34871735,4080237,0.00851356,0.00868677
2021-08-12,35967604,4679292,0.00870755,0.00851356
2021-08-11,36879068,4159533,0.00904373,0.00870755
2021-08-10,37197509,3736743,0.00911621,0.00904373
2021-08-09,35656817,3883672,0.00873568,0.00911621
2021-08-08,36692847,4658005,0.00899710,0.00873568
2021-08-07,37085499,4532229,0.00909018,0.00899710
2021-08-06,38409167,4322036,0.00932774,0.00909018
2021-08-05,36918024,4794740,0.00919501,0.00932774
2021-08-04,35316754,3099333,0.00875851,0.00919501
2021-08-03,37054047,4272620,0.00907636,0.00875851
2021-08-02,36339615,5305476,0.00899270,0.00907636
2021-08-01,37439150,6057303,0.00919292,0.00899270
2021-07-31,37677910,3204041,0.00926603,0.00919292
2021-07-30,39033778,6818194,0.00959807,0.00926603
2021-07-29,31911747,4168777,0.00790459,0.00959807
2021-07-28,28611103,2337476,0.00705076,0.00790459
2021-07-27,29234121,4077693,0.00720891,0.00705076
2021-07-26,25748725,1688240,0.00636678,0.00720891
2021-07-25,25638377,1840840,0.00633909,0.00636678
2021-07-24,25256903,2922615,0.00624170,0.00633909
2021-07-23,25390770,2868316,0.00627995,0.00624170
2021-07-22,25114868,1009692,0.00632027,0.00627995
2021-07-21,26017036,1852988,0.00641709,0.00632027
2021-07-20,25400006,1497754,0.00627736,0.00641709
2021-07-19,26863291,2096970,0.00666037,0.00627736
2021-07-18,26087439,1659808,0.00643871,0.00666037
2021-07-17,26248914,2459259,0.00651890,0.00643871
2021-07-16,26311339,2939289,0.00650932,0.00651890
2021-07-15,25068646,2382212,0.00622708,0.00650932
2021-07-14,25483657,2212813,0.00631384,0.00622708
2021-07-13,26082733,3508359,0.00645571,0.00631384
2021-07-12,25479124,3388694,0.00645843,0.00645571
2021-07-11,26587645,3859998,0.00666957,0.00645843
2021-07-10,26899954,3825463,0.00675069,0.00666957
2021-07-09,25190372,2324288,0.00628216,0.00675069
2021-07-08,25582012,2814523,0.00643323,0.00628216
2021-07-07,25602579,2174165,0.00645055,0.00643323
2021-07-06,26238679,2940266,0.00659943,0.00645055
2021-07-05,27026783,1725438,0.00670779,0.00659943
2021-07-04,25439166,2576303,0.00640967,0.00670779
2021-07-03,23134949,2382367,0.00583102,0.00640967
2021-07-02,22241050,3979289,0.00560006,0.00583102
2021-07-01,21574791,4061127,0.00543142,0.00560006
2021-06-30,21534921,1584209,0.00541364,0.00543142
2021-06-29,22149624,2927026,0.00558437,0.00541364
2021-06-28,21122491,1127737,0.00531976,0.00558437
2021-06-27,20606713,1549036,0.00519695,0.00531976
2021-06-26,20626692,1938869,0.00520021,0.00519695
2021-06-25,21068922,1510916,0.00538300,0.00520021
2021-06-24,20704539,2362072,0.00523788,0.00538300
2021-06-23,20798557,2623194,0.00530003,0.00523788
2021-06-22,21428151,1598680,0.00533391,0.00530003
2021-06-21,23814630,2228750,0.00600879,0.00533391
2021-06-20,23778359,1802330,0.00597042,0.00600879
2021-06-19,23949230,2544500,0.00604581,0.00597042
2021-06-18,25399801,2166644,0.00642920,0.00604581
2021-06-17,25583588,1264304,0.00646675,0.00642920
2021-06-16,25838105,1918752,0.00653288,0.00646675
2021-06-15,26394438,2155360,0.00665614,0.00653288
2021-06-14,26228580,2360038,0.00663455,0.00665614
2021-06-13,26293801,2334203,0.00660657,0.00663455
2021-06-12,26055312,2093151,0.00656951,0.00660657
2021-06-11,26684910,2608370,0.00673117,0.00656951
2021-06-10,27099215,2558489,0.00682766,0.00673117
2021-06-09,26016224,2453435,0.00657292,0.00682766
2021-06-08,29126900,3219402,0.00736297,0.00657292
2021-06-07,29636393,628887,0.00741861,0.00736297
2021-06-06,29611734,1745824,0.00741847,0.00741861
2021-06-05,27449646,2384419,0.00689104,0.00741847
2021-06-04,27870274,2501841,0.00684610,0.00689104
2021-06-03,27637286,2337148,0.00684512,0.00684610
2021-06-02,27185790,2070970,0.00669383,0.00684512
2021-06-01,27043424,1917152,0.00667422,0.00669383
2021-05-31,28334409,710876,0.00696681,0.00667422
2021-05-30,27243244,1209703,0.00665336,0.00696681
2021-05-29,26813070,2543495,0.00661579,0.00665336
2021-05-28,27722371,2274368,0.00683557,0.00661579
2021-05-27,28356511,1022462,0.00692401,0.00683557
2021-05-26,29027382,570404,0.00726788,0.00692401
2021-05-25,28906922,1795855,0.00712786,0.00726788
2021-05-24,24307564,1967658,0.00609668,0.00712786
2021-05-23,26675084,2246680,0.00658082,0.00609668
2021-05-22,27805115,1298375,0.00693726,0.00658082
2021-05-21,30351220,2574075,0.00756574,0.00693726
2021-05-20,28036041,2930112,0.00698629,0.00756574
2021-05-19,32994542,2938736,0.00820110,0.00698629
2021-05-18,33579815,3012068,0.00824293,0.00820110
2021-05-17,37106322,3739175,0.00917823,0.00824293
2021-05-16,36280481,3780264,0.00897967,0.00917823
2021-05-15,37893948,4102673,0.00935567,0.00897967
2021-05-14,33835892,3301337,0.00912293,0.00935567
2021-05-13,36891343,2966372,0.00907869,0.00912293
2021-05-12,37420225,2247356,0.00930158,0.00907869
2021-05-11,37307486,4481843,0.00926635,0.00930158
2021-05-10,36797912,4676430,0.00911014,0.00926635
2021-05-09,39555015,3378479,0.00978722,0.00911014
2021-05-08,39427285,3961955,0.00974566,0.00978722
2021-05-07,40668446,2120011,0.01006412,0.00974566
2021-05-06,40717837,2459824,0.01007714,0.01006412
2021-05-05,40965240,2237573,0.01007100,0.01007714
2021-05-04,41322910,2888587,0.01023038,0.01007100
2021-05-03,41317118,2476986,0.01023197,0.01023038
2021-05-02,41135894,2779930,0.01018667,0.01023197
2021-05-01,41395547,2387257,0.01018004,0.01018667
2021-04-30,38802534,2454927,0.00955589,0.01018004
2021-04-29,0.000000000000,1928951,0.00974495,0.00955589
2021-04-28,0.000000000000,1628970,0.00996393,0.00974495
2021-04-27,0.000000000000,1567038,0.00976115,0.00996393
2021-04-26,0.000000000000,1998546,0.00953093,0.00976115
2021-04-25,0.000000000000,1518540,0.00967716,0.00953093
2021-04-24,0.000000000000,2000714,0.00916536,0.00967716
2021-04-23,0.000000000000,1927956,0.00990133,0.00916536
2021-04-22,0.000000000000,2089361,0.01019078,0.00990133
2021-04-21,0.000000000000,1754623,0.01017282,0.01019078
2021-04-20,0.000000000000,1788319,0.01002211,0.01017282
2021-04-19,0.000000000000,2269937,0.01022854,0.01002211
2021-04-18,0.000000000000,1792213,0.01099842,0.01022854
2021-04-17,0.000000000000,1294265,0.01077514,0.01099842
2021-04-16,0.000000000000,1406433,0.01086232,0.01077514
2021-04-15,0.000000000000,1805177,0.01030088,0.01086232
2021-04-14,0.000000000000,1686870,0.01021103,0.01030088
2021-04-13,0.000000000000,1958378,0.01032481,0.01021103
2021-04-12,0.000000000000,1589708,0.01016880,0.01032481
2021-04-11,0.000000000000,1588530,0.01060028,0.01016880
2021-04-10,0.000000000000,1798345,0.01058520,0.01060028
2021-04-09,0.000000000000,2015522,0.01059229,0.01058520
