date,mktcap,vol,open_price,close_price
2021-10-04,690087,0.870575,0.00334992,0.00368697
2021-10-03,689247,0.868904,0.00334349,0.00334992
2021-10-02,694590,5.96,0.00337106,0.00334349
2021-10-01,718344,0.00576358,0.00348046,0.00337106
2021-09-30,684722,3.67,0.00332514,0.00348046
2021-09-29,684064,3.25,0.00329836,0.00332514
2021-09-28,795270,214.31,0.00383244,0.00329836
2021-09-27,536711,0.648035,0.00259214,0.00383244
2021-09-26,370378,51.90,0.00180152,0.00259214
2021-09-25,468601,0.353461,0.00227564,0.00180152
2021-09-24,475476,0.357790,0.00230351,0.00227564
2021-09-23,449089,341.92,0.00217850,0.00230351
2021-09-22,768765,18.45,0.00366367,0.00217850
2021-09-21,894539,15.41,0.00341730,0.00366367
2021-09-20,909235,139.78,0.00440844,0.00341730
2021-09-19,800926,110.76,0.00330731,0.00440844
2021-09-18,800926,110.76,0.00330731,0.00330731
2021-09-17,619132,0.03534104,0.00301001,0.00330731
2021-09-16,611978,0.056787,0.00298854,0.00301001
2021-09-15,655653,19795.11,0.00318524,0.00298854
2021-09-14,464096,19495.14,0.00225275,0.00318524
2021-09-13,516491,13278.04,0.00249409,0.00225275
2021-09-12,504413,26367,0.00245036,0.00249409
2021-09-11,508481,31820,0.00243465,0.00245036
2021-09-10,527317,34935,0.00255205,0.00243465
2021-09-09,565819,43596,0.00270514,0.00255205
2021-09-08,505374,42159,0.00245154,0.00270514
2021-09-07,839406,51236,0.00420108,0.00245154
2021-09-06,515795,33485,0.00249790,0.00420108
2021-09-05,504223,53993,0.00244612,0.00249790
2021-09-04,510773,81720,0.00247258,0.00244612
2021-09-03,422885,64746,0.00205287,0.00247258
2021-09-02,424822,38011,0.00206109,0.00205287
2021-09-01,424591,68061,0.00206990,0.00206109
2021-08-31,390632,44906,0.00188597,0.00206990
2021-08-30,453634,27656,0.00220090,0.00188597
2021-08-29,453861,30547,0.00220593,0.00220090
2021-08-28,445491,23988,0.00216105,0.00220593
2021-08-27,417608,55740,0.00202579,0.00216105
2021-08-26,505064,56397,0.00245185,0.00202579
2021-08-25,684687,83774,0.00331571,0.00245185
2021-08-24,694370,47062,0.00336676,0.00331571
