date,mktcap,vol,open_price,close_price
2021-10-04,1589050416,10330674,118.77,126.41
2021-10-03,1539400239,10878459,115.55,118.77
2021-10-02,1487278754,13720006,111.35,115.55
2021-10-01,1422147847,14453431,106.42,111.35
2021-09-30,1340888995,14360099,100.61,106.42
2021-09-29,1293012199,19057321,96.47,100.61
2021-09-28,1428899150,17831818,107.58,96.47
2021-09-27,1508531996,12541298,113.10,107.58
2021-09-26,1541819513,13790681,115.51,113.10
2021-09-25,1569706312,13277028,116.21,115.51
2021-09-24,1603690572,20668221,120.57,116.21
2021-09-23,1568940174,15025527,117.64,120.57
2021-09-22,1402965915,16313028,105.03,117.64
2021-09-21,1630752982,29504853,123.15,105.03
2021-09-20,1864127237,13124708,139.87,123.15
2021-09-19,1908094592,14253183,143.21,139.87
2021-09-18,1949914704,17569561,146.38,143.21
2021-09-17,1908195251,13649368,143.49,146.38
2021-09-16,1933243735,12815351,145.11,143.49
2021-09-15,1934462096,14332688,145.30,145.11
2021-09-14,1803562914,12874174,135.56,145.30
2021-09-13,1922206748,10268867,144.46,135.56
2021-09-12,1919520454,13533664,144.32,144.46
2021-09-11,1888209958,16708568,141.99,144.32
2021-09-10,1950824439,16835453,146.48,141.99
2021-09-09,1946800993,15201443,146.31,146.48
2021-09-08,1980003958,24023651,149.23,146.31
2021-09-07,2319012708,19270123,174.33,149.23
2021-09-06,2331904310,8757651,176.20,174.33
2021-09-05,2301580799,17777511,173.30,176.20
2021-09-04,2369601319,13765379,178.46,173.30
2021-09-03,2363230843,16769965,178.11,178.46
2021-09-02,2411786604,18600367,182.10,178.11
2021-09-01,2317710264,22702642,174.78,182.10
2021-08-31,2248572845,21785488,167.91,174.78
2021-08-30,2368707926,17690520,179.65,167.91
2021-08-29,2276035200,17412576,173.32,179.65
2021-08-28,2365776816,20774442,178.46,173.32
2021-08-27,2326116561,18136193,175.62,178.46
2021-08-26,2357822375,19706857,178.32,175.62
2021-08-25,2212586807,19114834,166.60,178.32
2021-08-24,2341076188,26573418,176.70,166.60
2021-08-23,2343800032,18412536,177.01,176.70
2021-08-22,2358640909,18673876,178.08,177.01
2021-08-21,2300225464,22455437,173.71,178.08
2021-08-20,2138558734,17835162,163.31,173.71
2021-08-19,2135083091,13814125,160.87,163.31
2021-08-18,2182587276,16152807,164.56,160.87
2021-08-17,2313635782,16870099,174.95,164.56
2021-08-16,2320964286,17160924,175.19,174.95
2021-08-15,2274968498,22487011,172.21,175.19
2021-08-14,2297277466,60868741,173.92,172.21
2021-08-13,2098770685,30791499,158.89,173.92
2021-08-12,2054476581,24845516,155.46,158.89
2021-08-11,2102682051,27421014,160.20,155.46
2021-08-10,2080872628,33209556,157.33,160.20
2021-08-09,1996835466,34088344,151.26,157.33
2021-08-08,1917615873,33733643,145.34,151.26
2021-08-07,1873760664,30531365,142.05,145.34
2021-08-06,1841712692,29174369,139.54,142.05
2021-08-05,1795546773,25347569,136.20,139.54
2021-08-04,1680172179,24348189,127.43,136.20
2021-08-03,1789254363,25389076,135.65,127.43
2021-08-02,1963907446,17016789,149.34,135.65
2021-08-01,2078668313,23447949,157.59,149.34
2021-07-31,1997962734,24051822,151.81,157.59
2021-07-30,1895305191,19026392,143.72,151.81
2021-07-29,1825018480,17222585,138.41,143.72
2021-07-28,1773549321,18170879,134.85,138.41
2021-07-27,1707343320,23455330,129.37,134.85
2021-07-26,1731842926,21051613,132.07,129.37
2021-07-25,1698437663,21534726,129.16,132.07
2021-07-24,1583812204,21216497,120.49,129.16
2021-07-23,1536565118,20982498,117.18,120.49
2021-07-22,1471009372,24269662,112.32,117.18
2021-07-21,1330659809,10989944,101.41,112.32
2021-07-20,1347052895,9611802,102.47,101.41
