date,mktcap,vol,open_price,close_price
2021-10-04,13485932,282668,89.30,86.18
2021-10-03,13392198,34014,89.26,89.30
2021-10-02,12899225,148512,85.78,89.26
2021-10-01,11849573,165660,79.47,85.78
2021-09-30,11400332,120155,76.29,79.47
2021-09-29,11670953,105707,78.42,76.29
2021-09-28,11854449,194795,79.16,78.42
2021-09-27,12340899,316451,83.10,79.16
2021-09-26,11400789,61891,75.86,83.10
2021-09-25,11584145,142104,77.30,75.86
2021-09-24,12329321,229695,82.73,77.30
2021-09-23,12125797,109698,81.56,82.73
2021-09-22,10752626,219243,72.42,81.56
2021-09-21,11640507,330092,79.22,72.42
2021-09-20,13173322,46243,90.75,79.22
2021-09-19,13510369,33921,93.30,90.75
2021-09-18,13394803,123386,92.39,93.30
2021-09-17,14344966,220216,99.62,92.39
2021-09-16,14516024,271370,100.76,99.62
2021-09-15,13854859,414513,95.97,100.76
2021-09-14,12497043,83252,84.32,95.97
2021-09-13,13082934,141024,87.88,84.32
2021-09-12,12455085,242634,83.53,87.88
2021-09-11,12079345,222022,80.33,83.53
2021-09-10,13174628,223488,87.60,80.33
2021-09-09,13222210,140105,87.18,87.60
2021-09-08,13131513,370076,87.38,87.18
2021-09-07,15759614,91685,106.81,87.38
2021-09-06,15689859,243833,106.16,106.81
2021-09-05,15359383,45725,103.11,106.16
2021-09-04,15178540,221297,101.81,103.11
2021-09-03,15441251,159150,104.71,101.81
2021-09-02,15899798,101115,108.50,104.71
2021-09-01,14688635,65935,100.67,108.50
2021-08-31,13911038,55125,94.40,100.67
2021-08-30,13832776,86341,94.43,94.40
2021-08-29,14177117,78853,97.21,94.43
2021-08-28,14356625,35730,98.82,97.21
2021-08-27,13663670,75518,94.18,98.82
2021-08-26,14286807,49321,98.87,94.18
2021-08-25,14292256,126107,98.65,98.87
2021-08-24,15146611,78474,105.50,98.65
2021-08-23,14801653,50353,103.26,105.50
2021-08-22,14586959,94688,101.24,103.26
2021-08-21,14867858,157301,103.42,101.24
2021-08-20,13926260,91890,97.35,103.42
2021-08-19,13800785,244003,95.47,97.35
2021-08-18,13822591,170908,95.89,95.47
2021-08-17,14920755,195714,104.04,95.89
2021-08-16,15281649,249952,106.44,104.04
2021-08-15,15096052,126454,105.23,106.44
2021-08-14,15305797,161404,107.65,105.23
2021-08-13,13764112,85244,96.68,107.65
2021-08-12,14180962,232625,99.31,96.68
2021-08-11,14219952,286593,98.76,99.31
2021-08-10,13966717,309558,98.90,98.76
2021-08-09,13508975,239452,94.39,98.90
2021-08-08,14131334,325076,100.31,94.39
2021-08-07,13187005,257433,94.08,100.31
2021-08-06,12602211,228366,90.27,94.08
2021-08-05,12153996,254600,85.66,90.27
2021-08-04,11037994,54839,78.47,85.66
2021-08-03,11475304,218587,81.85,78.47
2021-08-02,11327127,228844,81.38,81.85
2021-08-01,11396534,281008,82.58,81.38
2021-07-31,10872892,51978,79.40,82.58
2021-07-30,10616099,171088,77.41,79.40
2021-07-29,10201987,178151,74.21,77.41
2021-07-28,10076925,380522,73.55,74.21
2021-07-27,10067680,519522,73.77,73.55
2021-07-26,9580936,349509,72.14,73.77
2021-07-25,9583926,1410699,72.87,72.14
2021-07-24,8989383,728841,72.32,72.87
2021-07-23,8596644,921598,70.70,72.32
2021-07-22,7696099,115997,66.24,70.70
2021-07-21,6931490,80105,59.14,66.24
2021-07-20,7221798,44444,61.84,59.14
2021-07-19,7535937,3431.81,65.03,61.84
2021-07-18,7641478,43905,65.51,65.03
2021-07-17,7648492,58383,65.66,65.51
2021-07-16,7984815,31864,68.56,65.66
2021-07-15,8302402,111565,71.39,68.56
2021-07-14,8306138,71994,71.25,71.39
2021-07-13,8655228,125361,74.67,71.25
2021-07-12,9078433,18472.68,77.95,74.67
2021-07-11,9041634,103346,77.53,77.95
2021-07-10,9222895,74215,79.04,77.53
2021-07-09,8934381,89931,76.52,79.04
2021-07-08,9849840,379130,84.46,76.52
2021-07-07,9920632,450119,84.60,84.46
2021-07-06,9350819,372898,78.44,84.60
2021-07-05,9393838,490157,77.87,78.44
2021-07-04,8566745,261454,70.41,77.87
2021-07-03,8128390,234734,65.59,70.41
2021-07-02,8225292,267427,66.17,65.59
2021-07-01,8619379,93198,68.44,66.17
2021-06-30,8424035,233091,66.92,68.44
2021-06-29,7883140,223907,62.37,66.92
2021-06-28,7453330,127418,58.90,62.37
2021-06-27,6897885,16708.81,54.37,58.90
2021-06-26,6997756,142165,55.21,54.37
2021-06-25,7709287,115245,60.55,55.21
2021-06-24,7498214,183330,59.39,60.55
2021-06-23,7054676,345276,55.05,59.39
2021-06-22,7478495,286783,57.81,55.05
2021-06-21,9176389,123703,73.09,57.81
2021-06-20,8977697,61862,71.34,73.09
2021-06-19,8964959,212514,71.63,71.34
2021-06-18,9731944,155312,78.54,71.63
2021-06-17,9507189,154001,76.63,78.54
2021-06-16,10296197,83513,83.13,76.63
2021-06-15,10299140,295183,83.21,83.13
2021-06-14,10106397,387366,80.93,83.21
2021-06-13,9667801,250248,76.94,80.93
2021-06-12,9660606,242122,77.35,76.94
2021-06-11,10531996,444476,84.62,77.35
2021-06-10,10945815,1019347,88.86,84.62
2021-06-09,10663738,194208,84.66,88.86
2021-06-08,11854736,432804,88.51,84.66
2021-06-07,12538072,171946,94.13,88.51
2021-06-06,12168839,215550,92.25,94.13
2021-06-05,12789259,122152,96.62,92.25
2021-06-04,13677498,332273,102.83,96.62
2021-06-03,13121635,219666,99.50,102.83
2021-06-02,12592056,210883,94.53,99.50
2021-06-01,12345605,134920,94.90,94.53
2021-05-31,11186467,214078,85.81,94.90
2021-05-30,10430653,249390,78.51,85.81
2021-05-29,10964764,193043,83.43,78.51
2021-05-28,12481116,358455,94.53,83.43
2021-05-27,13090392,599012,98.82,94.53
2021-05-26,11950072,406500,89.84,98.82
2021-05-25,11860084,680270,87.31,89.84
2021-05-24,9139341,896964,66.97,87.31
2021-05-23,10870388,510435,79.57,66.97
2021-05-22,11489768,736010,83.69,79.57
2021-05-21,14634984,653675,106.39,83.69
2021-05-20,13678057,1580751,98.43,106.39
2021-05-19,19376086,1335555,143.88,98.43
2021-05-18,17912625,790548,131.80,143.88
2021-05-17,18104162,439531,132.81,131.80
2021-05-16,19261325,240960,139.14,132.81
2021-05-15,21253578,538810,152.74,139.14
2021-05-14,18923450,1027138,138.46,152.74
2021-05-13,19891081,824772,140.52,138.46
2021-05-12,19544844,230282,139.30,140.52
2021-05-11,18692163,914997,132.21,139.30
2021-05-10,19782907,649358,142.54,132.21
2021-05-09,20304435,653248,148.68,142.54
2021-05-08,18926976,201909,139.12,148.68
2021-05-07,18939233,359432,140.41,139.12
2021-05-06,19278079,234686,143.93,140.41
2021-05-05,18373847,504105,138.71,143.93
2021-05-04,20513673,1165709,157.32,138.71
2021-05-03,18599166,693043,146.30,157.32
2021-05-02,17091075,787959,142.44,146.30
2021-05-01,16275460,1104839,136.88,142.44
2021-04-30,16239479,1093019,137.71,136.88
2021-04-29,15829161,1559664,136.40,137.71
2021-04-28,15405257,1403083,134.20,136.40
2021-04-27,14112465,886319,124.54,134.20
2021-04-26,12229451,363268,108.16,124.54
2021-04-25,11955530,218523,105.48,108.16
2021-04-24,12465823,216279,110.07,105.48
2021-04-23,13152809,151309,115.95,110.07
2021-04-22,12703173,192278,113.11,115.95
2021-04-21,12784717,369918,113.07,113.11
2021-04-20,12410269,215131,111.09,113.07
2021-04-19,12963701,428901,116.67,111.09
2021-04-18,13827620,98865,124.74,116.67
2021-04-17,14670828,176801,133.92,124.74
2021-04-16,15205904,485835,137.16,133.92
2021-04-15,13933645,158528,121.89,137.16
2021-04-14,13487391,293466,119.16,121.89
2021-04-13,13339252,510957,119.64,119.16
2021-04-12,12552527,179040,109.72,119.64
2021-04-11,12164341,267676,106.37,109.72
2021-04-10,11979833,654325,104.28,106.37
2021-04-09,12715372,18119.23,109.24,104.28
2021-04-08,12507495,157371,106.81,109.24
2021-04-07,13742453,298661,115.26,106.81
2021-04-06,13662437,343772,113.68,115.26
2021-04-05,13881861,222404,113.08,113.68
2021-04-04,13445865,269605,110.29,113.08
2021-04-03,14300154,109065,114.05,110.29
2021-04-02,13900472,224531,109.60,114.05
2021-04-01,13376455,184378,104.66,109.60
2021-03-31,13046709,186817,102.75,104.66
2021-03-30,13231217,589992,103.95,102.75
2021-03-29,12732112,78278,98.06,103.95
2021-03-28,13235002,156232,99.79,98.06
2021-03-27,13744695,245211,99.11,99.79
2021-03-26,12815066,120992,91.37,99.11
2021-03-25,12723063,352288,90.73,91.37
2021-03-24,14479020,481108,102.52,90.73
2021-03-23,14683664,289958,103.87,102.52
2021-03-22,15749051,175582,107.08,103.87
2021-03-21,16091029,315467,108.97,107.08
2021-03-20,16381661,532000,109.93,108.97
2021-03-19,17152811,691244,104.28,109.93
2021-03-18,17996258,313060,105.55,104.28
2021-03-17,17634536,665671,103.81,105.55
2021-03-16,18159042,1048741,103.25,103.81
2021-03-15,19283821,2048387,105.41,103.25
2021-03-14,21971818,609184,112.45,105.41
2021-03-13,20210320,383843,101.98,112.45
2021-03-12,21734778,664041,106.85,101.98
2021-03-11,23236810,860675,108.19,106.85
2021-03-10,25290978,1440280,116.00,108.19
2021-03-09,25223287,2310393,113.66,116.00
2021-03-08,26921350,1186171,113.48,113.66
2021-03-07,25432633,586216,102.62,113.48
