date,mktcap,vol,open_price,close_price
2021-10-04,2983586,661178,1.31,1.21
2021-10-03,3556962,676128,1.54,1.31
2021-10-02,3640893,2038279,1.61,1.54
2021-10-01,1977888,594845,0.850323,1.61
2021-09-30,1526719,247291,0.670785,0.850323
2021-09-29,1564980,215561,0.609093,0.670785
2021-09-28,1598217,129342,0.704695,0.609093
2021-09-27,1761314,239549,0.801581,0.704695
2021-09-26,1608365,323409,0.723202,0.801581
2021-09-25,2024849,468329,0.896359,0.723202
2021-09-24,2062990,616764,0.917041,0.896359
2021-09-23,2141933,580108,0.954381,0.917041
2021-09-22,2076212,508935,0.925413,0.954381
2021-09-21,2198443,605101,0.975333,0.925413
2021-09-20,2469530,470204,1.22,0.975333
2021-09-19,2561476,672762,1.27,1.22
2021-09-18,2523257,531193,1.25,1.27
2021-09-17,2816404,779518,1.39,1.25
2021-09-16,2879677,271809,1.42,1.39
2021-09-15,2752300,387193,1.37,1.42
2021-09-14,2782256,520527,1.38,1.37
2021-09-13,2850409,101316,1.42,1.38
2021-09-12,2998512,422827,1.49,1.42
2021-09-11,2749107,251768,1.37,1.49
2021-09-10,2940523,236301,1.46,1.37
2021-09-09,3451057,197326,1.71,1.46
2021-09-08,3504045,409418,1.76,1.71
2021-09-07,4050343,499785,2.02,1.76
2021-09-06,3866552,252109,2.14,2.02
2021-09-05,3382775,220682,1.90,2.14
2021-09-04,3485482,374476,1.95,1.90
2021-09-03,3652293,474041,2.03,1.95
2021-09-02,3970359,404198,2.22,2.03
2021-09-01,3727073,574527,2.09,2.22
2021-08-31,4250854,500491,2.35,2.09
2021-08-30,3717611,429067,2.12,2.35
2021-08-29,5164055,809605,2.84,2.12
2021-08-28,3630132,2612824,2.27,2.84
2021-08-27,3507020,1372187,2.03,2.27
2021-08-26,3367647,2292253,2.09,2.03
2021-08-25,2512427,1894202,1.55,2.09
2021-08-24,1935250,1530198,1.22,1.55
2021-08-23,1751883,1586801,1.11,1.22
2021-08-22,1758659,1469185,1.12,1.11
2021-08-21,1795961,1547555,1.10,1.12
2021-08-20,1487282,398137,1.10,1.10
2021-08-19,1529041,490224,1.11,1.10
2021-08-18,1522957,1109331,1.11,1.11
2021-08-17,1480837,1598778,1.05,1.11
2021-08-16,1576841,1298592,1.13,1.05
2021-08-15,1587117,1413588,1.16,1.13
