date,mktcap,vol,open_price,close_price
2021-10-04,300750,1158.74,0.00004010,0.00004308
2021-10-03,307144,1328.30,0.00003415,0.00004010
2021-10-02,303465,1882.45,0.00004046,0.00003415
2021-10-01,280589,2891.67,0.00003745,0.00004046
2021-09-30,223885,2475.89,0.00002988,0.00003745
2021-09-29,230009,1417.01,0.00003067,0.00002988
2021-09-28,196697,1713.71,0.00002608,0.00003067
2021-09-27,189026,2091.98,0.00003230,0.00002608
2021-09-26,189419,1557.60,0.00002529,0.00003230
2021-09-25,147468,1488.78,0.00002015,0.00002529
2021-09-24,180573,2416.06,0.00002407,0.00002015
2021-09-23,116413,1806.64,0.00001552,0.00002407
2021-09-22,108795,1280.64,0.00001451,0.00001552
2021-09-21,101908,2194.79,0.00001363,0.00001451
2021-09-20,128015,2241.46,0.00001709,0.00001363
2021-09-19,118379,3525.77,0.00001578,0.00001709
2021-09-18,52319,450.19,0.00000701,0.00001578
2021-09-17,54195,1163.94,0.00000721,0.00000701
2021-09-16,43556,1023.28,0.00000581,0.00000721
2021-09-15,50452,1224.64,0.00000673,0.00000581
2021-09-14,65698,1326.44,0.00000877,0.00000673
2021-09-13,75122,1351.00,0.00001001,0.00000877
2021-09-12,49713,1032.13,0.00000663,0.00001001
2021-09-11,48430,1185.79,0.00000644,0.00000663
2021-09-10,43367,929.18,0.00000578,0.00000644
2021-09-09,52615,990.13,0.00000702,0.00000578
2021-09-08,54618,1442.13,0.00000728,0.00000702
2021-09-07,65083,1118.09,0.00000867,0.00000728
2021-09-06,71553,599.91,0.00000954,0.00000867
2021-09-05,81791,1243.72,0.00001094,0.00000954
2021-09-04,63825,1147.88,0.00000852,0.00001094
2021-09-03,62528,945.34,0.00000834,0.00000852
2021-09-02,75524,1151.78,0.00000830,0.00000834
2021-09-01,85054,1522.15,0.00001132,0.00000830
2021-08-31,78401,1455.88,0.00001050,0.00001132
2021-08-30,75655,1584.51,0.00001008,0.00001050
2021-08-29,99462,1466.49,0.00001081,0.00001008
2021-08-28,60134,914.57,0.00000803,0.00001081
2021-08-27,82495,1441.65,0.00001099,0.00000803
2021-08-26,78733,1355.26,0.00001051,0.00001099
2021-08-25,69503,1216.97,0.00000927,0.00001051
2021-08-24,57463,1590.80,0.00000765,0.00000927
2021-08-23,61311,1292.74,0.00000817,0.00000765
2021-08-22,63845,1560.53,0.00000851,0.00000817
2021-08-21,45368,1285.47,0.00000605,0.00000851
2021-08-20,45321,1488.51,0.00000605,0.00000605
2021-08-19,43311,1417.05,0.00000577,0.00000605
2021-08-18,43185,1476.09,0.00000576,0.00000577
2021-08-17,47147,1532.50,0.00000629,0.00000576
2021-08-16,45181,1205.92,0.00000603,0.00000629
2021-08-15,50034,568.86,0.00000667,0.00000603
2021-08-14,56704,1738.75,0.00000756,0.00000667
2021-08-13,56448,1454.43,0.00000751,0.00000756
2021-08-12,52649,1155.11,0.00000701,0.00000751
2021-08-11,56704,448.63,0.00000758,0.00000701
2021-08-10,45421,1099.89,0.00000604,0.00000758
2021-08-09,56792,1651.28,0.00000755,0.00000604
2021-08-08,48933,1310.41,0.00000651,0.00000755
2021-08-07,48765,1642.42,0.00000650,0.00000651
2021-08-06,37170,1143.42,0.00000495,0.00000650
2021-08-05,45016,996.82,0.00000600,0.00000495
2021-08-04,39992,1299.31,0.00000533,0.00000600
2021-08-03,85809,1907.91,0.00001144,0.00000533
2021-08-02,45408,973.85,0.00000606,0.00001144
2021-08-01,40020,1105.93,0.00000533,0.00000606
2021-07-31,293631,4790.17,0.00003915,0.00000533
2021-07-30,34174,902.04,0.00000455,0.00003915
2021-07-29,33162,312.13,0.00000443,0.00000455
2021-07-28,43509,1183.78,0.00000580,0.00000443
2021-07-27,41824,1801.91,0.00000558,0.00000580
2021-07-26,30438,821.16,0.00000406,0.00000558
2021-07-25,59222,1541.95,0.00000790,0.00000406
2021-07-24,57162,1373.96,0.00000797,0.00000790
2021-07-23,64028,63.38,0.00000854,0.00000797
2021-07-22,51170,750.57,0.00000684,0.00000854
2021-07-21,58672,1824.88,0.00000784,0.00000684
2021-07-20,64101,2755.25,0.00000856,0.00000784
2021-07-19,65414,2735.04,0.00000876,0.00000856
2021-07-18,62285,1536.15,0.00000830,0.00000876
2021-07-17,63912,2635.98,0.00000853,0.00000830
2021-07-16,53317,2829.71,0.00000766,0.00000853
2021-07-15,64542,3837.37,0.00000862,0.00000766
2021-07-14,34552,1451.77,0.00000461,0.00000862
2021-07-13,32470,1519.81,0.00000432,0.00000461
2021-07-12,31730,1988.69,0.00000424,0.00000432
2021-07-11,30678,1224.50,0.00000410,0.00000424
2021-07-10,30748,1498.11,0.00000410,0.00000410
2021-07-09,30600,2513.59,0.00000409,0.00000410
2021-07-08,28816,1203.26,0.00000384,0.00000409
2021-07-07,28807,964.70,0.00000384,0.00000384
2021-07-06,28859,274.17,0.00000384,0.00000384
2021-07-05,31779,868.22,0.00000423,0.00000384
2021-07-04,34196,1483.92,0.00000455,0.00000423
2021-07-03,30551,1034.84,0.00000407,0.00000455
2021-07-02,28901,1857.78,0.00000384,0.00000407
2021-07-01,34288,1312.05,0.00000457,0.00000384
2021-06-30,40122,771.06,0.00000556,0.00000457
2021-06-29,41205,1925.99,0.00000549,0.00000556
2021-06-28,37210,1411.62,0.00000495,0.00000549
2021-06-27,30099,2065.85,0.00000401,0.00000495
2021-06-26,23247,1083.83,0.00000312,0.00000401
2021-06-25,28216,1256.59,0.00000376,0.00000312
2021-06-24,28158,1701.46,0.00000376,0.00000376
2021-06-23,27049,3558.42,0.00000361,0.00000376
2021-06-22,28238,2917.89,0.00000376,0.00000361
2021-06-21,26337,1850.88,0.00000351,0.00000376
2021-06-20,28564,1329.58,0.00000381,0.00000351
2021-06-19,29958,1412.03,0.00000401,0.00000381
2021-06-18,32968,1759.45,0.00000444,0.00000401
2021-06-17,31641,2378.31,0.00000422,0.00000444
2021-06-16,35368,1281.49,0.00000472,0.00000422
2021-06-15,52334,3723.50,0.00000699,0.00000472
2021-06-14,56375,1326.79,0.00000753,0.00000699
2021-06-13,58451,2681.32,0.00000778,0.00000753
2021-06-12,71899,1573.09,0.00000957,0.00000778
2021-06-11,69402,1623.53,0.00000925,0.00000957
2021-06-10,72445,2099.70,0.00000964,0.00000925
2021-06-09,70650,3650.84,0.00000941,0.00000964
2021-06-08,90306,2478.10,0.00001210,0.00000941
