date,mktcap,vol,open_price,close_price
2021-10-04,5104470,17933.57,0.674391,0.684281
2021-10-03,5648861,3127.97,0.710097,0.674391
2021-10-02,5317343,7771.07,0.701848,0.710097
2021-10-01,5133218,3152.69,0.643650,0.701848
2021-09-30,4538487,3638.76,0.582313,0.643650
2021-09-29,4501870,2874.95,0.559905,0.582313
2021-09-28,4922193,5237.49,0.613777,0.559905
2021-09-27,4854452,11500.55,0.623438,0.613777
2021-09-26,4620936,22362,0.560237,0.623438
2021-09-25,4611282,33770,0.580342,0.560237
2021-09-24,4039865,10053.15,0.529198,0.580342
2021-09-23,3851229,14595.52,0.510440,0.529198
2021-09-22,3595280,7341.43,0.453413,0.510440
2021-09-21,4034436,15963.28,0.485342,0.453413
2021-09-20,4643566,25478,0.587425,0.485342
2021-09-19,5001452,47173,0.630054,0.587425
2021-09-18,4473877,58966,0.564041,0.630054
2021-09-17,5047977,39624,0.642828,0.564041
2021-09-16,5680195,14041.33,0.742611,0.642828
2021-09-15,5682487,19234.06,0.698499,0.742611
2021-09-14,5579389,12618.54,0.703838,0.698499
2021-09-13,5892720,21122,0.743427,0.703838
2021-09-12,5637389,41236,0.707979,0.743427
2021-09-11,5107320,24500,0.626034,0.707979
2021-09-10,5368494,4124.83,0.679121,0.626034
2021-09-09,5086865,19309.20,0.675204,0.679121
2021-09-08,5443308,111.29,0.696929,0.675204
2021-09-07,6240002,4274.14,0.796779,0.696929
2021-09-06,6229004,13984.45,0.775012,0.796779
2021-09-05,6413487,12821.59,0.795901,0.775012
2021-09-04,6647204,4153.12,0.837352,0.795901
2021-09-03,6185083,16017.18,0.802948,0.837352
2021-09-02,6230321,25481,0.775241,0.802948
2021-09-01,6013458,11387.88,0.764561,0.775241
2021-08-31,5809938,5204.61,0.736839,0.764561
2021-08-30,5302619,49071,0.733461,0.736839
2021-08-29,5683680,11945.40,0.723119,0.733461
2021-08-28,6021103,9900.04,0.762649,0.723119
2021-08-27,6098166,95610,0.749406,0.762649
2021-08-26,5370404,3980.30,0.687059,0.749406
2021-08-25,5327767,3414.38,0.682876,0.687059
2021-08-24,5818264,25854,0.709382,0.682876
2021-08-23,5408153,29059,0.691543,0.709382
2021-08-22,5931313,14850.36,0.750464,0.691543
2021-08-21,5619681,12120.70,0.728958,0.750464
2021-08-20,5619681,12120.70,0.728958,0.728958
2021-08-19,5266571,9942.50,0.667641,0.728958
2021-08-18,5313907,1732.25,0.673100,0.667641
2021-08-17,5517467,5974.87,0.688779,0.673100
2021-08-16,5597206,12517.30,0.708363,0.688779
2021-08-15,5821016,27981,0.713121,0.708363
2021-08-14,5400037,877.90,0.696193,0.713121
2021-08-13,5405213,9128.48,0.684033,0.696193
2021-08-12,5150274,3684.02,0.704823,0.684033
2021-08-11,5231081,166.09,0.659348,0.704823
2021-08-10,4844775,347.76,0.659306,0.659348
2021-08-09,4844775,347.76,0.659306,0.659306
2021-08-08,5186812,3795.91,0.653908,0.659306
2021-08-07,4640661,4756.58,0.585283,0.653908
2021-08-06,4640661,4625.51,0.594868,0.585283
2021-08-05,4291133,1361.16,0.537653,0.594868
2021-08-04,4291133,1361.16,0.537653,0.537653
2021-08-03,4188133,1381.68,0.550416,0.537653
2021-08-02,4188133,1381.68,0.550416,0.550416
2021-08-01,4216798,1345.48,0.540881,0.550416
2021-07-31,3843775,1241.90,0.493034,0.540881
2021-07-30,3746045,9509.54,0.489072,0.493034
2021-07-28,3904813,3765.29,0.480499,0.489072
2021-07-27,3791232,1253.86,0.498928,0.480499
2021-07-26,3875462,1995.32,0.486295,0.498928
2021-07-25,3816354,1699.38,0.496178,0.486295
2021-07-24,3628393,6668.54,0.455973,0.496178
2021-07-23,3508128,1418.36,0.447853,0.455973
2021-07-22,3468885,3230.36,0.449981,0.447853
2021-07-21,3240635,1568.98,0.375897,0.449981
2021-07-20,3240635,1568.98,0.375897,0.375897
2021-07-18,3240635,1591.49,0.415671,0.375897
2021-07-17,3325604,170.63,0.426569,0.415671
2021-07-16,3722277,583268,0.477450,0.426569
2021-07-15,3694221,618379,0.464574,0.477450
2021-07-14,3608215,570574,0.432475,0.464574
2021-07-13,3953070,168472,0.460462,0.432475
2021-07-12,3953070,168472,0.460462,0.460462
2021-07-08,4321508,5369.05,0.553311,0.460462
2021-07-07,3979364,2604.15,0.518185,0.553311
2021-07-06,3980788,1895.23,0.511796,0.518185
2021-07-05,4431139,294125,0.585788,0.511796
2021-07-04,4049967,282715,0.528317,0.585788
2021-07-03,4406849,297839,0.565676,0.528317
2021-07-02,4567597,307642,0.588948,0.565676
2021-07-01,5344921,314345,0.608758,0.588948
2021-06-30,4835909,342740,0.658723,0.608758
2021-06-29,4805455,324236,0.597889,0.658723
2021-06-28,4601531,292117,0.571634,0.597889
2021-06-27,4190746,220785,0.504576,0.571634
2021-06-26,4176106,269803,0.514313,0.504576
2021-06-25,4712753,302970,0.606654,0.514313
2021-06-24,4783533,300849,0.583326,0.606654
2021-06-23,4219283,283100,0.559551,0.583326
2021-06-22,4811107,299303,0.597308,0.559551
2021-06-21,5844013,373371,0.750965,0.597308
2021-06-20,5674282,370801,0.727830,0.750965
2021-06-19,5203173,372010,0.697442,0.727830
2021-06-18,5708523,368454,0.749250,0.697442
2021-06-17,5579269,356756,0.716983,0.749250
2021-06-16,6429169,407573,0.798464,0.716983
2021-06-15,6631078,445030,0.869275,0.798464
2021-06-14,6109713,404506,0.783707,0.869275
2021-06-13,5627622,403525,0.774182,0.783707
2021-06-12,5960004,392731,0.756746,0.774182
2021-06-11,6602703,420703,0.835702,0.756746
2021-06-10,6969477,494242,0.947068,0.835702
2021-06-09,6763699,422019,0.850715,0.947068
2021-06-08,7431140,511766,0.961338,0.850715
2021-06-07,7266268,476443,0.919461,0.961338
2021-06-06,7264176,430328,0.964420,0.919461
2021-06-05,7570191,419323,0.980708,0.964420
2021-06-04,8876255,581067,1.10,0.980708
2021-06-03,7625864,511757,0.966402,1.10
2021-06-02,7381276,411889,0.921356,0.966402
2021-06-01,8306741,358159,1.06,0.921356
2021-05-31,6751388,7938.08,0.866990,1.06
2021-05-30,6562067,1555.03,0.858562,0.866990
2021-05-29,6634006,468395,0.857479,0.858562
2021-05-28,8151634,580424,1.05,0.857479
2021-05-27,8519110,539767,1.08,1.05
2021-05-26,8373131,561337,1.08,1.08
2021-05-25,9310240,659510,1.20,1.08
2021-05-24,6390605,383689,0.792531,1.20
2021-05-23,7898683,529087,1.05,0.792531
2021-05-22,7881288,486426,1.03,1.05
2021-05-21,10210436,744709,1.31,1.03
2021-05-20,9595195,643935,1.21,1.31
2021-05-19,11210679,782581,1.49,1.21
2021-05-18,12555013,146568,1.56,1.49
2021-05-17,12245887,51582,1.66,1.56
2021-05-16,14487671,1001590,1.87,1.66
2021-05-15,16029459,1128578,2.05,1.87
