date,mktcap,vol,open_price,close_price
2021-10-04,25971321,1597475,0.204484,0.191566
2021-10-03,22996222,629087,0.184813,0.204484
2021-10-02,21473279,619242,0.172332,0.184813
2021-10-01,20915859,859082,0.168372,0.172332
2021-09-30,21526452,1635044,0.172358,0.168372
2021-09-29,24557173,1503891,0.198543,0.172358
2021-09-28,27146114,5382396,0.218087,0.198543
2021-09-27,18830618,1440105,0.165219,0.218087
2021-09-26,20028575,2368246,0.174493,0.165219
2021-09-25,14392074,1156563,0.124616,0.174493
2021-09-24,14943257,897295,0.130512,0.124616
2021-09-23,12400580,185841,0.108164,0.130512
2021-09-22,12077657,435017,0.105522,0.108164
2021-09-21,11331383,1705482,0.100008,0.105522
2021-09-20,17013633,1376717,0.149469,0.100008
2021-09-19,15613449,2552465,0.137557,0.149469
2021-09-18,6340646,894949,0.113821,0.137557
2021-09-17,5187757,440047,0.093870,0.113821
2021-09-16,5014176,315150,0.090780,0.093870
2021-09-15,5065572,329128,0.091218,0.090780
2021-09-14,4851255,1020381,0.087791,0.091218
2021-09-13,5080678,207229,0.091696,0.087791
2021-09-12,4860502,214213,0.087970,0.091696
2021-09-11,5266467,374842,0.095281,0.087970
2021-09-10,5943240,495740,0.107106,0.095281
2021-09-09,5958836,1550670,0.107518,0.107106
2021-09-08,4416838,200782,0.079960,0.107518
2021-09-07,4795529,268493,0.086944,0.079960
2021-09-06,5117886,115933,0.092758,0.086944
2021-09-05,5562916,104590,0.100698,0.092758
2021-09-04,5363985,245430,0.097469,0.100698
2021-09-03,6049515,82141,0.104292,0.097469
2021-09-02,5685971,181556,0.103062,0.104292
2021-09-01,5886506,271074,0.106572,0.103062
2021-08-31,5814283,379335,0.104976,0.106572
2021-08-30,5603970,141333,0.101811,0.104976
2021-08-29,6057539,462032,0.109729,0.101811
2021-08-28,7194936,891221,0.130256,0.109729
2021-08-27,5186425,327557,0.093685,0.130256
2021-08-26,4765406,1569238,0.086171,0.093685
2021-08-25,5174400,1518669,0.093471,0.086171
2021-08-24,7095490,503452,0.128379,0.093471
2021-08-23,6092710,227584,0.110298,0.128379
2021-08-22,6033217,1139559,0.110218,0.110298
2021-08-21,6940834,806681,0.125695,0.110218
2021-08-20,6445802,490294,0.115121,0.125695
2021-08-19,5813090,187311,0.105223,0.115121
2021-08-18,6079884,247796,0.109835,0.105223
2021-08-17,5728257,456961,0.104102,0.109835
2021-08-16,5286220,127445,0.095632,0.104102
2021-08-15,5519291,61295,0.099828,0.095632
2021-08-14,5604307,415249,0.101591,0.099828
2021-08-13,5051821,168403,0.091458,0.101591
2021-08-12,5120394,404824,0.092638,0.091458
2021-08-11,4674450,397134,0.084701,0.092638
2021-08-10,4953642,1254617,0.090407,0.084701
2021-08-09,4134715,57381,0.074846,0.090407
2021-08-08,4270397,302200,0.076885,0.074846
2021-08-07,3940350,232571,0.072647,0.076885
2021-08-06,3828414,208901,0.068843,0.072647
2021-08-05,3546701,190123,0.064194,0.068843
2021-08-04,3485109,220155,0.062414,0.064194
2021-08-03,3349313,583995,0.060518,0.062414
2021-08-02,3358514,83084,0.060878,0.060518
2021-08-01,3333818,69739,0.060353,0.060878
2021-07-31,3247472,160866,0.058817,0.060353
2021-07-30,3251147,43647,0.058808,0.058817
2021-07-29,3116185,116353,0.060429,0.058808
2021-07-28,3095866,135031,0.056120,0.060429
2021-07-27,3094972,117349,0.055153,0.056120
2021-07-26,3023702,25051,0.054782,0.055153
2021-07-25,2901646,82654,0.052642,0.054782
2021-07-24,3199949,59046,0.058043,0.052642
2021-07-23,3178845,72550,0.058005,0.058043
2021-07-22,2986912,139344,0.054200,0.058005
2021-07-21,3066412,64581,0.055580,0.054200
2021-07-20,3490672,51801,0.063732,0.055580
2021-07-19,3472053,50225,0.063187,0.063732
2021-07-18,3430692,44925,0.062107,0.063187
2021-07-17,2994434,22384,0.053881,0.062107
2021-07-16,3258792,0.000000000000,0.058995,0.053881
2021-07-15,3530313,0.000000000000,0.063910,0.058995
2021-07-14,3446273,267.62,0.062347,0.063910
2021-07-13,3491571,12775.76,0.063151,0.062347
2021-07-12,3552178,6878.97,0.064306,0.063151
2021-07-11,3544140,4996.97,0.064287,0.064306
2021-07-10,3691482,4152.26,0.066814,0.064287
2021-07-09,3590914,5978.44,0.065211,0.066814
2021-07-08,3617236,45548,0.065484,0.065211
2021-07-07,3753852,26152,0.067935,0.065484
2021-07-06,3694071,7161.07,0.066721,0.067935
2021-07-05,3712878,17354.50,0.067189,0.066721
2021-07-04,3595135,7066.95,0.065377,0.067189
2021-07-03,3767410,8152.79,0.068132,0.065377
2021-07-02,3634736,30157,0.065982,0.068132
2021-07-01,3703791,147136,0.067025,0.065982
2021-06-30,3553475,44712,0.064261,0.067025
2021-06-29,4020916,19489.06,0.072792,0.064261
2021-06-28,4374376,11183.55,0.079182,0.072792
2021-06-27,4293777,20770,0.077982,0.079182
2021-06-26,4223871,7373.94,0.076466,0.077982
2021-06-25,4351751,1933.60,0.078533,0.076466
2021-06-24,4302580,22018,0.077889,0.078533
2021-06-23,4272539,153783,0.077345,0.077889
2021-06-22,4882388,42908,0.088968,0.077345
2021-06-21,5418095,66379,0.098108,0.088968
2021-06-20,5213120,26120,0.093922,0.098108
2021-06-19,5672297,17700.69,0.103230,0.093922
2021-06-18,5712867,0.000000000000,0.103422,0.103230
2021-06-17,5729121,0.000000000000,0.103716,0.103422
2021-06-16,5785993,20654,0.104691,0.103716
2021-06-15,6012576,36220,0.108848,0.104691
