date,mktcap,vol,open_price,close_price
2021-10-04,461492,27658,0.00146226,0.00170363
2021-10-03,491901,23592,0.00153181,0.00146226
2021-10-02,458888,12022.18,0.00140482,0.00153181
2021-10-01,457512,9092.73,0.00140456,0.00140482
2021-09-30,484087,80023,0.00138921,0.00140456
2021-09-29,567033,164614,0.00186965,0.00138921
2021-09-28,413384,15066.38,0.00126174,0.00186965
2021-09-27,445248,8133.84,0.00126910,0.00126174
2021-09-26,485179,13771.88,0.00150285,0.00126910
2021-09-25,556125,25630,0.00157484,0.00150285
2021-09-24,600036,2790.75,0.00184700,0.00157484
2021-09-23,588725,6078.78,0.00180732,0.00184700
2021-09-22,607580,4685.10,0.00186527,0.00180732
2021-09-21,593517,3595.48,0.00182210,0.00186527
2021-09-20,749156,34186,0.00227954,0.00182210
2021-09-19,763727,3266.91,0.00235723,0.00227954
2021-09-18,785200,8927.26,0.00240962,0.00235723
2021-09-17,788787,5622.90,0.00241932,0.00240962
2021-09-16,797402,91658,0.00280354,0.00241932
2021-09-15,817360,4933.04,0.00252964,0.00280354
2021-09-14,810361,5557.94,0.00250902,0.00252964
2021-09-13,800772,12263.36,0.00247933,0.00250902
2021-09-12,763220,10590.48,0.00235891,0.00247933
2021-09-11,748265,12723.34,0.00231837,0.00235891
2021-09-10,827700,4982.22,0.00257625,0.00231837
2021-09-09,833521,14980.80,0.00259138,0.00257625
2021-09-08,863998,16901.34,0.00267646,0.00259138
2021-09-07,927526,6295.72,0.00310311,0.00267646
2021-09-06,901741,13238.87,0.00301219,0.00310311
2021-09-05,926190,21809,0.00308563,0.00301219
2021-09-04,966862,27195,0.00323996,0.00308563
2021-09-03,1026786,76326,0.00340978,0.00323996
2021-09-02,967656,21077,0.00323262,0.00340978
2021-09-01,945238,34823,0.00315038,0.00323262
2021-08-31,946593,26101,0.00315226,0.00315038
2021-08-30,929866,155368,0.00312547,0.00315226
2021-08-29,922470,298127,0.00309341,0.00312547
2021-08-28,907571,269281,0.00320487,0.00309341
2021-08-27,909841,231651,0.00271925,0.00320487
2021-08-26,848585,275587,0.00286671,0.00271925
2021-08-25,806364,226254,0.00282027,0.00286671
2021-08-24,839862,316425,0.00288498,0.00282027
2021-08-23,850269,263472,0.00292303,0.00288498
2021-08-22,873696,246715,0.00299790,0.00292303
2021-08-21,823548,267810,0.00283170,0.00299790
2021-08-20,841081,84625,0.00295766,0.00283170
2021-08-19,912598,178281,0.00313689,0.00295766
2021-08-18,1004668,758713,0.00343881,0.00313689
2021-08-17,996133,776197,0.00353733,0.00343881
2021-08-16,777541,252288,0.00248610,0.00353733
2021-08-15,709352,210245,0.00243836,0.00248610
2021-08-14,830332,257121,0.00277375,0.00243836
2021-08-13,786969,94872,0.00277929,0.00277375
2021-08-12,778619,240264,0.00283307,0.00277929
2021-08-11,858160,275652,0.00309999,0.00283307
2021-08-10,966456,469095,0.00304169,0.00309999
2021-08-09,922195,901648,0.00336863,0.00304169
2021-08-08,836724,507017,0.00287014,0.00336863
2021-08-07,662597,546929,0.00285756,0.00287014
2021-08-06,641939,446509,0.00268516,0.00285756
2021-08-05,665321,487015,0.00306421,0.00268516
2021-08-04,609642,467298,0.00272371,0.00306421
2021-08-03,659644,388764,0.00266048,0.00272371
2021-08-02,656936,471914,0.00280596,0.00266048
2021-08-01,723442,509187,0.00314691,0.00280596
2021-07-31,714660,554944,0.00306803,0.00314691
2021-07-30,555606,458839,0.00239117,0.00306803
2021-07-29,584291,230581,0.00251630,0.00239117
2021-07-28,624671,100168,0.00269426,0.00251630
2021-07-27,673384,90987,0.00288447,0.00269426
2021-07-26,672400,86126,0.00289551,0.00288447
2021-07-25,657312,91012,0.00286380,0.00289551
2021-07-24,649702,76799,0.00290210,0.00286380
2021-07-23,591011,66166,0.00254812,0.00290210
2021-07-22,675197,78660,0.00284397,0.00254812
2021-07-21,579199,79782,0.00250192,0.00284397
2021-07-20,674927,72722,0.00286145,0.00250192
2021-07-19,732239,81670,0.00315891,0.00286145
2021-07-18,762356,71094,0.00328883,0.00315891
2021-07-17,763214,138021,0.00328890,0.00328883
2021-07-16,771581,133872,0.00338409,0.00328890
2021-07-15,826137,238724,0.00358382,0.00338409
2021-07-14,690503,129151,0.00298061,0.00358382
2021-07-13,859928,620909,0.00360731,0.00298061
2021-07-12,1239221,991789,0.00549047,0.00360731
2021-07-11,477560,75214,0.00216810,0.00549047
2021-07-10,508632,62648,0.00220848,0.00216810
2021-07-09,491852,58763,0.00213579,0.00220848
2021-07-08,520546,45377,0.00220117,0.00213579
2021-07-07,547428,64489,0.00236337,0.00220117
2021-07-06,566879,87915,0.00315888,0.00236337
2021-07-05,654848,87555,0.00367038,0.00315888
2021-07-04,606543,84105,0.00339756,0.00367038
2021-07-03,549184,78888,0.00328864,0.00339756
2021-07-02,586491,83928,0.00329566,0.00328864
2021-07-01,672700,80091,0.00376986,0.00329566
2021-06-30,619018,88057,0.00357540,0.00376986
2021-06-29,598890,85127,0.00336176,0.00357540
2021-06-28,630730,79176,0.00361270,0.00336176
2021-06-27,592423,73736,0.00333049,0.00361270
2021-06-26,565565,88455,0.00316875,0.00333049
2021-06-25,631968,89793,0.00378249,0.00316875
2021-06-24,666890,109682,0.00397669,0.00378249
2021-06-23,616671,81368,0.00346448,0.00397669
2021-06-22,646659,79820,0.00365563,0.00346448
2021-06-21,803502,96933,0.00449529,0.00365563
2021-06-20,768517,92678,0.00433441,0.00449529
2021-06-19,778752,88703,0.00436047,0.00433441
2021-06-18,863973,100393,0.00485054,0.00436047
2021-06-17,787311,97042,0.00448660,0.00485054
2021-06-16,881454,102958,0.00512240,0.00448660
2021-06-15,990709,113809,0.00544244,0.00512240
2021-06-14,928328,132286,0.00534158,0.00544244
2021-06-13,810428,107475,0.00523463,0.00534158
2021-06-12,896442,107180,0.00525196,0.00523463
2021-06-11,990955,116480,0.00582649,0.00525196
2021-06-10,1061966,144283,0.00622120,0.00582649
2021-06-09,1049847,211635,0.00613793,0.00622120
2021-06-08,1052934,153044,0.00600366,0.00613793
2021-06-07,1194956,235417,0.00709230,0.00600366
