date,mktcap,vol,open_price,close_price
2021-10-04,3715660,3335.65,49.49,49.88
2021-10-03,3703063,3204.74,49.48,49.49
2021-10-02,3733523,4716.00,49.72,49.48
2021-10-01,3790306,9272.71,50.45,49.72
2021-09-30,3690388,4566.00,49.18,50.45
2021-09-29,3482705,3811.05,46.38,49.18
2021-09-28,3730256,4353.59,49.39,46.38
2021-09-27,3775672,5745.01,50.40,49.39
2021-09-26,3697405,1420.44,49.27,50.40
2021-09-25,3701968,2257.51,49.17,49.27
2021-09-24,3819372,3693.42,50.82,49.17
2021-09-23,3776489,2873.06,49.39,50.82
2021-09-22,3707575,6505.27,49.33,49.39
2021-09-21,3792981,5113.35,50.51,49.33
2021-09-20,3940255,2797.22,50.44,50.51
2021-09-19,4055524,4156.68,53.96,50.44
2021-09-18,3981292,7216.77,53.17,53.96
2021-09-17,4026067,5820.67,53.67,53.17
2021-09-16,4103554,4713.39,54.65,53.67
2021-09-15,4228018,2414.97,56.35,54.65
2021-09-14,4011578,8625.68,53.46,56.35
2021-09-13,3839719,2992.36,51.05,53.46
2021-09-12,3805179,8078.63,50.67,51.05
2021-09-11,3793709,3763.20,50.53,50.67
2021-09-10,3761251,4440.68,50.05,50.53
2021-09-09,3792786,6974.06,50.51,50.05
2021-09-08,3802507,5689.52,50.61,50.51
2021-09-07,3907447,4202.73,52.09,50.61
2021-09-06,3883917,4645.10,51.78,52.09
2021-09-05,3871071,4810.18,51.55,51.78
2021-09-04,3847851,5047.70,51.40,51.55
2021-09-03,3883840,8302.67,51.73,51.40
2021-09-02,3828603,5194.95,51.04,51.73
2021-09-01,3747527,3880.57,49.89,51.04
2021-08-31,4157655,5788.15,55.34,49.89
2021-08-30,4436347,2888.35,59.04,55.34
2021-08-29,4430843,2349.37,59.04,59.04
2021-08-28,4431666,2255.12,59.12,59.04
2021-08-27,4117183,6360.58,54.92,59.12
2021-08-26,4107726,11271.47,54.70,54.92
2021-08-25,4071487,10339.31,54.33,54.70
2021-08-24,4114525,9644.75,55.26,54.33
2021-08-23,4116729,8785.48,54.82,55.26
2021-08-22,4227413,2457.95,59.03,54.82
2021-08-21,4093581,13762.34,54.52,59.03
2021-08-20,4216340,6756.27,56.39,54.52
2021-08-19,4191618,22268,55.82,56.39
2021-08-18,4079625,32064,54.13,55.82
2021-08-17,4135944,84755,54.91,54.13
2021-08-16,3960639,26952,52.74,54.91
2021-08-15,4020500,111498,53.32,52.74
2021-08-14,4017196,394274,53.53,53.32
2021-08-13,3745346,2785.75,49.88,53.53
2021-08-12,3915943,4001.33,52.14,49.88
2021-08-11,3937393,6306.61,52.43,52.14
2021-08-10,3977024,5251.52,53.55,52.43
2021-08-09,3707629,2651.57,49.37,53.55
2021-08-08,3935020,6421.38,52.26,49.37
2021-08-07,3825768,4440.89,50.83,52.26
2021-08-06,3567576,3280.20,47.44,50.83
2021-08-05,3473810,2710.91,46.23,47.44
2021-08-04,3445023,3144.31,45.88,46.23
2021-08-03,3758334,3820.98,49.98,45.88
2021-08-02,3951986,7743.71,52.68,49.98
2021-08-01,3949966,4676.10,52.55,52.68
2021-07-31,4319160,4438.13,57.75,52.55
2021-07-30,4263381,5657.19,56.48,57.75
2021-07-29,4400079,1920.38,58.65,56.48
2021-07-28,4320518,2045.01,57.57,58.65
2021-07-27,4159648,7050.08,55.16,57.57
2021-07-26,4331714,5300.24,58.24,55.16
2021-07-25,4221245,6257.09,56.21,58.24
2021-07-24,4213153,7589.75,56.37,56.21
2021-07-23,4194178,11322.57,55.93,56.37
2021-07-22,4128214,7692.35,54.98,55.93
