date,mktcap,vol,open_price,close_price
2021-10-04,3140437,2318.11,1.07,0.993339
2021-10-03,3184726,894.71,1.08,1.07
2021-10-02,3090639,7013.74,1.07,1.08
2021-10-01,2839868,5973.92,1.09,1.07
2021-09-30,2687206,43984,1.03,1.09
2021-09-29,2413650,2572.30,0.901770,1.03
2021-09-28,2462822,1096.36,0.911009,0.901770
2021-09-27,2519425,5635.54,0.924234,0.911009
2021-09-26,2533172,3676.17,0.946425,0.924234
2021-09-25,2554268,24824,0.957501,0.946425
2021-09-24,2618828,37656,0.978294,0.957501
2021-09-23,2667991,27546,0.992955,0.978294
2021-09-22,2408321,16357.25,0.897646,0.992955
2021-09-21,2537713,49694,0.925669,0.897646
2021-09-20,2600752,7790.32,0.956565,0.925669
2021-09-19,2559367,5110.96,0.952556,0.956565
2021-09-18,2514315,8210.18,0.939380,0.952556
2021-09-17,2588755,30277,0.970035,0.939380
2021-09-16,2688804,34833,1.00,0.970035
2021-09-15,2529282,15786.44,0.954234,1.00
2021-09-14,2596751,68503,0.968765,0.954234
2021-09-13,2586589,33798,0.962834,0.968765
2021-09-12,2633487,86157,0.977779,0.962834
2021-09-11,2587150,98552,0.967217,0.977779
2021-09-10,2831112,130449,1.07,0.967217
2021-09-09,2515217,59097,0.941717,1.07
2021-09-08,2647690,100542,1.01,0.941717
2021-09-07,2574722,28539,0.976926,1.01
2021-09-06,2496494,37419,0.948953,0.976926
2021-09-05,2567957,25915,0.977167,0.948953
2021-09-04,2515419,41460,0.957253,0.977167
2021-09-03,2671179,46587,1.01,0.957253
2021-09-02,2643689,90485,1.02,1.01
2021-09-01,2616927,28929,1.00,1.02
2021-08-31,2688458,10015.79,1.01,1.00
2021-08-30,2680450,15253.63,1.01,1.01
2021-08-29,2672777,24409,1.04,1.01
2021-08-28,2753613,6500.11,1.07,1.04
2021-08-27,2643009,38812,1.05,1.07
2021-08-26,2545396,51934,1.00,1.05
2021-08-25,2600279,49899,1.03,1.00
2021-08-24,2432156,103769,1.06,1.03
2021-08-23,2413244,39825,1.05,1.06
2021-08-22,2262925,29954,1.07,1.05
2021-08-21,2313909,28431,1.12,1.07
2021-08-20,1952884,20233,1.12,1.12
2021-08-19,1742974,27105,1.11,1.12
2021-08-18,1645930,26771,1.09,1.11
2021-08-17,1506314,49000,1.08,1.09
2021-08-16,1360921,8507.37,1.09,1.08
2021-08-15,1286519,14327.37,1.07,1.09
2021-08-14,1241969,12795.76,1.09,1.07
2021-08-13,1059236,23226,1.17,1.09
2021-08-12,942078,2933.09,1.05,1.17
2021-08-11,852085,8167.80,1.05,1.05
2021-08-10,693516,8533.58,1.08,1.05
2021-08-09,713489,41344,1.10,1.08
2021-08-08,644067,6848.56,1.08,1.10
2021-08-07,583392,233.74,0.974895,1.08
2021-08-06,581417,5575.41,0.968388,0.974895
2021-08-05,601023,2906.81,1.00,0.968388
2021-08-04,596597,2184.54,0.969416,1.00
2021-08-03,630472,16078.65,0.954258,0.969416
2021-08-02,651347,13180.74,0.978329,0.954258
2021-08-01,696990,5875.53,1.06,0.978329
2021-07-31,693057,29651,1.01,1.06
2021-07-30,648562,2743.47,0.948465,1.01
2021-07-29,663740,9536.50,0.969124,0.948465
2021-07-28,797000,25113,0.879977,0.969124
2021-07-27,766635,125570,0.840263,0.879977
2021-07-26,946316,173966,1.42,0.840263
2021-07-25,677835,64141,1.05,1.42
2021-07-24,594145,38632,0.736480,1.05
2021-07-23,724864,5820.21,0.896450,0.736480
2021-07-22,726753,12724.13,0.898786,0.896450
2021-07-21,745732,4366.21,0.841734,0.898786
2021-07-20,930566,82267,0.803830,0.841734
2021-07-19,1143090,10990.80,0.891283,0.803830
2021-07-18,1212758,9413.36,0.942630,0.891283
2021-07-17,1250469,141271,0.936892,0.942630
2021-07-16,1311773,77714,0.982822,0.936892
2021-07-15,1323762,3246.45,0.991805,0.982822
2021-07-14,1328986,11787.89,0.998324,0.991805
2021-07-13,1303701,16323.65,0.979039,0.998324
2021-07-12,1358611,8482.35,1.01,0.979039
2021-07-11,1351708,3494.53,1.02,1.01
2021-07-10,1354632,14299.58,1.02,1.02
