date,mktcap,vol,open_price,close_price
2021-10-04,894002,154.78,0.01748284,0.01864019
2021-10-03,892313,159.74,0.01744981,0.01748284
2021-10-02,864464,1075.04,0.01690522,0.01744981
2021-10-01,764932,1037.64,0.01480398,0.01690522
2021-09-30,737730,4.90,0.01450525,0.01480398
2021-09-29,751311,182.23,0.01469241,0.01450525
2021-09-28,808854,38356,0.01528007,0.01469241
2021-09-27,838119,206.12,0.01626565,0.01528007
2021-09-26,812922,478.58,0.01659420,0.01626565
2021-09-25,823117,437.77,0.01633704,0.01659420
2021-09-24,838549,219.97,0.01639843,0.01633704
2021-09-23,794553,877.56,0.01553806,0.01639843
2021-09-22,767160,412.63,0.01497949,0.01553806
2021-09-21,801654,271.55,0.01577298,0.01497949
2021-09-20,876599,493.82,0.01714251,0.01577298
2021-09-19,886646,147.55,0.01732081,0.01714251
2021-09-18,908596,306.48,0.01818009,0.01732081
2021-09-17,872406,1029.52,0.01706052,0.01818009
2021-09-16,942004,553.63,0.01848641,0.01706052
2021-09-15,825202,212.91,0.01628304,0.01848641
2021-09-14,830801,1421.50,0.01623148,0.01628304
2021-09-13,831497,5384.99,0.01713398,0.01623148
2021-09-12,939559,6372.60,0.01837375,0.01713398
2021-09-11,891181,6167.90,0.01742768,0.01837375
2021-09-10,902332,5525.77,0.01771369,0.01742768
2021-09-09,820772,347.97,0.01599934,0.01771369
2021-09-08,861078,317.94,0.01669247,0.01599934
2021-09-07,905131,209.94,0.01789011,0.01669247
2021-09-06,897795,1252.59,0.01757469,0.01789011
2021-09-05,1440710,697.75,0.02338508,0.01757469
2021-09-04,973467,4449.54,0.01903684,0.02338508
2021-09-03,894482,1068.15,0.01751120,0.01903684
2021-09-02,772832,1298.72,0.01519281,0.01751120
2021-09-01,802867,4349.34,0.01582152,0.01519281
2021-08-31,844382,457.55,0.01767928,0.01582152
2021-08-30,925069,1161.46,0.01819881,0.01767928
2021-08-29,964040,1737.38,0.01872517,0.01819881
2021-08-28,925631,2248.88,0.01812842,0.01872517
2021-08-27,896140,8080.11,0.01746025,0.01812842
2021-08-26,1155918,8000.94,0.02243271,0.01746025
2021-08-25,914145,716.70,0.01789334,0.02243271
2021-08-24,945228,3517.73,0.01860386,0.01789334
