date,mktcap,vol,open_price,close_price
2021-10-04,4065264,128816,0.03064596,0.03275286
2021-10-03,3757241,99318,0.02842635,0.03064596
2021-10-02,3585382,153019,0.02715453,0.02842635
2021-10-01,3554591,138605,0.02825012,0.02715453
2021-09-30,3215306,125349,0.02423289,0.02825012
2021-09-29,2911512,157885,0.02195965,0.02423289
2021-09-28,3530734,124924,0.02653544,0.02195965
2021-09-27,3650470,183193,0.02964185,0.02653544
2021-09-26,3891440,82529,0.02915639,0.02964185
2021-09-25,3937783,95081,0.02965093,0.02915639
2021-09-24,4394349,165271,0.03318627,0.02965093
2021-09-23,4705434,121625,0.03583201,0.03318627
2021-09-22,4384474,85339,0.03336395,0.03583201
2021-09-21,4769433,97621,0.03622042,0.03336395
2021-09-20,5478549,115289,0.04088929,0.03622042
2021-09-19,5580913,106887,0.04139377,0.04088929
2021-09-18,5266479,92466,0.04002449,0.04139377
2021-09-17,5487957,158596,0.04148520,0.04002449
2021-09-16,5265719,99436,0.04018253,0.04148520
2021-09-15,4992691,82863,0.03757904,0.04018253
2021-09-14,4730838,73632,0.03582983,0.03757904
2021-09-13,5046406,102412,0.03807968,0.03582983
2021-09-12,5225127,105735,0.03950095,0.03807968
2021-09-11,4967640,105373,0.03762330,0.03950095
2021-09-10,5229880,91785,0.03974397,0.03762330
2021-09-09,5528486,113039,0.04111030,0.03974397
2021-09-08,5449096,105442,0.04122082,0.04111030
2021-09-07,6181746,127273,0.04690273,0.04122082
2021-09-06,5871682,102336,0.04444889,0.04690273
2021-09-05,6121173,159117,0.04634746,0.04444889
2021-09-04,6185101,174278,0.04620167,0.04634746
2021-09-03,6563527,181474,0.04973439,0.04620167
2021-09-02,6553160,220873,0.04986246,0.04973439
2021-09-01,6031351,145673,0.04567950,0.04986246
2021-08-31,5477633,103773,0.04098850,0.04567950
2021-08-30,5653623,112018,0.04278420,0.04098850
2021-08-29,5324197,104100,0.04051324,0.04278420
2021-08-28,5508822,107454,0.04174587,0.04051324
2021-08-27,5164080,78384,0.03911107,0.04174587
2021-08-26,5482353,172103,0.04147169,0.03911107
2021-08-25,5273038,154190,0.03986463,0.04147169
2021-08-24,5399743,121858,0.04068474,0.03986463
2021-08-23,5266410,116344,0.03988608,0.04068474
2021-08-22,5393874,89921,0.04080485,0.03988608
2021-08-21,5504078,157244,0.04164776,0.04080485
2021-08-20,4890651,224460,0.03819648,0.04164776
2021-08-19,5300590,195892,0.04014495,0.03819648
