date,mktcap,vol,open_price,close_price
2021-10-04,23712931,171129,477.06,465.49
2021-10-03,23965332,116504,483.83,477.06
2021-10-02,22450748,211581,451.98,483.83
2021-10-01,21935612,72703,501.37,451.98
2021-09-30,22324018,157780,449.85,501.37
2021-09-29,25016452,98040,457.47,449.85
2021-09-28,25453657,44877,512.91,457.47
2021-09-27,20947181,126934,422.49,512.91
2021-09-26,24886919,101616,499.97,422.49
2021-09-25,25145327,200098,517.96,499.97
2021-09-24,25875885,130940,521.54,517.96
2021-09-23,25006142,233298,503.76,521.54
2021-09-22,23448278,231836,474.13,503.76
2021-09-21,25251024,282637,509.22,474.13
2021-09-20,28521576,161357,570.43,509.22
2021-09-19,28434314,155544,573.12,570.43
2021-09-18,27972104,127219,563.51,573.12
2021-09-17,28880623,141633,581.35,563.51
2021-09-16,29596048,234016,595.41,581.35
2021-09-15,29000068,232642,583.01,595.41
2021-09-14,27287065,322477,549.35,583.01
2021-09-13,27488330,191275,551.80,549.35
2021-09-12,27038313,121490,543.91,551.80
2021-09-11,26876734,198621,541.55,543.91
2021-09-10,28154790,171477,566.37,541.55
2021-09-09,29600121,161330,594.95,566.37
2021-09-08,29400138,251269,593.53,594.95
2021-09-07,32378429,465145,652.83,593.53
2021-09-06,32567653,308878,656.80,652.83
2021-09-05,32421873,224075,651.55,656.80
2021-09-04,31330001,147978,632.51,651.55
2021-09-03,30101520,567564,607.16,632.51
2021-09-02,33716644,477950,679.63,607.16
2021-09-01,27988287,231065,564.17,679.63
2021-08-31,26911942,142459,541.47,564.17
2021-08-30,28160889,232161,567.30,541.47
2021-08-29,24769780,314996,499.52,567.30
2021-08-28,24969664,394359,502.82,499.52
2021-08-27,23671421,396058,476.24,502.82
2021-08-26,23203414,378182,467.71,476.24
2021-08-25,22027169,327114,443.30,467.71
2021-08-24,23361268,448609,470.39,443.30
2021-08-23,22504696,375164,453.11,470.39
2021-08-22,22316329,350560,449.44,453.11
2021-08-21,22606941,397018,456.18,449.44
2021-08-20,20929762,359722,426.31,456.18
2021-08-19,21485805,403964,432.84,426.31
2021-08-18,21715610,231906,436.80,432.84
2021-08-17,21185530,261572,424.82,436.80
2021-08-16,23630096,398667,475.91,424.82
2021-08-15,22910418,674305,461.21,475.91
2021-08-14,23410236,528804,472.44,461.21
2021-08-13,22490272,206777,453.37,472.44
2021-08-12,21381496,387627,430.46,453.37
2021-08-11,20987082,381668,423.37,430.46
2021-08-10,21354828,519143,443.33,423.37
2021-08-09,19430694,680153,389.64,443.33
2021-08-08,17357088,513364,347.97,389.64
2021-08-07,15883502,460050,320.24,347.97
2021-08-06,15607887,524279,314.72,320.24
2021-08-05,17450228,518575,350.46,314.72
2021-08-04,16411074,472389,331.05,350.46
2021-08-03,17453610,463549,351.72,331.05
2021-08-02,16026151,545653,323.40,351.72
2021-08-01,16194367,483741,326.74,323.40
2021-07-31,16273666,418148,328.41,326.74
2021-07-30,15576706,435503,313.91,328.41
2021-07-29,14727506,294114,297.00,313.91
2021-07-28,14689442,170317,296.67,297.00
2021-07-27,14075411,390278,272.19,296.67
2021-07-26,14281834,246770,292.55,272.19
2021-07-25,14376745,226541,290.48,292.55
2021-07-24,13768436,214997,278.67,290.48
2021-07-23,13291592,222970,268.77,278.67
2021-07-22,12624866,186447,254.93,268.77
2021-07-21,12994058,254613,261.88,254.93
2021-07-20,13871656,152849,280.42,261.88
2021-07-19,12369234,205059,249.74,280.42
2021-07-18,14060809,118774,283.62,249.74
2021-07-17,12099178,182535,244.08,283.62
2021-07-16,14026617,205264,282.69,244.08
2021-07-15,14516538,136603,292.86,282.69
2021-07-14,13976111,181460,281.16,292.86
2021-07-13,14875898,173091,300.05,281.16
2021-07-12,14251902,118609,287.40,300.05
2021-07-11,13943340,230831,281.12,287.40
2021-07-10,13947813,189395,281.41,281.12
2021-07-09,14019857,113740,282.70,281.41
2021-07-08,13685312,312665,275.46,282.70
2021-07-07,13514151,358091,272.93,275.46
2021-07-06,12877956,500249,259.29,272.93
2021-07-05,13398143,496491,269.15,259.29
2021-07-04,12721380,349626,256.77,269.15
2021-07-03,12643574,254090,260.81,256.77
2021-07-02,12941661,298967,261.45,260.81
2021-07-01,12941380,360444,260.46,261.45
2021-06-30,12177799,340546,244.95,260.46
2021-06-29,11912163,361408,239.94,244.95
2021-06-28,12774063,366999,258.44,239.94
2021-06-27,11952630,434278,241.28,258.44
2021-06-26,10101106,374235,203.72,241.28
2021-06-25,10596025,258317,223.05,203.72
2021-06-24,10384018,264475,211.70,223.05
2021-06-23,10167901,505742,208.32,211.70
2021-06-22,10963869,993936,219.89,208.32
2021-06-21,11740197,1184645,237.58,219.89
2021-06-20,11904521,1280363,242.23,237.58
2021-06-19,11953551,1414028,241.97,242.23
2021-06-18,12333182,1311904,250.59,241.97
2021-06-17,12761687,1353489,258.56,250.59
2021-06-16,12945037,1375190,262.32,258.56
2021-06-15,13183738,1160194,266.53,262.32
2021-06-14,12353249,1233020,256.85,266.53
2021-06-13,11985910,1289669,243.16,256.85
2021-06-12,12654357,1280128,256.11,243.16
2021-06-11,13952832,1203387,282.90,256.11
2021-06-10,14181320,1257210,287.06,282.90
2021-06-09,14138870,1690864,287.46,287.06
2021-06-08,17480759,1602046,354.71,287.46
2021-06-07,16731766,1495887,339.30,354.71
2021-06-06,16716496,1468257,337.93,339.30
2021-06-05,15499744,929745,313.80,337.93
2021-06-04,15817921,1359976,319.13,313.80
2021-06-03,15038316,1365301,304.71,319.13
2021-06-02,14977601,1314721,303.23,304.71
2021-06-01,14724877,1379835,298.51,303.23
2021-05-31,12365632,1114604,251.38,298.51
2021-05-30,12690361,1008699,256.12,251.38
2021-05-29,13006286,1316632,261.98,256.12
2021-05-28,13975599,1224418,283.57,261.98
2021-05-27,14015466,1051835,284.09,283.57
2021-05-26,14221774,1636228,289.18,284.09
2021-05-25,12806757,1665551,259.95,289.18
2021-05-24,10426307,1313564,212.69,259.95
2021-05-23,12284068,1479329,249.33,212.69
2021-05-22,15480364,1517590,314.73,249.33
2021-05-21,18343031,1970108,364.19,314.73
2021-05-20,14701018,1332151,300.94,364.19
2021-05-19,17514963,1461977,355.80,300.94
2021-05-18,17556655,1302380,354.26,355.80
2021-05-17,19300624,1378229,394.43,354.26
2021-05-16,20433015,1323772,414.88,394.43
2021-05-15,21406436,1652018,435.22,414.88
2021-05-14,21679614,1982512,442.43,435.22
2021-05-13,18394378,1151175,363.15,442.43
2021-05-12,17315024,680926,351.05,363.15
2021-05-11,17391632,1004062,352.55,351.05
2021-05-10,20491171,1475941,411.59,352.55
2021-05-09,18185144,758716,369.58,411.59
2021-05-08,18299796,904476,370.97,369.58
2021-05-07,17636137,802831,357.01,370.97
2021-05-06,16722586,808875,337.05,357.01
2021-05-05,15148396,891265,305.83,337.05
2021-05-04,15161482,939710,307.13,305.83
2021-05-03,13530950,814658,274.41,307.13
2021-05-02,13488992,778812,273.26,274.41
2021-05-01,13363470,816448,271.46,273.26
2021-04-30,12652886,849788,256.45,271.46
2021-04-29,12568555,1119606,255.05,256.45
2021-04-28,11589796,808000,237.45,255.05
2021-04-27,12053048,847137,244.79,237.45
2021-04-26,12178572,940045,248.28,244.79
2021-04-25,12277220,789272,248.11,248.28
2021-04-24,13070417,903691,265.00,248.11
2021-04-23,13972303,940570,282.83,265.00
2021-04-22,13751832,886434,277.25,282.83
2021-04-21,15326167,958724,310.26,277.25
2021-04-20,15013084,912536,305.01,310.26
2021-04-19,16041044,844207,324.79,305.01
2021-04-18,16497306,1027353,335.44,324.79
2021-04-17,17332054,1022471,351.47,335.44
2021-04-16,17736945,693109,359.27,351.47
2021-04-15,17764903,1083791,360.57,359.27
2021-04-14,17350991,1003319,352.83,360.57
2021-04-13,17080430,944698,347.08,352.83
2021-04-12,17032210,1022870,345.99,347.08
2021-04-11,17097914,932476,348.22,345.99
2021-04-10,16914333,1117386,343.22,348.22
2021-04-09,16556182,979342,335.64,343.22
2021-04-08,16760329,1071742,338.53,335.64
2021-04-07,21543493,1429244,436.09,338.53
2021-04-06,17585022,904130,356.74,436.09
2021-04-05,17752842,845200,359.83,356.74
2021-04-04,17076794,762200,345.79,359.83
2021-04-03,16535072,854476,336.50,345.79
2021-04-02,16142158,828054,327.35,336.50
2021-04-01,15376947,445619,310.48,327.35
2021-03-31,15483557,773864,314.20,310.48
2021-03-30,15532180,969247,315.11,314.20
2021-03-29,13016957,780779,264.38,315.11
2021-03-28,12124602,626903,245.80,264.38
2021-03-27,12033617,666295,243.90,245.80
2021-03-26,11322424,674924,229.79,243.90
2021-03-25,10464997,564029,212.25,229.79
2021-03-24,11192618,427886,227.29,212.25
2021-03-23,11299060,281066,229.16,227.29
2021-03-22,11631652,534293,236.02,229.16
2021-03-21,11468067,411741,231.91,236.02
2021-03-20,11582563,399280,234.25,231.91
2021-03-19,11545307,383597,234.41,234.25
2021-03-18,11595168,494275,235.38,234.41
2021-03-17,11684353,407984,237.19,235.38
2021-03-16,12529494,666913,253.96,237.19
2021-03-15,14139068,927803,286.56,253.96
2021-03-14,12617695,736498,256.06,286.56
2021-03-13,11001780,545202,222.82,256.06
2021-03-12,10839343,558483,219.90,222.82
2021-03-11,11879954,473900,240.36,219.90
2021-03-10,12373029,542474,251.28,240.36
2021-03-09,12263835,558196,248.98,251.28
2021-03-08,11226854,627281,227.32,248.98
2021-03-07,10311050,546868,208.75,227.32
2021-03-06,9857967,536408,200.20,208.75
2021-03-05,9657260,547248,195.93,200.20
2021-03-04,9903200,601424,200.13,195.93
2021-03-03,9034356,522776,183.25,200.13
2021-03-02,9797732,588462,198.72,183.25
2021-03-01,8969055,582636,180.83,198.72
2021-02-28,9304971,1042651,186.65,180.83
2021-02-27,10373663,745965,210.37,186.65
2021-02-26,10040825,583431,202.46,210.37
2021-02-25,10648287,574697,216.07,202.46
2021-02-24,10615916,707304,215.42,216.07
2021-02-23,12757803,725960,259.35,215.42
2021-02-22,14330656,675652,290.60,259.35
2021-02-21,14135030,654469,287.16,290.60
2021-02-20,14046827,801595,285.11,287.16
2021-02-19,14515672,798530,294.54,285.11
2021-02-18,12453711,711487,252.67,294.54
2021-02-17,11872692,628128,240.88,252.67
2021-02-16,11563246,661193,234.02,240.88
2021-02-15,12371618,770368,250.64,234.02
2021-02-14,11520982,708319,231.80,250.64
2021-02-13,10782439,488165,219.37,231.80
2021-02-12,9976397,573779,211.71,219.37
2021-02-11,9785685,742985,198.34,211.71
2021-02-10,12456472,726947,252.52,198.34
2021-02-09,11231834,793809,229.40,252.52
2021-02-08,11180225,583086,227.26,229.40
2021-02-07,11561905,572494,234.83,227.26
2021-02-06,11912059,683821,241.78,234.83
2021-02-05,10330368,620463,209.40,241.78
2021-02-04,9370863,612087,190.37,209.40
2021-02-03,9198570,631638,186.25,190.37
2021-02-02,8348728,534431,170.32,186.25
2021-02-01,8287933,455156,168.33,170.32
2021-01-31,8330845,505790,168.98,168.33
2021-01-30,8324697,880113,168.78,168.98
2021-01-29,7963719,580727,160.93,168.78
2021-01-28,8075522,537769,164.41,160.93
2021-01-27,8981818,1568005,182.25,164.41
2021-01-26,8844640,241972,179.45,182.25
2021-01-25,9266797,1634710,191.27,179.45
2021-01-24,8537358,1506283,175.85,191.27
2021-01-23,9222240,1604627,187.86,175.85
2021-01-22,8363943,1690776,164.97,187.86
2021-01-21,9457995,1761837,193.48,164.97
2021-01-20,9916133,2384084,202.10,193.48
2021-01-19,9009520,1722705,183.05,202.10
2021-01-18,8898298,1659848,178.40,183.05
2021-01-17,8324140,1463036,169.62,178.40
2021-01-16,8356596,1434385,169.97,169.62
2021-01-15,8775501,1721338,179.52,169.97
2021-01-14,8709606,1692838,176.71,179.52
2021-01-13,8109764,1445709,165.13,176.71
2021-01-12,8247223,1782883,167.50,165.13
2021-01-11,8823819,1573803,178.63,167.50
2021-01-10,9692231,1633519,196.85,178.63
2021-01-09,9191754,1808091,187.36,196.85
2021-01-08,9284354,2013678,189.38,187.36
2021-01-07,9845568,1794497,201.13,189.38
2021-01-06,9302523,1866677,189.06,201.13
2021-01-05,9431162,1860624,191.73,189.06
2021-01-04,8109584,1299163,163.63,191.73
2021-01-03,6991668,1426680,142.15,163.63
2021-01-02,6723755,1311733,136.95,142.15
2021-01-01,6618887,1471681,134.76,136.95
2020-12-31,7324733,1635715,148.92,134.76
2020-12-30,6728399,1267512,136.53,148.92
2020-12-29,6831811,1201580,138.91,136.53
2020-12-28,6875746,1309145,139.08,138.91
2020-12-27,6385992,1647966,129.46,139.08
2020-12-26,6735479,1667985,136.88,129.46
2020-12-25,6794218,1591010,138.46,136.88
2020-12-24,6755084,1752277,139.78,138.46
2020-12-23,8532387,1757715,173.56,139.78
2020-12-22,8273952,1701078,167.93,173.56
2020-12-21,8657601,1758586,173.96,167.93
2020-12-20,9847891,1635883,199.92,173.96
2020-12-19,9137149,624089,186.42,199.92
2020-12-18,9675836,1472808,196.59,186.42
2020-12-17,9840599,1472044,199.44,196.59
2020-12-16,9300317,1307617,192.34,199.44
2020-12-15,7768596,1585317,157.78,192.34
2020-12-14,8461612,1451715,171.61,157.78
2020-12-13,7557955,1748794,153.35,171.61
2020-12-12,7181071,627771,145.89,153.35
2020-12-11,7107127,1794973,143.62,145.89
2020-12-10,7994116,1732199,162.38,143.62
2020-12-09,8076035,1876222,163.76,162.38
2020-12-08,8585901,1270720,174.43,163.76
2020-12-07,8732865,1733680,177.40,174.43
2020-12-06,8540068,1742774,173.85,177.40
2020-12-05,8272073,1908469,168.19,173.85
2020-12-04,8743692,1875910,177.60,168.19
2020-12-03,8887182,1679395,180.66,177.60
2020-12-02,8874415,673596,180.50,180.66
2020-12-01,9776173,1601594,200.64,180.50
2020-11-30,10011750,1493916,203.34,200.64
2020-11-29,10042684,1746818,203.73,203.34
2020-11-28,10015308,1781226,203.73,203.73
2020-11-27,10082187,1996070,203.42,203.73
2020-11-26,10228602,1927378,208.13,203.42
2020-11-25,10337248,790122,210.84,208.13
2020-11-24,11194058,1921023,221.42,210.84
2020-11-23,11089876,1993746,216.76,221.42
2020-11-22,11400499,5063149,232.47,216.76
2020-11-21,7115027,1192889,138.40,232.47
2020-11-20,7568526,666978,154.06,138.40
2020-11-19,7958308,3332587,160.92,154.06
2020-11-18,8341578,1328432,169.95,160.92
2020-11-17,8077900,322191,170.06,169.95
2020-11-16,7958880,932606,161.89,170.06
2020-11-15,7889373,1160749,160.38,161.89
2020-11-14,8156819,1049820,165.96,160.38
2020-11-13,7888279,940346,160.66,165.96
2020-11-12,7878867,933578,161.08,160.66
2020-11-11,7387006,1222991,151.85,161.08
2020-11-10,6572706,859426,134.62,151.85
2020-11-09,6725635,548428,134.96,134.62
2020-11-08,6291419,971291,128.47,134.96
2020-11-07,5979378,709519,123.44,128.47
2020-11-06,5754163,766864,117.59,123.44
2020-11-05,5914589,695778,120.65,117.59
2020-11-04,5805761,922735,118.19,120.65
2020-11-03,5882560,900922,119.82,118.19
2020-11-02,6105152,458099,124.74,119.82
2020-11-01,6160775,968038,125.57,124.74
2020-10-31,6330103,959981,128.94,125.57
2020-10-30,6169915,981614,125.47,128.94
2020-10-29,6366570,1005337,129.59,125.47
2020-10-28,6549041,982249,133.34,129.59
2020-10-27,6867061,966962,139.57,133.34
2020-10-26,6818780,895777,138.91,139.57
2020-10-25,6917014,681947,140.80,138.91
2020-10-24,6917666,865061,140.96,140.80
2020-10-23,7093160,971574,144.61,140.96
2020-10-22,7066659,1098422,144.62,144.61
2020-10-21,6906425,1121236,140.78,144.62
2020-10-20,7154765,1333013,145.88,140.78
2020-10-19,8314119,1265447,169.48,145.88
2020-10-18,8346774,1291158,172.26,169.48
2020-10-17,8310315,1561793,169.21,172.26
2020-10-16,8900074,1711430,182.17,169.21
2020-10-15,7420076,1284949,151.23,182.17
2020-10-14,7229962,1300925,146.80,151.23
2020-10-13,7397392,1183471,151.53,146.80
2020-10-12,7563853,712468,153.64,151.53
2020-10-11,7746924,639069,157.79,153.64
2020-10-10,7454507,706233,152.47,157.79
2020-10-09,7212553,660576,149.72,152.47
2020-10-08,6897742,818066,140.55,149.72
2020-10-07,7027603,831317,144.89,140.55
2020-10-06,7354806,825923,149.92,144.89
2020-10-05,7089778,716281,144.54,149.92
2020-10-04,7171646,617340,146.47,144.54
2020-10-03,7100415,784882,145.36,146.47
2020-10-02,7490888,825645,152.60,145.36
2020-10-01,7878518,858639,160.45,152.60
2020-09-30,7266296,719890,148.56,160.45
2020-09-29,7324171,982262,149.52,148.56
2020-09-28,7637271,724680,156.65,149.52
2020-09-27,7709402,549580,157.25,156.65
2020-09-26,7307359,754544,148.68,157.25
2020-09-25,6525528,873290,135.42,148.68
2020-09-24,6132689,798817,121.62,135.42
2020-09-23,6670866,725137,136.16,121.62
