date,mktcap,vol,open_price,close_price
2021-10-04,579144,2671.22,0.00108665,0.00119925
2021-10-03,553812,5484.26,0.00103628,0.00108665
2021-10-02,602984,3675.06,0.00111624,0.00103628
2021-10-01,540548,12450.62,0.00100097,0.00111624
2021-09-30,499152,3860.28,0.00092404,0.00100097
2021-09-29,529287,12863.40,0.00098903,0.00092404
2021-09-28,510820,12469.31,0.00095595,0.00098903
2021-09-27,523287,13208.46,0.00097936,0.00095595
2021-09-26,637048,5008.65,0.00119509,0.00097936
2021-09-25,658540,24869,0.00118582,0.00119509
2021-09-24,680296,4321.43,0.00127310,0.00118582
2021-09-23,705429,11321.24,0.00130099,0.00127310
2021-09-22,591172,15306.74,0.00110632,0.00130099
2021-09-21,571895,19624.91,0.00107024,0.00110632
2021-09-20,765469,7746.85,0.00143072,0.00107024
2021-09-19,752502,15924.84,0.00140078,0.00143072
2021-09-18,796504,5643.92,0.00145203,0.00140078
2021-09-17,744632,2025.66,0.00138646,0.00145203
2021-09-16,735259,9379.83,0.00137596,0.00138646
2021-09-15,810898,12484.86,0.00147969,0.00137596
2021-09-14,728857,37545,0.00132346,0.00147969
2021-09-13,720577,28095,0.00132070,0.00132346
2021-09-12,709390,84048,0.00132755,0.00132070
2021-09-11,641595,7121.78,0.00120946,0.00132755
2021-09-10,682507,8187.58,0.00127724,0.00120946
2021-09-09,672195,15790.94,0.00125794,0.00127724
2021-09-08,658984,19013.82,0.00122250,0.00125794
2021-09-07,846457,16613.78,0.00158827,0.00122250
2021-09-06,914160,24139,0.00170767,0.00158827
2021-09-05,950968,55610,0.00177662,0.00170767
2021-09-04,959814,80077,0.00180110,0.00177662
2021-09-03,1043268,160601,0.00197381,0.00180110
2021-09-02,1056888,183412,0.00196560,0.00197381
2021-09-01,1097872,138479,0.00205455,0.00196560
2021-08-31,1210398,529323,0.00227410,0.00205455
2021-08-30,1490367,901021,0.00270578,0.00227410
2021-08-29,663152,23295,0.00122216,0.00270578
2021-08-28,613932,21451,0.00114251,0.00122216
2021-08-27,601865,31151,0.00112633,0.00114251
2021-08-26,659187,20963,0.00123341,0.00112633
2021-08-25,686363,26212,0.00129884,0.00123341
2021-08-24,683900,41907,0.00129782,0.00129884
2021-08-23,614646,33662,0.00115748,0.00129782
2021-08-22,750205,44933,0.00133506,0.00115748
2021-08-21,587929,37477,0.00111332,0.00133506
2021-08-20,596723,29916,0.00113570,0.00111332
2021-08-19,625133,60667,0.00116521,0.00113570
2021-08-18,615301,49166,0.00127283,0.00116521
2021-08-17,618412,32766,0.00112946,0.00127283
2021-08-16,634648,23775,0.00118864,0.00112946
2021-08-15,668143,23525,0.00125036,0.00118864
2021-08-14,707948,37706,0.00132539,0.00125036
2021-08-13,631152,34627,0.00117945,0.00132539
2021-08-12,659119,47061,0.00123347,0.00117945
2021-08-11,639968,30327,0.00118883,0.00123347
2021-08-10,615673,28586,0.00114375,0.00118883
2021-08-09,622868,35835,0.00116563,0.00114375
2021-08-08,597616,41837,0.00111433,0.00116563
2021-08-07,551654,36155,0.00102485,0.00111433
2021-08-06,540205,35346,0.00100424,0.00102485
2021-08-05,538473,59082,0.00100642,0.00100424
2021-08-04,599361,73089,0.00103330,0.00100642
2021-08-03,544105,45488,0.00101204,0.00103330
2021-08-02,470352,27045,0.00088688,0.00101204
2021-08-01,479200,29998,0.00090374,0.00088688
2021-07-31,467628,29231,0.00115613,0.00090374
2021-07-30,451583,29145,0.00086220,0.00115613
2021-07-29,512263,47012,0.00095536,0.00086220
2021-07-28,427259,15789.25,0.00080064,0.00095536
2021-07-27,427201,22309,0.00079702,0.00080064
2021-07-26,417541,20231,0.00078139,0.00079702
2021-07-25,438089,45332,0.00082650,0.00078139
2021-07-24,404866,19248.92,0.00074196,0.00082650
2021-07-23,431148,18120.71,0.00081185,0.00074196
2021-07-22,412471,24682,0.00077220,0.00081185
2021-07-21,420714,26863,0.00078464,0.00077220
2021-07-20,415716,22436,0.00078645,0.00078464
2021-07-19,441470,22165,0.00081216,0.00078645
2021-07-18,461313,15067.76,0.00086330,0.00081216
2021-07-17,452774,34921,0.00084732,0.00086330
2021-07-16,477345,27691,0.00091761,0.00084732
2021-07-15,486835,26657,0.00091069,0.00091761
2021-07-14,488903,25560,0.00091327,0.00091069
2021-07-13,506086,35475,0.00095812,0.00091327
2021-07-12,488057,22736,0.00088758,0.00095812
2021-07-11,476097,21271,0.00088506,0.00088758
2021-07-10,478817,18956.80,0.00089667,0.00088506
2021-07-09,464920,19174.76,0.00087053,0.00089667
2021-07-08,494071,24071,0.00092710,0.00087053
2021-07-07,511805,21919,0.00095621,0.00092710
2021-07-06,498257,24785,0.00092679,0.00095621
2021-07-05,509797,19140.08,0.00096155,0.00092679
2021-07-04,569097,19393.97,0.00107058,0.00096155
2021-07-03,502554,17555.49,0.00094167,0.00107058
2021-07-02,477138,17647.52,0.00089291,0.00094167
2021-07-01,520876,17355.30,0.00097477,0.00089291
2021-06-30,549663,19074.78,0.00102864,0.00097477
2021-06-29,530661,20283,0.00099308,0.00102864
2021-06-28,576433,20086,0.00106094,0.00099308
2021-06-27,493893,19389.08,0.00092804,0.00106094
2021-06-26,576632,25038,0.00107816,0.00092804
2021-06-25,515465,16556.17,0.00096964,0.00107816
2021-06-24,488696,17236.53,0.00091655,0.00096964
2021-06-23,468004,24329,0.00088133,0.00091655
2021-06-22,535719,24879,0.00100254,0.00088133
2021-06-21,650843,28696,0.00121799,0.00100254
2021-06-20,688166,22462,0.00128545,0.00121799
2021-06-19,664199,25932,0.00124298,0.00128545
2021-06-18,657623,21012,0.00122946,0.00124298
2021-06-17,699194,21893,0.00131040,0.00122946
2021-06-16,704598,20728,0.00130987,0.00131040
2021-06-15,696930,27273,0.00129105,0.00130987
2021-06-14,694108,24384,0.00129403,0.00129105
2021-06-13,685049,20695,0.00128121,0.00129403
2021-06-12,750066,18036.33,0.00139961,0.00128121
2021-06-11,716937,25715,0.00134167,0.00139961
2021-06-10,737423,28583,0.00137918,0.00134167
2021-06-09,681981,31513,0.00127200,0.00137918
2021-06-08,801659,32861,0.00149649,0.00127200
2021-06-07,838665,28207,0.00157397,0.00149649
2021-06-06,915936,20372,0.00171782,0.00157397
2021-06-05,921500,22543,0.00172472,0.00171782
2021-06-04,946463,33276,0.00175515,0.00172472
2021-06-03,970407,29538,0.00181860,0.00175515
2021-06-02,949857,17625.31,0.00177814,0.00181860
2021-06-01,944927,26825,0.00176510,0.00177814
2021-05-31,967607,26168,0.00181802,0.00176510
2021-05-30,985131,22500,0.00184069,0.00181802
2021-05-29,1007309,56035,0.00188394,0.00184069
2021-05-28,1061524,37463,0.00198174,0.00188394
2021-05-27,1048767,47755,0.00196657,0.00198174
2021-05-26,1096092,33446,0.00198277,0.00196657
2021-05-25,1173440,60845,0.00219743,0.00198277
2021-05-24,1313670,81052,0.00248306,0.00219743
2021-05-23,1125452,59344,0.00210692,0.00248306
2021-05-22,1232772,47262,0.00230999,0.00210692
2021-05-21,1479588,58177,0.00278984,0.00230999
2021-05-20,1554218,130367,0.00290226,0.00278984
2021-05-19,2053962,168683,0.00386875,0.00290226
2021-05-18,2404011,162310,0.00480717,0.00386875
2021-05-17,2199012,448569,0.00411522,0.00480717
2021-05-16,2055176,108268,0.00397858,0.00411522
2021-05-15,2025588,77839,0.00379068,0.00397858
2021-05-14,1909452,139924,0.00349234,0.00379068
2021-05-13,1751357,134621,0.00328275,0.00349234
2021-05-12,2090040,299137,0.00391867,0.00328275
2021-05-11,1886141,195726,0.00352972,0.00391867
2021-05-10,2220965,183850,0.00415631,0.00352972
2021-05-09,2295282,156216,0.00429956,0.00415631
2021-05-08,2343369,206540,0.00434590,0.00429956
2021-05-07,2263197,536080,0.00423179,0.00434590
2021-05-06,1833689,155734,0.00346650,0.00423179
2021-05-05,1773986,161316,0.00315036,0.00346650
2021-05-04,1672152,46064,0.00320656,0.00315036
2021-05-03,1610026,40368,0.00301339,0.00320656
2021-05-02,1619927,33609,0.00299344,0.00301339
2021-05-01,1624777,38369,0.00304145,0.00299344
2021-04-30,1695271,44066,0.00316124,0.00304145
2021-04-29,1726214,39882,0.00323410,0.00316124
2021-04-28,1787908,67495,0.00334143,0.00323410
2021-04-27,1633702,47322,0.00307672,0.00334143
2021-04-26,1426435,51308,0.00266943,0.00307672
2021-04-25,1611083,36062,0.00300625,0.00266943
2021-04-24,1428541,51849,0.00267561,0.00300625
2021-04-23,1680379,52062,0.00313903,0.00267561
2021-04-22,1688757,49134,0.00316880,0.00313903
2021-04-21,1662656,85178,0.00333919,0.00316880
2021-04-20,2066642,71501,0.00386751,0.00333919
2021-04-19,2471463,121868,0.00458239,0.00386751
2021-04-18,2521732,156102,0.00470311,0.00458239
2021-04-17,2990779,184248,0.00560890,0.00470311
2021-04-16,3116045,126243,0.00582817,0.00560890
2021-04-15,3392483,172178,0.00633244,0.00582817
2021-04-14,3736532,195632,0.00707225,0.00633244
2021-04-13,4454207,625555,0.00858506,0.00707225
2021-04-12,3591672,554686,0.00683908,0.00858506
2021-04-11,5330985,2170281,0.00988185,0.00683908
2021-04-10,1655526,138303,0.00325115,0.00988185
2021-04-09,1392590,33023,0.00261139,0.00325115
2021-04-08,1373922,35579,0.00257355,0.00261139
2021-04-07,1462756,41959,0.00272002,0.00257355
2021-04-06,1495400,69107,0.00281661,0.00272002
2021-04-05,1354807,48146,0.00253699,0.00281661
2021-04-04,1226898,35451,0.00233114,0.00253699
2021-04-03,1550063,45701,0.00289510,0.00233114
2021-04-02,1373325,55991,0.00258460,0.00289510
2021-04-01,1292831,68397,0.00244937,0.00258460
2021-03-31,1582550,160583,0.00290858,0.00244937
2021-03-30,1141968,64015,0.00213904,0.00290858
2021-03-29,899179,46610,0.00169732,0.00213904
2021-03-28,910499,84357,0.00169268,0.00169732
2021-03-27,768540,21773,0.00144238,0.00169268
2021-03-26,754728,31113,0.00141263,0.00144238
2021-03-25,704286,31592,0.00130495,0.00141263
2021-03-24,744591,27284,0.00139229,0.00130495
2021-03-23,762736,31784,0.00142242,0.00139229
2021-03-22,826823,70035,0.00153765,0.00142242
2021-03-21,839254,36558,0.00155799,0.00153765
2021-03-20,728563,28358,0.00137697,0.00155799
2021-03-19,765346,39282,0.00143865,0.00137697
2021-03-18,757246,37083,0.00139099,0.00143865
2021-03-17,687296,31101,0.00128681,0.00139099
2021-03-16,667032,38107,0.00124719,0.00128681
2021-03-15,691992,118958,0.00130560,0.00124719
2021-03-14,526016,39567,0.00099236,0.00130560
2021-03-13,498781,29229,0.00093500,0.00099236
2021-03-12,465302,27792,0.00086405,0.00093500
2021-03-11,455396,26272,0.00086105,0.00086405
2021-03-10,463120,29779,0.00086668,0.00086105
2021-03-09,473295,26141,0.00088186,0.00086668
2021-03-08,488892,24899,0.00092240,0.00088186
2021-03-07,523051,20211,0.00097884,0.00092240
2021-03-06,554214,22737,0.00103691,0.00097884
2021-03-05,553004,28162,0.00103490,0.00103691
2021-03-04,560839,25312,0.00104554,0.00103490
2021-03-03,528565,24212,0.00100121,0.00104554
2021-03-02,515562,25936,0.00096693,0.00100121
2021-03-01,476515,29735,0.00088929,0.00096693
2021-02-28,563640,26088,0.00106077,0.00088929
2021-02-27,467463,26620,0.00086658,0.00106077
2021-02-26,473393,27304,0.00088181,0.00086658
2021-02-25,490552,21649,0.00093305,0.00088181
2021-02-24,468855,26298,0.00087940,0.00093305
2021-02-23,519177,32467,0.00097481,0.00087940
2021-02-22,543902,23180,0.00101991,0.00097481
2021-02-21,503953,23369,0.00092474,0.00101991
2021-02-20,553538,34714,0.00105306,0.00092474
2021-02-19,543119,23730,0.00102326,0.00105306
2021-02-18,534632,26144,0.00099312,0.00102326
2021-02-17,575994,15496.01,0.00107550,0.00099312
2021-02-16,545752,30952,0.00099876,0.00107550
2021-02-15,601365,27507,0.00112422,0.00099876
2021-02-14,498575,27337,0.00093515,0.00112422
2021-02-13,463684,25935,0.00085340,0.00093515
2021-02-12,424311,26848,0.00079407,0.00085340
2021-02-11,399765,26057,0.00074957,0.00079407
2021-02-10,393098,32823,0.00074264,0.00074957
2021-02-09,331554,27825,0.00062436,0.00074264
2021-02-08,348949,22631,0.00065505,0.00062436
2021-02-07,349009,23472,0.00065390,0.00065505
2021-02-06,338036,21470,0.00063315,0.00065390
2021-02-05,347178,24856,0.00064916,0.00063315
2021-02-04,364607,24789,0.00067485,0.00064916
2021-02-03,343140,20998,0.00063742,0.00067485
2021-02-02,333249,18245.63,0.00062328,0.00063742
2021-02-01,363550,15761.07,0.00067913,0.00062328
2021-01-31,345369,11266.14,0.00064619,0.00067913
2021-01-30,359796,16974.37,0.00067108,0.00064619
2021-01-29,317885,22941,0.00059140,0.00067108
2021-01-28,310494,15609.11,0.00057312,0.00059140
2021-01-27,280334,13911.30,0.00054268,0.00057312
2021-01-26,330027,17232.42,0.00061788,0.00054268
2021-01-25,337615,13655.53,0.00064021,0.00061788
2021-01-24,354466,6788.60,0.00066346,0.00064021
2021-01-23,323499,4926.42,0.00060001,0.00066346
2021-01-22,330860,3717.74,0.00061560,0.00060001
2021-01-21,324755,5900.45,0.00061068,0.00061560
2021-01-20,346668,19229.26,0.00064820,0.00061068
2021-01-19,338949,12230.16,0.00062306,0.00064820
2021-01-18,348786,19990.70,0.00065137,0.00062306
2021-01-17,362837,19299.07,0.00068320,0.00065137
2021-01-16,364257,21949,0.00069360,0.00068320
2021-01-15,375293,32761,0.00070021,0.00069360
2021-01-14,372059,36748,0.00069975,0.00070021
2021-01-13,348256,33038,0.00064993,0.00069975
2021-01-12,351273,65555,0.00065533,0.00064993
2021-01-11,369774,72483,0.00067383,0.00065533
2021-01-10,366748,37339,0.00068654,0.00067383
2021-01-09,370098,41004,0.00069303,0.00068654
2021-01-08,347833,736.31,0.00066177,0.00069303
2021-01-07,348235,6936.04,0.00065315,0.00066177
2021-01-06,327770,40484,0.00060649,0.00065315
2021-01-05,308127,51374,0.00056926,0.00060649
2021-01-04,349234,35081,0.00065601,0.00056926
2021-01-03,349202,58375,0.00065434,0.00065601
2021-01-02,380279,25935,0.00070226,0.00065434
2021-01-01,355832,44927,0.00066220,0.00070226
2020-12-31,370195,71235,0.00069212,0.00066220
2020-12-30,397611,17434.61,0.00074637,0.00069212
2020-12-29,444561,5529.34,0.00083309,0.00074637
2020-12-28,418948,2596.18,0.00077977,0.00083309
2020-12-27,351725,4263.82,0.00065954,0.00077977
2020-12-26,329680,5487.57,0.00061807,0.00065954
2020-12-25,326751,6817.04,0.00060156,0.00061807
2020-12-24,330505,7243.40,0.00061736,0.00060156
2020-12-23,351388,7410.83,0.00065628,0.00061736
2020-12-22,353695,12945.55,0.00066190,0.00065628
2020-12-21,334719,11197.32,0.00061602,0.00066190
2020-12-20,440018,23527,0.00082345,0.00061602
2020-12-19,420004,18924.39,0.00078636,0.00082345
2020-12-18,361453,44940,0.00067898,0.00078636
2020-12-17,379787,32063,0.00072065,0.00067898
2020-12-16,330305,16215.65,0.00064439,0.00072065
2020-12-15,326605,9782.40,0.00059975,0.00064439
2020-12-14,308275,24635,0.00058018,0.00059975
2020-12-13,273305,16145.70,0.00051125,0.00058018
2020-12-12,253556,26529,0.00047450,0.00051125
2020-12-11,295763,2349.84,0.00055615,0.00047450
2020-12-10,391732,361.22,0.00073309,0.00055615
2020-12-09,340412,1424.16,0.00063588,0.00073309
2020-12-08,306750,0.261043,0.00057405,0.00063588
2020-12-07,321465,199.68,0.00060580,0.00057405
2020-12-06,347700,0.585660,0.00057439,0.00060580
2020-12-05,341999,200.55,0.00063219,0.00057439
2020-12-04,367093,633.96,0.00068698,0.00063219
2020-12-03,484187,34.41,0.00090611,0.00068698
2020-12-02,357603,118.70,0.00066922,0.00090611
2020-12-01,326288,5.15,0.00061061,0.00066922
2020-11-30,252056,8.40,0.00052999,0.00061061
2020-11-29,237783,17.98,0.00046878,0.00052999
2020-11-28,243757,45.50,0.00045617,0.00046878
2020-11-27,306488,51.32,0.00059358,0.00045617
2020-11-26,313129,0.04699443,0.00058752,0.00059358
2020-11-25,272573,6.02,0.00051009,0.00058752
2020-11-24,384051,123.45,0.00066284,0.00051009
2020-11-23,289722,476.66,0.00057160,0.00066284
2020-11-22,208994,33.60,0.00040191,0.00057160
2020-11-21,248427,0.02800136,0.00056003,0.00040191
2020-11-20,250355,0.000000000000,0.00046851,0.00056003
2020-11-19,252879,93.47,0.00047799,0.00046851
2020-11-18,234947,371.50,0.00046675,0.00047799
2020-11-17,297722,1.00,0.00050311,0.00046675
2020-11-16,297072,75.80,0.00055716,0.00050311
2020-11-15,276342,14.48,0.00051715,0.00055716
2020-11-14,280349,2.29,0.00057283,0.00051715
2020-11-13,289186,28.83,0.00054581,0.00057283
2020-11-12,292757,204.46,0.00054786,0.00054581
2020-11-11,295488,2001.18,0.00055310,0.00054786
2020-11-10,252659,0.01901972,0.00049138,0.00055310
2020-11-09,264308,41.06,0.00049486,0.00049138
2020-11-08,240290,52.39,0.00048019,0.00049486
2020-11-07,272318,569.00,0.00050961,0.00048019
2020-11-06,283056,48.74,0.00052971,0.00050961
2020-11-05,332857,3.09,0.00062291,0.00052971
2020-11-04,341651,11.57,0.00063935,0.00062291
2020-11-03,231435,6.21,0.00043783,0.00063935
2020-11-02,256852,211.89,0.00047747,0.00043783
2020-11-01,237305,4.41,0.00047234,0.00047747
2020-10-31,280876,57.15,0.00048135,0.00047234
2020-10-30,244965,168.50,0.00048204,0.00048135
2020-10-29,273448,72.21,0.00051236,0.00048204
2020-10-28,287845,719.07,0.00053533,0.00051236
2020-10-27,288936,192.93,0.00052368,0.00053533
2020-10-26,287988,177.25,0.00064308,0.00052368
2020-10-25,288979,151.40,0.00054079,0.00064308
2020-10-24,295995,1180.17,0.00055401,0.00054079
2020-10-23,304523,56764,0.00056988,0.00055401
2020-10-22,315338,5.42,0.00063500,0.00056988
2020-10-21,292456,322.50,0.00054737,0.00063500
2020-10-20,313949,0.00761488,0.00076149,0.00054737
2020-10-19,361226,6.71,0.00067600,0.00076149
2020-10-18,360273,175.77,0.00067402,0.00067600
2020-10-17,416105,48.46,0.00077927,0.00067402
2020-10-16,448455,211.23,0.00084085,0.00077927
2020-10-15,393400,206.61,0.00077722,0.00084085
2020-10-14,394986,152.66,0.00067432,0.00077722
2020-10-13,368738,6.74,0.00067449,0.00067432
2020-10-12,371637,44.61,0.00067972,0.00067449
2020-10-11,403217,126.85,0.00075570,0.00067972
2020-10-10,349541,571.62,0.00065343,0.00075570
2020-10-09,453041,16.91,0.00071084,0.00065343
2020-10-08,336704,382.29,0.00063035,0.00071084
2020-10-07,349536,0.000000000000,0.00065412,0.00063035
2020-10-06,338339,5.02,0.00063303,0.00065412
2020-10-05,338358,68.88,0.00063283,0.00063303
2020-10-04,338384,14.19,0.00063330,0.00063283
2020-10-03,338575,40.05,0.00063320,0.00063330
2020-10-02,347409,159.75,0.00063323,0.00063320
2020-10-01,363351,0.000000000000,0.00067997,0.00063323
2020-09-30,347298,101.73,0.00065161,0.00067997
2020-09-29,349815,121.02,0.00065464,0.00065161
2020-09-28,383501,68.88,0.00071768,0.00065464
2020-09-27,369264,1.34,0.00069154,0.00071768
2020-09-26,369661,17.97,0.00069204,0.00069154
2020-09-25,355516,3.82,0.00066521,0.00069204
2020-09-24,351866,20.64,0.00065517,0.00066521
2020-09-23,361936,22.23,0.00067733,0.00065517
2020-09-22,475514,14.99,0.00088900,0.00067733
2020-09-21,384430,1.60,0.00071889,0.00088900
2020-09-20,402740,14.29,0.00075389,0.00071889
2020-09-19,398052,0.649237,0.00074625,0.00075389
2020-09-18,467057,96.47,0.00087526,0.00074625
2020-09-17,432769,26.86,0.00080900,0.00087526
2020-09-16,549669,0.071948,0.00102783,0.00080900
2020-09-15,539919,29.46,0.00100943,0.00102783
2020-09-14,463454,265.54,0.00086750,0.00100943
2020-09-13,435975,0.203744,0.00081498,0.00086750
2020-09-12,422179,0.181868,0.00079073,0.00081498
2020-09-11,379927,591.05,0.00071149,0.00079073
2020-09-10,469682,12.27,0.00079165,0.00071149
2020-09-09,541164,8.00,0.00100913,0.00079165
2020-09-08,469786,3.71,0.00087938,0.00100913
2020-09-07,475702,486.93,0.00089023,0.00087938
2020-09-06,526789,513.36,0.00098583,0.00089023
2020-09-05,479065,437.97,0.00089652,0.00098583
2020-09-04,483795,1531.99,0.00090783,0.00089652
2020-09-03,602233,1649.10,0.00112702,0.00090783
2020-09-02,512267,1730.65,0.00095595,0.00112702
2020-09-01,584606,1295.17,0.00109449,0.00095595
2020-08-31,503493,27.33,0.00094200,0.00109449
2020-08-30,535423,45.43,0.00100194,0.00094200
2020-08-29,534326,312.00,0.00099939,0.00100194
2020-08-28,500836,757.20,0.00093749,0.00099939
2020-08-27,480117,466.28,0.00089811,0.00093749
2020-08-26,480837,648.94,0.00089987,0.00089811
2020-08-25,509773,426.60,0.00095309,0.00089987
2020-08-24,508627,186.56,0.00095072,0.00095309
2020-08-23,477540,1227.39,0.00089388,0.00095072
2020-08-22,528191,2684.30,0.00098617,0.00089388
2020-08-21,545571,2102.25,0.00104123,0.00098617
