date,mktcap,vol,open_price,close_price
2021-10-04,5447737,140500,2.90,2.81
2021-10-03,5694774,110960,3.00,2.90
2021-10-02,5529614,102573,2.95,3.00
2021-10-01,5252924,277696,2.80,2.95
2021-09-30,5370350,363780,2.88,2.80
2021-09-29,5255411,428130,2.82,2.88
2021-09-28,5272722,220675,2.79,2.82
2021-09-27,5171932,158740,2.76,2.79
2021-09-26,5341197,228713,2.84,2.76
2021-09-25,5435382,447337,2.89,2.84
2021-09-24,5817620,671496,3.10,2.89
2021-09-23,5603406,235459,2.99,3.10
2021-09-22,4658513,189043,2.49,2.99
2021-09-21,4907127,201548,2.54,2.49
2021-09-20,5827847,260082,3.14,2.54
2021-09-19,6031461,314960,3.23,3.14
2021-09-18,6333162,322841,3.36,3.23
2021-09-17,6324163,385975,3.41,3.36
2021-09-16,5903845,336328,3.16,3.41
2021-09-15,5241816,434057,2.83,3.16
2021-09-14,5449137,281140,2.91,2.83
2021-09-13,0.000000000000,632253,2.97,2.91
2021-09-12,0.000000000000,274701,2.82,2.97
2021-09-11,0.000000000000,369215,2.59,2.82
2021-09-10,0.000000000000,309550,2.41,2.59
2021-09-09,0.000000000000,137951,2.39,2.41
2021-09-08,0.000000000000,177010,2.37,2.39
2021-09-07,0.000000000000,232606,2.77,2.37
2021-09-06,0.000000000000,142105,2.54,2.77
2021-09-05,0.000000000000,201866,2.44,2.54
2021-09-04,0.000000000000,174466,2.44,2.44
2021-09-03,0.000000000000,156182,2.77,2.44
2021-09-02,0.000000000000,241645,2.66,2.77
2021-09-01,0.000000000000,451635,2.64,2.66
2021-08-31,0.000000000000,784479,3.01,2.64
2021-08-30,0.000000000000,546609,3.22,3.01
2021-08-29,0.000000000000,735351,3.27,3.22
2021-08-28,0.000000000000,1003877,3.27,3.27
2021-08-27,0.000000000000,647086,3.17,3.27
2021-08-26,0.000000000000,1460322,3.57,3.17
2021-08-25,0.000000000000,858550,3.05,3.57
2021-08-24,0.000000000000,649412,2.20,3.05
2021-08-23,0.000000000000,545918,2.23,2.20
2021-08-22,0.000000000000,1158747,2.30,2.23
2021-08-21,0.000000000000,363572,1.71,2.30
2021-08-20,0.000000000000,38596,1.08,1.71
2021-08-19,0.000000000000,38596,1.08,1.08
